voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.8934001733639627,-11102089.166641235,-45541.75384245918,3204.8997391871817,-211557.46311548015,-746.9973674563769,-150,8.457049495592516e+19,1.8099693059727009,8.457049495592516e+19,4.6724822723154346e+19,1.5654177669955292e+18,6818.348243441433,5.303147763886955,3389.607141002644,5323.94966294078,6.668748881111242e-05,0.0021854535409373543,976598.68591826246,-5380.2083455052925,6480.771615447009,10603.948882268223,-150,-1.8944933294778454,-1.8934001733639627,-1.892307875936908,-11098679.993766267,-11102089.166641235,-11105498.342009708,-45536.45069469529,-45541.75384245918,-45541.75377028849,-184.70740181546236,3204.8997391871817,1315.0051192641258,-211582.3477507111,-211557.46311548015,-206258.39808777033,-746.9973009048778,-746.9973674563769,-746.9973675923666
-140,-1.7291943544562793,-10149843.759521484,-36056.265048512876,-1874.1025943429559,-188564.7786020294,-699.3168315704272,-140,4.6302130328172487e+19,2.0620690812770563,4.6302130328172487e+19,2.2454209099288371e+19,8.4275829942982528e+17,3451.240774989128,1.041987010066805,3507.6591318732485,75.76728431458469,7.20269435987575e-05,0.0011056401168771934,1043465.7251405074,2844.8026660095202,2477.9371202474281,3603.86487384559,-140,-1.7286416295389728,-1.7291943544562793,-1.72974726965585,-10151569.379411498,-10149843.759521484,-10148118.138636509,-36055.22306150281,-36056.265048512876,-36056.26480884149,-167.88644821584373,-1874.1025943429559,-3675.5455800890923,-188546.41009857785,-188564.7786020294,-188489.01131771482,-699.3169035973708,-699.3168315704272,-699.3168317348445
-130,-1.5319288011255912,-9006448.530128479,-27481.865910517743,-1524.1300967896823,-165324.2407944214,-644.3802182463136,-130,2.5350363895721734e+19,2.3492823231461673,2.5350363895721734e+19,1.0790684306419347e+19,1.3624099865999741e+18,2736.230413137004,0.3803488766498049,2949.242804302721,212.4330478204647,1.8367837697041978e-05,0.0008768448564577813,1105135.3405895804,2377.2578563822899,2099.9259541122897,3160.8425385962883,-130,-1.5314904093407657,-1.5319288011255912,-1.5323672541972235,-9007816.645230904,-9006448.530128479,-9005080.414817767,-27482.246259394393,-27481.865910517743,-27481.866099389954,-150.6401771764468,-1524.1300967896823,-3099.882981479168,-165329.2627883302,-165324.2407944214,-165116.82974050974,-644.3802000149689,-644.3802182463136,-644.3802183828066
-120,-1.3089767653846343,-7701430.422332764,-20069.35810939458,-115.20177308376878,-142797.86935911514,-582.8177437007971,-120,1.3879368259114433e+19,2.6764997758605702,1.3879368259114433e+19,5.1856414800751565e+18,4.4532761650827706e+17,43.035497332923114,0.48586042432361864,399.67570646945387,423.9284498920024,2.612818002489803e-05,1.3659031617319073e-05,1171794.4740876097,-39.59029651270248,577.9364952281378,843.44353612928774,-120,-1.3089835860158092,-1.3089767653846343,-1.308969926984192,-7701408.904530108,-7701430.422332764,-7701451.940027441,-20069.843969818903,-20069.35810939458,-20069.358809858208,-133.39155404874023,-115.20177308376878,-514.8774795532227,-142800.72018919073,-142797.86935911514,-142376.79173929873,-582.8177175726171,-582.8177437007971,-582.8177436781248
-110,-1.0722258252810415,-6298220.466949463,-13984.31315146507,-5.209543721750379,-122107.68536784733,-517.3236423723797,-110,7.5990588819014717e+18,3.04929338615552,7.5990588819014717e+18,2.4920720703369882e+18,2.2956830240104755e+18,224.872241451405,0.01527695806362317,370.87491436870175,146.81610048096627,1.3849355468664726e-05,7.197106391076957e-05,1267212.4417776999,-218.10766476020217,319.20604760818861,521.65113087729105,-110,-1.0722618612740868,-1.0722258252810415,-1.072189890210176,-6298108.030881524,-6298220.466949463,-6298332.9031229755,-13984.328428423134,-13984.31315146507,-13984.313856245057,-117.0178963151701,-5.209543721750379,253.85701805353165,-122108.32678343142,-122107.68536784733,-122254.5014683283,-517.323628675501,-517.3236423723797,-517.3236425248565
-100,-0.8345441330723927,-4876755.650108337,-9269.508816662086,-82.90616143774241,-104464.28296717396,-452.86020579130457,-100,4.1606315177613097e+18,3.4740111838276411,4.1606315177613097e+18,1.197644825419691e+18,7.4480127526563635e+17,39.23531524743885,0.016746617829994648,61.67973579932004,81.04717805900145,6.9747172801726265e-06,1.2457637435181468e-05,-1417891.0515396965,39.486153691541404,104.68766837329562,165.47459920707843,-100,-0.8345504254521905,-0.8345441330723927,-0.8345379678147553,-4876736.032520182,-4876755.650108337,-4876775.26783543,-9269.525485944061,-9269.508816662086,-9269.508739326231,-102.70749449618404,-82.90616143774241,-144.58589723706245,-104464.10247361817,-104464.28296717396,-104383.23578911496,-452.86021276602185,-452.86020579130457,-452.86020585850565
-90,-0.6090804828445393,-3517023.2765426636,-5839.955873295365,-113.46818219218403,-90853.8224636577,-395.45690515183327,-90,2.2781252632017613e+18,3.9578853776925484,2.2781252632017613e+18,5.7559152067458579e+17,7.483303709833088e+17,44.286910947877914,0.08917606171326042,58.78234295640141,81.17417513567489,4.003659455520392e-06,1.4287894269493506e-05,-1620007.8937493914,-45.069249506341293,102.70342993129576,162.91456358304183,-90,-0.6090734027371293,-0.6090804828445393,-0.6090876906313988,-3517045.420017613,-3517023.2765426636,-3517001.133106665,-5839.8676484154275,-5839.955873295365,-5839.956824477141,-91.42787530656274,-113.46818219218403,-54.68583923578262,-90853.80861849093,-90853.8224636577,-90934.98279362661,-395.4569090901465,-395.45690515183327,-395.45690508648704
-80,-0.4102967006830499,-2308220.4440841675,-3499.6035800535974,-115.00479688681662,-81746.19500718638,-349.6874399470165,-80,1.2474817853524065e+18,4.5091555075804486,1.2474817853524065e+18,2.7665530347206595e+17,2.9144171948193088e+17,64.12788763223216,0.042745791281049605,31.551899082411722,46.022593888948904,1.5616076893820718e-06,2.0318044106071298e-05,-1789350.5022575029,-64.081395328510553,57.526887483167393,92.641944747181668,-80,-0.4102864202921141,-0.4102967006830499,-0.41030673833622017,-2308252.5079857167,-2308220.4440841675,-2308188.3800980845,-3499.6463258448784,-3499.6035800535974,-3499.6043822222573,-83.4528978044049,-115.00479688681662,-101.1106424331665,-81745.63969882097,-81746.19500718638,-81791.66229270992,-349.68744109525124,-349.6874399470165,-349.68743953364356
-70,-0.25411599167554494,-1351046.4511260986,-1991.4552940700328,-93.91611664742231,-76871.66791597567,-316.03147843487056,-70,6.8323214267187789e+17,5.1372087494350227,6.8323214267187789e+17,1.329967645848571e+17,1.3049096359286921e+19,32.87270905356854,0.03200412455271362,18.81829451398731,15.246764124603942,1.045843589508877e-06,1.0935441564996484e-05,-1799683.7291755334,-31.448795760283247,22.583884424674697,34.901677319655718,-70,-0.2541107344578195,-0.25411599167554494,-0.2541216698993845,-1351062.8874607682,-1351046.4511260986,-1351030.0147517147,-1991.4241013512947,-1991.4552940700328,-1991.4561054758474,-77.14417293293594,-93.91611664742231,-95.96246744692326,-76872.04301291535,-76871.66791597567,-76886.91468010028,-316.03147948071415,-316.03147843487056,-316.03147849054926
-60,-0.14900623418988584,-702328.8078193665,-1069.0818711026536,-63.235705722123384,-75060.23839876428,-288.9119294998127,-60,3.7433385718867206e+17,5.8527397626684978,3.7433385718867206e+17,63958739388405392.0,9.3482917117312602e+17,3.8093352348078042,0.04341816862097403,16.328274350613356,18.612699554883875,2.0008980072816485e-07,1.3987430894923936e-06,1654376.514599561,3.4408269365085289,25.199277084157323,38.218921726312658,-60,-0.14900684004073364,-0.14900623418988584,-0.14900544129764415,-702326.9031342678,-702328.8078193665,-702330.7124695026,-1069.1249070874183,-1069.0818711026536,-1069.0814889187973,-65.93891380915464,-63.235705722123384,-79.56398007273674,-75059.40200859601,-75060.23839876428,-75041.6256992094,-288.91192937087334,-288.9119294998127,-288.91192957096314
