voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.4018659486451783,-4917960.442374051,-1169944.6232640923,-1324897.3800169243,-2824.1235941556306,-161667.8892492328,-150,38541422296599.984,753.95262197430566,38541422295846.031,51119156792.206841,27748270027024244.0,0.009061203338205814,1.0619405657052994e-06,0.003986153285950422,3.754249519261066e-06,1.990731107071042e-06,1.6242305278524327e-09,-564783729.94816816,-0.0045378804206848145,0.0065401270321567336,0.010149030001571191,-150,-2.4018659486458924,-2.4018659486451783,-2.401865947021662,-4917960.446366712,-4917960.442374051,-4917960.437305509,-1169944.6232641167,-1169944.6232640923,-1169944.6232651542,-1324897.3760312123,-1324897.3800169243,-1324897.3800173656,-2824.123590401381,-2824.1235941556306,-2824.123594036326,-161667.88924725144,-161667.8892492328,-161667.88924924217
-140,-1.8957516751766064,-3865366.603725314,-945770.9358029062,-1049070.4072607073,-2054.3325460620554,-109131.34130883774,-140,38076307458228.117,887.60740208002812,38076307457340.508,42897690317.813614,28468841011291232.0,0.026314448565244675,4.6601053327322006e-07,0.014055832056328654,8.090573828667402e-07,8.15439852885902e-06,3.9266017104466755e-09,-513241314.63413817,-0.015533506870269775,0.01873112468652588,0.028141642849050186,-140,-1.8957516751780368,-1.8957516751766064,-1.895751671251435,-3865366.6177890543,-3865366.603725314,-3865366.5914746057,-945770.9358030626,-945770.9358029062,-945770.9358033722,-1049070.3932048753,-1049070.4072607073,-1049070.4072604352,-2054.3325465365488,-2054.3325460620554,-2054.3325457274914,-109131.34130068845,-109131.34130883774,-109131.34130884285
-130,-1.548129219692398,-3170593.414370656,-799980.3261922244,-821753.6143916524,-1514.1899289358103,-76044.87335664613,-130,37772911219173.242,1044.9554484792368,37772911218128.289,36147867618.801918,64949182801338144.0,0.0003876257687807083,9.570503607392311e-07,0.00039496307726949453,2.492897692718543e-06,4.326429916545749e-06,1.0579115361508684e-10,-477344157.21723902,0.00041621923446655273,0.00087594848795076127,0.0014395678606433648,-130,-1.548129219693403,-1.548129219692398,-1.5481292195876117,-3170593.4139830302,-3170593.414370656,-3170593.4140441124,-799980.3261924956,-799980.3261922244,-799980.3261915386,-821753.6147864962,-821753.6143916524,-821753.6143915331,-1514.1899267465542,-1514.1899289358103,-1514.1899292394519,-76044.8733523197,-76044.87335664613,-76044.87335664016
-120,-1.3377086567659853,-2779927.1576004624,-727923.8278547891,-637966.0192781277,-1144.4351944762038,-56318.42330274891,-120,37652386173029.43,1230.196916730976,37652386171799.234,30606796083.576424,1.3038008790053283e+17,0.0062254248186945915,6.979098543524742e-07,0.0008890107274055481,6.134378054412082e-07,2.1427113097161055e-06,1.7114898387404764e-09,-453745828.17278069,-0.0009517669677734375,0.0070097508445660546,0.010692208301463779,-120,-1.3377086567652525,-1.3377086567659853,-1.3377086550544954,-2779927.158488117,-2779927.1576004624,-2779927.1522626923,-727923.8278552322,-727923.8278547891,-727923.8278545343,-637966.018389117,-637966.0192781277,-637966.0192750396,-1144.4351941742452,-1144.4351944762038,-1144.435193862766,-56318.4233006062,-56318.42330274891,-56318.423302745396
-110,-1.2426904514829649,-2637180.337676823,-726148.588939831,-491754.47358986095,-881.3795018567411,-45189.363697893656,-110,37739982985297.656,1448.2765328769626,37739982983849.383,26058547610.605957,1.0659928610305931e+17,0.016638028901070356,9.296927601099014e-07,0.012003079813439399,1.4804021475356421e-06,8.57718987390399e-07,1.484813383356709e-09,-440437719.79823673,-0.012782156467437744,0.01482574728007624,0.02401117757983684,-110,-1.2426904514833716,-1.2426904514829649,-1.2426904499985583,-2637180.3496795874,-2637180.337676823,-2637180.3330415585,-726148.5889399853,-726148.588939831,-726148.5889390556,-491754.46159012156,-491754.47358986095,-491754.4735932014,-881.3795003763389,-881.3795018567411,-881.379501581192,-45189.36369703594,-45189.363697893656,-45189.36369788546
-100,-1.242065817312612,-2686456.7325749993,-792956.1529724131,-376897.39217850275,-662.6997805078668,-39273.878399214096,-100,38065783459114.68,1705.0155850299579,38065783457409.664,22325768628.352947,91731610968248912.0,0.0026648943312466145,3.096647560596466e-07,0.002195707871578634,1.1754823390219826e-06,9.407667675986886e-07,1.5075518611240568e-10,-436257939.64569348,0.002338707447052002,0.0028316816891186605,0.0044039717094506159,-100,-1.2420658173129169,-1.242065817312612,-1.2420658174633672,-2686456.7303823214,-2686456.7325749993,-2686456.7330472157,-792956.1529727228,-792956.1529724131,-792956.1529726537,-376897.39437252854,-376897.39217850275,-376897.39217682066,-662.6997793323844,-662.6997805078668,-662.6997802555561,-39273.878400153015,-39273.878399214096,-39273.87839921225
-90,-1.3159676891849987,-2872696.3020460606,-928460.8681111234,-287507.4406698385,-430.11680822184445,-36340.439766956675,-90,38665566612307.008,2007.2673133909143,38665566610299.742,19262788944.133476,27487086185865748.0,0.007935279980301857,3.5421689972281456e-06,0.0019813833641819656,1.2067881471011788e-05,3.7203499232418835e-06,1.909764568708283e-09,-440331221.59353358,-0.0021283626556396484,0.0074243167733247135,0.011929298133225075,-90,-1.3159676891868182,-1.3159676891849987,-1.3159676872770536,-2872696.30402511,-2872696.3020460606,-2872696.29608983,-928460.8681105468,-928460.8681111234,-928460.868114089,-287507.4386884994,-287507.4406698385,-287507.44066988275,-430.11681862714613,-430.11680822184445,-430.11680655926466,-36340.439763236325,-36340.439766956675,-36340.43976695433
-80,-1.4446348584567321,-3138949.4824568033,-1133885.1711736398,-218391.21695801392,-123.72762959881976,-34996.549236373234,-80,39581831837176.367,2363.0998465839748,39581831834813.266,16749961663.445858,5.8953037244975882e+18,0.0007598921656608582,1.5774276107549667e-06,0.0003106407239101827,2.110442983394023e-05,1.7361744539812207e-06,2.460200931864165e-10,-450896848.0642693,0.00034344196319580078,0.0013469870779714015,0.0021780195949645531,-80,-1.4446348584562592,-1.4446348584567321,-1.444634858210712,-3138949.482130833,-3138949.4824568033,-3138949.481696911,-1133885.171175007,-1133885.1711736398,-1133885.1711734296,-218391.21726727975,-218391.21695801392,-218391.21695663902,-123.72764432868826,-123.72762959881976,-123.72762322425842,-34996.54923463706,-34996.549236373234,-34996.54923637156
-70,-1.6061583917058615,-3421041.6107168198,-1409885.0393713973,-165184.3959348563,334.50524993144893,-34404.4197387451,-70,40865007572761.281,2782.0115675035049,40865007569979.273,14689014255.045795,1.564157439073305e+17,0.00822097947821021,3.702240064740181e-06,0.006009522854583338,1.9340267385814514e-05,1.6640551621094346e-06,7.120217748735058e-10,-462649109.81813264,-0.006577610969543457,0.007441365612637911,0.012077777451509064,-70,-1.6061583916999815,-1.6061583917058615,-1.6061583909938397,-3421041.6167287473,-3421041.6107168198,-3421041.608507768,-1409885.0393708127,-1409885.0393713973,-1409885.039367695,-165184.38992533344,-165184.3959348563,-165184.39593467288,334.5052692717163,334.50524993144893,334.505259282887,-34404.41973708104,-34404.4197387451,-34404.41973874309
-60,-1.7739612228718975,-3642744.9579336643,-1753657.638500602,-124338.59148687776,1067.4498487172698,-34068.39696312178,-60,42574879066703.766,3275.1846575215263,42574879063428.578,12999230125.522758,90833363773923808.0,0.015957143157720566,2.7748756110668182e-06,0.008015002124011517,1.4637813137596822e-05,2.3390748538076878e-06,2.551256761407217e-09,-463375130.16492331,-0.0089311003684997559,0.011289079766894411,0.016105615087496972,-60,-1.7739612228643682,-1.7739612228718975,-1.7739612203206407,-3642744.9659378305,-3642744.9579336643,-3642744.9499806874,-1753657.6385014064,-1753657.638500602,-1753657.6384986315,-124338.58347187564,-124338.59148687776,-124338.5914805074,1067.449863355083,1067.4498487172698,1067.449850127101,-34068.39696546085,-34068.39696312178,-34068.39696312786
