voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-183.94777680390757,-433831532.8480914,-160354.94873059803,-189739.6274094025,-93295288.3420151,-18571.944667288593,-150,195003391967423.53,4707.9146526019149,195003391962715.62,41420332855.790268,1.2125844059960224e+19,0.002889275550842285,0.0027253105072304606,6.973277777433395e-08,0.0011013597249984741,2.7175701688975096e-09,9.062546268978622e-10,1774455695.4747992,-0.0030167102813720703,0.0034611297554378428,0.0065179815113047823,-150,-183.94777680408123,-183.94777680390757,-183.94777680317497,-433831532.84700876,-433831532.8480914,-433831532.84989804,-160354.94871576002,-160354.94873059803,-160354.94600528752,-189739.62740935571,-189739.6274094025,-189739.62740942545,-93295288.34311308,-93295288.3420151,-93295288.34201172,-18571.944667291216,-18571.944667288593,-18571.94466729131
-140,-160.83288009687917,-382012969.44339114,-131693.8651346611,-155545.76870165195,-79785750.93100934,-16743.35857582469,-140,185913478792644.19,6174.6059151543568,185913478786469.59,30109367520.339409,1.4002718154627129e+19,0.00959235429763794,0.001801621780032292,2.8510112315416336e-07,0.004651576280593872,3.523746272549033e-08,7.383675892924657e-10,1737860400.0362153,0.0081133842468261719,0.0060370828499638667,0.010990863294344067,-140,-160.8328800961408,-160.83288009687917,-160.83288009615046,-382012969.4480075,-382012969.44339114,-382012969.43841517,-131693.86517239807,-131693.8651346611,-131693.86693628287,-155545.76870136685,-155545.76870165195,-155545.76870163833,-79785750.92635776,-79785750.93100934,-79785750.93100883,-16743.35857585063,-16743.35857582469,-16743.358575815393
-130,-139.9904132471383,-334834157.64859515,-106562.180832507,-126917.30774908783,-67905948.42988226,-15008.641182777423,-130,177263815687237.87,8098.2262892952513,177263815679139.66,21889214916.302898,1.0747164765442015e+19,0.005393326282501221,0.003168422103044577,8.032657206058502e-08,0.0020742565393447876,1.5828845789656043e-08,7.916014510556124e-10,1708606975.119602,0.0052988529205322266,0.004058245122325577,0.0066879123228575921,-130,-139.9904132468077,-139.9904132471383,-139.9904132475993,-334834157.6506567,-334834157.64859515,-334834157.6452634,-106562.18081464249,-106562.180832507,-106562.18398306459,-126917.30774902622,-126917.30774908783,-126917.30774910655,-67905948.4278379,-67905948.42988226,-67905948.42991215,-15008.641182793252,-15008.641182777423,-15008.64118278485
-120,-121.2966804323317,-292129696.4350956,-84822.36131651571,-103128.32608469659,-57509148.121818215,-13372.799586426707,-120,169037895025008.37,10621.126260329653,169037895014387.25,15915251441.494667,6.2045105824602778e+18,0.00021439790725708008,0.0007397645385935903,3.119930624961853e-08,6.903707981109619e-05,5.573383532464504e-09,2.901430207202793e-10,1678701388.4328759,-0.00033235549926757813,0.00079095219455481837,0.0016756842027336738,-120,-121.29668043231443,-121.2966804323317,-121.29668043204155,-292129696.4352191,-292129696.4350956,-292129696.43531,-84822.36126729554,-84822.36131651571,-84822.36057675118,-103128.32608466945,-103128.32608469659,-103128.32608470065,-57509148.12174918,-57509148.121818215,-57509148.121811345,-13372.799586423673,-13372.799586426707,-13372.799586429246
-110,-104.6161704155524,-253693665.10581043,-66328.48066799939,-83503.89755109172,-48451037.911794044,-11838.346103609792,-110,161221177856779.78,13930.003806757206,161221177842849.78,11573663589.278715,6.8596211288079596e+18,0.01146012544631958,0.00022015006106812507,7.530616130679846e-08,0.005743451416492462,6.612026481889188e-09,1.7878534208648489e-09,1635940805.9551127,0.0088477134704589844,0.0081033035017486956,0.011883569612284539,-110,-104.6161704146493,-104.6161704155524,-104.61617041376455,-253693665.1114416,-253693665.10581043,-253693665.0999815,-66328.48077826525,-66328.48066799939,-66328.48088814945,-83503.89755101642,-83503.89755109172,-83503.8975510879,-48451037.90605059,-48451037.911794044,-48451037.91173982,-11838.346103604224,-11838.346103609792,-11838.34610360318
-100,-89.80441061271569,-219285921.1731581,-50904.35671268479,-67427.5798182271,-40591485.70032832,-10405.175624469392,-100,153801347830462.41,18269.720300853263,153801347812192.69,8418374517.932785,5.6866827575444081e+18,0.003043234348297119,0.001989551048609428,2.4726614356040955e-07,0.001572728157043457,1.589614839758724e-08,6.846647693237173e-10,1565500123.0254011,-0.0023353099822998047,0.0025124709954146007,0.0041619689329985832,-100,-89.80441061295407,-89.80441061271569,-89.80441061226941,-219285921.17168576,-219285921.1731581,-219285921.174729,-50904.35661764559,-50904.35671268479,-50904.35472313374,-67427.57981797983,-67427.5798182271,-67427.57981822151,-40591485.70190105,-40591485.70032832,-40591485.70034204,-10405.175624457794,-10405.175624469392,-10405.17562447369
-90,-76.71115231007664,-188639590.12210903,-38324.4858928489,-54343.64290833731,-33796192.13855755,-9070.497179347882,-90,146768653496197.28,23961.420578327296,146768653472235.87,6125206684.4879417,3.6024271342423527e+19,0.0011723637580871582,0.00670108622580301,8.568167686462402e-08,0.0004941672086715698,8.021743269637227e-09,3.082419652855606e-09,1456063186.4848247,-0.00094628334045410156,0.0085206720019942641,0.013355143593405838,-90,-76.71115231016027,-76.71115231007664,-76.71115230707785,-188639590.1215864,-188639590.12210903,-188639590.12275878,-38324.48593658318,-38324.4858928489,-38324.479235496954,-54343.642908413894,-54343.64290833731,-54343.64290832821,-33796192.13903624,-33796192.13855755,-33796192.13854207,-9070.49717933986,-9070.497179347882,-9070.4971793445
-80,-65.18363350364216,-161469221.44687414,-28305.72764126677,-43753.47186055075,-27938051.893902995,-7828.794990360514,-80,140116363905723.42,31426.298086494073,140116363874297.12,4458570446.9576244,5.5092847187591209e+18,0.011351585388183594,0.001208261168358149,1.9546132534742355e-07,0.0053832754492759705,1.7553247744217515e-09,1.3407088772510178e-09,1308038179.7095108,0.008505702018737793,0.0073095268713287715,0.012720588396185395,-80,-65.18363350277392,-65.18363350364216,-65.18363350230145,-161469221.45228785,-161469221.44687414,-161469221.44093627,-28305.72760889857,-28305.72764126677,-28305.72881715974,-43753.471860356745,-43753.47186055075,-43753.47186055221,-27938051.88851972,-27938051.893902995,-27938051.89389603,-7828.7949903589815,-7828.794990360514,-7828.794990360737
-70,-55.06965560051383,-137479146.45191902,-20514.34587344629,-35205.12530091904,-22897980.02761685,-6671.7874303244935,-70,133841369663553.31,41216.763763766983,133841369622336.55,3247255665.9387989,2.989795891303572e+18,0.003864675760269165,0.0034189380312454887,7.462222129106522e-08,0.0012986287474632263,1.4941178960725665e-08,1.025625806505559e-09,1135455595.1131403,0.0036112070083618164,0.0038344458357992225,0.0074088109741081709,-70,-55.069655600296954,-55.06965560051383,-55.06965560132258,-137479146.4532232,-137479146.45191902,-137479146.44935852,-20514.345851368656,-20514.34587344629,-20514.349270306688,-35205.125300851534,-35205.12530091904,-35205.125300926156,-22897980.026318222,-22897980.02761685,-22897980.027609777,-6671.787430330782,-6671.7874303244935,-6671.787430339435
-60,-46.220136733738016,-116371599.00737463,-14586.377632543445,-28274.145747467002,-18564796.98295047,-5588.330401001393,-60,127944970934233.8,54057.32518932192,127944970880176.47,2366838730.6648884,2.4733415863992305e+18,0.004096031188964844,0.002838030857674312,6.356276571750641e-07,0.002415429800748825,1.1987140169367194e-08,1.8989609884556558e-09,958116505.73703229,-0.0023646354675292969,0.0063943150605851691,0.010989220672872779,-60,-46.220136734121596,-46.220136733738016,-46.22013673563698,-116371599.00497624,-116371599.00737463,-116371599.00907227,-14586.377614092606,-14586.377632543445,-14586.380452123463,-28274.145748096053,-28274.145747467002,-28274.145747460425,-18564796.98536579,-18564796.98295047,-18564796.98295036,-5588.3304009894055,-5588.330401001393,-5588.330400995299
