voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-175.68430126906554420248695723369851912313428851086058723545766473213268887127348,-23267260.862178815494326811026505262616725290137210508061325995227968063376729347,13925.638298341693021031471176994725703884591809156744573333894053922122134703717,-346909122.20093368013248422357722590809869470413664413301949439697766584671925912,-9319987.4392429118695320101769190043760856896606554249183950315188711382856228629,-44056.362495020600804731216918704915914289912721156674542612415196157671652552368,-150,16459493294681006785.106034648908807188528293978967412040389340912268153154241561,5138.5607903974914772366351424600614073403190664486907761952941240003735437435021,16459493294681001646.545244251417329951893151518906004700070274463577376958947437,3203132932754073.4891024423362126186900450495694696886590450889884607081428893042,32918986589362013570.212069297817614377056587957934824080778681824536306308483121,8.1359616723833743926839743629070004279569616233281319672031305651764269659232593e-73,1.2270268283078186923748928726666807710641613317791068591841677890415535233933176e-73,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,1.7686873200833422592791248615015218321645568746365504276528544706905276012876651e-73,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1848903.2986446950354830632824838302437355300107610784382833988876716384050642763,9.681391825881015043265852405844465409573925902741015871149510693114862435169717e-73,5.8706709501948535906603197096106245500808524386471696830895530263900826140638055e-73,1.2240263853466694733629869899458794891636061017057058613413696161067139293821318e-72,-150,-175.68430126906554420248695723369851912313428851086058723545766473213268887127348,-175.68430126906554420248695723369851912313428851086058723545766473213268887127348,-175.68430126906554420248695723369851912313428851086058723545766473213268887127348,-23267260.862178815494326811026505262616725290137210508061325995227968063376729347,-23267260.862178815494326811026505262616725290137210508061325995227968063376729347,-23267260.862178815494326811026505262616725290137210508061325995227968063376729346,13925.638298341693021031471176994725703884591809156744573333894053922122134703703,13925.638298341693021031471176994725703884591809156744573333894053922122134703717,13925.638298341693021031471176994725703884591809156744573333894053922122134703594,-346909122.20093368013248422357722590809869470413664413301949439697766584671925912,-346909122.20093368013248422357722590809869470413664413301949439697766584671925912,-346909122.20093368013248422357722590809869470413664413301949439697766584671925912,-9319987.4392429118695320101769190043760856896606554249183950315188711382856228628,-9319987.4392429118695320101769190043760856896606554249183950315188711382856228629,-9319987.439242911869532010176919004376085689660655424918395031518871138285622863,-44056.362495020600804731216918704915914289912721156674542612415196157671652552368,-44056.362495020600804731216918704915914289912721156674542612415196157671652552368,-44056.362495020600804731216918704915914289912721156674542612415196157671652552368
-140,-140.60290541682212683674864952914748024410213906818181463940699306257076636421734,-19315939.901158649466907851123317940322931955786799200063373868731254976586255032,35520.013647943433309247708845004225196402866811957901187498135076103371189660951,-276991872.03516161229466808795387720719115211977613516680202534606338995459357925,-8027237.7114756835650737252979412009403420430151765059032409109709804805314053692,-35928.205993197514590148099431846904253112284195332593349374374115866007646436728,-140,10430520640105388842.57704293463207020408312067423647786721191459519362417014733,5443.2321975574636055360151059624108450840525269475730390508128056499642557149151,10430520640105383399.344845377168464668068014711825632783159387647620585119334524,1916236578109944.753966900687273803266143664803287373511982256012006874720565303,20861041280210777685.154085869264140408166241348472955734423829190387248340294659,2.3346672625100117822484448171820088184572150745202465645017679013114964336997179e-72,6.743120407817742363501663534474551985127373084551848505426507669507636479909223e-74,1.6979398272800085689079598670414609588779745996510884105467402918629064972361585e-72,3.9795464701875200833780309383784241223702529679322384622189225590536871028972464e-73,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,1827261.0132660745293872544296262077395102952989907612006780639586828767649250039,-2.044012938612936238039859846023091187673584722542433175253798968130587372257593e-72,1.1646304511359701636628237902813951462115697259930651168438496397705855167268925e-72,2.0919026081676153638784958448637190605395012267183479845628115964413698615783139e-72,-140,-140.60290541682212683674864952914748024410213906818181463940699306257076636421734,-140.60290541682212683674864952914748024410213906818181463940699306257076636421734,-140.60290541682212683674864952914748024410213906818181463940699306257076636421734,-19315939.901158649466907851123317940322931955786799200063373868731254976586255031,-19315939.901158649466907851123317940322931955786799200063373868731254976586255032,-19315939.901158649466907851123317940322931955786799200063373868731254976586255034,35520.013647943433309247708845004225196402866811957901187498135076103371189660992,35520.013647943433309247708845004225196402866811957901187498135076103371189660951,35520.013647943433309247708845004225196402866811957901187498135076103371189661018,-276991872.03516161229466808795387720719115211977613516680202534606338995459357926,-276991872.03516161229466808795387720719115211977613516680202534606338995459357925,-276991872.03516161229466808795387720719115211977613516680202534606338995459357925,-8027237.7114756835650737252979412009403420430151765059032409109709804805314053693,-8027237.7114756835650737252979412009403420430151765059032409109709804805314053692,-8027237.7114756835650737252979412009403420430151765059032409109709804805314053689,-35928.205993197514590148099431846904253112284195332593349374374115866007646436728,-35928.205993197514590148099431846904253112284195332593349374374115866007646436728,-35928.205993197514590148099431846904253112284195332593349374374115866007646436728
-130,-109.93578373967650475119055162638978938632543048059882976523138556600734229658956,-15685356.478156775164052175839435656550323664834405108075548921777807477033312645,50108.736264702489474732346724843809923303764320041465331166431009214132511898055,-216034304.62190010282849739617856936284935091542278235978051853348114060717083452,-6760941.6968924074109055534351619747338876809507691525571732371932587929728291668,-28193.7655971475609523662485132357637543103541561306540088098917774002131782059,-130,6623838398834796877.2254501053516641701397000484818529864941534071028668978542013,5765.9679363712132690761043191925981181074391746338805297424659862248451898168447,6623838398834791111.2575137341383950940353808558837348790549787732223371553882151,1148781691457597.7742802173314313551508154075926125685567419565790182818735285839,13247676797669593754.450900210703328340279400096963705972988306814205733795708403,4.9523244962333583259815496122042611300607592489823411974279925179334772836054622e-73,1.0363402266113333550463622235360479485339200437323537662028444164202310163794912e-74,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.3877278821125120500268185630270544734221517807593430773313535354322122617383478e-73,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,1809615.619345733532890052364924835985235325001981398121961536124794250040741459,-6.3566144536354305946170734721097120293809213507913301101734328562513090691813491e-73,4.0971195266442987328560107723222365747812126873018070945599682146857997482138459e-73,9.2159976575984017336874283478368008654337028363043615816667969430538260611134782e-73,-130,-109.93578373967650475119055162638978938632543048059882976523138556600734229658957,-109.93578373967650475119055162638978938632543048059882976523138556600734229658956,-109.93578373967650475119055162638978938632543048059882976523138556600734229658957,-15685356.478156775164052175839435656550323664834405108075548921777807477033312644,-15685356.478156775164052175839435656550323664834405108075548921777807477033312645,-15685356.478156775164052175839435656550323664834405108075548921777807477033312645,50108.736264702489474732346724843809923303764320041465331166431009214132511898045,50108.736264702489474732346724843809923303764320041465331166431009214132511898055,50108.736264702489474732346724843809923303764320041465331166431009214132511898046,-216034304.62190010282849739617856936284935091542278235978051853348114060717083452,-216034304.62190010282849739617856936284935091542278235978051853348114060717083452,-216034304.62190010282849739617856936284935091542278235978051853348114060717083452,-6760941.6968924074109055534351619747338876809507691525571732371932587929728291667,-6760941.6968924074109055534351619747338876809507691525571732371932587929728291668,-6760941.6968924074109055534351619747338876809507691525571732371932587929728291665,-28193.7655971475609523662485132357637543103541561306540088098917774002131782059,-28193.7655971475609523662485132357637543103541561306540088098917774002131782059,-28193.7655971475609523662485132357637543103541561306540088098917774002131782059
-120,-83.444271381120385385484809110680971079188029337971503289412882493842423832221353,-12396879.3125843642427648809582875459375059560936570042554230800122110927715036,57522.63658423016191605323286525231400117010867773221385445654477393631782195669,-163519043.06899837215721196550292058182721356973212356813385922696868026307060636,-5540358.3687583056744016270076091993135258146939505571467743751567000175099076742,-20939.032813515652756817433850642687837748662013880571328341581516583901411381444,-120,4223552994541232615.6407484692282405698311561210016439667102417768427371224112873,6107.8390626399378869021523745735173824646197587597047881296391501757981381645843,4223552994541226507.8016858292903536676787815474842615020904830171379489927721371,691497099256528.74432983177754505753664035740875376327452906794847368614529893777,8447105989082465231.2814969384564811396623122420032879334204835536854742448225746,5.8366681562750294556211120429550220461430376863006164112544197532787410842492947e-73,1.0460127353930391330267949376223843960535699641405224013540709643068198391990332e-73,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,7.4284867443500374889723244183063916950911388734735117961419887769002159254081933e-73,1.0363402266113333550463622235360479485339200437323537662028444164202310163794912e-76,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-79,1803058.8004810782445358299906548842589834842366211087608037542718477289815816538,2.7359523517292549602241936860830909504938440471974801432522100118309538534635053e-73,4.7900881760507181105745543298011161558090788472345286277786240312840182686649923e-73,1.079707536742892125179899269895812166018369205058386679727182177209652009157492e-72,-120,-83.444271381120385385484809110680971079188029337971503289412882493842423832221353,-83.444271381120385385484809110680971079188029337971503289412882493842423832221353,-83.444271381120385385484809110680971079188029337971503289412882493842423832221353,-12396879.3125843642427648809582875459375059560936570042554230800122110927715036,-12396879.3125843642427648809582875459375059560936570042554230800122110927715036,-12396879.3125843642427648809582875459375059560936570042554230800122110927715036,57522.636584230161916053232865252314001170108677732213854456544773936317821956669,57522.63658423016191605323286525231400117010867773221385445654477393631782195669,57522.636584230161916053232865252314001170108677732213854456544773936317821956774,-163519043.06899837215721196550292058182721356973212356813385922696868026307060636,-163519043.06899837215721196550292058182721356973212356813385922696868026307060636,-163519043.06899837215721196550292058182721356973212356813385922696868026307060636,-5540358.3687583056744016270076091993135258146939505571467743751567000175099076735,-5540358.3687583056744016270076091993135258146939505571467743751567000175099076742,-5540358.3687583056744016270076091993135258146939505571467743751567000175099076737,-20939.032813515652756817433850642687837748662013880571328341581516583901411381444,-20939.032813515652756817433850642687837748662013880571328341581516583901411381444,-20939.032813515652756817433850642687837748662013880571328341581516583901411381444
-110,-61.027774266933599357687912957793950511026373309848409610038047378372699453611759,-9491131.2995089467811556642425780180705971761250391600097955871297352565552898487,58645.667923858387772249540769847673641491677624883216195248892240313722837664317,-119199589.9135772106739703768396326090800848219704469645695976282070877998588897,-4396148.4708062356306787911803506611494551750262156942965078532815839048743041627,-14434.884781424637615459437056446355262207217032970885497270996921714011350569633,-110,2714070765894661616.5702191086220024990247892706654177280868703709717012797064765,6469.9801363426396395287256732143021338935987157319450813283623430385862440968908,2714070765894655146.5900827659823629702991160563632838344881546390266199513441335,419486723096630.05076362160655605392262059982644345132193358247376266299318776063,5428141531789323233.140438217244004998049578541330835456173740741943402559412953,1.061212392050005355567474916900913099298734124781930256591712682414316560772599e-73,1.893048147276702261884688328325847585988627279884432879597195800660955323253204e-74,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,9.7277802604583824260351867382583700769050628105010273520906995887979018070821578e-74,1.899957082120777817584997409816087905645520080175981904705214763437090196695734e-76,6.7470066836675348635830873928128121649343752847158448320497683360692123462206461e-80,1812071.4811582736458600653148344820088186308391471027217680457877207007681624131,-1.799205133463560447453617864657937733826719734000232806449852380290310108537316e-73,2.5550136297757265504435879440587141409418633895911952395206067363597006346518995e-73,7.2314597384436544963856324362324386606885702423474024005241910442152207204118465e-73,-110,-61.027774266933599357687912957793950511026373309848409610038047378372699453611759,-61.027774266933599357687912957793950511026373309848409610038047378372699453611759,-61.027774266933599357687912957793950511026373309848409610038047378372699453611759,-9491131.2995089467811556642425780180705971761250391600097955871297352565552898486,-9491131.2995089467811556642425780180705971761250391600097955871297352565552898487,-9491131.2995089467811556642425780180705971761250391600097955871297352565552898486,58645.667923858387772249540769847673641491677624883216195248892240313722837664312,58645.667923858387772249540769847673641491677624883216195248892240313722837664317,58645.667923858387772249540769847673641491677624883216195248892240313722837664299,-119199589.9135772106739703768396326090800848219704469645695976282070877998588897,-119199589.9135772106739703768396326090800848219704469645695976282070877998588897,-119199589.9135772106739703768396326090800848219704469645695976282070877998588897,-4396148.4708062356306787911803506611494551750262156942965078532815839048743041626,-4396148.4708062356306787911803506611494551750262156942965078532815839048743041627,-4396148.4708062356306787911803506611494551750262156942965078532815839048743041626,-14434.884781424637615459437056446355262207217032970885497270996921714011350569633,-14434.884781424637615459437056446355262207217032970885497270996921714011350569633,-14434.884781424637615459437056446355262207217032970885497270996921714011350569633
-100,-42.645520195619870184009447691244359382525555008257497634996377410533953615818112,-7015538.4896162268040396431148679907682238031737642986858034288910281354578033161,55180.58124361632095330618253662873634240635597765655713585918852602776491145683,-82947180.533131129724740708908851215521762731890207486675957051300731977569923155,-3366135.4771019953856404831026394394128785628968967052809811377693642776414602048,-9087.780922277789638737105161075001522249682764012076385249057485534316002349422,-100,1769743693260097463.8341606338856651328897596557374552289098203330254652843568733,6853.5929868746847234771623652209288136202443806522555632832046632972362574379217,1769743693260090610.24117375920094165572739443480864160866543968076990200115221,258221300367461.77403163550620278306124438459394513082385123978219754677959843036,3539487386520194927.6683212677713302657795193114749104578196406660509305687137466,7.6053554763583717149002369044565438783075945609371668389072742239692686855369598e-73,4.1315430367571823087848307311637111548218945743463170145953397401286543186329051e-74,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,3.2720715421541831796663809937778153895044302180776182911577807707774760623821804e-73,1.5545103399170000325695433353040719228008800655985306493042666246303465245692369e-76,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,1837492.3376493403437229927838914368099458668732771647998853123291757917163940763,-4.3587404852300252717949950173097997291247131257589926049277547880964375800968063e-73,3.7671218761518869003099169285370990637936722199814217810753513084488572283879097e-73,8.114953885751304391977320061999107637348968720015696952487043011583290536757071e-73,-100,-42.645520195619870184009447691244359382525555008257497634996377410533953615818112,-42.645520195619870184009447691244359382525555008257497634996377410533953615818112,-42.645520195619870184009447691244359382525555008257497634996377410533953615818112,-7015538.4896162268040396431148679907682238031737642986858034288910281354578033158,-7015538.4896162268040396431148679907682238031737642986858034288910281354578033161,-7015538.4896162268040396431148679907682238031737642986858034288910281354578033166,55180.581243616320953306182536628736342406355977656557135859188526027764911456822,55180.58124361632095330618253662873634240635597765655713585918852602776491145683,55180.581243616320953306182536628736342406355977656557135859188526027764911456788,-82947180.533131129724740708908851215521762731890207486675957051300731977569923155,-82947180.533131129724740708908851215521762731890207486675957051300731977569923155,-82947180.533131129724740708908851215521762731890207486675957051300731977569923155,-3366135.4771019953856404831026394394128785628968967052809811377693642776414602051,-3366135.4771019953856404831026394394128785628968967052809811377693642776414602048,-3366135.4771019953856404831026394394128785628968967052809811377693642776414602049,-9087.780922277789638737105161075001522249682764012076385249057485534316002349422,-9087.780922277789638737105161075001522249682764012076385249057485534316002349422,-9087.7809222777896387371051610750015222496827640120763852490574855343160023494218
-90,-28.19428418795923692371249550645643238064404521902334220999048837303495598687682,-5001002.7609886808435647706906578463546068172020871148215547793045612446955941793,49127.897064850322143733725724125984192321152687251601574591507826304233721886107,-54515524.270528854260526111907971874103525618203875948651485778772067856079879984,-2484421.7070445144214740822719573322250288318257223085945736490366592422060410296,-5205.588525449491312144721915735458160036877749354572547414574835530921218390189,-90,1185108707106942247.513682228061898930886726879311356051058490530540466000763695,7259.9507015318470951430354194450492642897691613581267880179352478677474160305171,1185108707106934987.5629806962148037878513074342620917612893291724136779828284471,163239222389882.71902209094021709915074014338834467211083009627075376426857743949,2370217414213884495.0273644561237978617734537586227121021169810610809320015273899,4.0679808361916871963419871814535002139784808116640659836015652825882134829616296e-73,5.2231547421211201094336656066216816606109570204110629816623358587579643225526359e-74,0.0,4.4659354832104392046797902752913426262155061084572898298234575384935821932513543e-73,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,1877390.0595981582364475022847905236338808244664422331848131169942743771140571761,3.4391457271012449147020153661253029994304252651363559508013837670138042015368851e-73,2.7559901384502904485450996459891487846140929835867916485099553116932013002776057e-73,6.3595906095955236380132745009143124716056195850430472661750369825752807034794913e-73,-90,-28.19428418795923692371249550645643238064404521902334220999048837303495598687682,-28.19428418795923692371249550645643238064404521902334220999048837303495598687682,-28.19428418795923692371249550645643238064404521902334220999048837303495598687682,-5001002.7609886808435647706906578463546068172020871148215547793045612446955941795,-5001002.7609886808435647706906578463546068172020871148215547793045612446955941793,-5001002.760988680843564770690657846354606817202087114821554779304561244695594179,49127.897064850322143733725724125984192321152687251601574591507826304233721886091,49127.897064850322143733725724125984192321152687251601574591507826304233721886107,49127.897064850322143733725724125984192321152687251601574591507826304233721886054,-54515524.270528854260526111907971874103525618203875948651485778772067856079879984,-54515524.270528854260526111907971874103525618203875948651485778772067856079879984,-54515524.270528854260526111907971874103525618203875948651485778772067856079879984,-2484421.7070445144214740822719573322250288318257223085945736490366592422060410298,-2484421.7070445144214740822719573322250288318257223085945736490366592422060410296,-2484421.7070445144214740822719573322250288318257223085945736490366592422060410301,-5205.588525449491312144721915735458160036877749354572547414574835530921218390189,-5205.588525449491312144721915735458160036877749354572547414574835530921218390189,-5205.588525449491312144721915735458160036877749354572547414574835530921218390189
-80,-17.429661175923720202186890081123886045395773862880443339429571763587828179929899,-3442371.8250825333153694593073627251255964754908088570168445048022330490816272692,42249.688976658359211961375072927758557294625506062054108141668431388718363499946,-33393799.868320417084701989613544765310345011397868249784767670005226014813758918,-1769978.3255322582936301683953043660156309712923106225819828240444030383271744675,-2755.6144702776669667926286544569355107776463642842585621193834969606982212788521,-80,830797742871490629.00773199061797799495601721886456076812613194348316942695306994,7690.4018504763425074054567309451467841076913171703964326970158339711746380746679,830797742871482938.60588151427547058949928627371777666043481477308673672993723597,108030472142366.80272192039546262972178804132217488883890656670940767566143628716,1661595485742981258.0154639812359559899120344377291215362522638869663388539061399,5.3060619602500267778373745845045654964936706239096512829585634120715828038629952e-74,6.6394863851566090279970273121209471902739810801786131288062232278656133782712739e-74,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-74,1.7686873200833422592791248615015218321645568746365504276528544706905276012876651e-73,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,3.3735033418337674317915436964064060824671876423579224160248841680346061731103231e-80,1928387.4615063197308443897506345029489105943520737214330757952190335753821746908,-1.328608729868141310511795709118019059695591670825299525003643094677278675829021e-73,1.4985691631444642852082784247608051339258528888278956260668979311841464458605363e-73,3.5552840865887526202726207698242101467661444075735827482189634215890847695123717e-73,-80,-17.429661175923720202186890081123886045395773862880443339429571763587828179929899,-17.429661175923720202186890081123886045395773862880443339429571763587828179929899,-17.429661175923720202186890081123886045395773862880443339429571763587828179929899,-3442371.8250825333153694593073627251255964754908088570168445048022330490816272693,-3442371.8250825333153694593073627251255964754908088570168445048022330490816272692,-3442371.8250825333153694593073627251255964754908088570168445048022330490816272692,42249.688976658359211961375072927758557294625506062054108141668431388718363499954,42249.688976658359211961375072927758557294625506062054108141668431388718363499946,42249.688976658359211961375072927758557294625506062054108141668431388718363499888,-33393799.868320417084701989613544765310345011397868249784767670005226014813758918,-33393799.868320417084701989613544765310345011397868249784767670005226014813758918,-33393799.868320417084701989613544765310345011397868249784767670005226014813758918,-1769978.3255322582936301683953043660156309712923106225819828240444030383271744673,-1769978.3255322582936301683953043660156309712923106225819828240444030383271744675,-1769978.3255322582936301683953043660156309712923106225819828240444030383271744673,-2755.6144702776669667926286544569355107776463642842585621193834969606982212788521,-2755.6144702776669667926286544569355107776463642842585621193834969606982212788521,-2755.6144702776669667926286544569355107776463642842585621193834969606982212788521
-70,-9.960332785009425538303499549172362710601891851593754945230999580813552282536326,-2295119.7978453905467507338158648612490603533095813900141818429846140914982399523,35773.443434340616637587023673855580710459159882148081867302095718181588619716908,-18798492.118237296565672337981990114819528963314581640919297365332200885577132046,-1221636.3201728693646456040400743367098812025289448974408360368695316443292245553,-1391.5633626884457778079714882616076969721602126607241950343505647436919172638698,-70,625683762484127221.0046345986239189161540821326499789832982587260929176935311493,8146.3749622061412890501463362036467533119633446756748698259737408776852515263328,625683762484119074.62967239248262986600774592900322567133491405041804786755740842,76805175969298.146704261678454846286596890603232373688976577897313929443104181892,1251367524968254442.0092691972478378323081642652999579665965174521858353870622986,4.9081073132312747694995714906667230842566453271164274367366711561662140935732705e-73,9.9281393709365735413441501014753393469549540189559490802232495093058131369155261e-74,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-74,2.4761622481166791629907748061021305650303796244911705987139962589667386418027311e-73,2.5908505665283333876159055588401198713348001093308844155071110410505775409487281e-77,1.1807261696418186011270402937422421288635156748252728456087094588121121605886131e-79,1985996.9618415191667764321404713098045860381074559276468026545880123971177749955,-2.4594736000464305109748856769448998654389758688401361646652922734543137195135274e-73,1.727563328315823152862268663838475320125960748041442025311031763870809622418777e-73,3.9727830479019675390877680660221950405609639246334357406304609502979796011126662e-73,-70,-9.9603327850094255383034995491723627106018918515937549452309995808135522825363259,-9.960332785009425538303499549172362710601891851593754945230999580813552282536326,-9.9603327850094255383034995491723627106018918515937549452309995808135522825363261,-2295119.797845390546750733815864861249060353309581390014181842984614091498239952,-2295119.7978453905467507338158648612490603533095813900141818429846140914982399523,-2295119.7978453905467507338158648612490603533095813900141818429846140914982399525,35773.443434340616637587023673855580710459159882148081867302095718181588619716913,35773.443434340616637587023673855580710459159882148081867302095718181588619716908,35773.443434340616637587023673855580710459159882148081867302095718181588619717007,-18798492.118237296565672337981990114819528963314581640919297365332200885577132046,-18798492.118237296565672337981990114819528963314581640919297365332200885577132046,-18798492.118237296565672337981990114819528963314581640919297365332200885577132046,-1221636.3201728693646456040400743367098812025289448974408360368695316443292245556,-1221636.3201728693646456040400743367098812025289448974408360368695316443292245553,-1221636.3201728693646456040400743367098812025289448974408360368695316443292245553,-1391.5633626884457778079714882616076969721602126607241950343505647436919172638698,-1391.5633626884457778079714882616076969721602126607241950343505647436919172638698,-1391.5633626884457778079714882616076969721602126607241950343505647436919172638698
-60,-5.2496826794530739527763148326712452478224045337011947899451418822925056391668865,-1487900.8948764232642334589352475432620900648944348764944966728201075045549656248,30399.895029756913982025196969184273716243754048900591832218267580619093080728854,-9667172.4672528747519358602463696826980409476674353587410409522213627403947685799,-821249.39528125133028412852740704790106551627197053119149136519520691606938980719,-693.05565744986601424708912382332779072237260283239306193626314222326775089015636,-60,519298226774527638.24721991355483033516606096575273916194296047842313338290121913,8629.3832643802055074586379826913803263108895893102047509829928805226892573169633,519298226774519008.86395553334932287652807827437241285105337116821838239990833861,60177907373526.023798642296490586231296761316121415289368934687454224229932585522,1038596453549055276.4944398271096606703321219315054783238859209568462667658024383,5.0407588622375254389455058552793372216689870927141687188106352414680036636698454e-73,2.5010344135553511635118874994669957157951937055407470891028645249608241861958389e-74,1.7686873200833422592791248615015218321645568746365504276528544706905276012876651e-74,2.840954007883868503967094308786819442914319479884959124417397493546659959568312e-73,7.340743271830277931578399083380339635448600309770839177270147949643303032688063e-77,1.2650637531876627869218288861524022809251953658842209060093315630129773149163712e-79,2043374.4915175296237095382677855164095256308225671605353596445719594913050510249,-3.2132034508342822480157203094401029151893258701062852334760990013545472141710019e-73,2.6121153218554073651671102276056264232727351709797292472836690882196582157749162e-73,4.5004627092942671826930173115843819786127582608774001861500534611359000725037397e-73,-60,-5.2496826794530739527763148326712452478224045337011947899451418822925056391668865,-5.2496826794530739527763148326712452478224045337011947899451418822925056391668865,-5.2496826794530739527763148326712452478224045337011947899451418822925056391668866,-1487900.8948764232642334589352475432620900648944348764944966728201075045549656247,-1487900.8948764232642334589352475432620900648944348764944966728201075045549656248,-1487900.8948764232642334589352475432620900648944348764944966728201075045549656252,30399.895029756913982025196969184273716243754048900591832218267580619093080728853,30399.895029756913982025196969184273716243754048900591832218267580619093080728854,30399.895029756913982025196969184273716243754048900591832218267580619093080728878,-9667172.4672528747519358602463696826980409476674353587410409522213627403947685799,-9667172.4672528747519358602463696826980409476674353587410409522213627403947685799,-9667172.4672528747519358602463696826980409476674353587410409522213627403947685799,-821249.39528125133028412852740704790106551627197053119149136519520691606938980713,-821249.39528125133028412852740704790106551627197053119149136519520691606938980719,-821249.3952812513302841285274070479010655162719705311914913651952069160693898069,-693.05565744986601424708912382332779072237260283239306193626314222326775089015637,-693.05565744986601424708912382332779072237260283239306193626314222326775089015636,-693.05565744986601424708912382332779072237260283239306193626314222326775089015629
