voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-175.68485519971796,-23267334.37259056,13928.333482668939,-346910212.78093904,-9320016.282854348,-44062.78006028732,-150,1.6459493294681004e+19,5138.5607903974915,1.6459493294680998e+19,3203132932754073.0,7.2811186795453788e+18,13.903038714081049,7.203760682576103,14.535607039928436,2.7058708779513836,6.069847550948907,3.549508875266838e-06,872880.33273303777,10200.872414666845,21.322857781557584,45.345988187826627,-150,-175.6848535435913,-175.68485519971796,-175.68485165020908,-23267335.369416054,-23267334.37259056,-23267348.275629275,13922.861344129808,13928.333482668939,13930.065104812384,-346910210.5670051,-346910212.78093904,-346910198.245332,-9320017.260692127,-9320016.282854348,-9320014.55482125,-44056.71021273637,-44062.78006028732,-44061.331892438924
-140,-140.60299229758246,-19315953.727483843,35520.60104433284,-276992038.42686796,-8027243.563190609,-35933.32337109728,-140,1.0430520640105388e+19,5443.2321975574632,1.0430520640105382e+19,1916236578109944.7,1.0414812918370556e+20,12.726220700889826,1.3282679285912309,8.122974812984467,0.1861663404852152,5.147864617953019,7.495164595638926e-07,870665.40292344324,6489.581034763245,16.091703615987367,28.402411494782434,-140,-140.60299285088036,-140.60299229758246,-140.6029921013639,-19315953.682770982,-19315953.727483843,-19315941.00126314,35519.35671121217,35520.60104433284,35520.68497914076,-276992042.67616963,-276992038.42686796,-276992046.5498428,-8027243.377024269,-8027243.563190609,-8027243.472929402,-35928.19194528006,-35933.32337109728,-35933.33980989801
-130,-109.93575669784487,-15685353.800133215,50108.60615292366,-216034250.1319218,-6760940.8464919925,-28194.138508854034,-130,6.6238383988347955e+18,5765.967936371213,6.6238383988347894e+18,1148781691457597.5,7.8687542194147021e+18,1.230589957907796,0.9538720997079508,7.057441353797913,1.25147873070091,1.306149683536205,2.81401078439103e-06,869522.92247806315,4126.4969046766746,5.1121648721099016,13.207413492946298,-130,-109.93575808960222,-109.93575669784487,-109.93575527559143,-15685353.175011424,-15685353.800133215,-15685352.569543257,50108.926085472296,50108.60615292366,50107.97221337259,-216034254.1793795,-216034250.1319218,-216034247.12193814,-6760940.241387264,-6760940.8464919925,-6760941.492865995,-28193.498774673644,-28194.138508854034,-28194.80492435718
-120,-83.44428246793036,-12396880.801486209,57522.74177310651,-163519064.9018453,-5540359.198797941,-20939.035243315022,-120,4.2235529945412321e+18,6107.8390626399378,4.223552994541226e+18,691497099256528.62,4.0270395117075735e+19,2.8450588192790747,0.3209668257040903,4.639100074768066,0.017197891138494015,0.0542679142599809,3.174601943101152e-06,872491.06824200938,2625.9117302733166,5.3975084105561741,11.847968194665997,-120,-83.4442835865802,-83.44428246793036,-83.44428041197826,-12396881.134535974,-12396880.801486209,-12396878.289477155,57522.500144234975,57522.74177310651,57522.82111106068,-163519066.94830686,-163519064.9018453,-163519062.30920678,-5540359.18160005,-5540359.198797941,-5540359.184957422,-20939.011702164396,-20939.035243315022,-20939.065970078656
-110,-61.02774523361859,-9491128.404167231,58645.458540798034,-119199531.11148565,-4396147.495700359,-14435.750282284374,-110,2.7140707658946616e+18,6469.9801363426386,2.714070765894655e+18,419486723096630.12,3.0179646943822121e+18,1.298480374738574,1.3341197710979031,7.337140321731567,1.5297452304512262,1.8897912602824363,2.0459162257679964e-06,881790.00267319754,1676.4143982939615,4.4204642860002945,9.1477498256523777,-110,-61.027746254371145,-61.02774523361859,-61.02774420845492,-9491127.745114239,-9491128.404167231,-9491129.043594614,58646.05029514847,58645.458540798034,58644.71617537737,-119199534.87039573,-119199531.11148565,-119199527.53325541,-4396146.722582277,-4396147.495700359,-4396148.252327507,-14434.639275769438,-14435.750282284374,-14436.52906702972
-100,-42.64550355846024,-7015535.859961476,55180.37342874518,-82947148.83361769,-3366134.653835535,-9086.34135691031,-100,1.7697436932600973e+18,6853.5929868746844,1.7697436932600904e+18,258221300367461.75,2.3085864940725084e+18,1.401778232306242,1.2328625711234054,9.57104380428791,1.2559982645325363,1.1393826856874512,4.681027050423836e-06,898260.58338471758,1078.6057118504903,8.4579669746963582,20.647750206892642,-100,-42.64550563491677,-42.64550355846024,-42.64550095388972,-7015535.488486004,-7015535.859961476,-7015534.458183244,55181.03656990254,55180.37342874518,55179.80370733142,-82947153.05744572,-82947148.83361769,-82947143.48640192,-3366134.0713294586,-3366134.653835535,-3366135.327327723,-9087.480739595998,-9086.34135691031,-9087.013230537812
-90,-28.19428809540534,-5001002.811313137,49127.91214756076,-54515532.79257748,-2484421.84277156,-5204.890330553713,-90,1.185108707106942e+18,7259.9507015318468,1.1851087071069348e+18,163239222389882.69,1.5139475650854773e+19,2.7469794303178787,0.22929319698596373,5.1934012696146965,0.15499987034127116,0.7918010919593144,2.004439359382104e-06,921705.43694595282,705.72643229385062,6.3823810801075815,13.10289866703836,-90,-28.194288775586294,-28.19428809540534,-28.194286771146935,-5001003.040295971,-5001002.811313137,-5001005.558292568,49127.8526378129,49127.91214756076,49128.08193100989,-54515533.5289154,-54515532.79257748,-54515528.33551413,-2484421.9254425038,-2484421.84277156,-2484421.7704426334,-5205.608662337676,-5204.890330553713,-5204.816861245717
-80,-17.42966007577067,-3442371.829990931,42249.68234036683,-33393797.31853731,-1769978.292526111,-2756.0137353123787,-80,8.3079774287149056e+17,7690.4018504763417,8.3079774287148288e+17,108030472142366.81,6.2693512983434396e+19,0.7294534859247506,0.10680027518537827,5.02968367561698,0.07060888782143593,0.397613804469529,2.8060459413836725e-06,951604.0931483598,478.19513557297449,5.1201508299751577,10.547591478727611,-80,-17.429658917568048,-17.42966007577067,-17.42966172361399,-3442371.7325238916,-3442371.829990931,-3442372.4619773775,42249.69866420541,42249.68234036683,42249.591863930225,-33393795.266628116,-33393797.31853731,-33393800.296311792,-1769978.2250099678,-1769978.292526111,-1769978.2956188556,-2755.616121507909,-2756.0137353123787,-2756.011384063917
-70,-9.960334863016456,-2295119.8296392076,35773.45823377074,-18798496.68639484,-1221636.428318411,-1391.118324394518,-70,6.2568376248412723e+17,8146.3749622061414,6.2568376248411904e+17,76805175969298.141,8.0443970435612221e+18,0.08604777418076992,0.11041816818033112,3.338364500552416,0.11274896329268813,0.5474900705935397,1.3702849148700125e-06,987611.68057410547,346.9720687755925,2.4695916123071888,4.7194546904243664,-70,-9.960334257302131,-9.960334863016456,-9.960335627587046,-2295119.9156869818,-2295119.8296392076,-2295119.844008237,35773.392647879846,35773.45823377074,35773.503066048026,-18798495.01365289,-18798496.68639484,-18798498.35201739,-1221636.470021936,-1221636.428318411,-1221636.3572729728,-1391.5972506809899,-1391.118324394518,-1391.0497606103963
-60,-5.249682084098174,-1487900.8136914931,30399.880259909052,-9667171.386674602,-821249.3850946575,-692.8972568006466,-60,5.1929822677452755e+17,8629.3832643802052,5.1929822677451891e+17,60177907373526.016,4.7015671744994222e+18,0.16681905277073383,0.1771050617135188,0.9856951739639044,0.20132324018049985,0.10374691958531912,3.6068239328557183e-07,1029545.4826754907,282.52044705722034,0.90022517475223263,2.0120109907030699,-60,-5.249682374361872,-5.249682084098174,-5.249682013679479,-1487900.6954347473,-1487900.8136914931,-1487900.8622538,30399.97226532549,30399.880259909052,30399.795160263777,-9667172.063263563,-9667171.386674602,-9667171.07756839,-821249.2882361026,-821249.3850946575,-821249.4895593427,-693.0010037202319,-692.8972568006466,-692.9977879569378
