voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-183.94777680434842,-433831532.84760785,-160354.94871439278,-189739.62741149368,-93295288.3432631,-18571.944688825155,-150,195003391967423.53,4707.9146526019149,195003391962715.62,41420332855.790268,1.2125844059960224e+19,2.5987625122070312e-05,0.00020581655553542078,2.0960462279617786e-05,0.0003746449947357178,3.8006302929716185e-05,2.8489921533036977e-10,10948787.148225401,0.12243716491504548,0.00086457151109643488,0.0018233329223793504,-150,-183.9477768043401,-183.94777680434842,-183.947776804625,-433831532.84763384,-433831532.84760785,-433831532.8476238,-160354.94871506182,-160354.94871439278,-160354.94892020934,-189739.6274055168,-189739.62741149368,-189739.62742647727,-93295288.34323722,-93295288.3432631,-93295288.34361187,-18571.944666623447,-18571.944688825155,-18571.94470462975
-140,-160.83288009479733,-382012969.44479257,-131693.86512984562,-155545.76874484395,-79785750.92573911,-16743.358559651882,-140,185913478792644.19,6174.6059151543568,185913478786469.59,30109367520.339409,1.4002718154627129e+19,1.4483928680419922e-05,6.311561446636915e-05,4.738889401778579e-05,5.315244197845459e-05,1.9197123037884012e-05,3.842615114990622e-11,9835447.3487102836,0.1167155010804283,0.00020113735093240482,0.00056260371418304089,-140,-160.83288009479932,-160.83288009479733,-160.83288009483576,-382012969.444784,-382012969.44479257,-382012969.4447781,-131693.8651701735,-131693.86512984562,-131693.86519296124,-155545.76869745506,-155545.76874484395,-155545.7687281391,-79785750.92571887,-79785750.92573911,-79785750.92577203,-16743.35857628231,-16743.358559651882,-16743.358557085186
-130,-139.99041324609686,-334834157.6488244,-106562.18091494127,-126917.30769754887,-67905948.42749493,-15008.641189710677,-130,177263815687237.87,8098.2262892952513,177263815679139.66,21889214916.302898,1.0747164765442015e+19,2.282857894897461e-05,0.0006949017551960424,4.4482891098596156e-05,0.00022487342357635498,1.7001988453557715e-05,4.4795456233259756e-10,8819421.1154009793,0.11126615307428073,0.0011628984205185723,0.0023254499671256923,-130,-139.9904132460485,-139.99041324609686,-139.99041324649644,-334834157.6488159,-334834157.6488244,-334834157.6488387,-106562.18081401155,-106562.18091494127,-106562.1815089133,-126917.30774203176,-126917.30769754887,-126917.30771620711,-67905948.42748861,-67905948.42749493,-67905948.42771348,-15008.641182276991,-15008.641189710677,-15008.64119927898
-120,-121.29668043244898,-292129696.4355261,-84822.36126318361,-103128.32616700437,-57509148.12180677,-13372.799569696492,-120,169037895025008.37,10621.126260329653,169037895014387.25,15915251441.494667,6.2045105824602778e+18,2.014636993408203e-05,0.00041043969395104796,7.688971527386457e-05,0.00022604316473007202,3.6594010452972725e-05,8.952838470577262e-11,7895354.0384456562,0.10607795366704359,0.00064323797024489469,0.0014700623744117181,-120,-121.29668043243556,-121.29668043244898,-121.2966804325251,-292129696.4355076,-292129696.4355261,-292129696.4355059,-84822.3612686278,-84822.36126318361,-84822.36167362331,-103128.32609011466,-103128.32616700437,-103128.32614795421,-57509148.121805385,-57509148.12180677,-57509148.12158073,-13372.79958754803,-13372.799569696492,-13372.79955095402
-110,-104.61617041345554,-253693665.10851076,-66328.48069269586,-83503.89763534402,-48451037.90558333,-11838.346087705086,-110,161221177856779.78,13930.003806757206,161221177842849.78,11573663589.278715,6.8596211288079596e+18,4.112720489501953e-05,0.0001362751063425094,8.581399742979556e-05,0.00016278773546218872,3.3461503335274756e-05,2.3860025066824164e-11,7058739.2950862721,0.10114023069211685,0.0011026320083794665,0.0026496581154491494,-110,-104.61617041345292,-104.61617041345554,-104.61617041347678,-253693665.10846964,-253693665.10851076,-253693665.10848844,-66328.48077532167,-66328.48069269586,-66328.48063904657,-83503.89754953003,-83503.89763534402,-83503.89761477802,-48451037.90554561,-48451037.90558333,-48451037.905708395,-11838.346104745637,-11838.346087705086,-11838.346071284133
-100,-89.80441061307195,-219285921.1721438,-50904.356470546336,-67427.57987064258,-40591485.70196535,-10405.17563987447,-100,153801347830462.41,18269.720300853263,153801347812192.69,8418374517.932785,5.6866827575444081e+18,9.15825366973877e-05,0.00015039571007946506,5.996227264404297e-05,5.866587162017822e-05,1.832732232287526e-05,3.1036506698001176e-11,6305930.2609674782,0.096443362139057257,0.0010717215998824654,0.0024198858899904252,-100,-89.80441061309793,-89.80441061307195,-89.80441061310299,-219285921.17205837,-219285921.1721438,-219285921.17214996,-50904.356620942046,-50904.356470546336,-50904.356587961294,-67427.57981421193,-67427.57987064258,-67427.5798741742,-40591485.70195035,-40591485.70196535,-40591485.70190668,-10405.175623210293,-10405.17563987447,-10405.175641537615
-90,-76.71115231031786,-188639590.12180555,-38324.48605009611,-54343.642828864715,-33796192.1391306,-9070.497180651462,-90,146768653496197.28,23961.420578327296,146768653472235.87,6125206684.4879417,3.6024271342423527e+19,8.344650268554688e-06,0.0010524130775593221,8.997227996587753e-05,0.00012288987636566162,1.3618009688798338e-06,4.6058801217441214e-10,5634205.1450509615,0.09197909102221094,0.0012168029349006171,0.0022223306534332465,-90,-76.7111523102484,-76.71115231031786,-76.71115231070898,-188639590.1218121,-188639590.12180555,-188639590.12180376,-38324.485936450976,-38324.48605009611,-38324.48698886405,-54343.642917349,-54343.642828864715,-54343.64282737672,-33796192.13906631,-33796192.1391306,-33796192.13900771,-9070.497179289661,-9070.497180651462,-9070.497179518396
-80,-65.18363350169304,-161469221.44954255,-28305.727464401483,-43753.471942669275,-27938051.8882056,-7828.7950273895485,-80,140116363905723.42,31426.298086494073,140116363874297.12,4458570446.9576244,5.5092847187591209e+18,8.574128150939941e-05,0.000491303904709639,0.00013952911831438541,0.00015692412853240967,7.07851477272925e-05,2.7630164822767256e-10,5041913.0109801702,0.087740136057488372,0.00040656188551802463,0.0010978277340738529,-80,-65.18363350174607,-65.18363350169304,-65.18363350146977,-161469221.4496283,-161469221.44954255,-161469221.44957143,-28305.727609868252,-28305.727464401483,-28305.727118564348,-43753.47183175874,-43753.471942669275,-43753.47197128786,-27938051.888164476,-27938051.8882056,-27938051.888048675,-7828.7949848159,-7828.7950273895485,-7828.795055601047
-70,-55.06965560074035,-137479146.4544466,-20514.345851007965,-35205.12543180425,-22897980.02641341,-6671.7873358475,-70,133841369663553.31,41216.763763766983,133841369622336.55,3247255665.9387989,2.989795891303572e+18,0.0002014636993408203,0.0009921261880663224,0.00012820112169720232,0.000861581414937973,0.00016191790837183362,9.541167855786625e-11,4528744.6435102662,0.083720714790639292,0.00082216204709287678,0.0024303255747257779,-70,-55.06965560077194,-55.06965560074035,-55.06965560083576,-137479146.45424515,-137479146.4544466,-137479146.45440277,-20514.345926529535,-20514.345851007965,-20514.346843134153,-35205.12530360313,-35205.12543180425,-35205.12538358476,-22897980.0265435,-22897980.02641341,-22897980.02568192,-6671.787447314447,-6671.7873358475,-6671.787285396538
-60,-46.2201367348837,-116371599.00667915,-14586.377750538231,-28274.14583370251,-18564796.985679734,-5588.330315586316,-60,127944970934233.8,54057.32518932192,127944970880176.47,2366838730.6648884,2.4733415863992305e+18,0.0002525448799133301,0.001014581968775019,6.940889579709619e-05,7.668882608413696e-05,0.00016183080606424483,5.618332465928688e-10,4096190.8696195143,0.079916810281333253,0.0013464488707892958,0.0028686882448902828,-60,-46.22013673486438,-46.2201367348837,-46.22013673432187,-116371599.00687358,-116371599.00667915,-116371599.00662103,-14586.37763249749,-14586.377750538231,-14586.376735956263,-28274.145764293615,-28274.14583370251,-28274.14577184012,-18564796.985615544,-18564796.985679734,-18564796.985603046,-5588.330422272037,-5588.330315586316,-5588.330260441231
