"{'distance': [0.167, 0.333, 0.5, 0.667, 0.833], 'solute_6': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_5': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_4': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_5e': '1.0 mM', 'solute_6e': '1.0 mM', 'solute_6i': '1.0 mM', 'solute_5i': '1.0 mM', 'solute_4i': '1.0 mM', 'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_4e': '1.0 mM'}"
voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-0.087049026341433684137942682602056454486404244995670901207697552413245151188388817,-14781.811753063535548596915349362124884444429295253774469533820636344534891114014,-83171.959647223630204617349283687170691211625576039698471833621153755781571414709,-14781.811753063535548596915349362124884444429295253774469533820636344534891114014,-83171.959647223630204617349283687170691211625576039698471833621153755781571414709,-14781.811753063535548596915349362124884444429295253774469533820636344534891114014,-83171.959647223630204617349283687170691211625576039698471833621153755781571414709
-140,-0.074518840525777573324245836821521735695911583538601540431139263133837771014015251,-12427.807394389118818201134637760685019159707318080139094883284491182426176398739,-71312.979912644784213840572351868586683346403548948687524307415783235742118212368,-12427.807394389118818201134637760685019159707318080139094883284491182426176398739,-71312.979912644784213840572351868586683346403548948687524307415783235742118212368,-12427.807394389118818201134637760685019159707318080139094883284491182426176398739,-71312.979912644784213840572351868586683346403548948687524307415783235742118212368
-130,-0.063180039634650989370992036932312653258963457592861003996084960993801894400946334,-10447.205579353922096708261082004400160375089571114432734576639962144004626457307,-60506.775523526318772768322347314163519040720651772369712454908017950686124965205,-10447.205579353922096708261082004400160375089571114432734576639962144004626457307,-60506.775523526318772768322347314163519040720651772369712454908017950686124965205,-10447.205579353922096708261082004400160375089571114432734576639962144004626457307,-60506.775523526318772768322347314163519040720651772369712454908017950686124965205
-120,-0.05289271738792541610556936065976435012840096086899093016314091129861198657523676,-8810.3720374946323419823090454058601765558483946156109007090329955372568504046012,-50622.609848840510273793312613119395260850528018280266514916947903829599072963083,-8810.3720374946323419823090454058601765558483946156109007090329955372568504046016,-50622.609848840510273793312613119395260850528018280266514916947903829599072963083,-8810.3720374946323419823090454058601765558483946156109007090329955372568504046016,-50622.609848840510273793312613119395260850528018280266514916947903829599072963083
-110,-0.04360517314985061666721065385711660071324794994274111707514234432622302111154912,-7473.1793056795032260884360755326387603209578342595225447696462815628233646471288,-41628.759025739751998048939487869259049146538636680110819320029615436580640861347,-7473.1793056795032260884360755326387603209578342595225447696462815628233646471286,-41628.759025739751998048939487869259049146538636680110819320029615436580640861347,-7473.1793056795032260884360755326387603209578342595225447696462815628233646471286,-41628.759025739751998048939487869259049146538636680110819320029615436580640861347
-100,-0.035326934900527867952764569595552678677235284705364764818341278299666531081618129,-6380.9212016655296882473009428608631912177788529047286502242418204471824891544438,-33562.488733882039294620451921478983966425171381561891884938720818651301184422437,-6380.9212016655296882473009428608631912177788529047286502242418204471824891544441,-33562.488733882039294620451921478983966425171381561891884938720818651301184422437,-6380.9212016655296882473009428608631912177788529047286502242418204471824891544441,-33562.488733882039294620451921478983966425171381561891884938720818651301184422437
-90,-0.028089950414812923904058258207421452839878848966903224532556088495757952901944052,-5475.188402356014636491290031666148369335277985739516001031614145184996361780823,-26486.241020225369006871771610146777854114058513725561981387353179086111654133191,-5475.1884023560146364912900316661483693352779857395160010316141451849963617808225,-26486.241020225369006871771610146777854114058513725561981387353179086111654133191,-5475.1884023560146364912900316661483693352779857395160010316141451849963617808225,-26486.241020225369006871771610146777854114058513725561981387353179086111654133191
-80,-0.021910153775502980128154304192052627859038489475598911290581762131069873016546171,-4701.4914840465197090048591451321093020925411213069462053842641098791897291966051,-20443.837877934065608956489267458742986746333641251335326173572605546384733967684,-4701.4914840465197090048591451321093020925411213069462053842641098791897291966051,-20443.837877934065608956489267458742986746333641251335326173572605546384733967684,-4701.4914840465197090048591451321093020925411213069462053842641098791897291966051,-20443.837877934065608956489267458742986746333641251335326173572605546384733967684
-70,-0.016761722940938054473837298227765475450428930084616581265923361553523239975335016,-4015.0617534839947382222039399586201879043188466331639386087054398029868920168724,-15430.799274046657771298751810157513815302843065741412725089875135510701850556813,-4015.0617534839947382222039399586201879043188466331639386087054398029868920168726,-15430.799274046657771298751810157513815302843065741412725089875135510701850556813,-4015.0617534839947382222039399586201879043188466331639386087054398029868920168726,-15430.799274046657771298751810157513815302843065741412725089875135510701850556813
-60,-0.012569677864522991181642155674279388668291024315692755282084119995835819861855261,-3383.3094604315821706105280102916732641206759281076258785148967768141018265061626,-11385.413376861811720462586624697656705389845916086084958227298147638517724751951,-3383.3094604315821706105280102916732641206759281076258785148967768141018265061625,-11385.413376861811720462586624697656705389845916086084958227298147638517724751951,-3383.3094604315821706105280102916732641206759281076258785148967768141018265061625,-11385.413376861811720462586624697656705389845916086084958227298147638517724751951
-50,-0.0092179954752277425900550463130838096157751991444648901433740475612820523520494032,-2785.057746308225759308826871115914639761159664459375899104065247885752460297496,-8197.5621331169473116954461612465603892153240172690412944776492797384497755012057,-2785.057746308225759308826871115914639761159664459375899104065247885752460297496,-8197.5621331169473116954461612465603892153240172690412944776492797384497755012057,-2785.057746308225759308826871115914639761159664459375899104065247885752460297496,-8197.5621331169473116954461612465603892153240172690412944776492797384497755012057
-40,-0.0065654852393658525663016412654902218092286526139389520064337265268714048803524278,-2207.8144999388485953216428300003693643094596121696094245738338339521064383645554,-5726.6017381348754298841661866581891310929454318274855282334098630434965228898013,-2207.8144999388485953216428300003693643094596121696094245738338339521064383645555,-5726.6017381348754298841661866581891310929454318274855282334098630434965228898013,-2207.8144999388485953216428300003693643094596121696094245738338339521064383645555,-5726.6017381348754298841661866581891310929454318274855282334098630434965228898013
-30,-0.0044617500597083911877077269894078765928057300792717891548522688546027205278013437,-1644.5495027487062905373947278146505230657338474678510814746239999342029897879575,-3819.5792433285093320525275334305767549236973838315912962785291520260289558113936,-1644.5495027487062905373947278146505230657338474678510814746239999342029897879574,-3819.5792433285093320525275334305767549236973838315912962785291520260289558113936,-1644.5495027487062905373947278146505230657338474678510814746239999342029897879574,-3819.5792433285093320525275334305767549236973838315912962785291520260289558113936
-20,-0.0027585906519424280424408137893556915287850118124726677253338903811022574933266645,-1090.9925586101626651989982009388777289447679053435980738037691100086640772290354,-2324.448219178510200752430540865248804186164824267261498909677868066421712142771,-1090.9925586101626651989982009388777289447679053435980738037691100086640772290354,-2324.448219178510200752430540865248804186164824267261498909677868066421712142771,-1090.9925586101626651989982009388777289447679053435980738037691100086640772290354,-2324.448219178510200752430540865248804186164824267261498909677868066421712142771
-10,-0.0013154980632337750555380256594113265649046456126763210562530493650377535227458269,-543.86325381657002523358601745819930100787466593471556809056713972671814759170734,-1096.6681059608110360955366856016089327366216441278154464533991447580567447203756,-543.86325381657002523358601745819930100787466593471556809056713972671814759170734,-1096.6681059608110360955366856016089327366216441278154464533991447580567447203756,-543.86325381657002523358601745819930100787466593471556809056713972671814759170734,-1096.6681059608110360955366856016089327366216441278154464533991447580567447203756
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0013154980632337751212259618181288691555199206255744740111293649520436652679987803,543.86325381657004049363571485531437793805762323783133684442673522330767222895081,1096.6681059608110968050209491768195074980297068779138584191576584982986855643924,543.8632538165700404936357148553143779380576232378313368444267352233076722289508,1096.6681059608110968050209491768195074980297068779138584191576584982986855643924,543.8632538165700404936357148553143779380576232378313368444267352233076722289508,1096.6681059608110968050209491768195074980297068779138584191576584982986855643924
20,0.0027585906519424283192139383387211191772098768049101689002714299898762477527792612,1090.9925586101627264632527427401993311052086427712108927313455331748073333906072,2324.4482191785104580657095843273029805579041446162805723707914691849506713388706,1090.9925586101627264632527427401993311052086427712108927313455331748073333906072,2324.4482191785104580657095843273029805579041446162805723707914691849506713388706,1090.9925586101627264632527427401993311052086427712108927313455331748073333906072,2324.4482191785104580657095843273029805579041446162805723707914691849506713388706
30,0.0044617500597083918588106911870627034621302429036955134226616822142294506025514665,1644.5495027487064294412144803767588653194928334408093465059706641597621293230402,3819.5792433285099607934643047305263149192376781744554332045483135111766864485491,1644.5495027487064294412144803767588653194928334408093465059706641597621293230402,3819.5792433285099607934643047305263149192376781744554332045483135111766864485491,1644.5495027487064294412144803767588653194928334408093465059706641597621293230402,3819.5792433285099607934643047305263149192376781744554332045483135111766864485491
40,0.0065654852393658539037183884986267085426375199914194857192849138938800771998498834,2207.814499938848843989656767890402402040466233278920401521728654152390992155279,5726.6017381348766969533502634232790681450760593046805259036581561688559041311835,2207.814499938848843989656767890402402040466233278920401521728654152390992155279,5726.6017381348766969533502634232790681450760593046805259036581561688559041311835,2207.814499938848843989656767890402402040466233278920401521728654152390992155279,5726.6017381348766969533502634232790681450760593046805259036581561688559041311835
50,0.0092179954752277447789402462923805367513041134458412397080618140795787386650369482,2785.0577463082264266285668829828924865607423820198936505958107343381258538660368,8197.5621331169492552777733872074095433355382101446766655276191258965767606193916,2785.0577463082264266285668829828924865607423820198936505958107343381258538660368,8197.5621331169492552777733872074095433355382101446766655276191258965767606193916,2785.0577463082264266285668829828924865607423820198936505958107343381258538660368,8197.5621331169492552777733872074095433355382101446766655276191258965767606193916
60,0.012569677864522995022407871162038221212548462127969106855709980494655321163485202,3383.3094604315827558250048391141944228543105389887847681640908486818168897329908,11385.413376861815423658214926639940293332819586417986877519004476138422438673162,3383.3094604315827558250048391141944228543105389887847681640908486818168897329908,11385.413376861815423658214926639940293332819586417986877519004476138422438673162,3383.3094604315827558250048391141944228543105389887847681640908486818168897329908,11385.413376861815423658214926639940293332819586417986877519004476138422438673162
70,0.016761722940938059894581891179775507124713769191753836610334590969480287052747686,4015.0617534839956857128903018838608661718760416225377561037305528686179765196789,15430.799274046662937112910243853971331526133772414175676179029818612487518496935,4015.0617534839956857128903018838608661718760416225377561037305528686179765196791,15430.799274046662937112910243853971331526133772414175676179029818612487518496935,4015.0617534839956857128903018838608661718760416225377561037305528686179765196791,15430.799274046662937112910243853971331526133772414175676179029818612487518496935
80,0.021910153775502989321540342002093539992160905046735547508384385321685355007373741,4701.4914840465207815881609654063378242764122694633922607358022614854602685992946,20443.83787793407463715301751882951133054308747027784567220778980152328793073885,4701.4914840465207815881609654063378242764122694633922607358022614854602685992946,20443.83787793407463715301751882951133054308747027784567220778980152328793073885,4701.4914840465207815881609654063378242764122694633922607358022614854602685992946,20443.83787793407463715301751882951133054308747027784567220778980152328793073885
90,0.028089950414812936072897475263016523189408048126289188465580090253932835872060647,5475.1884023560166292948673803611037964782812743772992695099252749514981031922805,26486.241020225380670519105964925065177322607338091350751173411996831868218837431,5475.1884023560166292948673803611037964782812743772992695099252749514981031922804,26486.241020225380670519105964925065177322607338091350751173411996831868218837431,5475.1884023560166292948673803611037964782812743772992695099252749514981031922804,26486.241020225380670519105964925065177322607338091350751173411996831868218837431
100,0.035326934900527884403151887748228988102853455247631443775730406765195749521042034,6380.9212016655326896268150386313185922096379138590765035282970433668535140683529,33562.488733882054908357784087781376756573457541514167034373552378738517481586141,6380.9212016655326896268150386313185922096379138590765035282970433668535140683527,33562.488733882054908357784087781376756573457541514167034373552378738517481586141,6380.9212016655326896268150386313185922096379138590765035282970433668535140683527,33562.488733882054908357784087781376756573457541514167034373552378738517481586141
"{'distance': [0.167, 0.333, 0.5, 0.667, 0.833], 'solute_6': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_5': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_4': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_3': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_2': [8.0, -10.0, 8.0, -10.0, 8.0], 'solute_1': [8.0, -10.0, 8.0, -10.0, 8.0]}","{'solute_5e': '1.0 mM', 'solute_6e': '1.0 mM', 'solute_6i': '1.0 mM', 'solute_5i': '1.0 mM', 'solute_4i': '1.0 mM', 'solute_3i': '1.0 mM', 'solute_1e': '1.0 mM', 'solute_2i': '1.0 mM', 'solute_3e': '1.0 mM', 'solute_1i': '1.0 mM', 'solute_2e': '1.0 mM', 'solute_4e': '1.0 mM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,433542989.04489437833366469291036292089122190270609443086286553099044813547894241,12522.84539880608081272830834132693143588450550445918159189310007279112055549179,433530466.19949557225285196460202159395978601820058997168127363789037534435838692,34620.166203299775547042946647579210923747629713796751500057822797958113493035385,867085978.08978875666732938582072584178244380541218886172573106198089627095788482,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,7.9066484574228924182614305384525142557824710367763806625583222688311082182273197e-82,376783.7291063436167224471770315932134014966027443354930573953775156924515916705,1.6988517455714320327121676910519553022251620638076606943336702114844417060748551e-75,6.1366080902227014175204039946399132783495314834047309181768982300681624149181854e-76,2.2435311017976596007600356903358218189484135021152883226014149585999128701905562e-75
-140,381737748.32482417977502625897283712048736002755772088981039638086752983772938136,14312.80524324047572569334378442036683794718985099137118496012817963023357389975,381723435.51958093929930056562905270012052208036786989843921142073935020749580746,26671.0642559122283896413362025064186031699261839382384792172330626628293039449,763475496.64964835955005251794567424097472005511544177962079276173505967545876271,3.7999141642415556351699948196321758112910401603519638094104295268741803933914679e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,378590.83101102364770227302303402742053282977251037830848078431398443102286250627,-7.6265151330165397144121047927017917416825972809906461011077682464784668520694069e-76,6.4135564595754958680708806663605758813710681188807936956789637167000508756881621e-76,2.6781475430037038240562781317839319051658670369660180914626516357970848005738627e-75
-130,336674673.37130937659873739600776550755746976429854512157969561035122311710051815,16358.61398963393068986452056300621746189504345850823319216762926451144294830112,336658314.75731974266804753148720250134000786925508661334650344272195860565756985,20580.880115188988892113691579438116541884833442444849695840721265746869430683617,673349346.7426187531974747920155310151149395285970902431593912207024462342010363,2.4181271954264444951081785215841118799124801020421587878066369716472057048854796e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,384888.56084520304982505717740799212107138592693944224301443123732869374316965577,1.2496417426510783549671390779092746272104941090685513685383678807324530538833745e-75,4.3522257453982566045268324799566764399096378881699292406144184631241392570536239e-76,1.8581539858880837264284815777797562263630583747848463492521049395963804393584503e-75
-120,297557870.34723130485104350034283427008815134460580255555730147273942745439225425,18696.841542522124424460672636237564933786903383158600810821584224982436801399221,297539173.50568878272661903967019803252321755770241939695649065115520247195545286,15914.873625606606781334260523201247378734513359383156969146106938180722948992741,595115740.69446260970208700068566854017630268921160511111460294547885490878450851,3.8690035126823111921730856345345790078599681632674540604906191546355291278167673e-75,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,3.6271907931396667426622677823761678198687201530632381817099554574708085573282194e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,3.6271907931396667426622677823761678198687201530632381817099554574708085573282194e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,396496.99908697738776652370073641556287040462045803535823728001025674917547496967,6.9221771337693625800100051241958128424141939667987365841822819446505643316749436e-75,1.7136636530932999475408166683795189948479263169358517410135586588536260888429782e-75,3.661595400404063715876593071620537354951058943649331498392733618476493770562808e-75
-110,263696467.12531563798453966064135706202069515659772415385633264822239636067707601,21369.284946004380582654265081151508028148807122064619916169059075477892098406548,263675097.8403696336039570063762759105126670077906020892364164791633208827849776,12339.976175694240363514237829215509691171393656719698900958948009306930759488769,527392934.25063127596907932128271412404139031319544830771266529644479272135415201,2.5563058923079556091143601513889182730503361078731392899670162271699031737360784e-75,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-77,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-77,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,414274.25385849803850743853481455820269611459303396654878824411043066589685666919,-4.8452120898177715693599987944356869716310118111876273856389981285343458513291291e-75,1.1397886010468483476263198731474282890230003448163807636504704952254733368160154e-75,2.6762069246774510582394724818806781654386925742250353420281032267668029956251682e-75
-100,234492411.26088761808575554082636250358747493086693215922904725508582164161376844,24423.715527832937641774875185702751209230571133294244944180880262903012280963732,234467987.54535978514811376595117680083626570029579886498410307420555873860148748,9601.0130397098353382655579311820674484706820354439109998086631037765382111594161,468984822.52177523617151108165272500717494986173386431845809451017164328322753688,4.7671650424121334332132662282658205632560322011688273245330843155330626753456597e-75,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-76,4.6122116001633539106525011474306333158731081047862220531590213234848131272992698e-82,438880.82735443388974853934997009772367888192929048359724271079603136185135779797,1.0146453596200196145727079784396351330923372864233573972949556837644101131191241e-74,2.3543077228653316616517750023451606929399033225827710561343715320747280458399132e-75,4.4468129224862939909429885466376576050628581349090232131193074709510050852081461e-75
-90,209429907.3248660219867210764933886993153250218878055426654255900799271928123989,27914.732836956449862790476702366224540062771304485257925361389740862284135653381,209401992.59202906553685828601668633309078495911650105740750022869018633052826324,7502.4865381337540294822561882009584156068853428936462195728899796532190918638932,418859814.64973204397344215298677739863065004377561108533085118015985438562479779,7.5998283284831112703399896392643516225820803207039276188208590537483607867829358e-75,1.0017955523909555765448168160848463502494560422746086406627496025395566491668415e-75,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,1.0017955523909555765448168160848463502494560422746086406627496025395566491668415e-75,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,1.0017955523909555765448168160848463502494560422746086406627496025395566491668415e-75,3.9533242287114462091307152692262571278912355183881903312791611344155541091136598e-82,470520.0094366408606819299782190564826865641629389195477612978109748708741863726,-2.0590075737982333086900479372157371414239331526521610484231593726012581251155857e-74,4.4605029453439633717808105109361988083251970166154481206452192547501909197947447e-75,6.1817480769693745650499708960528010075414145098061227866511661337619073500706524e-75
-80,188066307.04156118268171404059109093842533908413331934286417669855258501804396751,31904.740639099404469950954951280895980725324872112441464034856845071687331635807,188034402.30092208327724408963613965752935835880844723042271266369573994635663587,5894.6195228142701076444295825476153471168392465934496712183526233114205264771792,376132614.08312236536342808118218187685067816826663868572835339710517003608793502,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,3.7999141642415556351699948196321758112910401603519638094104295268741803933914679e-76,9.4134237250529446416711235304524355325164403972355467096758367824837650654470455e-76,3.7999141642415556351699948196321758112910401603519638094104295268741803933914679e-76,9.4134237250529446416711235304524355325164403972355467096758367824837650654470455e-76,3.7999141642415556351699948196321758112910401603519638094104295268741803933914679e-76,9.2244232003267078213050022948612666317462162095724441063180426469696262545985396e-82,508698.10240550199696531874989353933592174288761912433182834980076468593237427109,4.0633207143349832310514806733988755863412859686894622985789181429323300075041876e-75,1.0755944579045690924559109278593342724730710336822294193394234985039780166601087e-75,3.0550417519514798924467396408215416426318533668198822032146714050780977828993847e-75
-70,170024291.33495161154401100540488204932756390514633346303231704219030408770061038,36465.062416810310685004754709754174146929279420830379351770701797995698304629761,169987826.27253480123332600065017229515341697586691263265296527148850609200230575,4662.6628357715576171690801923713656610824403736414125494546360435666074223424858,340048582.66990322308802201080976409865512781029266692606463408438060817540122076,3.2471993767155111791452683004129502387396161370280418007689125047833905179890726e-75,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,8.8952536117472779641479424186844115582494803753693698265744145742736495572572999e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,8.8952536117472779641479424186844115582494803753693698265744145742736495572572999e-76,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,7.9066484574228924182614305384525142557824710367763806625583222688311082182273197e-82,552018.01948165112996029321159388230585040149023040539373736297760007441657005857,9.649066881141948659813140178408844832815043479820548439267421110877068222378966e-75,2.1782161341665662540294733987071709062111342601926589410969773022005373677304943e-75,5.470170499448322887450423439515357356527266469121310072376649866990313507651838e-75
-60,154985206.20450797351393072382769704148267292659340578902852631753335967078230555,41677.216314127228196069894707854185499835104841768645854959175727133931095544336,154943528.98819384628573465393298918729717309148856402038267135835763253685121,3718.7034046698795937255839486387717560808656609875350431727385415227309891985007,309970412.4090159470278614476553940829653458531868115780570526350667193415646111,3.5926461189192889641607223749249662215842561516054930561698606435901341901155697e-75,3.2817440509358889576468137078641518370240801384857869263090073186640648852017223e-76,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,3.2817440509358889576468137078641518370240801384857869263090073186640648852017223e-76,8.29072181289066684037089778828838358827136034985883012962275533136184813103593e-76,3.2817440509358889576468137078641518370240801384857869263090073186640648852017223e-76,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,598141.04573500073920513479139825437939525995434224802868324901775747721904957274,-1.1786076681094834693523742204268272595178675213277107558283670478679403430329504e-74,2.4752252329246672916331280087868815071127831061255866719007795728090262452347705e-75,4.2324557206838286927967399297877898358259411457446951490732871727623890830781898e-75
-50,142683434.73031142309757719423428082922932370607776277330795752011687780084284688,47634.372316165409407712301959757770265087695437871774627080428936682668394297621,142635800.35799525768816948193232107145905861838232490153333043968794111817445259,2995.388157594967346615827868031954390812670113344415482818775024624570615105874,285366869.46062284619515438846856165845864741215552554661591504023375560168569377,2.6253952407487111661174509662913214696192641107886295410472058549312519081613778e-75,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-76,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,1.0048032414641592448207234642616736866723556942569983758667867883306200027330552e-81,644191.22121081046955760256262915966064050086903854491253476676295708179564334883,-6.6080388282443210784170417903650402825239254708082616506046380537421929102351011e-75,1.4620500900039190611786090251218910379419569708714753205667635593774421412865679e-75,3.9945362784077341276066379283352076699977505420446034632012302300755026104854092e-75
-40,132901705.80709330350855592474521213556663712568919968815930533675933158714315585,54443.01771147648274371631855926578131012178710956763039674801600343254395011047,132847262.78938182702581220842665286978532700390209012052890858874332815459920574,2441.1157094820238297200535286767901156626729389360660087999108840532970915697707,265803411.61418660701711184949042427113327425137839937631861067351866317428631171,1.2436082719336000260556346682432575382407040524788245194434132997042772196553895e-75,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,687610.67164751103330824744808299005489268670753544677196277557816897300570874424,4.7009854958025708230811675016909759221046545511375151557605943900368367609177883e-75,1.1023002678818449448227639589157481044311272176513005705355422850665888792607048e-75,3.342255841060423341342763404744883329592545891808898623461609919651278633929787e-75
