"{'distance': [0.045, 0.131, 0.332, 0.495, 0.997], 'solute_6': [10.85, -8.26, 1.34, -7.67, 11.78], 'solute_5': [9.19, -3.18, 0.05, -1.17, 12.41], 'solute_4': [7.88, -1.52, 11.59, -15.3, 12.4], 'solute_3': [15.76, -1.04, 1.67, -8.27, 6.2], 'solute_2': [14.82, -6.08, 2.56, -2.67, 12.22], 'solute_1': [11.62, -11.11, 8.18, -11.99, 11.46]}","{'solute_5e': '23.0 mM', 'solute_6e': '122.0 mM', 'solute_6i': '66.0 mM', 'solute_5i': '129.0 uM', 'solute_4i': '100.0 uM', 'solute_3i': '38.0 mM', 'solute_1e': '12.0 uM', 'solute_2i': '54.0 mM', 'solute_3e': '144.0 uM', 'solute_1i': '114.0 uM', 'solute_2e': '50.0 mM', 'solute_4e': '44.0 uM'}"
voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-8.9391809975331387873794928879993701003960251394955133666426324820101838948494893,-22746015.102041065203104564322445717620938802636765707738257373558954031854274414,-9561744.9408717087593656309764156201775835287008832433231984314103679779025199219,-25301.044424443447921673635603508672453671050201269653134070931704686978606173548,-258.04552938093030094761950256151482831070477583440997948812623534066084677370388,-231399.53302543797082387318615793969010047014678713511248266039359241723935186474,-781.10127650782838431076011089968778433539156787760988919632867307512668719179945
-140,-8.2266490052080364947381814905216473839538999946076377077335335475724732231100897,-21678847.953360173807855546579907260196169338813606122348400138086045522805622688,-7310672.51853704525252650255846368278900748146913793890279462319566174281583774,-16274.571082482647174684530421691466771422016982943631154061812390484728564143108,-240.83770104110829703143782313361737054670925625465300153117207947419803316973361,-216657.36072685056865295840001977618406085516766790601722275518009577179467447354,-753.66256261165528641518891452604961939902360745952668076687141450728504537420545
-130,-7.5666095314753871336000086045891207915689731433775623500454591930489741038272191,-20656066.449558662962780318060894501553003318062725750734948196044554545022590609,-5290402.2146084930490877503006562991598260782750755335584784359010157941350704998,-9922.2923660624385855463209349452011516808035437617086373237539741757887800217803,-224.14160871378514265828045488398054884965524423457768461648049205290435521456457,-202830.62740242224729499021692813395933077976753494096378362470224374661353908064,-725.22968584849179048563753729265665405644320458337798149766198322566766007738088
-120,-6.9702322276734082348548082580951138593139583018606647237958474047020236027424206,-19653643.097450993431300456142962535850373898091048348224221762865436786535323354,-3620341.121387578104239229627141339722773213807529130775810615385942596061204246,-5726.0602876375476109143553267110523201002287290456143102020956310323189109636493,-207.42686389367607183467462420004263695274757400299007441954018030301364037608859,-189722.63601188916692480051884732676935009312153929863584001211891802831271578119,-694.84188239681530021676009020770797845164190743515194686945914224069044170127869
-110,-6.4318989932433524009553495480307945517908336432122038581975556995401555679980369,-18636551.276151290136039176500538151297209000280282590836162814766838808381991096,-2337452.2944566586254482561736273439806634343095870511039424499733433184619797928,-3120.5448069752792849803849467958063406482074145924343166154103960469201392831127,-189.99816008553819500901719096728468954255363409136181252032679104263598910934246,-177051.71859628362440539151001157417159814229555977846461053155113274705612620621,-661.14334117822044089584470121702726896408964781136709901324114938429192375617902
-100,-5.9336384440531802533823833265204089947443505136921589847867750373234728428443719,-17564091.948503331411121732305675642455782305955966840916255658697483163633208232,-1412911.9732141606344801405215350239053607484083366078180722472665006548430492261,-1597.9142152417414001305860138565436149750596213120880608792608664337819347859798,-171.09054299808711079449039942035560907147950381413242814661886074564187258988777,-164504.72822367660772460767922111246006312926746688952304760519310467561880655046,-622.44338312933118214877905505986116106684626838978749766921153035556058528415767
-90,-5.4513731413111083902903394229470859318925252792889389603833700652265068610561519,-16392444.484134754009768592087111667256966891513985278771642831940101889078150173,-785790.1734844028614056397497178183643589621835573845389560399689880166840291224,-763.20429918018401407979134713288812001106698967996901709418005048470186281470563,-150.00972500828103605400963633313879599260829140318726228851096445347150778480548,-151771.40045100757133929127647225188359004195753736353681757116165187881850511191,-576.66925144562447252467512221565403091147980090041874479203940817817043178031033
-80,-4.9594145333478895850845176572301736398279001367436335228889622870107178040062514,-15074518.067528477056274405931234069916336330942917499344595655402662142677901776,-391383.08707040840059051052434226811467333745239864058822368982426344663736919574,-337.72086074348208004112713534911266860390259742254007193040473901396799614554427,-126.37844947504461947523680003427707499617839050609991468048503342008176738272292,-138549.54175752366434023126193313396904987288797746551610734320252001446232859087,-521.35423108967708747296224134579379187953215848198065081795878737289110957149191
-70,-4.4330937652448486243381431589129242503262152515837712610871662356785420896384695,-13563487.12508112830223360583844891451741023328769592995764851633805475442013038,-170545.35238705224669933424256121228255130961198670158684597730743829740849459996,-138.21215737098436849503621680293444698999044977842050895753862232088003105897826,-100.54025274721715199869948685304236526920642795552063084917912779254573366712423,-124564.66170951317424136931362536758348648744919101207317585634989711971672726796,-454.09287244419245474900317452162661319265221326435091700406554163710777615138269
-60,-3.8524678359727817268646412518220151631140755833633287616382449771729485845661179,-11826380.465760691932056271284299686451933864745317937571277648351734703101739868,-65487.916823424702383086244275870503997124026384259925330786819565842465387895578,-53.07940825724866535543840681519511457597978407992519757377939493665968340533091,-73.905986331507200880349355012082437110459013666250148807210813580845726983540052,-109637.85651567201005276224575532757734564327632541350053851255940702147478382927,-373.84998174203148746428592690292645624558868249446027576473489967601894859053111
-50,-3.2081741738965245453358784284450879583159177875900428341754323611307798165845892,-9860449.0780762930086525665764043907142892916936562759116437103155689495759516149,-23596.031801334786896379161771222567186771489268976108100528416843278330269745903,-20.165376666839686956796339860992602513713978296259013240858643460709670635705121,-48.514150926572776078775873417246759377800111988241289800166145096267724759612284,-93697.757697522849139846873776290126159781049735534513802807530816895678942232825,-282.68257963635799954049084648358533426190986587160847277654200747727244775585711
-40,-2.5075994165645306345738555541688165912964226792139150254165525530010626711247198,-7706835.299472518576862765907151782890533763903314810013997672803427632437482301,-9086.5464939329089785407145872727057840623546328920440652267807023103889135317345,-8.3731539526330510370697518226912184336636107067349548302770792363483115098247027,-24.621946197506841969266358686635635116967885010541666758338007037104683075222451,-76631.936988516413391156025073720506187765998289420465746816331580168926118624696,-186.62223881286852774406569771500534471791335251860661679406921954107047191510402
-30,-1.7828486338561473790716076649245020177723884997263210011102398912069202331981608,-5475063.498656797173426933509132239312698158583573454562970552605022244775774601,-4368.8194997441176795980710386672755052895551811461905883247054573482644979204717,-4.0591568063302626101529792492201556806234078279613486408558290501091766840396333,8.3071685484801086859239058160063632647550339842405604187600574762906837528929205,-58106.50642789926764066277034974035778814473317312552326103178122305662994927559,-94.31263898819547626454319859825858134021412050735146794508986568519698223883941
-20,-1.0979270815371781225067318759028822071071838833474382593887844918174785746025134,-3368760.683077559026676425083432012737711366960997249333604378696389708166983112,-2693.2427846649951806536419228276753495140668032761090070902135125535988891223092,-1.9104349108484667072127104265999613898593714860858307854453539967959814343798645,116.4567946158894912403313217512053684227592673940941261983287576354838969247297,-37864.990205652548728469176366146990043404152834651855512572191719106129970344396,-13.382798597243088131842498375916188395069234922587238910468420200522451010396061
-10,-0.53634080347686519224313437581499236632009736325511475680610985920715965670014657,-1647639.6931856910765028451491001118738257558614224808052912563018904113139172565,-1867.9176830181366610608852859007231322342014491343472742017410353601134007017695,-0.026372990758721729863744568378595362970363579240468993281380790243882589990255819,652.9849110499288818659252051121497884944220606080112314245254472235964987582832,-17602.8510233854385126643909934588580950170795471863647330013953550488690241795,51.864769940028257731059700322477519447992488518468574036824316268441780345607426
0,-0.15730283209880955603817066022692868562511831018634095365850799249117517372283564,-492784.52709320258448562718375758835391465666820255192163579346292122047161357726,-1281.2075223070811877619543613083754858493385727069785230913451906937976907034713,2.1484070840019560440411384080992545692582593916504268657488228869465128944746693,3292.5053459623588967622022263415463256984148581947808572358247021151438918972013,-1681.9150476842798594019039910824972885049103056580379356968739941014356754428075,98.887515255801701842263349962411608961546198198649506475196917487365353475538247
10,0.041698509993838481430528511455673224895618262276109448157804789547692074459975353,95679.859993265129400921466277291201604123918360002790696763055450349269573003685,-812.89243012280526864020725582707686752406396005549053887884067928662952505113594,4.5605150020171870187661329620287573279327187365653684212120122054588157609101188,14681.867932492834819403046658053105131061218918220799364040321909870325213173936,8521.1230265745374238086472872220108714441546022198653981777046069155786644437109,125.40309218216891968674978558651870981363701948755897990784075104981737998189807
20,0.12361496540049708754623659701757570260005430572803877720841258498576481436255359,279465.95602712671917668888432358513810530017822895283540880124318115379845806226,-469.77538708452113824326388674099304118623886609513918565612938845850259740615081,6.8910775851760465747589002605922432658409901950157067906134972550339092846540773,55844.307577565689645023255518874709855566576806494628511533619984053899983681133,15162.838809849823571040692899143195383828092396420656391900316982211250170373747,131.63952163823545113247732901345126572596640111016049904141193290701188807146499
30,0.17984615855509445258091155418610515901554306505875922378006259482284402190321636,265171.76588771277055884182433561076172940423388510648074849676104637667556795883,-250.47743856191622958185432349779701219757728017641628132642025778396189112468086,8.8558019363921257851436306739236589209133649916888311672477460583966617136267132,177700.70835241687116439076700166498897343440028950329458330173900737658327437018,19766.653845001083595384026033194503970750753459007043949340113002018331987029785,122.34444013367441671673126276413518818255050556668036613640749301465732742496981
40,0.30011199774075899261263314490960691443188062150861276383023726776441384169091955,194288.70213707103046281884090382907658853274629083475144448545124393654736773446,-125.30322185350386924822109227002251637342498294624859016784125986790323375235794,10.346601373741917920606351879700666285052452379243278314401390527631669565300212,472129.68115444079073084973432980005362866838239091280583126999323812540631450379,22797.251575083636868665162586364896599000631627663429548465921528489396201043113,104.69557610974422094167737136764318506424490856251044475927789377483279548528453
50,0.56470100808256874968778463067894464033553339449487395882381383927154029671017479,128615.05017679842695015177656429964688450902692445252190318966610731196582008625,-58.737485267895120043715434109227754903745619456343392124993440107239867187921424,11.434826235275637182803345346935198437162436961399553681831963465246411214200018,1064915.9964291077366380762014653548403394234967270936102125104481247966962184192,24315.838210363009694452014887602834150101544196349217023901683492936385202877435,85.345224762966276222706816319319966349719648216478340933365872451327890100148946
60,1.0402282480506265773696350025480020715992792890784548085635871168717882473714217,84334.269122977344154638630120309274669826790559711357520520765172166971448973577,-24.021835273288176687137744554605380189092990782373198327525974717228116346236726,12.457017553591156165911976820589657975883425568683953838864750022011935626179379,2083639.1060895607200436292221732829128766305096031863744583183387749027276707636,24551.220111652579258307255625959886983466339508739204002827504679601787933687724,69.503875831033623310435972004740041988339709701452439190195180086521129883685082
70,1.7374172250287813865869620303692525807936001441101353069192369082867640949723315,60495.346367144380821643118561538404286919560653808707590802976387431816049912578,-4.9331236496405744045246021689747837432572537882381751215447910261865889506142823,14.25888513257209217047523754675194903838307221078408008877304343931237897278278,3550388.4902082110605266140705912843409244074029173357316887267040454047633485045,24353.356415243059322732207723463662738318221580937435409488244863543267359780366,61.21289093924144137577725555446471160173728505844726329223176231964277165580076
80,2.5313388494908997820678123664418735938347305897698274304752449947595946572977399,51394.959151914259224950007996942851759216381954221252449973344343978761990523166,6.9951149437327134501947457297572023519674521896163490206713831618050855515654252,18.045035115385632721551180093323743885693117187501210231800256265066177194337735,5207972.2628257124516636205135185964088462413477812821724706933549460415455849497,24768.026016486329118887301336881366857156924966020735373030840690165709496400573,62.543785273116436285999581928813285747875316585650093413157492950904054671127087
90,3.2305934488522549473883208914883862882057168389912589998287510444002939234305237,50597.974275496326715233660788868320127273854722381992038626281079274506941501905,15.676452707345931430592704360682655499719440223892870649612068442056756164732322,24.205034066285451560224434996611437982459045328877824964390333044680697765219077,6662084.7827576099466739628775282301427296512817858147456723480758442351822866868,26138.351204722639448981023442885879815445404060993153419249922598465596767023741,72.116426031928696048948416946645407916866492996922192981945247202172262521161338
100,3.7986900744935462316526728651664582539385570343952309083134725378314841249422552,53711.068269094876656554458377745372026545568332995958436596552181817897106346536,23.238484848424628825135317239753601371093602285320831693107545849141314986375435,31.884440020844281144280853313907049683690610441515014379278762826368183912900538,7839836.9810746434480850610133061778353690453285260672439667354952981176785385104,28355.208895868156573295912767703678074062205982838842813258045841976273593758045,87.035832989660134001001813801751209078545413509880814051761326646847064368461966
"{'distance': [0.045, 0.131, 0.332, 0.495, 0.997], 'solute_6': [10.85, -8.26, 1.34, -7.67, 11.78], 'solute_5': [9.19, -3.18, 0.05, -1.17, 12.41], 'solute_4': [7.88, -1.52, 11.59, -15.3, 12.4], 'solute_3': [15.76, -1.04, 1.67, -8.27, 6.2], 'solute_2': [14.82, -6.08, 2.56, -2.67, 12.22], 'solute_1': [11.62, -11.11, 8.18, -11.99, 11.46]}","{'solute_5e': '23.0 mM', 'solute_6e': '122.0 mM', 'solute_6i': '66.0 mM', 'solute_5i': '129.0 uM', 'solute_4i': '100.0 uM', 'solute_3i': '38.0 mM', 'solute_1e': '12.0 uM', 'solute_2i': '54.0 mM', 'solute_3e': '144.0 uM', 'solute_1i': '114.0 uM', 'solute_2e': '50.0 mM', 'solute_4e': '44.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,84570494955925154460.851130065249360133801763471472980519557335677524890246595983,1.8099693059727011480006828180999785194005932086970939412888760526550478238841096,84570494955925154459.041160759276658985801080653373002000156742468827796305307107,46724822723154338663.16893927200079793157090635263715248396662629237907670968266,169140989911850308921.70226013049872026760352694294596103911467135504978049319197,1.1606126194386891905389617341172986262663822211365043906258031036671242119649658e-70,8.5480658179627931390960104556368550148513033751184482168462456568473198970232852e-71,3.1090206798340000651390866706081438456017601311970612986085332492606930491384737e-76,5.4526992444707182069513330593119934559864615573475743454679868211618435228478039e-72,1.4649705443377808306935376391905573800475493738200552839043408670516385647540488e-72,6.0744650574395549883811252414972310483337167563353694191910474283298332595493721e-75,3.069888041068728362930304763729829535045140754545709398582644592911491617530394e-77,101504254.16905551348205833551383250160852159606520816431941506147053504895091648,8.9264520633624478036528321312152521616465029673978150596704076085351727639282064e-71,5.7995079135334636170814080120715031932262002603651037040279182902758311346103623e-71,6.3457345039458244478845634400451517151657136005850502508376996000296974825976563e-71
-140,46302130328172487176.420800455427656267795416095158971839036235697119681850789868,2.0620690812770567118649254299900672826685468717119787581601577221883569251714301,46302130328172487174.358731374150599555930490665168904556367688825407703092629711,22454209099288365614.092866066077599335326310339373590735018526044705727627396844,92604260656344974352.841600910855312535590832190317943678072471394239363701579737,8.1890222919858746604623481087520460829218983295672284800327161992971427939618892e-71,6.5105380252267828564064586151871018641977338555371421241901573066118321003398951e-71,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,2.2604342660538954433667527997748208464062277012627003419554168121614619745501537e-72,6.8260276259466490319053725123574358210100866880504368067227352228212549612195823e-73,5.7527677787622869260854836346079161643096457427601179375989144740660532148815717e-75,2.0848250652532682728471740043791589589647219629771960531033784158453866149821797e-77,127236013.74559111106676568503212085314074303526512525108016012573838699449355623,6.0397698548793400672268104125633924656519467812671240707545784103404372861863005e-71,4.3064817755706364885800471592440294654161647197519470286946193143202818307244936e-71,6.1593856520235430967666724345387456864438296471083052266791176935247831576411034e-71
-130,25350363895721733921.0351801196992807300639179033449528359016470819487725711319,2.3492823231461674774936962666131343892879466649272666435848316225438158883060442,25350363895721733918.685897796553113252570221636731818446613700417021505927547068,10790684306419346780.03153252372802477897459682793368284910869234998608074224464,50700727791443467842.0703602393985614601278358066899056718032941638975451422638,1.5451252428248077977062434790077294725789568856824904535975336655952449124849042e-70,7.7273949014441223307904965199001488847269489852870888184153211824469150900258087e-71,2.5908505665283333876159055588401198713348001093308844155071110410505775409487281e-76,6.5206985854839584091887834754830848192981464689159059646931550065407788257037132e-73,3.2112729155263182895036610766637005765237735755119868702072138983474891760879169e-73,8.6577589764821807369498177424574005700437903653473720884862627288440132826703331e-76,3.7285645685617714539876036704531803226468591417160937503115032267202484728301846e-77,168770469.37014561766810064608240964004252386791997912190690716925555894379221807,-1.0878942117090896673153948833242437906399895465413003214482150112054553648074577e-70,9.3315569216871866766721065541738849096142424420993432182191387381070252765628242e-71,1.5193935809329851351213774303570912563745370567123960128275036123130702114131113e-70
-120,13879368259114431171.223258834041112450297816746118830680813192977847268918885532,2.676499775860570536071957082172283585953076215772489060147079591979464875167431,13879368259114431168.546759058180541914225859663946547094860116762074779858738453,5185641480075155583.6906450862687970538196517437624745736581055399234999363166496,27758736518228862342.446517668082224900595633492237661361626385955694537837771064,6.3212884819778652346635922550064390281561262699510312284313018782479456470021149e-71,4.1886937457873753055377874532509790790237118183580105502888726002128419917495128e-71,1.9863187676717222638388609284440919013566800838203447185554517981387761147273582e-76,1.3387842470160877398552831322412321917641343239951401129822401517602039566961164e-73,1.1551739059294329130916784251681814466324762087469969980607705761697508395910062e-73,2.0392153000716757371693523336037443487297655860525169420387219818935587395217281e-75,1.5096427454706109257267158041418667219040664699551702811711356651954862624668696e-77,232282557.72809436717426933348850606309393038771730698474358719697403974959704455,4.2522588355608164871668640219618302284926223577919154849237868665026146923401978e-71,3.1863997906737786144133458239044671459739747962827852978999235890964065962325972e-71,3.7591519265401587184148396049551262290263957008801223600445798797205845711243372e-71
-110,7599058881901471579.6430648542418944624858547560368549162601872063939369469688128,3.0492933861555203110786198947605168329640192762095595340257564125297374443977802,7599058881901471576.5937714680863741514072348612763380832961679301843774129430563,2492072070336987821.7529824102973805445372757896550737018764649132668054914377468,15198117763802943159.286129708483788924971709512073709832520374412787873893937626,9.600434773412381783367089748230260504989214715527195721299694066908183819789446e-71,4.8099451669666492741095800608533886225715124205740988880019377330428898117018051e-71,3.2817440509358889576468137078641518370240801384857869263090073186640648852017223e-76,2.127951931975271155695197098994018454322982489797099733269840535049541020299222e-73,2.9846598526406400625335232037838180917776897259491788466641919192902653271729348e-74,2.4310814482590861620462580493783124792691541025888132098841725268524585925902232e-75,2.2981991516242540629079891431768641436807715813563346459169523394735754554314076e-77,326074083.52958763111073081867777456892637041014396145421468279956040688466111584,-6.2291783136167567595330748674348002779284949705951743224190840992421556574305524e-71,5.0857509625061829895869810485758497895107494164020564439416714973573987363507813e-71,7.2373614620217481880309588125107629881224603536603716393199940963261604972219356e-71
-100,4160631517761309591.5422850161036604544567364206119549735772516319555333483180082,3.4740111838276412246461317221466199700048524858388513088839526535679317650151191,4160631517761309588.0682738322760192298106046984653350035723991461166820394340555,1197644825419691045.8076753092827171237036901146899492566366962582755372833919866,8321263035522619183.0845700322073209089134728412239099471545032639110666966360163,3.1800998015098493821838665009797362542318732605965176689198323383015686271152218e-71,1.5805432064094767264483079543592974472680521370970873759112820763708227277006897e-71,1.5761007613047361441330092149610729217286700665096213527668258833057680040771429e-76,1.0528568989729514803924136214736537127136793944293381543517022493069284482030394e-74,1.9897732350937600416890154691892120611851264839661192311094612795268435514486232e-74,5.3382316881177535840669387451934969848960777252671764311177767074979608083297752e-75,7.6662863443172364887462830500835578224066839172583786904165492718586425283932092e-78,459728865.73225526198403852462416798633323091228169765913834764182683172246845798,-2.042166661733225312172374050314601352262131235883567323556257531318474011705899e-71,2.0314716216985511168868222129264892907881565118278471767210763031695578045344887e-71,3.3926516539078458417593084916653749646968798833325657091354486256137101397072854e-71
-90,2278125263201761548.159995968118692039872210394481744851345623318041310724225944,3.9578853776925485858117182599427336640243700168672922125429237847944099311198786,2278125263201761544.2021105904261434540604921345390111873212533011740185116830202,575591520674585835.66544634538257316910791391446057540370818114425295883224022433,4556250526403523096.3199919362373840797444207889634897026912466360826214484518879,1.1602588819746725220871059091449983218999493097615770805402725327729861064447083e-71,5.9759522827315926585393431257982668904259965401782447574320820428456201328506983e-72,1.273834861876430582244486899763058936739610053754351504290996261849867290966458e-76,1.5144385178213618095077506626606780687909018239075463036777566405287642586025632e-73,7.461649631601600156333808009459545229444224314872947116660479798225663317932337e-75,5.0413633940363820500692828999097332496389652127396792585075869007109154650960668e-75,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-78,636907176.34844260437449725019453566331063782966180370574940572662177078026442532,7.1468452578293250705663867008361970064496439282074646997422105359954503185182649e-72,1.1856597219927626811221974196406127738408184526163167274192191278763548936681873e-71,2.0535366269448193231190639360028524318129319284198039300212932276689269302380032e-71
-80,1247481785352406838.4510535470399473197191526311320049338374783456295238259988887,4.5091555075804491174147843162473728978799191334319596304847170506782420408406644,1247481785352406833.9418980394594982023043683148846320359575592121975641955141716,276655303472065974.97427438729793075624482821251164470083281357146091141370268557,2494963570704813676.9021070940798946394383052622640098676749566912590476519977773,1.2646114338595897153845742759735881099976581653651335557717909465437272349206805e-71,6.2191467892430522191902227942547261423486231104407704412343495325655676780277523e-72,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-76,7.4803388401153592279059331615376367191410925344116100068452576565165750361313682e-74,6.632577450312533472296718230630706870617088279887064103698204265089478504828744e-75,3.1532810436788590938441917239049958934037296330647972407067797295453070821296812e-75,3.0192854909412218514534316082837334438081329399103405623422713303909725249337391e-78,827740555.50957504732644279686646307230332725264565613393168961697517706172001584,-8.1788313359628347831320129534908012386673567839615838289862460065331483331038145e-72,6.793438770383322531226027034061555163586590754401072082278034008708105677761906e-72,9.9043031164998922296138469239525129746895304870882941262381911949311692096351021e-72
-70,683232142671877884.45724663393938448524761912279770456679620489002495005750900027,5.1372087494350232614790250271744208064651352211540563707660196482030371935944217,683232142671877879.32003788450436122376859409562328376033106966887089368674298062,132996764584857090.48639323892260435138989232812473406611872097927101727171004229,1366464285343755768.9144932678787689704952382455954091335924097800499001150180005,9.3917296696425473967721530145730809287937970043200827708366572393667015628375015e-72,4.7649541832620292553891673221889436609658265050755316364985182474446995158440502e-72,4.5609765181592535677821670775414610234956376924679111064656433951827875460451568e-77,8.401264770395875731575843092132228702781645154523614531351058735780006106116409e-74,6.0798626627864890162719917114114812980656642565631420950566872429986886294263486e-75,3.6163955824457986868805348425476673204048251526076928299786758281330978175742663e-77,2.2939822724469618536182497135563561360776875968033872428969212342635321977150197e-78,952215626.5607672183469277995554855102913306867458888155165925465702478983149617,6.058093128137922675215128746437777465106180887444419777854788719369750184408421e-72,6.2282544849751060900005771013978280922122821044167253241785755594369135010968321e-72,1.0994862152122162473699406734576767825834536485964928440014060041744103089280095e-71
-60,374333857188672012.24227520811560019338151143397619449722242376839946693439899687,5.8527397626684989489955547719408055073893766786706433759747282433023371416302738,374333857188672006.38953544544710124438595666203538898983304708972882355842426862,63958739388405368.532093231253581618424287475377029253602987825763126079362861884,748667714377344024.48455041623120038676302286795238899444484753679893386879799373,6.5264562111075329367399707389406155606872148674088710780390329968480468487514841e-72,3.1182095631766205542204977489901634707454275555848215020021984697529524308170386e-72,4.5447837021184514841095676677987102742997951917845930788687239511762214364142272e-76,1.304406898561464916218354585357372351221360695044455940393980172134264105949653e-73,8.1525431160091557263647161584835771951335043440278496274623760758391506621853311e-75,3.206177576078812567174683129064648340776815135296969464190049913300089706924051e-76,1.6572335166758382508675958408596469880120059293083293868722243475470002825404462e-78,977497790.78841646786009500486845096025016823727568461246607726765465711300460229,4.6972860820276551671168563021234054858546743461820524994413304195614129627744486e-72,3.5474283097807197174637527146576361168019698247602491449109373569586372475171568e-72,5.1844792603350450933549131624760896888833551516274989892315691304799199973719068e-72
-50,205242281159030267.92249043883410046597854857534039417551723554284273728710101885,6.6679328016966692916088895135488550154920944449871896396938978366380585294129441,205242281159030261.25455763713743117436965906179153916002514109785554764740712101,30780496334157108.633705198229688915230424160651212832221752501328360494691357563,410484562318060535.84498087766820093195709715068078835103447108568547457420203769,1.6271923344766748785367948725814000855913923246656263934406261130352853931846519e-72,1.8924954324891762174286636018066283604160758558611089575885542836388645333778016e-72,8.3892281104722128493792108642234506458794022290156814641706819490684586312907514e-76,3.0436421850692616523109665537717876957235460346881647621859709940841823815035957e-75,4.7533471727239823218126480652853399239422466005857292743170463899807929284605999e-74,3.6261112720702799370840944883933177699223306530176836465368274945370374833528241e-75,6.1566435988466255630195672459416911005026174473032084092454136066631562659263396e-79,950888389.52920328114062486741000691067135771254325704055276693331043802177408728,1.9186283493949672022911732042734302414605400285168662110454185218869976345994036e-72,1.6443466600533525148902302394169171171811896836878043434115098486866645200480897e-72,3.2704255450878391435302160869579555284068049932299640013073965151134457378090768e-72
-40,112697483674698873.82605329573159514680284800941570936324820118268735910179410961,7.5966691926980006175501848740568811341553576297252121486268097142556441667299099,112697483674698866.2293841030335945292526631353588282290928435529621469531672999,14835117972890657.935015918974859616220365437967595751800222068906924803228035458,225394967349397747.65210659146319029360569601883141872649640236537471820358821923,2.2992935161083449370628623199519783818139239370275155559487108118976858816739646e-73,1.6712713387818769239047668124891333250023683905257091736297870955470258857479929e-73,1.7920049751820972597676680115310829110065700756205283873924184700599827991562036e-76,7.6003950770445393432685306186053478988039348082278437497867512342885906006200183e-74,4.3111753427031467569928668499099594659011073819265916674038327723081610281386836e-74,3.8986903420904483455728512190629553813856794145202037777516381353142336621401382e-75,8.8554462723136395084528022030668159664763675611895463420653209410908412044145981e-80,912860650.65140749638355107761127044207748399234001936734688459003074592634674812,-2.5231118818525150394406874771580218767836351547402128720221104887685649056929517e-73,4.9862793805955455406121399301867039517452992737801008393212780571224878391114331e-73,1.0144954563398292127782587925017627717873534393828586973436598437385995288451236e-72
