"{'distance': [0.052, 0.344, 0.381, 0.713, 0.792], 'solute_6': [11.88, -7.09, 5.34, -10.85, 9.24], 'solute_5': [9.16, -11.96, 3.15, -9.91, 11.35], 'solute_4': [6.03, -3.32, 5.37, -10.26, 10.99], 'solute_3': [7.2, -7.19, 3.27, -6.29, 10.21], 'solute_2': [10.55, -6.66, 2.43, -3.89, 10.54], 'solute_1': [11.26, -8.91, 8.23, -5.7, 11.86]}","{'solute_5e': '112.0 uM', 'solute_6e': '76.0 mM', 'solute_6i': '112.0 mM', 'solute_5i': '119.0 mM', 'solute_4i': '65.0 uM', 'solute_3i': '148.0 mM', 'solute_1e': '19.0 uM', 'solute_2i': '8.0 mM', 'solute_3e': '115.0 uM', 'solute_1i': '142.0 uM', 'solute_2e': '122.0 uM', 'solute_4e': '68.0 uM'}"
voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1
-150,-0.0088725171869141581205191921242827020793958940092632827330880383614797516576039507,-49715.894383289836872261511043827851512926806415735622109812968675480602688517187,-2246.1674949750020849486874481932207514328145358177577196403823216984158317949125,-350.84611518699341837157986054976862186908858759592719491636601385267641678149356,-25.028072267109552199421415822151994336239276218834277291166953812842481643018404,-50.496552529986309298054525996263334729724576422454345072593926846136193065660565,-23.855035798290358325445344297078228630282998449285738592465505455223476021827744
-140,-0.0081138272986942896011998177082358460197166771364151418339713012659977715329891069,-45720.740901261998456595533288653734411223379843736233091563113822185536672755735,-2117.0963496962283637369072866329030885901507217306680586752403677691110285895014,-230.70847004756885258422409900898114094774586259075329223350001096131681110824931,70.360036708550571760371563801481069126166892991986680689284701487141458690361607,-34.25242866238199029655576018556377907733578339518478200330615339688365925449448,-18.579537994946631929634495514184644989988963972316830814065081760073799496279806
-130,-0.00738676938351315869927901180828556963245754761571664522626695358755872729367812,-41817.441387079181669284920955572757635162744165306365870229665042747895154348383,-1971.5348475566752565527306759203058945313373043551173882542986317177218015762619,-153.13907275993793457635824814204227325755735485235822643979442307348960414964116,160.35059472635870871274344476236126813670249513529325759266049810421791529353239,-22.074678547561350428688335068094981672184298309507368853813411792863760990362403,-14.009586608403802646367102935330490942689804626174191980068820887991546633174896
-120,-0.0066737150852832156537799207566425132298726707184534003419314581759039539006736477,-37984.217407436914840927050709566734206849690743173934647051062876903637867919899,-1790.1677541126242949762208957345391865099220375600827737763364887389561774368016,-102.91379926787105980918387012520426459525449857905961291230837733101002507365816,248.30436996852044544405313068912721598475814400176421206388358574553641718611509,-13.151189509249810163842241547137454384270176414805899444308122157295453817047435,-10.252421272077812549846798587213407066577286805457898454672560380323823709508082
-110,-0.005958299602037329734673841138998359699531476632451306534841951672293250299385283,-34208.798778686465233727192059360331129855729912240670922229225445228994222944937,-1544.7373707909242279301836837617079211040399240183998239252771080639535711814987,-70.210693773963874111361422472066433985786809974622394093431025452280918271806453,337.31018920370331464350166262049820970825004969459204742417295044270819596462462,-6.6735640878848314354863834963741773765458071253059028876473038625854922851699832,-7.3062172476069412714092842729867814040462736719057278699058347257505942582142456
-100,-0.0052266125159015398825815203999709548401428971274909152241236297459842514899942639,-30499.044383649722574231321429696128316856979509930172463979325408571300758815751,-1199.2153729559763810041223007823624772633378337568344335150312730295973638092443,-48.755320361399481865958784339983190276802464268893466667915518537770244258447851,430.30530362026708066115121878741182269524889947733768213832727184549039109772478,-1.9348203121518850120745789361366169231812795879423289229551752555459429769366916,-5.0878420912335203888868708637147930661318039313222734865714625646591010271607888
-90,-0.0044712970969999738596578250014346957714182888762179214282144222358894942430784647,-26892.470867094683909217739154730320670488134294304675999733429431486280737511839,-719.91011509462673557498175215910782659069354781809230089178431144217867592270366,-34.566699146820074031185669112406879579089795430177727020313830158331381211384307,530.58330010137305846463662121263882828675730943708112129202866890044593846122054,1.63732648957499927578168142534297417411645425743740605221584056308330816280079,-3.4739450218335444897242487041352859892015604639591061297626190555870950072054859
-80,-0.0036955799192129019673563958670386468418023245909781532710417814658686745232342425,-23444.499118778994538533262631083373106864303277575298954116089166738657840970315,-95.539731880684399596576092278273009550167358293418439639673813273700242004525597,-25.111247338018295698571782176526429222847280415444172167662633165793858400575161,642.54392484962467875975048210107058856039472646888212550704633217107961418398125,4.4953677408607941487825181999589750946095688978625332288920876144869429389566971,-2.3328947948817934049004018092711200119668267809177182154091501479617464456253461
-70,-0.0029099564387745554928577288342100298947870176368385350007761503637535909883111028,-20181.678276112142709066101923754022555309930351469800605097473425843724791353177,648.71486781937037616276195424787041304811842309165720876504596098561964297105875,-18.743044859593175910137114008111982863776834372938471354064008947433878006530533,772.03753113370054956120728810832917922422216101618292766884290851028035660734056,7.0017070061494530570323373960367724433465686635254211841800664663095935578270493,-1.5418264082401249555745966863123405767806524087923808120888056790737970216413549
-60,-0.0021197919068335991106541540305906862146781660553203699194456967587015166696934911,-17052.826260415488396508885233243821283588323959760480805306427100490886942097338,1465.2153371923165121460297660219254319095096899310653787750176489750562630138868,-14.360937589484347702542849251061154473154727410104275593032928126820668140579268,925.86200567087352394090412793524158639747797666121424373072624716977729033423887,9.447485473588973912104067952286938208852108796509346518458334657190283527222472,-0.9951555158954476521805929771109783076947958426637197027533988316611175097650832
-50,-0.0013149770397304315470597946617858944835342224382073845436444003490440420433116331,-13929.614060079807191459794339864025846471532624327171808805753560009422936005068,2316.4341391046502221161829498585981383499499611497259846419630850647198357782123,-11.214972406740163948952399285341585215580514464827607327032761495094747495339497,1111.1980138821705825616734103904590881213392486030865057823413492112519659041587,12.06503835988194268738614457145806820416359771065417350067114477120341303631591,-0.60920944217828984416076462832775380580871361876791587389943067733790125368330023
-40,-0.00047025075804660768216533324960373247689178549907313542049831041262597904264902504,-10646.740901167712238521583284513741002304613886428444434561484798215295561257134,3193.6097351881728502890687168597339664174580035742381913570846216412351631292254,-8.7804154186859982883185798264875655171169526049554299906760159616986101897402268,1336.05716156337873939878186792084586985842416701604211666790341738124009751093,15.05090811899410995480124923359338306690243433575152326483196620554080979639634,-0.32169146918360177768163943329046401708115090907125435034374200342589078297281836
-30,0.00044921625963495052063919222958904719020704598335184856582816246001188189380576427,-7032.4283795852777253000281775113041892829495123221545076605294009592030127445954,4113.6755983499808194226112112789314905435713807226382482609303422527457107288329,-6.6483325406949056754493135696457556488166856996600767701163904556144271043802438,1610.691609371440580059652738853993124863478744996682215827490771189241635015093,18.599611639675316344459767591017388554438540441684130299123872831558672647395539,-0.086269206443865068788399754845378826743173957594209836251798361393084985263917585
-20,0.0014847533144232968275864849308785108978282875820659286188903972004001225832110537,-2911.5616143419666931247313753011966906595810033089766949706100899550432042464019,5110.2015938254757945548788319172915474982148730299661787569120491602107435772138,-4.4388134267756461228129206004968778003070452848965210368855269326787143418953647,1949.3902528898126902729196778963408106514130556720240605371283037381511897248295,22.939178983007268509909796058219034018548058617852650024488777326056559881569027,0.13424820873951477868065867871454753190463534731694152953339032871443495689816799
-10,0.0026851633038397529506249140979782737720548309163696622180364230156270715246238653,1906.2079838737648310026431742439760603445663368983949848635030094649902489573953,6229.4857138724208718597620264675081975284960243779227625291811417981785565485187,-1.8144795754605540077965993625015896355806976991755542023800199545459499271810767,2372.4699300322647050565511871715038537692454950121801787730646580276222294140762,28.365551305544656020333723199813792814833961207154343645709978090193262717462066,0.37377300905616641754323623767071045001586457739897401122449773138099610594449178
0,0.004110014314649621994387734832309274956323605324815123902606700284290306683248659,7640.8754359155495531115174108008015731604606140342171012863712559558304257940275,7532.7073347732461307369717768628356738369108222157828211836148618577025811605555,1.3304428993844073312826601613374986584661589708635516045610081164839723622117356,2908.6241403166031515755513950824342913777830209287059818355500434740354014354123,35.279030362262715711513179343946826453123733082523515289013157286200164369115328,0.66773081899077799657989999209124386673749384433900022973898329943666958782616361
10,0.0058339695714540103127962733144169037929749733578317633013203352677625275568613121,14554.590797277398019155687994039929158071079721461703018273165377359074545162356,9101.7316077597275387163562902268594717626559040453885401593291543902435640595056,4.7975473685709470005243288753695271774281263676734628844119506250165722131954118,3597.9948458233274747452297219289425952630659191076172304592153249225040714586902,44.231966259445175907362527484629190205393015471499044837163419393154716458586494,1.0576842788993934993223646112623489711952915742441494059669918269166461217371207
20,0.0079517853564427873348616559744463625765875586931517874256519392405763559302520559,22962.100946731282179866292786079820340751973045411517725400726797010488453326698,11046.794975596416837735980424249986242910960259396594208387401338884672110919387,8.470718507690475014952427659969575715760704896573765950917633830550861129934005,4496.3190940702576653839818879794403445019933725441300634206874542328631318169837,55.9970012228274513811485234696062116699662436721312273073185607273536291118652,1.5967815686519927947495410072408856141285972077796247815921565306480728184744001
30,0.010583602296000260824740008580102872160263940269587584684033889401331599959635354,33239.699631861726876884788166952895426404674162477508117904850257834033002887949,13515.452071683477400389802458287342638140727556756652419461149510164726172450917,12.609394550487556297716341011353935557056515978885788781354998245985764166963709,5680.1354632326186733408223536143633204210968228939578019930358439555604174351939,71.652177989736595347463597834157079296005181320505598494004309245926354683389096,2.3567917098655459769715138637011271390214480271652348625187451469646848396330182
40,0.013880533414854565948775226613876166962580601532319591181949444192662163019883426,45833.117429675444326284431352739907724021881577145400014475873829860224707255179,16702.989778027969241310662906139650213591292647552111880253158409317136499531008,17.744899687830637641578903564209005980789360222434051023335297965073608034844127,7253.1389970188562062079597395015086994100399919780779744639725461038423702336927,92.682249994461069897973041868859282951031368553162462177941667707871874351863615,3.4373132924291253047641179283134247610570470728529334452630654120836541036618106
50,0.018031088368392926308909741543587531812224449121852691451977775645455795176981887,61264.71739223720177000490689792271672123927560279904513541743604171970708091638,20865.016425477852338791336127936900622348949484791752944890746475947550060292561,24.573818581540355080691558271126831623192079597679050309436103473663364377780615,9354.0772305187219916456053639313296475338189004008991357230644939972261173256778,121.10584314183136588550254673888673589855571923988520172934321673464588212655545,4.9777584978609990789472625334659375529123305085878882828827627474197130597374664
60,0.023268879701326925666401830299938875639610905558110458734503910187063109095976462,80140.236072284346045835158786355259805377814891469162316993760958648228971382385,26333.10108535648474618565408523180673486764638832066637229187946916849197264681,33.99251523040175410842812304034616373254767552893069612324582245332912509886406,12166.539553530236079046233404991778691559352028671152282321857489354220380251595,159.63600105430702585805188873126198066643228675889254995017873107061384694981951,7.1728094088077523176660084825430317398772295120290423886691272464110988410061043
70,0.029881950535998613070028927269247794627213378659166735376355422714891930135326171,103155.28732036327759944879144225908786737830927549060330443832114734360953570633,33534.337165473380251890878996491845721489716630505158915997358865714104851248498,47.207355517513755178014244122509094995253969930693810172435624297455414756757876,15930.980951080746763477522552463504797840690323886175137882505559316410280325811,211.88065430611613569505524554719374421704683422815389367034019290178591984831249,10.29211989405096025824620255761719852022248907258028230685970330808809628373745
80,0.038224112217587732915852723252786486486155143827822017575472604570701980430375102,131101.96250249910351581551645907991371167446355200009188548502075710588566430498,43015.722187769163446607949411277858435513006219139726848128043298481688119246405,65.885438712598138671063148012994983720609350598392325169912783124352432839532639,20959.38261347692514896348594935887470764016425562511239792680224777932955956305,282.59262164803313052498638461065528808115810822627872109098963900656221633618233,14.704935124361774594063347258553594602197168512307425882358328963144730737831205
90,0.048728764569950858394293792248205450410411123215774852635182600869899432058241546,164876.03781195076089770612549908067387623625143152365266681064394622830370237906,55474.377963140358443905654073104780664024362516656419030963101001742211081741866,92.350578701262733968116696283349332672017560327880768956000284318658598671663893,27652.912992665797116573109149148573630880592670987532184337407359556910183307188,377.98223132747913383942630973822150660993620737878690907521144961124453453837319,20.90983170608111130684885858072367373338095533369141891371097888465268596980775
100,0.061925753160749737956348035935500183659727448607015290781087746849267644550493953,205485.50161151397100045936060009192579985369558406684734715124846210731186798987,71794.916856446552399022817690945892090569209964685614074276027004743528262451339,129.84390708645181165251607204871981130399675794978028433201785772147331601586427,36522.653374915184127779211122284342752059524982559030614222283136828106817373321,506.10803021279981602114768069529089524920884780454936485846838061277738315185877,29.56892301022400497429870546994150036887237461459493823927063393584493315482304
"{'distance': [0.052, 0.344, 0.381, 0.713, 0.792], 'solute_6': [11.88, -7.09, 5.34, -10.85, 9.24], 'solute_5': [9.16, -11.96, 3.15, -9.91, 11.35], 'solute_4': [6.03, -3.32, 5.37, -10.26, 10.99], 'solute_3': [7.2, -7.19, 3.27, -6.29, 10.21], 'solute_2': [10.55, -6.66, 2.43, -3.89, 10.54], 'solute_1': [11.26, -8.91, 8.23, -5.7, 11.86]}","{'solute_5e': '112.0 uM', 'solute_6e': '76.0 mM', 'solute_6i': '112.0 mM', 'solute_5i': '119.0 mM', 'solute_4i': '65.0 uM', 'solute_3i': '148.0 mM', 'solute_1e': '19.0 uM', 'solute_2i': '8.0 mM', 'solute_3e': '115.0 uM', 'solute_1i': '142.0 uM', 'solute_2e': '122.0 uM', 'solute_4e': '68.0 uM'}"
voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors
-150,3489993248125.5884784859181958343245290891053755338064825591872743995951046835235,123.38504182021345601963093496326267881118163371668928713025883866996727566395032,3489993248002.2034366657047398146935941258426967226248488424979872693362660135562,28285383678.930221179318638570529611005236090593387016852610080018064603550392463,6979986496251.1769569718363916686490581782107510676129651183745487991902093670469,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-77,1.6732576575495486461686056734175774169037250706095295183483425473451646618627202e-77,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,3.0226589942830556188852231519801398498906001275526984847582962145590071311068495e-77,9.7831596913179255521954767195785776391548441628379750064721640873003579020199369e-79,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,45857.84780927568075976204162090547878634672155820645140348964750080212914664181,-5.426915835833020241938015900915747503556872036090051729008626637671942004569817e-77,1.4693337091666537235437974557620701498910209932712437782396435404627483700900026e-76,3.3170405910182558024710306942672640693763486759418961723573061749561941528490099e-76
-140,4944962366701.1407775659450661670141684229330414091923331778302462165364851005962,155.85247505705564526708494473575638818934632200978229112518034838099825389003416,4944962366545.288302508889420899929223687176653219846011168047955091356136719598,31728481468.714897174547080931139296254651301218696106074341259696081122878315446,9889924733402.2815551318901323340283368458660828183846663556604924330729702011925,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-77,1.0201474105705312713737628137932971993380775430490357386059249724136649067485617e-76,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-78,1.6867516709168837158957718482032030412335938211789612080124420840173030865551615e-79,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,40252.081688087072444109242895769000272895600233090058883403835437601371509047971,-1.3636020199118830374215870475973359971071562615275726703678999305744656279045208e-76,1.4918406971188787049336713578185701463616528253380771175164841083599487218252744e-76,3.0779710774784151570063161219698724883805724123558068018582765945288007180953342e-76
-130,7011352094429.1175370825352017563457975235571024968051475937817351081467932769784,196.86336060738655256455602884487467081714980879197520086326444175626763295293993,7011352094232.2541764751486491917897686786824316796553388018065342448823515207108,35615322591.247297261970378085314562688902859942507550954198752956347174782254628,14022704188858.235074165070403512691595047114204993610295187563470216293586553957,0.0,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-78,5.1277250795873264963231464185377372453501252163840420723578239354126013831276911e-77,1.2954252832641666938079527794200599356674000546654422077535555205252887704743641e-77,2.0510900318349305985292585674150948981400500865536168289431295741650405532510764e-77,1.4843414704068576699882792264188186762855625626374858630509490339352267161685422e-78,2.4708276429446538807066970432664107049320221989926189570494757090097213181960374e-83,35329.74721781754573064047293217055451372926693898653759658021310711309074557069,5.3450911572924234785577396389942169173708046591760087464631059014173591324967708e-77,1.126988561506050225296196618891073411370683315272750591874599379220678789578891e-76,2.8200192432248623732963329089133851126321789822211112051632493040085314301194006e-76
-120,9945657930683.8988160129547018490993601253444414369632308653284123940961686301953,248.66581512706889604626483740685847744582002422818384047394062853849754100292028,9945657930435.2330008858858058028345227184859639911432066371445719201555400916978,39996080384.437406626981781572017859553163860988405584589715891959505753879933176,19891315861367.797632025909403698198720250688882873926461730656824788192337260391,2.0726804532226667100927244470720958970678400874647075324056888328404620327589825e-76,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-77,3.2520572215277518042470481233357754634983688872330372090479883379853603508783514e-77,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-77,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-78,1.2144612030601562754449557307063061896881875512488520697689583004924582223197163e-78,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,31106.67823009246844995574729798137215790486328408479271449065948829268480366591,-1.2665685280759275358291939303893143314941242094740137163191939481572013427878674e-76,1.5630098061250747344098591401755269901483572163706136290104732038141641512872259e-76,2.9949485313421845442669061919430636249075537364520820218244797711997436259605435e-76
-110,14112017007509.891143208507239553792870642570779363589836445275339592082508167884,314.09952274526747855322384014140157048475812636894860699691278636693415598743106,14112017007195.79162046323976100056903050116920887883171007632673259516972180095,44928489174.925103198999021165153521021377414200392792849605854479349012551930922,28224034015019.782286417014479107585741285141558727179672890550679184165016335769,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.5113294971415278094426115759900699249453000637763492423791481072795035655534247e-77,4.2910962508125521732388435818289485368982626810792773131836526617400190521963309e-77,4.7498927053019445439624935245402197641138002004399547617630369085927254917393349e-77,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,4.7229046785672744045081611749689685154540626993010913824348378352484486423544523e-79,4.9416552858893077614133940865328214098640443979852379140989514180194426363920748e-83,27647.264399988069667053327064417126390884787587442325222691734189896096352990138,1.3003115835204001657252695517577745455383303913173876743767685606426581814099113e-76,1.4211059888014482207920704387983366151784619021811152815331101421424801596109735e-76,2.9503549721832973966463469559953595394328358044051516128338174570408856987633911e-76
-100,20027377677858.605132723376332616937955246342060620818026184586414784432165333218,396.75139961795729643250335659055500219951226097821158476469820726117397193675886,20027377677461.853733105419036184434598655787058421305765206374830019733958072044,50478404605.865313393026805938740062343939689359945742656536814292321177222688169,40054755355717.210265446752665233875910492684121241636052369172829568864330666435,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,3.0226589942830556188852231519801398498906001275526984847582962145590071311068495e-77,3.5826605490274610125626194055836032595801532761841136058184269864527517558431631e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,5.2289301798423395192768927294299294278241408456547797448385704604536395683210008e-79,7.4124829288339616421200911297992321147960665969778568711484271270291639545881122e-83,25074.509254643645100503171487189562684402307374913013821567851679384247698635363,2.4243206651700580809219602699020198471121766084528680792419300213461938686941776e-76,3.2037822327595483763544004664723073993438019504285618612121705103804018982426655e-76,5.427056950166801427842980190160668301089516238252967255412180593701063133470285e-76
-90,28425623914878.406747347911062150531266048040159426588588980075312669355885592725,501.15221991746804962134235507738028306942936877766031421869633427948004581116704,28425623914377.254527430443012529188910970659876357159220202414998450659551313245,56720538760.777440909676350236129946942555718392516116777360456981753618074215256,56851247829756.81349469582212430106253209608031885317717796015062533871177118545,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-77,2.0173549984165929242113431304510308373153782101300376047828807324846944915199732e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,2.6988026734670139454332349571251248659737501138863379328199073344276849384882585e-78,8.8554462723136395084528022030668159664763675611895463420653209410908412044145981e-80,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,23564.663956480073932658304017130139753659919988857987150493444364866735795079441,2.3836792347074249521567358216879041437393051995589923523837659775108301014815973e-76,1.880628544267281177987719183120244625208854933077208164331623996946871614432994e-76,3.8357414419447041218418179740347027493363549068676327408953799355432382817214518e-76
-80,40348608624643.218947517742536423258904229713736167763916652799526131548094001786,633.02498181493205866133131707676013209500722315088731596023691703828531489427491,40348608624010.1939657028104777619275871529536040727566935019122101713111769635,63739362242.799023530531415518709004564143650281860165813450693364793896655341469,80697217249286.437895035485072846517808459427472335527833305599052263096188003571,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,3.8862758497925000814238583382601798070022001639963266232606665615758663114230922e-77,8.77110868876779532265801361065665581441468787013059828166469883688997605008684e-78,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-78,3.289165758287923245996755103996245930405507951298974355624262063833741018782565e-79,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,23319.987679852729983634196478303551896815503446719527096666625194407465734713716,-1.4038115715897030193445166112395756101072955620434909490491176143074757886129204e-76,2.8567896171172192457629236490650436960135358237967512079976530779214854021378167e-76,5.9015128180276868724312840775171170183820149640630814757087096272341755671285618e-76
-70,57275387797234.422517036997883225682479618556402850469714274274214284798127164314,799.59862827263821937865744921211655391314251794565172168012275454908695328265937,57275387796434.823888764359663847025030406439848937327196328622492604675372615227,71630172654.204829114350096093993322663053991768748216149482674679847420354827788,114550775594468.84503407399576645136495923711280570093942854854842856959625432863,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.3386061260396389169348845387340619335229800564876236146786740378761317294901762e-76,6.3151982559128126323137697996727921863785752664940307627985831625607827560625248e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,4.1747103855192871968420353243029275270531447074179289898307941579428251392240248e-79,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,24531.804778391504362482099059113287539275386607687583805389839865403089772326692,-4.2321158401811240941888603250219754896438154266061748488916389868870415967920964e-77,4.0377693199151451105295995181761840874805324361357570142388365791416799345642916e-77,1.0582777455349338223533212177519088171036112045397941698489977140883237960197288e-76
-60,81305685911696.923820754188044243918013735340835868760576817038939080255088407763,1010.0043200544717816634866873844993530606359443336747378118533800648019461146557,81305685910686.919500699716262580431326350841482808124632483364201268401708342961,80500334797.88673295952449212818635103548061181334275314461562891248268713191324,162611371823393.84764150837608848783602747068167173752115363407787816051017681553,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-76,6.0453179885661112377704463039602796997812002551053969695165924291180142622136989e-77,2.5250672513625749226959704567601949527266899503049049283946257997739027205730768e-77,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-77,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-78,3.7951912595629883607654866584572068427755860976526627180279946890389319447491135e-79,2.8826322501020961941578132171441458224206925654913887832243883271780082045620436e-83,27363.015004967548189846653020365251256602273609626459822454412262258737224364249,1.0909761079169294315155898989317609998972386188575159929684722738801547875478183e-76,1.2378520295503818434299178213942561486637289273922454501323442169082313859784873e-76,3.1495693913493609477764022300209512056461395931705706287507865564906004050916415e-76
-50,115420349938834.37948698518245649891694501959928011591250605849746171628916397701,1275.7759836737370903599662240857457541448593490545483890388506027486973693452213,115420349937558.60350331144536613895072093385352597105315700394907267743856122832,90470702863.10673664498243188035943034738386428155628380760354110920223578434748,230840699877668.75897397036491299783389003919856023182501211699492343257832795403,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-77,7.3474902785139454664419821707731524476135346850555550221021977179793722450342836e-77,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-77,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,1.6867516709168837158957718482032030412335938211789612080124420840173030865551615e-79,4.7357529823105866046878359995939538511197092147358530010114951089352991932090717e-83,31968.187724707019453727797044500317170572750443230155759171154466928577695246472,2.9991745781228253738646191829213175644812223703896839027297747933621496308730202e-77,1.5812497822401275990731366171982045106770410394933905713420741058008264733500963e-76,3.4123963341396152359108145101268094627597413479244894511712627598279334450802783e-76
-40,163851099070778.89722861449498196690062707081631201251092367037543001214075278604,1611.4825730952429590131409862487781628867663282462747354820424412251991666923188,163851099069167.41465551925202295375964082203814912574459542410069453009831156084,101677239212.12696608029937091133921227056386377641018661641826174271733635646347,327702198141557.79445722898996393380125414163262402502184734075086002428150557208,1.899957082120777817584997409816087905645520080175981904705214763437090196695734e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,1.2903650282514160426602654638754503265436992732019053241295181942732368612146986e-77,9.0679769828491668566556694559404195496718003826580954542748886436770213933205484e-77,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,8.9081572620297921245745450733231660615149173681013888798157097562163819258694469e-80,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,38540.016511244336988693651743340054973389585825350681774487096636627973328875636,-1.8992048615877083551446920199502671263251422493853154072883685732906510019825643e-76,1.2324231165633119448963030847762039865425823104182442094025524248024380753366667e-76,2.6059024360220668465822842690225675674925064954669140421750538561190288974647789e-76
