voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.132065495825637e-05,-0.6534293113139111,-0.00015941478327046062,-3.36572693110633,-3.7644417656094822e-06,6.929961292664541e-06,-60.5150525404294,-150,7707859854813482.0,0.010454841432406244,7707859854813482.0,7.3725267902408269e+17,2.6150967280145211e+19,1.4925252417086199e-05,1.34621738621707e-06,1.7499690784461563e-05,5.048882674309203e-07,1.060848702993944e-06,1.2248850111973297e-07,9.738967173943819e-13,-7.0829018628011564e-05,-479.70476203068313,2.2352173083297029e-05,3.6134087661588895e-05,-150,-2.132065533461641e-05,-2.132065495825637e-05,-2.1320654360719692e-05,-0.6534144002131779,-0.6534293113139111,-0.653429325465595,-0.00015806860975177653,-0.00015941478327046062,-0.0001594148271379936,-3.365742782439611,-3.36572693110633,-3.3657252827488264,-4.2693300330404026e-06,-3.7644417656094822e-06,-3.7653383415658936e-06,6.990579535570696e-06,6.929961292664541e-06,5.929730832576752e-06,-60.51505250324499,-60.5150525404294,-60.51505262573349
-140,-2.783995361284792e-05,-0.7131040333580392,-0.00031829496364415004,-3.298169907060358,-9.189066275054544e-06,1.700625593268613e-05,-80.87417024486588,-140,6977223069218865.0,0.010392300195147183,6977223069218865.0,6.7138390329380288e+17,2.5413692173792395e+20,6.73703531850478e-07,3.84630884768506e-06,2.5738267783737e-07,3.5399258421030374e-06,6.604836795265356e-07,1.2905809398944257e-07,6.924172505165267e-13,3.3928311489565984e-05,-590.78654553270303,5.3040163003701998e-06,9.1966634474802944e-06,-140,-2.783995292043067e-05,-2.783995361284792e-05,-2.7839953607212196e-05,-0.7131033596545073,-0.7131040333580392,-0.7131040182750894,-0.00032214119599886765,-0.00031829496364415004,-0.0003182948871511826,-3.298170164443036,-3.298169907060358,-3.2981701631833857,-5.656501080994041e-06,-9.189066275054544e-06,-9.196426923097079e-06,1.694523827100447e-05,1.700625593268613e-05,1.7605721950531006e-05,-80.87417028718482,-80.87417024486588,-80.87417015812673
-130,-3.6760843560423296e-05,-0.780199945798208,-0.0006566623769500049,-3.2299389329206556,-4.047224415653467e-06,3.874285108497623e-05,-108.71869702831543,-130,6315852214640243.0,0.010330133081817518,6315852214640243.0,6.1140085656369984e+17,6.6785083044921852e+19,0.0005438472327780053,6.09634164138893e-07,0.0005480835634443793,3.474093874830642e-06,1.2188200116280967e-05,1.1746155337277742e-07,2.981372764496778e-12,-0.00057235546967719414,-722.74194248129322,0.00076444907516788065,0.0010984813019156391,-130,-3.6760843267659816e-05,-3.6760843560423296e-05,-3.676084624903258e-05,-0.780743793030986,-0.780199945798208,-0.7802004436839525,-0.0006572720111141438,-0.0006566623769500049,-0.0006566624498560714,-3.22939240769756,-3.2299389329206556,-3.2299404912610044,-7.521318290484109e-06,-4.047224415653467e-06,-4.0532942549020845e-06,4.020540995908206e-05,3.874285108497623e-05,2.8017209842801094e-05,-108.71869708392569,-108.71869702831543,-108.71869696646414
-120,-4.897335393821001e-05,-0.8568394865977913,-0.0013417593355515526,-3.159938532288724,-1.0432474927820462e-05,8.449175126006632e-05,-146.82486162765662,-120,5717180859002119.0,0.010268337854394453,5717180859002119.0,5.5677763432329856e+17,6.9614362736736453e+19,0.00024248277044680577,4.2505707577842645e-07,0.00024169048424482753,4.028374828706152e-07,2.117608452145703e-06,4.0181760141422274e-08,5.231778416525321e-13,-8.0664705563183561e-05,-877.38315672569433,0.00034011161489211491,0.00048503193403033981,-120,-4.897335424978228e-05,-4.897335393821001e-05,-4.8973354461387854e-05,-0.8570819693682381,-0.8568394865977913,-0.8568396313035009,-0.0013413342784757741,-0.0013417593355515526,-0.001341759326678016,-3.15969721213537,-3.159938532288724,-3.159938902619615,-1.0029637444949847e-05,-1.0432474927820462e-05,-1.0430303497344084e-05,8.484873898506606e-05,8.449175126006632e-05,8.273113053292036e-05,-146.82486165003866,-146.82486162765662,-146.8248616098569
-110,-6.564604227527616e-05,-0.9429141431339337,-0.0027335210165799983,-3.086202660167816,-1.3682052259378037e-05,0.00017911459471968232,-198.84280630452884,-110,5175265072045585.0,0.010206912288243126,5175265072045585.0,5.0703532330798368e+17,3.753286275965132e+19,0.00033970372180702757,9.955703328080531e-07,0.00033802673078753287,2.8094904403960785e-07,1.2227157858646365e-05,9.810150913835969e-09,3.112156623445543e-12,0.00038716381230097165,-1055.9732150498494,0.00047320242583949294,0.00068374169330015163,-110,-6.564604105284266e-05,-6.564604227527616e-05,-6.564603916311954e-05,-0.9425744394121267,-0.9429141431339337,-0.9429127498447087,-0.002734516502145258,-0.0027335210165799983,-0.00273352093181245,-3.086538692067734,-3.086202660167816,-3.0862006653369463,-1.340168956564039e-05,-1.3682052259378037e-05,-1.3682638609679998e-05,0.00017614494005080417,0.00017911459471968232,0.00018837209790945053,-198.84280629471868,-198.84280630452884,-198.84280630156877
-100,-8.82285162005968e-05,-1.036927950466364,-0.0055598302044687214,-3.00515745080009,-1.776784807428019e-05,0.00037245790372639225,-269.3041611950283,-100,4684724411802881.0,0.010145854172036527,4684724411802881.0,4.6173780268936582e+17,5.363987423297509e+19,4.480499492864887e-05,1.0525984938053803e-06,4.127312968194019e-05,1.4596225473663199e-07,2.9373500201046454e-05,4.871844794251956e-08,8.18197953508272e-12,0.00071018920372020364,-1259.1766891809848,5.8275497936868116e-05,0.00010696786918601717,-100,-8.822851342183556e-05,-8.82285162005968e-05,-8.822850801861727e-05,-1.0368831454714353,-1.036927950466364,-1.0369227318033154,-0.005558777605974916,-0.0055598302044687214,-0.005559829966870211,-3.0051934928396804,-3.00515745080009,-3.0051522197099985,-1.791381032901682e-05,-1.776784807428019e-05,-1.778931797957739e-05,0.00036283274583226444,0.00037245790372639225,0.0003922062460333109,-269.3041612344314,-269.3041611950283,-269.3041611857129
-90,-0.00011829055571246917,-1.1378091838099682,-0.011236988854459213,-2.910319396432004,-2.4896310824979362e-05,0.0007648012914176611,-363.1190371272763,-90,4240688505588116.0,0.010085161307675873,4240688505588116.0,4.2048792044213555e+17,1.4585186511927558e+20,5.162058000962588e-05,3.3674672632148794e-06,7.521278257627273e-05,1.105245185437434e-06,4.0587525205637576e-05,1.1207276884306339e-07,6.931781998441647e-12,-0.00071698661032058917,-1487.5620411988107,9.6893145083536611e-05,0.00018277674361870706,-90,-0.00011829056264425117,-0.00011829055571246917,-0.00011829055873652041,-1.1377681950180403,-1.1378091838099682,-1.13781981559805,-0.011233621822023965,-0.011236988854459213,-0.01123698928928718,-2.9103825539577883,-2.910319396432004,-2.910307341175212,-2.3882553865808495e-05,-2.4896310824979362e-05,-2.498779905124593e-05,0.0007824192506689087,0.0007648012914176611,0.0007418317254632711,-363.1190370152035,-363.1190371272763,-363.1190371243529
-80,-0.0001569018976157734,-1.238920235928473,-0.02244101015296537,-2.7902096551385966,-3.1365428255619656e-05,0.0015613296201234747,-483.6521311355243,-80,3838748695140857.0,0.010024831510211496,3838748695140857.0,3.829240113642439e+17,4.2714068796362367e+19,3.0992931300488635e-05,6.532230837848901e-06,5.0278692242500256e-05,2.1609857350334948e-07,7.158892096015279e-05,3.726753448063391e-07,3.0929378388956305e-11,0.00086829406326384135,-1445.3373032352524,9.2573626242671363e-05,0.00019775758822808718,-80,-0.0001569018831187496,-0.0001569018976157734,-0.00015690186668639502,-1.2389253098429833,-1.238920235928473,-1.2388943169116828,-0.022447540323905998,-0.02244101015296537,-0.02244100809306815,-2.790159376446354,-2.7902096551385966,-2.7901820839906577,-3.1581526829123005e-05,-3.1365428255619656e-05,-3.141050873978202e-05,0.0015224336939212435,0.0015613296201234747,0.0015940226148813963,-483.6521307669027,-483.6521311355243,-483.65213113957805
-70,-0.00020296653298027765,-1.326044198180631,-0.04392060187565352,-2.6257676801662315,-4.1124729346641914e-05,0.0031977865651941694,-627.5304470042702,-70,3474914265837944.5,0.0099648626077641668,3474914265837944.5,3.487167262226425e+17,3.1204813527447749e+19,2.581635476417432e-05,4.117874862187565e-06,2.9788346014747447e-05,4.0308908631769835e-07,4.292461426302907e-05,1.7793513507058378e-07,1.2938798849611993e-11,-0.0003426591178411568,-1214.101424954149,4.5705473983082767e-05,8.9301979869358577e-05,-70,-0.0002029665407649242,-0.00020296653298027765,-0.0002029665459190765,-1.3260384986767804,-1.326044198180631,-1.3260643150315445,-0.043924719750515706,-0.04392060187565352,-0.04392060408915199,-2.6257974685122463,-2.6257676801662315,-2.6257692901490373,-4.09990066601168e-05,-4.1124729346641914e-05,-4.14020957464345e-05,0.003225662935165019,0.0031977865651941694,0.00318273832090199,-627.5304471726267,-627.5304470042702,-627.5304469946916
-60,-0.0002498262755478143,-1.371638689939355,-0.0827653459268465,-2.3896605023937876,-5.0679235753885686e-05,0.006645328246665597,-774.0523860534317,-60,3145572825401270.0,0.009905252441446924,3145572825401270.0,3.1756614422456614e+17,2.6291123010534932e+19,6.17455054907623e-06,1.438721779874197e-05,1.697303104508663e-05,7.716470703713479e-07,4.866469737407897e-06,8.181682460417505e-07,6.6295908649968704e-12,2.1805528143757012e-05,-989.31506075925643,2.9468592300650386e-05,6.4518798523161054e-05,-60,-0.00024982627899595435,-0.0002498262755478143,-0.00024982628217740517,-1.3716423790611998,-1.371638689939355,-1.3716362045106507,-0.08275095870904776,-0.0827653459268465,-0.08276534314362038,-2.3896678422170226,-2.3896605023937876,-2.3896774754248327,-5.129911211967063e-05,-5.0679235753885686e-05,-5.052746504929928e-05,0.006642107309687617,0.006645328246665597,0.006646973779425025,-774.0523852352635,-774.0523860534317,-774.052385989564
