voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.039449416380570805,-8.73615653100982,-1.6567833963200618,-122766.03786778911,-0.0588475049949242,-0.11998432994835467,-697.9392855693004,-150,3874244516390.8359,6.0213403684743403,3874244516384.8145,643418953141.23792,7.5236040912984282e+17,3.3295135040134483e-06,4.73279568069529e-06,3.733541234396398e-06,1.156510335942329e-06,6.927840351389492e-08,1.362757302558748e-07,1.5523138330308939e-12,-8.4939564856354305e-06,-27061.182776817775,8.2861447846151865e-06,1.9917646415515868e-05,-150,-0.03944941638058253,-0.039449416380570805,-0.03944941638212312,-8.736158660510057,-8.73615653100982,-8.736155330996553,-1.6567808894434322,-1.6567833963200618,-1.6567856222391129,-122766.03786923185,-122766.03786778911,-122766.03787152265,-0.05884648160207506,-0.0588475049949242,-0.058847638112411005,-0.11998439922675819,-0.11998432994835467,-0.11998437092552194,-697.9392854892649,-697.9392855693004,-697.9392854330247
-140,-0.03495738749803401,-4.81237317951414,-1.775648727979549,-108637.24059046213,-0.06503793169251713,-0.12368224317324114,-922.9972445824751,-140,3871151626644.6147,7.4254247401094116,3871151626637.1895,521337399830.35291,1.7438266788506708e+18,2.938308227840025e-07,2.4796454454190098e-06,2.7625210350379348e-06,1.2211722757449195e-06,7.604250533699286e-07,2.8004103569401195e-07,1.111978564782845e-12,7.1746445170027574e-06,-29760.059756439066,5.7584958023205637e-06,1.4054543869748494e-05,-140,-0.03495738749791938,-0.03495738749803401,-0.03495738749692203,-4.8123729821032555,-4.81237317951414,-4.812373275934078,-1.7756502614347482,-1.775648727979549,-1.7756477817893028,-108637.2405896076,-108637.24059046213,-108637.2405876996,-0.06503676826185556,-0.06503793169251713,-0.0650379894341313,-0.12368290821194772,-0.12368224317324114,-0.12368214778689435,-922.9972445657477,-922.9972445824751,-922.9972448457887
-130,-0.030676519161286765,-2.674606228943721,-2.0473955126515073,-95154.95719558877,-0.07573729635582113,-0.13175388233137128,-1169.2420303396939,-130,3868062438273.7041,9.1569200870468723,3868062438264.5474,422419591030.97986,5.690471214093961e+17,3.5413245313975494e-07,1.4452227907746362e-06,5.050518666394055e-06,1.2199896830544787e-06,2.8773819996108507e-07,7.450098564731888e-07,2.021060402368491e-12,-1.3592224918091477e-05,-32757.298991480227,7.785000648796027e-06,1.7286361409795866e-05,-130,-0.030676519161259325,-0.030676519161286765,-0.030676519163280385,-2.6746062559657275,-2.674606228943721,-2.6746059018332744,-2.0473968721711486,-2.0473955126515073,-2.047396957874298,-95154.957195125,-95154.95719558877,-95154.95720017552,-0.07573621340284964,-0.07573729635582113,-0.0757374333925327,-0.13175417006957124,-0.13175388233137128,-0.13175403675995767,-1169.2420302010141,-1169.2420303396939,-1169.242030946024
-120,-0.026671101420893416,-1.54263166796533,-2.4579631690470025,-82537.82113310628,-0.08990696665518515,-0.14612279627072375,-1402.3066429232567,-120,3864977234681.3374,11.29217363521848,3864977234670.0454,342270439645.65802,3.6432561308952064e+17,1.565562797622988e-06,3.665746525882696e-06,8.000497473403811e-07,3.319087152134359e-06,6.108200614196591e-07,3.172267497575376e-07,4.3191838994260934e-13,-1.1089510583538802e-07,-36085.845398178979,6.1625165485286783e-06,1.5098510336769151e-05,-120,-0.02667110142098067,-0.026671101420893416,-0.02667110142054875,-1.5426318246486517,-1.54263166796533,-1.542630259085854,-2.457959562479182,-2.4579631690470025,-2.457963228225708,-82537.82113390633,-82537.82113310628,-82537.82113316919,-0.08991028574233728,-0.08990696665518515,-0.08990711062551782,-0.14612219076319888,-0.14612279627072375,-0.1461228015832603,-1402.3066427349113,-1402.3066429232567,-1402.306643052138
-110,-0.022985436717518862,-0.9458470827288927,-2.934930062529396,-70944.03019068866,-0.10552875444255756,-0.1687636533971738,-1583.4281902289367,-110,3861896365819.6177,13.925335614569789,3861896365805.6924,277328782063.89478,4.0925628644438848e+17,2.967951854060402e-06,7.671482769922022e-06,2.020286046899855e-06,9.514371248853237e-06,8.255457272232647e-07,4.779906248586485e-07,1.3010391375356534e-12,-7.9352369330974764e-06,-39782.273824766402,1.3141930230781986e-05,3.1004263447583671e-05,-110,-0.02298543671737287,-0.022985436717518862,-0.02298543671867391,-0.9458478920990956,-0.9458470827288927,-0.9458500506807468,-2.9349362377001924,-2.934930062529396,-2.9349285662174225,-70944.03019201211,-70944.03019068866,-70944.03019270895,-0.10551949511425929,-0.10552875444255756,-0.10552900948550814,-0.16876447894290103,-0.1687636533971738,-0.1687636816786835,-1583.4281903947704,-1583.4281902289367,-1583.4281899167797
-100,-0.01964512720478196,-0.624165771133578,-3.240142968625805,-60467.85346732385,-0.11957195591364476,-0.2013147347972715,-1684.8830702621199,-100,3858820263707.3213,17.172510646986169,3858820263690.1489,224709149584.05087,2.3029641368657968e+17,9.300667205280888e-07,1.2774335565346462e-05,2.7991918614134192e-06,1.3272974688671724e-05,1.5407401474654137e-06,2.5312465368187986e-07,5.29101068513782e-13,1.2816826241547342e-05,-43887.183947538149,1.8822781795914563e-05,3.6315757014860113e-05,-100,-0.01964512720455237,-0.01964512720478196,-0.01964512720425286,-0.6241648410668574,-0.624165771133578,-0.6241654710902367,-3.2401557429613703,-3.240142968625805,-3.2401441037654877,-60467.853467079454,-60467.85346732385,-60467.853464524655,-0.11955889150794485,-0.11957195591364476,-0.11957216448263353,-0.20131625442964607,-0.2013147347972715,-0.2013147136894986,-1684.8830702384003,-1684.8830702621199,-1684.883070491525
-90,-0.01665993896759243,-0.44188988540721735,-2.7158916142551757,-51143.76799216453,-0.12880000010748419,-0.24444496568095883,-1700.2716735760914,-90,3855749461566.2261,21.176877174314605,3855749461545.0493,182073562113.43842,4.1490050543598554e+17,6.75518577963885e-07,8.538227532994824e-06,8.19189881440252e-06,2.3527232315689872e-06,3.166391842057692e-06,5.602537385129835e-07,4.354655525062867e-12,4.390203914926927e-05,-48445.634786850016,2.0694087487179782e-05,4.3449764763932666e-05,-90,-0.01665993896705081,-0.01665993896759243,-0.016659938963237773,-0.4418898767575854,-0.44188988540721735,-0.44189055227616336,-2.715894192319368,-2.7158916142551757,-2.715885654091835,-51143.767988500185,-51143.76799216453,-51143.76798397263,-0.12879771171033094,-0.12880000010748419,-0.1288000644335625,-0.24444784022912103,-0.24444496568095883,-0.24444467383727897,-1700.271674087271,-1700.2716735760914,-1700.2716735270174
-80,-0.014026297730056498,-0.33075478603564024,0.26163938372581796,-42955.827564994994,-0.13104402042165517,-0.29692779868718644,-1642.5647897609742,-80,3852684617419.7246,23.705566337082274,3852684617396.019,162522361315.32642,7.5098635842924275e+17,2.8404291185779584e-06,1.602834842273637e-05,2.6258341677021235e-05,4.195379161575641e-07,3.2640510844172965e-06,5.44190697837621e-07,5.1058723221641955e-12,-4.1519891324345013e-05,-53507.620222011297,1.9997752570256382e-05,4.6511796189518289e-05,-80,-0.014026297729666166,-0.014026297730056498,-0.014026297734772038,-0.33075617174912963,-0.33075478603564024,-0.33075333132001106,0.26162335537739523,0.26163938372581796,0.26162971556186676,-42955.827545384,-42955.827564994994,-42955.827571642345,-0.131043600883739,-0.13104402042165517,-0.13104401441978553,-0.29693106273827086,-0.29692779868718644,-0.29692806862294674,-1642.564789293334,-1642.5647897609742,-1642.5647892167835
-70,-0.011729131808099336,-0.2570831061987635,9.33504787340248,-35849.48451990648,-0.12605886773743338,-0.35425856512689197,-1534.134871094604,-70,3849626543194.2837,23.686609467771365,3849626543170.5972,162523325612.81885,2.327695277605849e+17,1.3260248012958442e-06,1.4279833990826774e-06,1.719283318379894e-05,5.560600837922758e-06,4.714631418878401e-06,1.4247882518247934e-06,2.7436750787979136e-12,2.2786272559455693e-05,-59128.584351695303,1.1520070781066055e-05,3.1895212416193717e-05,-70,-0.01172913180916137,-0.011729131808099336,-0.011729131806417695,-0.2570817801739622,-0.2570831061987635,-0.2570823072746862,9.335049169850635,9.33504787340248,9.33504930138588,-35849.48453424733,-35849.48451990648,-35849.484517054494,-0.12605330713659546,-0.12605886773743338,-0.12605849072133424,-0.3542538504954731,-0.35425856512689197,-0.3542585265095113,-1534.1348701231182,-1534.134871094604,-1534.1348715479064
-60,-0.00974360112081581,-0.20430450109151577,31.977099933837685,-29743.56285964707,-0.1152885899414106,-0.40649894659406516,-1397.2629503500648,-60,3846576240606.915,23.667667757891323,3846576240583.2476,162524515721.42682,1.0072920216489216e+18,1.3457275684913839e-05,2.042916457156707e-05,1.7127989849541336e-05,1.600269501740581e-05,4.218525861743316e-06,1.4666036349808564e-06,1.6553373255456805e-12,-3.0387903182884353e-06,-65369.969745332273,3.5027539061329986e-05,8.4255643557345231e-05,-60,-0.00974360112151608,-0.00974360112081581,-0.009743601122471147,-0.2042920777029451,-0.20430450109151577,-0.20430553497863002,31.977116569549246,31.977099933837685,31.977096140384674,-29743.56287677506,-29743.56285964707,-29743.562860351485,-0.115304592636428,-0.1152885899414106,-0.11528874877058115,-0.4064947280682034,-0.40649894659406516,-0.40649891839711927,-1397.262950796634,-1397.2629503500648,-1397.2629493300303
