voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-183.89619298710997,-29835.012269913314,-433698540.95911086,-160305.67379398353,-189659.00640699657,-93266750.88155217,-18565.17802417021,-150,195003391967423.53,4707.9146526019149,195003391962715.62,41420332855.790268,6.4604895324223724e+18,5.071455234428868e-05,0.012894153594970703,0.013197474327171221,3.5405391827225685e-05,0.0071106404066085815,0.00045912799396319315,2.1728396859543864e-09,-0.0103005951372175,-24125871.057770181,0.018032621856145733,0.041483045036336375,-150,-183.8961929872954,-183.89619298710997,-183.8961929892828,-29835.012320627866,-29835.012269913314,-29835.012272683274,-433698540.95077544,-433698540.95911086,-433698540.9636696,-160305.68699145786,-160305.67379398353,-160305.67559752325,-189659.00638319668,-189659.00640699657,-189659.00641860208,-93266750.87444153,-93266750.88155217,-93266750.88126233,-18565.177565042217,-18565.17802417021,-18565.177914355125
-140,-160.7890362946675,-24612.188255931746,-381899386.96593505,-131654.6476994285,-155480.48127450416,-79762104.3715644,-16737.081553966025,-140,185913478792644.19,6174.6059151543568,185913478786469.59,30109367520.339409,6.6073852191603884e+19,8.035131031647325e-06,0.02318042516708374,0.018842635909095407,7.288024062290788e-05,0.0007471144199371338,0.00014184699830366299,3.887237198796356e-09,0.026562929220310675,-21638930.144307796,0.020205732100680773,0.039378657188166688,-140,-160.78903629078027,-160.7890362946675,-160.78903629245966,-24612.188263966877,-24612.188255931746,-24612.188257205366,-381899386.9800055,-381899386.96593505,-381899386.9568251,-131654.63090386838,-131654.6476994285,-131654.6497465043,-155480.48134686355,-155480.48127450416,-155480.4813473844,-79762104.37081729,-79762104.3715644,-79762104.37096044,-16737.081695813024,-16737.081553966025,-16737.08158849916
-130,-139.95243567837383,-20205.08170202673,-334735481.67958266,-106530.72708820007,-126863.71502661338,-67886027.53729841,-15002.65377916925,-130,177263815687237.87,8098.2262892952513,177263815679139.66,21889214916.302898,7.9040186746041041e+19,9.415951353730634e-06,0.009491384029388428,0.006288947392022237,8.515251101925969e-05,0.003966286778450012,4.2220548493787646e-05,2.2256756437855074e-09,-0.0069514861342919081,-19372186.019385636,0.0096034861372334933,0.021409002805267585,-130,-139.9524356805995,-139.95243567837383,-139.95243567894852,-20205.08169261078,-20205.08170202673,-20205.081698331225,-334735481.672211,-334735481.67958266,-334735481.6817024,-106530.73271294658,-106530.72708820007,-106530.7264239992,-126863.71494146087,-126863.71502661338,-126863.71496334067,-67886027.5412647,-67886027.53729841,-67886027.5377801,-15002.653736948701,-15002.65377916925,-15002.653741433372
-120,-121.26315844798255,-16519.143890409137,-292042471.28869706,-84797.03817400619,-103083.70342670084,-57492083.71228568,-13366.930542423375,-120,169037895025008.37,10621.126260329653,169037895014387.25,15915251441.494667,7.5569785720027668e+18,2.1669973648386076e-05,0.01433873176574707,0.006639892177190632,7.193908095359802e-05,0.003736041486263275,4.626936970453244e-05,2.6324613600081648e-09,0.024710071712669465,-17313412.013484672,0.0095737065629967408,0.0223808660600614,-120,-121.26315844535009,-121.26315844798255,-121.26315844542437,-16519.143868739164,-16519.143890409137,-16519.143883383258,-292042471.29568434,-292042471.28869706,-292042471.2813456,-84797.0318190825,-84797.03817400619,-84797.03845897468,-103083.70336057548,-103083.70342670084,-103083.70343251457,-57492083.70854964,-57492083.71228568,-57492083.71158988,-13366.930496154006,-13366.930542423375,-13366.930510338338
-110,-104.5860683501485,-13463.771776434643,-253615302.05595618,-66308.03063720476,-83466.2165244294,-48436192.65329416,-11832.450667344077,-110,161221177856779.78,13930.003806757206,161221177842849.78,11573663589.278715,4.5162997075457188e+19,5.08624088979559e-05,0.008993685245513916,0.005470720701850951,5.5411350331269205e-05,0.001972675323486328,0.0001135252823587507,1.8403341073280899e-09,-0.013966794274691557,-15452144.373015292,0.0072544658758745845,0.015458262606843354,-110,-104.58606835198883,-104.5860683501485,-104.58606835136227,-13463.771827297052,-13463.771776434643,-13463.771781607167,-253615302.05046222,-253615302.05595618,-253615302.0594559,-66308.03608409138,-66308.03063720476,-66308.03061337068,-83466.21657984075,-83466.2165244294,-83466.21655437583,-48436192.65526684,-48436192.65329416,-48436192.653460875,-11832.450778117927,-11832.450667344077,-11832.45078086936
-100,-89.77698936228597,-10954.24491824398,-219214533.44000176,-50887.88372880392,-67395.33254635577,-40578399.05876366,-10399.133818437007,-100,153801347830462.41,18269.720300853263,153801347812192.69,8418374517.932785,2.3504277516259999e+18,7.044616177154239e-05,0.009797334671020508,0.008408894573221914,4.809349775314331e-06,0.00022383034229278564,4.6811092033749446e-05,1.741568667057436e-09,0.0091947965394995248,-13779688.634404935,0.010754507506396966,0.017865043338156694,-100,-89.7769893605444,-89.77698936228597,-89.77698936150564,-10954.244847797818,-10954.24491824398,-10954.244914768562,-219214533.44755468,-219214533.44000176,-219214533.43775734,-50887.87531990935,-50887.88372880392,-50887.883682670916,-67395.33254213049,-67395.33254635577,-67395.33254693984,-40578399.05853983,-40578399.05876366,-40578399.05869898,-10399.133814283869,-10399.133818437007,-10399.133771625915
-90,-76.68590158496934,-8913.147266014123,-188573848.51929542,-38311.258675141726,-54315.70340545976,-33784533.45756649,-9064.212757779867,-90,146768653496197.28,23961.420578327296,146768653472235.87,6125206684.4879417,5.9970970183724288e+18,0.0001114744518417865,0.0035199522972106934,0.00153707766730804,6.923626642674208e-05,0.003995180130004883,0.00033249114494537935,7.42957695365476e-10,-0.0097027644515037537,-12289242.885367168,0.0062498311564999553,0.013433850588100926,-90,-76.68590158514512,-76.68590158496934,-76.6859015857123,-8913.147368134116,-8913.147266014123,-8913.147256659664,-188573848.52281538,-188573848.51929542,-188573848.5211113,-38311.26014607282,-38311.258675141726,-38311.25860899515,-54315.70339294919,-54315.70340545976,-54315.703336223494,-33784533.45397395,-33784533.45756649,-33784533.45796913,-9064.213090271012,-9064.212757779867,-9064.212832777092
-80,-65.16021555643721,-7271.238603795453,-161408234.38027975,-28295.190350225894,-43728.99525186888,-27927580.60434089,-7822.20101965116,-80,140116363905723.42,31426.298086494073,140116363874297.12,4458570446.9576244,2.7886698935537664e+19,4.058031481690705e-05,0.004863560199737549,0.0025151176923827734,4.047123366035521e-05,0.007759544998407364,0.00014166798973747063,1.3701679790756316e-09,-0.0065664699152108326,-10976198.704878828,0.008741512835044896,0.016003006434640255,-80,-65.16021555780738,-65.16021555643721,-65.16021555690286,-7271.238641693228,-7271.238603795453,-7271.238601112913,-161408234.3767567,-161408234.38027975,-161408234.38162026,-28295.18783515923,-28295.190350225894,-28295.190350276924,-43728.99521139765,-43728.99525186888,-43728.99522403162,-27927580.612100434,-27927580.60434089,-27927580.60442297,-7822.200887807032,-7822.20101965116,-7822.201029475022
-70,-55.04786041836668,-5967.7408478566085,-137422367.73388845,-20506.000301944965,-35183.48127491736,-22888511.18901243,-6664.853060364211,-70,133841369663553.31,41216.763763766983,133841369622336.55,3247255665.9387989,1.0588010501089208e+19,1.8469931092113256e-05,0.005466461181640625,0.009289494570111856,4.002162313554436e-05,0.005944613367319107,1.9307715774630196e-05,8.684963859195705e-11,-0.00094610665372899482,-9838704.8045917396,0.012314028800938742,0.023059322434587581,-70,-55.047860418336825,-55.04786041836668,-55.047860418423674,-5967.740837196325,-5967.7408478566085,-5967.740855666256,-137422367.72876817,-137422367.73388845,-137422367.73423463,-20506.009591439535,-20506.000301944965,-20506.000350048103,-35183.48128579953,-35183.48127491736,-35183.48131493898,-22888511.183067817,-22888511.18901243,-22888511.1888312,-6664.853079671927,-6664.853060364211,-6664.85307528064
-60,-46.19984922002009,-4949.974752464568,-116318767.94989592,-14579.80930975097,-28254.891125698327,-18556170.212411817,-5581.079403089102,-60,127944970934233.8,54057.32518932192,127944970880176.47,2366838730.6648884,1.2170872759006206e+19,1.563100886414759e-05,0.013449057936668396,0.010088766452099662,3.063562326133251e-05,0.003082726150751114,0.00013133200627635233,2.863892234472587e-09,-0.016551726528494452,-8878610.3832933716,0.014165077772742762,0.026412078617562784,-60,-46.199849222883984,-46.19984922002009,-46.1998492210408,-4949.974768095577,-4949.974752464568,-4949.974761123478,-116318767.93921044,-116318767.94989592,-116318767.9526595,-14579.819338321002,-14579.80930975097,-14579.80924955455,-28254.891155396355,-28254.891125698327,-28254.891124760732,-18556170.215494543,-18556170.212411817,-18556170.212753847,-5581.079271757096,-5581.079403089102,-5581.079394147644
-50,-38.47173588781851,-4172.13671166513,-97805076.56254116,-10148.234798220743,-22515.29756164609,-14825440.721424486,-4556.665724807772,-50,122433905962831.59,70898.201114784111,122433905891933.39,1726897213.7193048,4.2483613534780186e+17,2.5450711291341577e-05,0.00040096044540405273,0.0007019129479886033,1.432793214917183e-05,0.0010358300060033798,5.981220692774514e-05,8.891731795301894e-11,-0.00090422020700256663,-8102946.7077452336,0.0011993958062884119,0.0022029436358964594,-50,-38.47173588790743,-38.47173588781851,-38.471735887879824,-4172.136737115841,-4172.13671166513,-4172.136713276428,-97805076.56231493,-97805076.56254116,-97805076.56271589,-10148.234117394073,-10148.234798220743,-10148.234819307021,-22515.297575974022,-22515.29756164609,-22515.297567515634,-14825440.722445963,-14825440.721424486,-14825440.721410133,-4556.665670528258,-4556.665724807772,-4556.6657303404645
-40,-31.722727874793232,-3592.71938339631,-81599016.39935207,-6860.609021947486,-17485.15372350761,-11592086.29052389,-3573.4409948483208,-40,117321689208819.83,70877.334512214657,117321689137942.5,1655277953.3293705,1.7368255762096622e+19,8.549424819648266e-06,0.0008727461099624634,0.0004869550284638535,3.328896127641201e-06,0.0003182981163263321,3.3498490665806457e-06,1.3713830071537814e-10,-0.00068761915638976517,-7526157.9098976273,0.00095343678624758342,0.0018315877268086367,-40,-31.72272787493037,-31.722727874793232,-31.7227278748462,-3592.7193751542072,-3592.71938339631,-3592.719383703632,-81599016.39857844,-81599016.39935207,-81599016.39945118,-6860.609508902515,-6860.609021947486,-6860.609058183545,-17485.15372217784,-17485.15372350761,-17485.153725506738,-11592086.290842189,-11592086.29052389,-11592086.290532146,-3573.4409919752698,-3573.4409948483208,-3573.4409914984717
-30,-25.80977891083756,-3169.5371346600746,-67427817.38108616,-4398.97310677357,-12561.574390137917,-8740853.746957332,-2606.995059153318,-30,112630348237883.69,68782.592707202246,112630348169101.09,1637483319.6145298,4.6817684432551025e+18,9.43626355365268e-06,0.00014451146125793457,0.0002585738475318067,3.113178536295891e-06,0.00024862028658390045,5.713070549973054e-06,4.3023362650274066e-11,0.00047266612579564149,-7173353.6242608763,0.00038555876598269972,0.00078537579347004449,-30,-25.80977891086258,-25.80977891083756,-25.809778910819556,-3169.537125223811,-3169.5371346600746,-3169.537134547223,-67427817.38118143,-67427817.38108616,-67427817.38103692,-4398.972848199723,-4398.97310677357,-4398.9730945850315,-12561.574389343383,-12561.574390137917,-12561.574392456561,-8740853.747205952,-8740853.746957332,-8740853.746963993,-2606.9950648663885,-2606.995059153318,-2606.9950596011477
