voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.132011390868874e-05,-0.6527216144865933,-0.00015742716929151459,-3.3657391142822264,-4.269564288744677e-06,6.948335804156677e-06,-60.51440763971575,-150,7707859854813482.0,0.010454841432406244,7707859854813482.0,7.3725267902408269e+17,2.6150967280145211e+19,4.009553298709358,6.982007468795542e-08,2.004776486935205,1.9348999062208157e-08,1.3629400842354881e-08,3.467639757559482e-07,1.2131637882738475e-06,3534.4094570890043,2.0361977174485797,3.2651090191962999,5.0485390630517255,-150,-2.132011396646729e-05,-2.132011390868874e-05,-2.0106950178193444e-05,-2.657498444483787,-0.6527216144865933,1.352054854225571,-0.00015742716767911443,-0.00015742716929151459,-0.0001574969877538024,-1.3609626273470212,-3.3657391142822264,-2.8462465142747533,-4.288883328699489e-06,-4.269564288744677e-06,-4.269534329637281e-06,6.961965204999032e-06,6.948335804156677e-06,6.948481313884258e-06,-60.51440729295177,-60.51440763971575,-60.51440755475743
-140,-2.784064068839135e-05,-0.7138813823276172,-0.00032336325621144856,-3.298151276982447,-5.651678235813491e-06,1.6980787039501127e-05,-80.87517758757073,-140,6977223069218865.0,0.010392300195147183,6977223069218865.0,6.7138390329380288e+17,2.5413692173792395e+20,5.044976873453567,7.265586247971832e-08,4.264968724377923,5.741430852759257e-08,1.5174413725560498e-08,1.5024701269794605e-06,3.7487237809771877e-07,3170.5871022786255,-2.5678084058619914,3.1634791466671714,5.044980202242888,-140,-2.7840640696255877e-05,-2.784064068839135e-05,-2.8215513066489068e-05,1.8086071740901453,-0.7138813823276172,-3.236369699363422,-0.00032336325575736284,-0.00032336325621144856,-0.00032329060034896884,-5.820639837262661,-3.298151276982447,-1.5556711128847382,-5.709089120229516e-06,-5.651678235813491e-06,-5.651674811701923e-06,1.6995862501367753e-05,1.6980787039501127e-05,1.6980688087642193e-05,-80.87517755645013,-80.87517758757073,-80.87517905892025
-130,-3.6760690458387907e-05,-0.7803292563778356,-0.0006561643957956003,-3.229952585057517,-7.5252509082418135e-06,3.8759503249933695e-05,-108.7180015169785,-130,6315852214640243.0,0.010330133081817518,6315852214640243.0,6.1140085656369984e+17,6.6785083044921852e+19,2.9883570344546904,1.3576250194001754e-07,1.5379393996151975,2.9705169864689684e-09,2.5269743630929042e-08,3.0449159282852634e-07,6.970707829264937e-07,2835.5282109851569,1.5253787390165918,2.0828337322129382,2.9883578028712972,-130,-3.676069046414274e-05,-3.6760690458387907e-05,-3.606361968121625e-05,-2.2745077972373444,-0.7803292563778356,0.7138492372173459,-0.0006561643965749172,-0.0006561643957956003,-0.0006563001582975403,-1.7357740731515605,-3.229952585057517,-3.273713472766758,-7.5282129195371715e-06,-7.5252509082418135e-06,-7.5252424025507025e-06,3.8784586992690606e-05,3.8759503249933695e-05,3.875931724905968e-05,-108.71800150108902,-108.7180015169785,-108.71800121248691
-120,-4.897338391253851e-05,-0.8570062659504025,-0.0013409959593669383,-3.159942001798255,-1.0030972819631865e-05,8.449547435351789e-05,-146.82470059225068,-120,5717180859002119.0,0.010268337854394453,5717180859002119.0,5.5677763432329856e+17,6.9614362736736453e+19,0.6024581599959546,2.527919169196917e-08,0.5881575418706699,5.005487610162951e-08,2.598480164451634e-08,1.6620992084881436e-06,4.27439714686301e-07,2526.148161401894,0.30869952343788576,1.1080069309201162,1.7787771264905494,-120,-4.8973383996690755e-05,-4.897338391253851e-05,-4.8545944282004454e-05,-1.1582355884825901,-0.8570062659504025,-0.5557774284866355,-0.0013409959534333314,-0.0013409959593669383,-0.0013409706801752463,-2.8587131868041524,-3.159942001798255,-2.571784459927585,-9.980934098461486e-06,-1.0030972819631865e-05,-1.0030988974563115e-05,8.45214591551624e-05,8.449547435351789e-05,8.449575398117304e-05,-146.8247001566251,-146.82470059225068,-146.82469893015147
-110,-6.56461548475544e-05,-0.9427979406100783,-0.002736251471125293,-3.0861876681309175,-1.340177009203202e-05,0.0001791005476911378,-198.84335335358432,-110,5175265072045585.0,0.010206912288243126,5175265072045585.0,5.0703532330798368e+17,3.753286275965132e+19,2.0221219147546705,1.198904815776121e-07,1.0110613782141238,2.3133839830073944e-08,7.127970310440721e-08,1.0544930830747035e-06,7.696812926143707e-07,2239.4198656656276,-1.0419519218945563,1.9838516245659221,3.2030020728538502,-110,-6.564615499830532e-05,-6.56461548475544e-05,-6.641583614016877e-05,0.06826260254404559,-0.9427979406100783,-1.953859312210625,-0.002736251471897962,-0.002736251471125293,-0.0027363713616068708,-4.097249046345041,-3.0861876681309175,-3.6766268527244392,-1.3378636252201945e-05,-1.340177009203202e-05,-1.340173764674546e-05,0.0001791718273942422,0.0001791005476911378,0.0001791005488485098,-198.84335263027606,-198.84335335358432,-198.84335368476914
-100,-8.822833199002435e-05,-1.0367299551504574,-0.0055567027856494,-3.005172851953166,-1.791237608268603e-05,0.0003724706968477728,-269.30386157248574,-100,4684724411802881.0,0.010145854172036527,4684724411802881.0,4.6173780268936582e+17,5.363987423297509e+19,1.5867940417337536,6.318584660700011e-08,2.083064584107433,4.2514769003760525e-08,4.0701351622374204e-08,2.680045895431249e-06,2.3850677399351737e-07,1972.2485930597472,0.82462533887010814,1.5934243517187017,2.5793345345791781,-100,-8.822833183221894e-05,-8.822833199002435e-05,-8.846683860621246e-05,-1.8301264170549416,-1.0367299551504574,-0.243332375321188,-0.005556702779049376,-0.0055567027856494,-0.005556639599802793,-2.2117753892175642,-3.005172851953166,-4.294839973324997,-1.786986131368227e-05,-1.791237608268603e-05,-1.7912359353999818e-05,0.000372511057875613,0.0003724706968477728,0.00037247035652399063,-269.3038626439047,-269.30386157248574,-269.3038599638588
-90,-0.0001182905066882337,-1.138005522318392,-0.011239192986867907,-2.9102834174833796,-2.388594180475825e-05,0.0007647727631376177,-363.1186434725011,-90,4240688505588116.0,0.010085161307675873,4240688505588116.0,4.2048792044213555e+17,1.4585186511927558e+20,2.780645060206254,2.1361771449478206e-07,1.3903229113678655,1.1220356171959267e-09,2.7712319512936123e-07,4.525635404206696e-07,7.287955269236977e-07,1721.3075062953851,-1.4652549380863977,2.0611778743590805,3.0328583020164563,-90,-0.00011829050681409517,-0.0001182905066882337,-0.00011901930221515739,0.2523168527601882,-1.138005522318392,-2.528328207446066,-0.011239192976460095,-0.011239192986867907,-0.011238979369153412,-4.300606328851245,-2.9102834174833796,-3.0363895841874182,-2.388704314508494e-05,-2.388594180475825e-05,-2.3885921109467745e-05,0.0007650498863327471,0.0007647727631376177,0.0007647729944437742,-363.11864319835877,-363.1186434725011,-363.11864301993756
-80,-0.00015690142157971963,-1.2390627489646622,-0.022453038913441043,-2.790177149178706,-3.157876307297936e-05,0.0015613005970667392,-483.6504741272097,-80,3838748695140857.0,0.010024831510211496,3838748695140857.0,3.829240113642439e+17,4.2714068796362367e+19,1.8595378041643755,1.8439736589395683e-07,0.9297692346855198,3.4910659254486914e-08,1.150901820291296e-07,6.008958166603406e-07,4.478329224544416e-07,1482.9072953839695,-1.0032783865304928,1.3163446908781051,1.8636414402860253,-80,-0.0001569014216940902,-0.00015690142157971963,-0.00015734925450217407,-0.3092941259639872,-1.2390627489646622,-2.1688319301283627,-0.022453038910360747,-0.022453038913441043,-0.02245285451607515,-3.719946383864226,-2.790177149178706,-2.7922284207161283,-3.154385241372487e-05,-3.157876307297936e-05,-3.15787423232905e-05,0.0015614156872487683,0.0015613005970667392,0.0015613012947142124,-483.6504736591014,-483.6504741272097,-483.6504742599972
-70,-0.00020296650038358925,-1.3260421889952352,-0.04392489185630185,-2.6257663859981344,-4.100000225317141e-05,0.003197784915323378,-627.5303482007328,-70,3474914265837944.5,0.0099648626077641668,3474914265837944.5,3.487167262226425e+17,3.1204813527447749e+19,0.05644677115236618,3.6081604579130122e-09,0.3165800919411472,5.137489769149392e-08,1.3855805628239584e-07,2.1314102696123882e-06,1.6571188882544535e-07,1253.1392546453808,-0.03172582489758824,0.46894299485765262,0.68960737488746782,-70,-0.00020296650043473617,-0.00020296650038358925,-0.0002031322122724147,-1.2978188472785064,-1.3260421889952352,-1.3542656184308726,-0.04392489190433537,-0.04392489185630185,-0.04392488829617491,-2.653989931499382,-2.6257663859981344,-2.9423464779392816,-4.1051377150862906e-05,-4.100000225317141e-05,-4.1000046920203204e-05,0.00319792347337966,0.003197784915323378,0.0031977854669094086,-627.5303480725706,-627.5303482007328,-627.5303460693225
-60,-0.00024982693929030523,-1.3716231182943575,-0.08274897102685982,-2.389672381534481,-5.129967346907075e-05,0.006645356885879028,-774.0544707792969,-60,3145572825401270.0,0.009905252441446924,3145572825401270.0,3.1756614422456614e+17,2.6291123010534932e+19,0.3804382839638265,7.079688531252959e-08,0.41054232159876847,3.9575402409168514e-08,1.4834029116173042e-08,6.153813956188969e-07,1.446815172897499e-08,1028.8308003337993,0.22904202478482105,0.29262973236137746,0.44064876553764037,-60,-0.00024982693940645646,-0.00024982693929030523,-0.0002498414074420342,-1.5618425606184019,-1.3716231182943575,-1.1814042766545754,-0.08274897092917526,-0.08274897102685982,-0.08274904172606057,-2.199453612887737,-2.389672381534481,-2.6099959344865056,-5.126009806666158e-05,-5.129967346907075e-05,-5.129958455540873e-05,0.006645342867898307,0.006645356885879028,0.0066453577019274235,-774.0544701639155,-774.0544707792969,-774.0544702059684
