voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-8.938717743886535,-22748424.661408603,-9561169.733840942,-25297.473535949553,-321.8357438700332,-228959.57894515747,-781.1023060919417,-150,8.457049495592516e+19,1.8099693059727009,8.457049495592516e+19,4.6724822723154346e+19,1.3780743030321e+19,4751.742577057332,0.0007138550281524658,0.22287832498841453,2176.6373897450103,2639.010273950291,0.00019663618957110884,0.0007612132888166201,101523223.10138285,-3661.2531127929687,3453.4847057767952,5431.2661036323188,-150,-8.939098458215026,-8.938717743886535,-8.93833724492621,-22746048.469867468,-22748424.661408603,-22750800.212444525,-9561169.734554797,-9561169.733840942,-9561169.733844332,-25297.250657624565,-25297.473535949553,-25297.47353232517,-258.0460436454439,-321.8357438700332,1854.801645874977,-231399.80939783016,-228959.57894515747,-228760.79912387987,-781.1021094557522,-781.1023060919417,-781.1023060911748
-140,-8.22675869204904,-21678285.576542377,-7310838.327377319,-16275.39888649704,-114.02951564350224,-217331.4944295339,-753.6620957016547,-140,4.6302130328172487e+19,2.0620690812770563,4.6302130328172487e+19,2.2454209099288371e+19,9.6737204252054234e+17,1094.7113140150905,0.0006524799391627312,0.047263177339118556,435.07858478016453,1529.2961040914524,5.078209323983174e-05,0.00017515067217921398,127226811.4138604,807.42730712890625,1573.7958544042947,3081.4030637309152,-140,-8.226670992659308,-8.22675869204904,-8.226846143331487,-21678833.09582681,-21678285.576542377,-21677738.384512793,-7310838.326737372,-7310838.327377319,-7310838.327389852,-16275.3516233197,-16275.39888649704,-16275.398879927086,-240.83594137913784,-114.02951564350224,194.24264340102673,-216657.22788944468,-217331.4944295339,-218186.52399353613,-753.6621464815194,-753.6620957016547,-753.6620956994261
-130,-7.566461267660699,-20656824.85747263,-5290143.741672516,-9921.304877507553,165.90991553253843,-202493.39199592124,-725.2305864209754,-130,2.5350363895721734e+19,2.3492823231461673,2.5350363895721734e+19,1.0790684306419347e+19,3.4170920152321674e+18,1455.06442508474,0.0001879129558801651,0.001473818421800388,1480.874522321195,363.45031148873386,4.450247399745422e-05,0.0002330462364552588,168790062.77585387,-1022.3167190551758,1157.4862882099746,2183.3217643099247,-130,-7.566577828405314,-7.566461267660699,-7.5663447821688585,-20656097.285903268,-20656824.85747263,-20657552.350328352,-5290143.741841866,-5290143.741672516,-5290143.741653953,-9921.3034042512,-9921.304877507553,-9921.304878069623,-224.14392488476685,165.90991553253843,1256.730597436428,-202830.91849926105,-202493.39199592124,-202856.84230740997,-725.2306309228744,-725.2305864209754,-725.2305864204004
-120,-6.970130809806069,-19654168.03573498,-3620147.0629463196,-5725.507520971127,224.90253814141033,-189659.03744570108,-694.8428607264857,-120,1.3879368259114433e+19,2.6764997758605702,1.3879368259114433e+19,5.1856414800751565e+18,2.212870781709164e+18,992.097114700824,0.00017650239169597626,0.1475872650535166,974.5030237558778,63.885497261973796,1.7777032780941227e-05,0.00015897861878322317,232307086.45293599,-666.97864532470703,694.75574528296966,1088.0826324777927,-120,-6.9702103105943785,-6.970130809806069,-6.970051331975595,-19653671.977831326,-19654168.03573498,-19654664.074946027,-3620147.063122822,-3620147.0629463196,-3620147.062959974,-5725.359941217146,-5725.507520971127,-5725.5075284822,-207.43543477091157,224.90253814141033,767.0675889849663,-189722.92294296305,-189659.03744570108,-189705.13758125703,-694.8428429494529,-694.8428607264857,-694.8428607264723
-110,-6.431872269215109,-18636693.930113375,-2337398.6376953125,-3120.4144784317746,-63.923964875226375,-177045.05695166718,-661.1436992190742,-110,7.5990588819014717e+18,3.04929338615552,7.5990588819014717e+18,2.4920720703369882e+18,1.513202462595669e+18,265.7721346244216,4.2321160435676575e-05,0.0006315178338809346,246.17481431652828,19.74151335741044,8.673481602272659e-06,4.264618820304378e-05,326087190.71733278,-172.8989372253418,175.05764541722309,266.80647340669987,-110,-6.431893551102026,-6.431872269215109,-6.431850904913823,-18636561.087236904,-18636693.930113375,-18636826.859371528,-2337398.6376529913,-2337398.6376953125,-2337398.637692818,-3120.4151099496084,-3120.4144784317746,-3120.414483154705,-190.00373857011124,-63.923964875226375,56.171075746417046,-177051.8206036267,-177045.05695166718,-177032.07909026928,-661.1436905455926,-661.1436992190742,-661.1436992134152
-100,-5.933637613503149,-17564096.431829333,-1412910.3473567963,-1597.9111609648542,-166.6779684786452,-164504.9677454324,-622.4433982055987,-100,4.1606315177613097e+18,3.4740111838276411,4.1606315177613097e+18,1.197644825419691e+18,1.1732111723913267e+19,8.421410270035267,2.9227230697870255e-06,0.000813770223658139,4.413295020763968,7.936092899006326,2.7439564291853458e-06,1.3253210555674855e-06,459729670.13509065,-5.4200248718261719,9.6833724898452669,16.093853093034234,-100,-5.933638284501991,-5.933637613503149,-5.9336369591809355,-17564092.25926856,-17564096.431829333,-17564100.68067883,-1412910.3473562133,-1412910.3473567963,-1412910.347359136,-1597.9119747350778,-1597.9111609648542,-1597.9111669381912,-171.09126349940917,-166.6779684786452,-170.42002084851265,-164504.7317852342,-164504.9677454324,-164497.0316525334,-622.4433954616422,-622.4433982055987,-622.4433981975947
-90,-5.451371444280452,-16392453.695747167,-785787.1841545105,-763.1988320544591,-140.94520401360933,-151771.79291139636,-576.6692724807564,-90,2.2781252632017613e+18,3.9578853776925484,2.2781252632017613e+18,5.7559152067458579e+17,1.6014038763591498e+18,17.415836822241545,1.541303936392069e-05,0.007755372894848733,18.449621596472696,1.0044940945517737,5.574346346293169e-06,2.806579551872801e-06,636909386.03836572,-11.078390121459961,13.128501359960172,19.883933807206482,-90,-5.451372835638368,-5.451371444280452,-5.4513700290588165,-16392445.009278866,-16392453.695747167,-16392462.425115688,-785787.1841575708,-785787.1841545105,-785787.1841421578,-763.206587427354,-763.1988320544591,-763.1988407628686,-150.0111979032926,-140.94520401360933,-131.56157630681992,-151771.40776676938,-151771.79291139636,-151772.41226086393,-576.6692780551027,-576.6692724807564,-576.6692724836175
-80,-4.959413896031537,-15074521.05327344,-391382.26300525665,-337.72000994019135,-123.01639547548257,-138549.8624840486,-521.354235957725,-80,1.2474817853524065e+18,4.5091555075804486,1.2474817853524065e+18,2.7665530347206595e+17,4.5245754372085555e+19,6.009504918009043,1.3161450624465942e-05,0.004047290897403855,6.867914827629733,0.7571131525619421,1.2315772437432315e-06,1.0101079954694114e-06,827741958.91693592,-3.8076286315917969,4.8968038025571312,7.8053004579159317,-80,-4.959414384752456,-4.959413896031537,-4.959413374644461,-15074518.017552918,-15074521.05327344,-15074524.027057836,-391382.2629920952,-391382.26300525665,-391382.26300247695,-337.71596264929394,-337.72000994019135,-337.72000776282755,-126.37952137188594,-123.01639547548257,-119.51160654425621,-138549.5427722849,-138549.8624840486,-138550.29988543747,-521.3542347261478,-521.354235957725,-521.3542359570656
-70,-4.4330955637211735,-13563479.895688593,-170546.8348183632,-138.2138882263365,-108.15712385089137,-124565.11128219217,-454.0928771172561,-70,6.8323214267187789e+17,5.1372087494350227,6.8323214267187789e+17,1.329967645848571e+17,1.7537727591564229e+18,16.1580554228276,6.606423994526267e-06,0.0005567763752196697,17.166068976466818,1.7233503007446416,1.5503409827033465e-06,2.4601687327319155e-06,952211893.14479923,10.616487503051758,12.39615146063683,19.646126293197092,-70,-4.4330942710435695,-4.4330955637211735,-4.433096731212302,-13563487.965899337,-13563479.895688593,-13563471.807843914,-170546.8348180689,-170546.8348183632,-170546.83481175677,-138.21444500271173,-138.2138882263365,-138.2138891088714,-100.53553987508519,-108.15712385089137,-117.70160885155201,-124564.66263890125,-124565.11128219217,-124563.38793189143,-454.09287558721195,-454.0928771172561,-454.09287713755293
-60,-3.852467693067306,-11826380.891059786,-65487.85727548599,-53.07935653783141,-73.39131869003177,-109637.81018675864,-373.8499804282842,-60,3.7433385718867206e+17,5.8527397626684978,3.7433385718867206e+17,63958739388405392.0,7.6188739210506035e+18,1.107337472960353,1.4212200767360628e-06,0.0009950208965889829,2.49001498629508,1.2799314267467707,4.093462848686613e-07,2.485164762866532e-07,977497908.84905434,-0.74801921844482422,2.1321609527279297,3.9541314671394581,-60,-3.85246778316124,-3.852467693067306,-3.852467534644764,-11826380.332584238,-11826380.891059786,-11826381.43992171,-65487.85727554932,-65487.85727548599,-65487.8572741281,-53.07836151693482,-53.07935653783141,-53.07934429001921,-73.90586799492297,-73.39131869003177,-71.41585300862789,-109637.85607931438,-109637.81018675864,-109639.09011818538,-373.84998002792986,-373.8499804282842,-373.84998043727614
