voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.3791194244443346,-154.0908738602296,-4871909.559050381,-1158793.3232862854,-1311825.5202747968,-2797.623643834638,-160126.5934715655,-150,38541422296599.984,753.95262197430566,38541422295846.031,51119156792.206841,32694299981566084.0,0.0031183258709006623,0.0013080909848213196,1.898268237709999e-06,0.0015481691807508469,5.769396011601202e-06,1.4042307157069445e-06,6.692904008787082e-10,-183213.1001832253,-0.0017899200320243835,0.0035188561818858028,0.0057656131284465721,-150,-2.3791194241944953,-2.3791194244443346,-2.379119423775044,-154.09243289738447,-154.0908738602296,-154.08931457151357,-4871909.559043704,-4871909.559050381,-4871909.55774229,-1158793.3232861967,-1158793.3232862854,-1158793.3232843871,-1311825.518727238,-1311825.5202747968,-1311825.5202754072,-2797.6236381653307,-2797.623643834638,-2797.6236439347267,-160126.59347296972,-160126.5934715655,-160126.5934715678
-140,-1.8826250891540857,-99.97080728931486,-3839041.975778103,-939194.3899829926,-1041346.3590574575,-2040.2852961801334,-108371.16972532774,-140,38076307458228.117,887.60740208002812,38076307457340.508,42897690317.813614,7.1504307422380595e+17,0.0331711878002352,0.0031083435751497746,8.329516276717186e-07,0.016575810499489307,1.2516611604951322e-06,8.638700819574296e-06,2.6553272913787396e-09,-225078.82679367505,-0.01845502108335495,0.021592007049473432,0.033176455840938923,-140,-1.8826250864987584,-1.8826250891540857,-1.8826250874929482,-99.9873927435392,-99.97080728931486,-99.95422155573897,-3839041.975778535,-3839041.975778103,-3839041.9788864464,-939194.3899828912,-939194.3899829926,-939194.3899821596,-1041346.3424822246,-1041346.3590574575,-1041346.3590580351,-2040.2852951363093,-2040.2852961801334,-2040.2852963879704,-108371.16971668904,-108371.16972532774,-108371.16972532329
-130,-1.5402142454812235,-65.65725186385679,-3154717.890975535,-795899.5858470353,-817176.385582791,-1506.5476239537472,-75654.65553110193,-130,37772911219173.242,1044.9554484792368,37772911218128.289,36147867618.801918,35237183019972040.0,0.0124939375455142,0.0024127047508955,6.587943062186241e-07,0.0062449261313304305,3.3300382256129524e-06,3.899462171830237e-06,9.992529026447983e-10,-280465.72789939441,0.0068035498261451721,0.007715311586415953,0.012504704592257714,-130,-1.5402142464804764,-1.5402142454812235,-1.5402142457088448,-65.65100473349366,-65.65725186385679,-65.66349867103918,-3154717.890974299,-3154717.890975535,-3154717.88856283,-795899.5858470612,-795899.5858470353,-795899.5858464024,-817176.3918277171,-817176.385582791,-817176.3855833164,-1506.547620623709,-1506.5476239537472,-1506.5476237945259,-75654.65553499362,-75654.65553110193,-75654.65553109416
-120,-1.3324420362848028,-44.677736031301436,-2769198.4027804136,-725097.9643410468,-635176.0105367647,-1139.9508169896578,-56096.68456948687,-120,37652386173029.43,1230.196916730976,37652386171799.234,30606796083.576424,36012766488152732.0,0.004703107161049047,0.005317529197782278,3.2549723982810974e-07,0.002357563585974276,5.804324700875441e-07,3.6164128687232733e-06,2.079268091037534e-09,-353530.19844691292,-0.0025282502174377441,0.0096273307552900249,0.0153586581349111,-120,-1.332442036661472,-1.3324420362848028,-1.332442038364071,-44.675384413172424,-44.677736031301436,-44.68008752033347,-2769198.4027774427,-2769198.4027804136,-2769198.408094972,-725097.9643408831,-725097.9643410468,-725097.9643412086,-635176.0128928811,-635176.0105367647,-635176.0105353175,-1139.9508172430724,-1139.9508169896578,-1139.9508175700903,-56096.68456587801,-56096.68456948687,-56096.68456949442
-110,-1.2386148810470832,-32.235747206003204,-2628629.3829659224,-723834.1031471321,-489960.2770372713,-878.4428219981708,-45041.76084174894,-110,37739982985297.656,1448.2765328769626,37739982983849.383,26058547610.605957,98859810429163024.0,0.03289603932034879,0.011137924157083035,8.076895028352737e-07,0.016442509659100324,5.033016350353137e-06,5.060370313003659e-06,3.5675293830195187e-09,-449760.9888933326,0.017582155764102936,0.020558862268257639,0.032909572537384454,-110,-1.2386148784137834,-1.2386148810470832,-1.2386148819813128,-32.25219535227416,-32.235747206003204,-32.21929931295381,-2628629.382970481,-2628629.3829659224,-2628629.3941038465,-723834.1031473,-723834.1031471321,-723834.1031464923,-489960.260596617,-489960.2770372713,-489960.27703912667,-878.4428175947069,-878.4428219981708,-878.4428226277232,-45041.76083668857,-45041.76084174894,-45041.760841748306
-100,-1.2383178668184764,-25.03144669553069,-2678343.778131485,-790658.2812698017,-375658.84248181403,-660.5991314512801,-39156.35365576529,-100,38065783459114.68,1705.0155850299579,38065783457409.664,22325768628.352947,1.5369358774837088e+17,0.00516186305321753,0.000135885551571846,9.323703125119209e-07,0.0025759717100299895,3.101188440268743e-06,4.8068686737678945e-06,4.583762258647539e-10,-576390.09876043303,-0.0027587264776229858,0.003749878782406086,0.0054596320073726258,-100,-1.2383178664044625,-1.2383178668184764,-1.2383178663601002,-25.03402753111459,-25.03144669553069,-25.02886566806137,-2678343.7781305797,-2678343.778131485,-2678343.7779955994,-790658.2812695857,-790658.2812698017,-790658.2812688693,-375658.8399058423,-375658.84248181403,-375658.84248099645,-660.5991283500916,-660.5991314512801,-660.5991289615631,-39156.35365096084,-39156.35365576529,-39156.35365576771
-90,-1.311967022648551,-20.914157120100295,-2863869.9688830376,-925766.3779487083,-286587.34565725457,-428.655421614611,-36231.335393379646,-90,38665566612307.008,2007.2673133909143,38665566610299.742,19262788944.133476,31691604964354980.0,0.0008242802218774159,0.0019354838877916336,1.3123499229550362e-06,0.00042457657400518656,2.6970742510457058e-06,1.1197116691619158e-06,6.207128144808394e-10,-742919.99334935634,-0.0004426613450050354,0.0024937227840586282,0.003894262200863933,-90,-1.3119670225826492,-1.311967022648551,-1.311967023203362,-20.914569349553403,-20.914157120100295,-20.913745069331526,-2863869.968893338,-2863869.9688830376,-2863869.9708185215,-925766.3779491282,-925766.3779487083,-925766.3779500206,-286587.3452362224,-286587.34565725457,-286587.34566079895,-428.6554195655917,-428.655421614611,-428.65541891753674,-36231.33539449936,-36231.335393379646,-36231.335393382484
-80,-1.4399171472675871,-18.530592531261583,-3128534.3225679398,-1130350.778972427,-217663.95328194057,-123.09780664948187,-34884.02599466906,-80,39581831837176.367,2363.0998465839748,39581831834813.266,16749961663.445858,43355609783404264.0,0.025886703211654094,0.006388372741639614,7.415656000375748e-07,0.012954862642800435,1.2340223406681616e-05,8.889132004696876e-06,2.078692995510778e-09,-961788.39624916681,-0.014023207128047943,0.015855336008576412,0.025944392940592191,-80,-1.4399171451888941,-1.4399171472675871,-1.4399171472358214,-18.543535871785934,-18.530592531261583,-18.51764916857428,-3128534.3225612454,-3128534.3225679398,-3128534.328949618,-1130350.7789724004,-1130350.778972427,-1130350.7789716853,-217663.94033101527,-217663.95328194057,-217663.9532858779,-123.09780037500241,-123.09780664948187,-123.09779430925846,-34884.02600355819,-34884.02599466906,-34884.02599467503
-70,-1.6003050732443138,-17.034619394274305,-3408350.525387287,-1404960.3247033549,-164583.6877758548,333.63044129437935,-34281.08339108794,-70,40865007572761.281,2782.0115675035049,40865007569979.273,14689014255.045795,51888343140185608.0,0.012364412079023168,0.004051413387060165,1.1050840839743614e-05,0.0061341068358160555,1.5183774166871444e-05,2.1354208001866937e-07,1.2906127278000668e-09,-1249182.9252744431,0.0067854523658752441,0.0076662783705110033,0.012400693769024626,-70,-1.6003050742277187,-1.6003050732443138,-1.600305072937106,-17.02843706746671,-17.034619394274305,-17.040801479545735,-3408350.5254004337,-3408350.525387287,-3408350.5213490203,-1404960.324705185,-1404960.3247033549,-1404960.324694134,-164583.69390626508,-164583.6877758548,-164583.68777215824,333.6304261106052,333.63044129437935,333.6304399818182,-34281.08339087898,-34281.08339108794,-34281.08339109252
-60,-1.7665991202391937,-15.877122079808453,-3627357.648834944,-1746634.3142239875,-123829.19825400384,1063.557349738258,-33929.09122614492,-60,42574879066703.766,3275.1846575215263,42574879063428.578,12999230125.522758,88231715078539472.0,0.005105578162329039,5.0615519285202026e-05,1.4199409633874893e-05,0.0025655283097876236,4.464431231099297e-05,8.272400009445846e-07,4.205660264489097e-10,-1625990.9918047439,0.0028517842292785645,0.0035682867006635202,0.0052521223189405707,-60,-1.7665991206597598,-1.7665991202391937,-1.7665991206287706,-15.874569246964711,-15.877122079808453,-15.87967482512704,-3627357.648817949,-3627357.648834944,-3627357.6487843283,-1746634.314220347,-1746634.3142239875,-1746634.314209788,-123829.2008194523,-123829.19825400384,-123829.19825392398,1063.5573050939456,1063.557349738258,1063.5573453009129,-33929.09122531768,-33929.09122614492,-33929.091226128825
-50,-1.9071142819018552,-14.665028899964463,-3700665.940076947,-2144524.0321886046,-92595.60020475926,2268.8920212983526,-33535.50654408177,-50,44782274883135.281,3855.783587014465,44782274879279.5,11614312336.914692,2.1220136367615328e+17,0.004875753728811105,0.00040830252692103386,6.75395131111145e-06,0.0024188696552300826,8.096185774775222e-05,1.8697974155656993e-06,3.9561132147980516e-10,-2118806.8438182236,0.0027870461344718933,0.0031752880873932017,0.0049802109891205031,-50,-1.9071142822974665,-1.9071142819018552,-1.9071142821502554,-14.662590782172629,-14.665028899964463,-14.66746653590144,-3700665.9400692247,-3700665.940076947,-3700665.9396686447,-2144524.0321818506,-2144524.0321886046,-2144524.0321847927,-92595.60262362892,-92595.60020475926,-92595.60020582695,2268.891972806181,2268.8920212983526,2268.8920537680387,-33535.50654591154,-33535.50654408177,-33535.506544041746
-40,-1.9895648728468185,-13.068250288744885,-3555092.5429799557,-2573662.0028885603,-68683.01292817542,4277.581352657781,-32923.36167324656,-40,47571058992897.469,3753.7472515438139,47571058989143.719,12672952067.652607,3.8716215618096717e+17,0.014010530646373809,0.003156509716063738,1.988932490348816e-05,0.006966704153455794,0.00011859010282933014,3.2353709684684873e-06,2.1015893469922275e-09,-2760783.7018620819,-0.0082570016384124756,0.01261459434586965,0.020405981164242061,-40,-1.9895648717536654,-1.9895648728468185,-1.9895648707452291,-13.075255681229464,-13.068250288744885,-13.06124515058309,-3555092.542972304,-3555092.5429799557,-3555092.539823446,-2573662.002888872,-2573662.0028885603,-2573662.0028689825,-68683.00596226938,-68683.01292817542,-68683.01292897353,4277.581292329611,4277.581352657781,4277.581234067678,-32923.361670011654,-32923.36167324656,-32923.361673247025
-30,-1.990527116594297,-10.764703238367908,-3167356.575870514,-2986491.5134234354,-50387.01488221048,7597.363757683325,-31976.654549053852,-30,51040483762193.937,3286.9320039923919,51040483758907.008,15528305331.59763,1.0646571905652762e+17,0.009368506297505519,0.004942547529935837,5.206279456615448e-05,0.004377539866254665,0.0004175886397206341,5.9632402553688735e-06,1.5128363006766676e-09,-3591861.28547714,-0.0057482123374938965,0.0069595146326977778,0.011475204684805326,-30,-1.9905271160590443,-1.990527116594297,-1.9905271175718806,-10.769387597934838,-10.764703238367908,-10.760019091637332,-3167356.575913362,-3167356.575870514,-3167356.5808130614,-2986491.513475498,-2986491.5134234354,-2986491.513455061,-50387.01050613448,-50387.01488221048,-50387.01488367435,7597.363486293158,7597.363757683325,7597.363340094686,-31976.65454309061,-31976.654549053852,-31976.65454901928
