voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-339.8898585785916,-58117369.61448678,-362500.40906801575,-196944765.9273759,-128582394.2319521,-278014481.78630465,-126096122.70978267,-150,62800409290076.242,39.521967586921825,62800409290036.719,1589000070706.4358,1.8258341024788688e+17,0.006110981106758118,0.0002624659682624042,0.0067268311977386475,0.006232902407646179,0.006658017635345459,3.364682197570801e-05,1.0795702110044658e-09,128576859.88816589,-0.0074419975280761719,0.010255650846248144,0.024068883891906978,-150,-339.8898585796536,-339.8898585785916,-339.88985857857404,-58117369.61143741,-58117369.61448678,-58117369.61754839,-362500.4090687032,-362500.40906801575,-362500.4093304817,-196944765.93410274,-196944765.9273759,-196944765.9275513,-128582394.23097005,-128582394.2319521,-128582394.23720296,-278014481.78380805,-278014481.78630465,-278014481.77964664,-126096122.70974903,-126096122.70978267,-126096122.70978223
-140,-297.7737344964471,-50853033.47594365,-322227.21014674037,-173392234.1609729,-106744366.72199447,-245579881.7192345,-115057725.95771441,-140,58796445443625.852,66.77018568021802,58796445443559.078,880579331098.75195,42310697655557808.0,0.02526836097240448,0.00011289928806945682,0.010817646980285645,0.0057706087827682495,0.000992119312286377,3.555417060852051e-05,4.191974767309148e-09,117605284.29243705,-0.030404567718505859,0.01661746246177857,0.030236449164362966,-140,-297.7737345006391,-297.7737344964471,-297.77373449730413,-50853033.46330729,-50853033.47594365,-50853033.48857565,-322227.21014480764,-322227.21014674037,-322227.21025770693,-173392234.17179054,-173392234.1609729,-173392234.16115555,-106744366.72424203,-106744366.72199447,-106744366.71847142,-245579881.7190871,-245579881.7192345,-245579881.7200792,-115057725.95774147,-115057725.95771441,-115057725.95770591
-130,-258.6227472273256,-44072332.723172694,-281896.0588918237,-150958336.7080847,-87594705.99963658,-215047458.8863932,-104468286.39723139,-130,55724455942112.656,112.80454815326733,55724455941999.852,493991216261.95374,95255704882475984.0,0.0031991153955459595,2.671650145202875e-05,0.006070911884307861,0.006642207503318787,0.0036732852458953857,6.403028964996338e-05,1.2310579222685192e-09,107057440.14480403,0.0038423538208007813,0.0071560048136529442,0.019802232643655771,-130,-258.62274722693735,-258.6227472273256,-258.62274722609453,-44072332.724770054,-44072332.723172694,-44072332.72157094,-281896.05889832805,-281896.0588918237,-281896.05887161155,-150958336.7020138,-150958336.7080847,-150958336.70789704,-87594706.0007672,-87594705.99963658,-87594705.994125,-215047458.89001969,-215047458.8863932,-215047458.89006647,-104468286.39718534,-104468286.39723139,-104468286.39724937
-120,-222.24487919362053,-37764034.27191484,-241371.14252227574,-129571316.51795039,-70885718.69631253,-186332891.23195124,-94339909.29820572,-120,53528841655939.328,190.5770660127547,53528841655748.75,280877666845.58368,81191932515280448.0,0.006004557013511658,0.00011914450442418456,0.0027603060007095337,0.0027343779802322388,0.004540443420410156,4.963576793670654e-05,1.4503598322335165e-09,97158138.607520044,-0.0072240829467773438,0.0075605597161590389,0.016747493995545426,-120,-222.2448791947598,-222.24487919362053,-222.2448791950709,-37764034.268910855,-37764034.27191484,-37764034.27491541,-241371.142523195,-241371.14252227574,-241371.14264142024,-129571316.52056217,-129571316.51795039,-129571316.51780187,-70885718.69660097,-70885718.69631253,-70885718.6938666,-186332891.23239678,-186332891.23195124,-186332891.23649168,-94339909.29824382,-94339909.29820572,-94339909.29819418
-110,-188.49489911728847,-31919986.800320525,-200747.35410370928,-109203880.40199114,-56413516.089895256,-159358946.24811232,-84685915.9137918,-110,52167855768771.687,321.96944790455143,52167855768449.719,162027347962.02454,6.782387484247392e+17,0.0049506425857543945,0.00030401640105992556,0.00401856005191803,0.0007858797907829285,0.0019018054008483887,2.2143125534057617e-05,8.688516572874505e-10,88192777.637326181,0.006031036376953125,0.0054424572200583677,0.014438019590137685,-110,-188.49489911641962,-188.49489911728847,-188.49489911695747,-31919986.802795425,-31919986.800320525,-31919986.797844782,-200747.35410377022,-200747.35410370928,-200747.35440772568,-109203880.39817667,-109203880.40199114,-109203880.40219523,-56413516.09021643,-56413516.089895256,-56413516.090681136,-159358946.24895945,-159358946.24811232,-159358946.24705765,-84685915.91381182,-84685915.9137918,-84685915.91378967
-100,-157.27235671171826,-26533401.706423685,-160561.93397737475,-89897550.79307751,-44001605.70223491,-134049881.706179,-75511716.46400148,-100,51612836869892.969,543.94963440681636,51612836869349.016,94885323208.604401,64709863981639832.0,0.009042598307132721,2.270864206366241e-05,0.0035129934549331665,0.0008036196231842041,0.001664280891418457,6.434321403503418e-05,1.5739658465463435e-09,80483720.128762394,0.011229515075683594,0.0056574038811204007,0.010506632178426401,-100,-157.2723567101443,-157.27235671171826,-157.27235671143472,-26533401.710945636,-26533401.706423685,-26533401.701903038,-160561.9339764294,-160561.93397737475,-160561.9339546661,-89897550.78956452,-89897550.79307751,-89897550.79280578,-44001605.702193215,-44001605.70223491,-44001605.702996835,-134049881.70499486,-134049881.706179,-134049881.70665914,-75511716.46393713,-75511716.46400148,-75511716.4639441
-90,-128.52044109682964,-21596902.81000898,-122003.89750023413,-71789769.53680888,-33484385.245307125,-110329309.182622,-66799320.96271545,-90,51847648274978.484,918.97292335334851,51847648274059.508,56419125044.278229,2.3082067457672458e+17,0.001128263771533966,1.2326607247814536e-05,0.0017043650150299072,0.0015845075249671936,0.0008068382740020752,1.74790620803833e-05,4.156390787102282e-10,74346369.710975781,0.0014362335205078125,0.0032059793204498961,0.0079005566275256456,-90,-128.52044109658416,-128.52044109682964,-128.520441096414,-21596902.810570598,-21596902.81000898,-21596902.809442334,-122003.89750136081,-122003.89750023413,-122003.89751256074,-71789769.53851324,-71789769.53680888,-71789769.53726353,-33484385.243722618,-33484385.245307125,-33484385.244270787,-110329309.18181516,-110329309.182622,-110329309.18252276,-66799320.96269797,-66799320.96271545,-66799320.96271063
-80,-102.23633289375066,-17103651.609385867,-86918.44896917843,-55135354.68548246,-24699351.453854352,-88139263.69974785,-58489979.18293768,-80,52868313082510.75,1464.9617650045575,52868313081045.789,36088527595.357597,36999249860550936.0,0.0033672600984573364,6.375386146828532e-05,0.002438783645629883,0.0019044578075408936,0.002637431025505066,3.263354301452637e-05,1.0082317203341518e-09,70029600.769379437,0.0043573379516601563,0.0028517216958487039,0.0065240517472169302,-80,-102.23633289310082,-102.23633289375066,-102.23633289410905,-17103651.611067817,-17103651.609385867,-17103651.607700557,-86918.44896692527,-86918.44896917843,-86918.44903067913,-55135354.68313211,-55135354.68548246,-55135354.685570896,-24699351.454649508,-24699351.453854352,-24699351.45274505,-88139263.699376,-88139263.69974785,-88139263.70201343,-58489979.182961285,-58489979.18293768,-58489979.182970315
-70,-78.50830262042612,-13056434.282046152,-57365.46070835706,-40304962.56951163,-17494650.327086616,-67511444.214113,-50479987.22666529,-70,54682837548532.594,2078.0483150558125,54682837546454.547,26314516920.682816,41101455499080976.0,0.003170415759086609,1.892500586109236e-05,0.002803526818752289,0.0021613910794258118,0.0020984262228012085,8.801370859146118e-05,7.561453685411834e-10,67657137.863901556,0.0040712356567382813,0.0031904688082878539,0.0093551119530665972,-70,-78.50830261966998,-78.50830262042612,-78.50830261997264,-13056434.283631444,-13056434.282046152,-13056434.280461028,-57365.460706853744,-57365.46070835706,-57365.46068943205,-40304962.5667081,-40304962.56951163,-40304962.568410575,-17494650.32886827,-17494650.327086616,-17494650.32670688,-67511444.21308121,-67511444.214113,-67511444.21517964,-50479987.22659459,-50479987.22666529,-50479987.2266826
-60,-57.57924741194629,-9486025.021350682,-34787.90094326533,-27731962.39045744,-11747894.352309978,-48706743.05173304,-42652809.9214319,-60,57311218295786.062,2947.7116078131016,57311218292838.352,19442613769.908474,1.3612072611883978e+17,0.0005983263254165649,7.232017378555611e-05,0.00044522061944007874,0.0007838420569896698,0.0009315088391304016,3.4049153327941895e-05,6.039684308234428e-10,67196510.227762014,-0.00073337554931640625,0.0012628034823948908,0.003778925580425252,-60,-57.57924741205226,-57.57924741194629,-57.57924741144829,-9486025.021053568,-9486025.021350682,-9486025.021651894,-34787.90094490959,-34787.90094326533,-34787.90101558551,-27731962.39001222,-27731962.39045744,-27731962.390232276,-11747894.353000283,-11747894.352309978,-11747894.352216441,-48706743.05178365,-48706743.05173304,-48706743.05085214,-42652809.92146595,-42652809.9214319,-42652809.92145402
