voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,1.3407331220445904e-07,1.070055418096939e-05,0.34307481803327006,2.1616502506663987e-05,-2.8392021762790583e-05,-0.06409953775899346,-4.3962685408446e-09,-150,3.5684562472902733e+17,2.217178301510586e-05,3.5684562472902733e+17,1.6094584025376073e+22,9.8790478706052954e+22,12.782277259739168,12.198503374778259,12.785002058638165,12.782524021321379,12.6773527469486,74.89007555492157,1.4280680075780367e-05,1472.4352913829009,46.326793120621943,32.285525817524451,149.78015111105273,-150,1.4192826821290496e-05,1.3407331220445904e-07,-8.785325448987091e-08,-12.53684472423587,1.070055418096939e-05,0.2454325355032978,-11.85542855674499,0.34307481803327006,-0.8046806461912985,-12.536808351684849,2.1616502506663987e-05,0.248193706953316,-12.53682109186775,-2.8392021762790583e-05,0.2457029294536292,-12.608458798378706,-0.06409953775899346,0.06889394856989384,74.8900755505253,-4.3962685408446e-09,0.14283270403840106
-140,1.316291039869016e-07,1.107939506993216e-05,0.3286149659253049,-2.3756212195457856e-07,-3.511028070728963e-05,-0.054713919085148804,-3.2693867361622343e-09,-140,2.9276715672565414e+17,2.7916570718225847e-05,2.9276715672565414e+17,1.048721777759457e+22,2.0831984657982713e+22,3.715643609056681,2.050909366244441,8.763915913515469,2.0620700280106647,11.437384894375388,2.814819034762843,2.6863655832518407e-06,1648.1280527097904,37.224754337705271,9.7996642418905342,40.129764689576312,-140,2.7625127868527223e-06,1.316291039869016e-07,7.614720360088146e-08,-3.7156325296616113,1.107939506993216e-05,-0.13401069300405055,-1.7222944003191358,0.3286149659253049,0.004292394646222394,0.022092819477059086,-2.3756212195457856e-07,-8.74182309403841,-2.062105138291372,-3.511028070728963e-05,-0.3461507396597917,11.382670975290239,-0.054713919085148804,6.203017251566052,-0.06786582593940693,-3.2693867361622343e-09,-2.8148190380322293
-130,7.640283411694303e-08,1.1148772820632485e-05,0.20462637478889942,-2.481464571604974e-07,-3.1725770297280685e-05,-0.04563871758981057,-2.7255204205672566e-09,-130,2.4030617763175251e+17,3.5149853312867792e-05,2.4030617763175251e+17,6.8366196436950791e+21,9.2384243842042513e+23,4.534871620395,1.834681833797003,7.273445306042579,2.994174100599283,13.783609194559887,4.192657603029358,3.761802573378875e-06,1843.6304111471702,30.115988770136205,10.131318311912015,41.982979432073037,-130,3.3792927129560247e-06,7.640283411694303e-08,-3.825098604228502e-07,-4.53486047162218,1.1148772820632485e-05,-0.09284837098140741,-1.6300554590081036,0.20462637478889942,0.004876586830569088,0.025244809325688705,-2.481464571604974e-07,-7.2482004967168905,-2.99420582636958,-3.1725770297280685e-05,-0.2434538174401939,13.737970476970077,-0.04563871758981057,6.032148643396795,-0.06554852528904576,-2.7255204205672566e-09,-4.192657605754878
-120,4.850264244887053e-08,1.1315694776684118e-05,0.13900070646366008,-2.637788928720613e-07,-2.904499648481691e-05,-0.038067776240728206,-2.2692979781945163e-09,-120,1.9736960360360346e+17,4.4257305110526931e-05,1.9736960360360346e+17,4.4595938028919346e+21,2.307237650451558e+22,5.306641111241558,1.7664109927030727,6.511557866726372,4.098298990793989,16.355579436287602,5.5628288587049175,4.783434505207865e-06,2062.0014539925451,23.60245169086383,11.347012133285022,46.080819599053584,-120,4.011281519575563e-06,4.850264244887053e-08,-7.721529856323027e-07,-5.306629795546781,1.1315694776684118e-05,-0.07047995274032814,-1.6274102862394126,0.13900070646366008,0.006079133822716487,0.032740757882431124,-2.637788928720613e-07,-6.478817108843941,-4.098328035790473,-2.904499648481691e-05,-0.1864774885242122,16.317511660046875,-0.038067776240728206,6.281016642227769,-0.08463957746278084,-2.2692979781945163e-09,-5.562828860974215
-110,3.6034283437037506e-08,1.157287708807619e-05,0.10673974859420114,-2.8154108853065814e-07,-2.6823178281080495e-05,-0.031751784296989355,-1.8826838508202124e-09,-110,1.6224300466556512e+17,5.5724530006195531e-05,1.6224300466556512e+17,2.911518583423256e+21,4.8453265269184132e+22,6.1479305583796,1.90168792628013,6.05013169186971,5.3557560801451345,19.40260744540608,7.039798704422076,5.861100614076808e-06,2306.0867593510907,19.993373635333565,13.167654615275431,52.494398988931508,-110,4.703970877756461e-06,3.6034283437037506e-08,-1.1571297363203468e-06,-6.147918985502512,1.157287708807619e-05,-0.0550468566245641,-1.7949481776859288,0.10673974859420114,0.007752497704598198,0.04618140701752932,-2.8154108853065814e-07,-6.003950284852181,-5.355782903323416,-2.6823178281080495e-05,-0.14666956105276685,19.37085566110909,-0.031751784296989355,6.760163228027523,-0.1344619954246582,-1.8826838508202124e-09,-7.03979870630476
-100,3.130246113210986e-08,1.1927908169452558e-05,0.09162347331525464,-2.97467747774382e-07,-2.4918816055532818e-05,-0.026482666373786688,-1.5454426671909409e-09,-100,1.3352228696788608e+17,7.0162953588260516e-05,1.3352228696788608e+17,1.9030311601680731e+21,2.0480164970967683e+22,7.281334401378927,2.3500954607478093,5.433016451639119,6.734604485041924,23.076723712027608,8.802891678581252,7.025742233652164e-06,2579.0594207843533,17.110284321450546,15.590896411012377,61.339923789683816,-100,5.406088451903983e-06,3.130246113210986e-08,-1.619653781748182e-06,-7.281322473470757,1.1927908169452558e-05,-0.043009004460870415,-2.2584719874325545,0.09162347331525464,0.009677544886367954,0.06724553716368606,-2.97467747774382e-07,-5.3657709144754335,-6.73462940385798,-2.4918816055532818e-05,-0.11569383703720793,23.05024104565382,-0.026482666373786688,7.317540205083787,-0.22159282362599697,-1.5454426671909409e-09,-8.802891680126695
-90,2.968988329918264e-08,1.2292781565601561e-05,0.08387080484087343,-3.0694496282550335e-07,-2.319595657714847e-05,-0.022086729853013232,-1.227894778404843e-09,-90,1.1005772273879254e+17,8.8342423986008902e-05,1.1005772273879254e+17,1.245808273907254e+21,2.1761349343148253e+22,7.79655950721478,3.0459259821338724,4.011829948011342,8.273231675295415,27.524510278923966,11.10080432622,8.765085769952486e-06,2884.4697140334229,14.471489399860245,18.868119521717517,72.335911656538059,-90,6.490453465962931e-06,2.968988329918264e-08,-2.2746323039895545e-06,-7.796547214433214,1.2292781565601561e-05,-0.03320414203954414,-2.962055177292999,0.08387080484087343,0.011347148028151408,0.09952394440411422,-3.0694496282550335e-07,-3.9123060036072275,-8.273254871251993,-2.319595657714847e-05,-0.09156869730825318,27.502423549070954,-0.022086729853013232,7.743839900009334,-0.3554446965325724,-1.227894778404843e-09,-11.100804327447895
-80,2.857283358250203e-08,1.2784168111509e-05,0.07787706064763482,-3.021435029930991e-07,-2.1641356912835104e-05,-0.018418633161325634,-8.754411982679332e-10,-80,90908098774275840.0,0.00011123225971247551,90908098774275840.0,8.1728177607165739e+20,1.9901256533902811e+21,9.139506063400752,4.212429967026229,0.6437900309934588,9.864926576400133,32.90375449579789,14.313092381222354,1.0797172111083129e-05,3226.3044057012726,12.100050276953462,23.827570887063278,87.805059308607611,-80,7.492765001242775e-06,2.857283358250203e-08,-3.3044071098403536e-06,-9.13949327923264,1.2784168111509e-05,-0.024623251899683396,-4.134552906378595,0.07787706064763482,0.012859929534600866,0.14837033126566831,-3.021435029930991e-07,-0.49541969972779043,-9.864948217757046,-2.1641356912835104e-05,-0.07336821126403054,32.885335862636566,-0.018418633161325634,7.655112999491394,-0.5401730315606983,-8.754411982679332e-10,-14.313092382097796
-70,2.6827817683026393e-08,1.3348441439958079e-05,0.07118193378988168,-2.700148214279989e-07,-2.0178195115096232e-05,-0.015355780284595732,-3.7903064075057194e-10,-70,75303157045122992.0,0.00014005293314911868,75303157045122992.0,5.3767640100008041e+20,2.1683526927800247e+21,10.683772023610356,5.75699486045274,6.885852140189341,11.57929830085763,39.418434716324995,19.036278543721778,1.3749035044424373e-05,3609.0551960944144,10.034496740782782,32.56214282869297,116.89431662430839,-70,8.736305203559227e-06,2.6827817683026393e-08,-5.012729840865147e-06,-10.683758675168916,1.3348441439958079e-05,-0.016442167605667635,-5.685812926662858,0.07118193378988168,0.013626747074483537,0.22156986249950406,-2.700148214279989e-07,6.88585187017452,-11.579318479052745,-2.0178195115096232e-05,-0.059684410779163366,39.4030789360404,-0.015355780284595732,6.347969410941005,-0.7711577451257199,-3.7903064075057194e-10,-19.03627854410081
-60,2.4312375964787567e-08,1.400455619382749e-05,0.06338272261081812,-1.8760809060424978e-07,-1.876777441692137e-05,-0.012791936243025805,4.70997447491553e-10,-60,62612831011148336.0,0.00017634114540488439,62612831011148336.0,3.550664869925136e+20,1.258513488320443e+22,12.49915131842195,7.796329755104994,21.662459895034115,13.47703774797792,47.32309317491397,26.249780736916836,1.8164910936464238e-05,4037.8078993415311,8.2788372442114486,49.440178034730209,162.66255431144765,-60,1.025536674659369e-05,2.4312375964787567e-08,-7.90954418987055e-06,-12.499137313865756,1.400455619382749e-05,-0.006224665532709395,-7.732947032494176,0.06338272261081812,0.013144517660022836,0.3276901422220911,-1.8760809060424978e-07,21.662459707426024,-13.477056515752338,-1.876777441692137e-05,-0.04991411741591928,47.310301238670945,-0.012791936243025805,2.5955971656367183,-1.0304476543262808,4.70997447491553e-10,-26.24978073644584
