voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.039449416377943754,-8.736157223073864,-1.656773216460342,-122766.03787888658,-0.0588295286675768,-0.11997334168985416,-697.9393128923111,-150,3874244516390.8359,6.0213403684743403,3874244516384.8145,643418953141.23792,7.5236040912984282e+17,9.45664065454821e-05,2.378486294674076e-05,2.004738780669868e-05,4.639076579931317e-05,2.280073703975205e-05,3.597633622121066e-05,3.626809963463984e-11,27253.631099439452,0.0024377699060028866,0.00019103903705213927,0.00055527267082893645,-150,-0.03944941637624302,-0.039449416377943754,-0.03944941641251112,-8.736155764949586,-8.736157223073864,-8.736250331356132,-1.6567817430963032,-1.656773216460342,-1.6567579582333565,-122766.03785883919,-122766.03787888658,-122766.03787825351,-0.05884833008136292,-0.0588295286675768,-0.05887591943337611,-0.11998705658652131,-0.11997334168985416,-0.11996425584948156,-697.9392769159749,-697.9393128923111,-697.9392905389029
-140,-0.03495738747507281,-4.812375076513906,-1.77559150096751,-108637.24059977494,-0.065017093334903,-0.12365775952549711,-922.9972594488354,-140,3871151626644.6147,7.4254247401094116,3871151626637.1895,521337399830.35291,1.7438266788506708e+18,0.00014413894271569916,6.827855680313633e-05,4.672208160627633e-05,2.3468334417589554e-05,3.6496859157297834e-05,3.959780929108092e-05,4.4777820340513586e-11,29965.776786529263,0.0024358221147042667,0.00012978548655953021,0.00041048672451310787,-140,-0.03495738748014035,-0.03495738747507281,-0.03495738751985063,-4.8123579121861155,-4.812375076513906,-4.812502051128831,-1.7756516649780067,-1.77559150096751,-1.7755833864212036,-108637.24055305286,-108637.24059977494,-108637.24059804206,-0.06503902206485868,-0.065017093334903,-0.0650405616693206,-0.12368899759259944,-0.12365775952549711,-0.12365250073344214,-922.9972234307788,-922.9972594488354,-922.9972630285881
-130,-0.030676519145798064,-2.674608296476905,-2.04739122242701,-95154.95716547318,-0.07573297868546881,-0.13175868657265452,-1169.2420021637954,-130,3868062438273.7041,9.1569200870468723,3868062438264.5474,422419591030.97986,5.690471214093961e+17,3.877339851543482e-05,5.780150771794723e-06,1.1261741747148335e-05,3.270967036761441e-05,1.4934439628300211e-05,1.516960037406534e-05,1.5345329174021316e-11,32962.462834151651,0.002433876263530239,0.00014442969947264011,0.00039039050691710487,-130,-0.030676519138789708,-0.030676519145798064,-0.030676519130452735,-2.6745787582053993,-2.674608296476905,-2.6745695230783895,-2.047396012742233,-2.04739122242701,-2.0473970025777817,-95154.9571613381,-95154.95716547318,-95154.95717259984,-0.07573587014067917,-0.07573297868546881,-0.07570316047031156,-0.1317517526058276,-0.13175868657265452,-0.1317666870454559,-1169.2420173333958,-1169.2420021637954,-1169.2420097443828
-120,-0.026671101422729146,-1.5426311093166651,-2.45797138530728,-82537.82117785935,-0.08988344077856737,-0.14609462989188488,-1402.3066247790266,-120,3864977234681.3374,11.29217363521848,3864977234670.0454,342270439645.65802,3.6432561308952064e+17,0.00014006416228085072,1.1219607179313584e-05,6.651852163486183e-05,5.008570016262759e-05,5.086460732672826e-05,3.773989010369405e-05,5.151118073754013e-11,36269.294142766426,0.0024319324375126324,0.00020271630943818279,0.00071892765267430334,-120,-0.02667110141406615,-0.026671101422729146,-0.026671101371217965,-1.5426443851166027,-1.5426311093166651,-1.5425043209543219,-2.4579601657001007,-2.45797138530728,-2.457964226603508,-82537.82111134083,-82537.82117785935,-82537.82117025874,-0.0899174355151573,-0.08988344077856737,-0.08986734981499467,-0.14613496069359644,-0.14609462989188488,-0.1460840960862697,-1402.3065913072787,-1402.3066247790266,-1402.3066290471688
-110,-0.022985436709563573,-0.9458467974858451,-2.934925335799312,-70944.03022350941,-0.1054963324849136,-0.16873555112648717,-1583.428177899099,-110,3861896365819.6177,13.925335614569789,3861896365805.6924,277328782063.89478,4.0925628644438848e+17,0.0002427768318937762,9.803951515063858e-06,8.53750534588471e-05,3.4940905870681216e-05,4.3189913832702986e-05,6.615971324208658e-05,1.027033041944847e-10,39892.709222896927,0.00242999073904486,0.00030585132740205615,0.0008340645839212174,-110,-0.022985436699583188,-0.022985436709563573,-0.022985436802286492,-0.9458560912258918,-0.9458467974858451,-0.9460895743177389,-2.934935139750827,-2.934925335799312,-2.934934839606285,-70944.03014766178,-70944.03022350941,-70944.03023303683,-0.10553127339078427,-0.1054963324849136,-0.10551906823366153,-0.16877874104031987,-0.16873555112648717,-0.16874096992250998,-1583.4281160277314,-1583.428177899099,-1583.4281821874447
-100,-0.01964512720828385,-0.6241659368963175,-3.2401460143843384,-60467.85346419785,-0.11959467678503463,-0.2013164690995651,-1684.8830447745277,-100,3858820263707.3213,17.172510646986169,3858820263690.1489,224709149584.05087,2.3029641368657968e+17,0.0007137002023247518,1.69854644411771e-05,1.6300706192851067e-05,5.008940662884487e-05,5.141800811209185e-06,6.302690599113703e-05,2.3085323583305062e-10,42341.324539741072,0.0024280512976812777,0.001017917902654058,0.0020659724991631346,-100,-0.01964512720674591,-0.01964512720828385,-0.019645126977430614,-0.6241569063607528,-0.6241659368963175,-0.6234522366939927,-3.240155963230478,-3.2401460143843384,-3.240138977766037,-60467.8534775165,-60467.85346419785,-60467.8534612158,-0.11954458737840579,-0.11959467678503463,-0.11958967105420015,-0.20131554697175713,-0.2013164690995651,-0.2013113272987539,-1684.8831078014337,-1684.8830447745277,-1684.883066334112
-90,-0.01665993896094266,-0.44189021101808323,-2.7158757675558665,-51143.76794465701,-0.12882688480004162,-0.24447716576101886,-1700.2716721546603,-90,3855749461566.2261,21.176877174314605,3855749461545.0493,182073562113.43842,4.1490050543598554e+17,0.00036592349240238686,2.0505076347987483e-05,6.468863284680992e-05,5.926797620442459e-05,7.06468456250775e-05,3.764557186514139e-05,1.1963979459905794e-10,40691.18626961737,0.0024261142813313905,0.00035427448907336353,0.00099097832399714465,-90,-0.016659938955669848,-0.01665993896094266,-0.016659938841302867,-0.44185984369585185,-0.44189021101808323,-0.44152428752568085,-2.7158962726322144,-2.7158757675558665,-2.7158851623535156,-51143.768009345644,-51143.76794465701,-51143.76795407075,-0.1287676168238372,-0.12882688480004162,-0.12879491748935834,-0.2444154894144681,-0.24447716576101886,-0.2444861362600932,-1700.2717098002322,-1700.2716721546603,-1700.271674533504
-80,-0.014026297753218047,-0.33075486773991186,0.2615915110685201,-42955.827603442085,-0.13103835161946864,-0.2969009313111046,-1642.5647997420165,-80,3852684617419.7246,23.705566337082274,3852684617396.019,162522361315.32642,7.5098635842924275e+17,0.00029331041980640293,4.573037291422111e-05,2.5299479602836072e-05,4.258311453342323e-05,8.733527735005353e-05,2.1861109416931868e-05,7.331786566755483e-11,39676.713078965353,0.0024241799374640676,0.00021386263580084626,0.00068908804618687521,-80,-0.014026297742625232,-0.014026297753218047,-0.014026297815943098,-0.33074788624696794,-0.33075486773991186,-0.33104119666677434,0.2616372414414343,0.2615915110685201,0.2616131901741028,-42955.827581150166,-42955.827603442085,-42955.827578142605,-0.13105748648884075,-0.13103835161946864,-0.13101490337430732,-0.2969684078206787,-0.2969009313111046,-0.29688107254332863,-1642.564777880907,-1642.5647997420165,-1642.5647793387293
-70,-0.011729131813125522,-0.25708319548282604,9.33505862217418,-35849.48453752364,-0.12606820975100422,-0.35424606678565523,-1534.134882368031,-70,3849626543194.2837,23.686609467771365,3849626543170.5972,162523325612.81885,2.327695277605849e+17,0.00018113062205316055,3.808752421718964e-05,6.176792521728203e-05,4.927046946701097e-05,4.9757958870522145e-05,5.884634492758778e-05,5.7663838981536486e-11,39397.44637386511,0.0024222484776816951,0.00013748206532457531,0.00044684782985461894,-70,-0.011729131791449217,-0.011729131813125522,-0.011729131849113056,-0.2570640094844805,-0.25708319548282604,-0.25724514010653365,9.335039600573737,9.33505862217418,9.335077688097954,-35849.484475755715,-35849.48453752364,-35849.484517718825,-0.1260316420820482,-0.12606820975100422,-0.1260809125515152,-0.3542773074280854,-0.35424606678565523,-0.35422754946921486,-1534.1349128196016,-1534.134882368031,-1534.1348539732567
-60,-0.009743601103395571,-0.2043044189040977,31.977143174024164,-29743.56285310994,-0.11529061717967232,-0.40650301794606114,-1397.26293320267,-60,3846576240606.915,23.667667757891323,3846576240583.2476,162524515721.42682,1.0072920216489216e+18,0.00032928593366318704,6.510762055000896e-05,2.221187241957523e-05,1.6654888421563374e-05,3.827611265183606e-05,5.303422221913934e-05,1.285249077304096e-10,39814.136866847228,0.0024203201937780076,0.00046559603621696013,0.0009317355260703515,-60,-0.009743601121320035,-0.009743601103395571,-0.009743601231920479,-0.20432009809917417,-0.2043044189040977,-0.2046337048377609,31.977078066403614,31.977143174024164,31.977128833532333,-29743.56284861795,-29743.56285310994,-29743.56287082982,-0.11529278382647479,-0.11529061717967232,-0.11530727206809388,-0.40648356147819253,-0.40650301794606114,-0.40652183759084437,-1397.2629076242447,-1397.26293320267,-1397.262960658467
