voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.008872517186937583,-49715.894383451356,-2246.167494989114,-350.84611518855,-25.02807226686855,-50.49655253035053,-23.855035774134304,-150,3489993248125.5884,123.38504182021347,3489993248002.2031,28285383678.930218,6.3889994246908779e+20,1.4326360542327166e-08,1.5255864127539098e-08,1.4801173620071495e-08,1.404805516358465e-08,1.4196984920999967e-08,4.952385168621731e-08,1.5317608292875207e-14,6303.5477947603558,0.0021859843790547574,6.1162878287441343e-08,1.3619050447805092e-07,-150,-0.008872517186950743,-0.008872517186937583,-0.008872517186952901,-49715.894383444494,-49715.894383451356,-49715.89438345882,-2246.1674949818853,-2246.167494989114,-2246.167494997141,-350.84611519474856,-350.84611518855,-350.8461152033512,-25.02807225948527,-25.02807226686855,-25.028072273533326,-50.49655252355956,-50.49655253035053,-50.49655253775654,-23.855035823658156,-23.855035774134304,-23.855035780947464
-140,-0.00811382729871248,-45720.740901374935,-2117.096349709437,-230.70847005088876,70.36003671052686,-34.25242866253302,-18.579537977978593,-140,4944962366701.1406,155.85247505705567,4944962366545.2881,31728481468.71489,7.3025499382446581e+20,1.6938429325819016e-08,1.9493654690450057e-08,9.520670118945418e-08,1.8502760212868452e-08,1.7232366644748254e-08,4.3012288841737245e-08,5.016473347829731e-14,6781.4828937349594,0.0031002805769520881,1.4403221200099768e-07,3.0342922621717783e-07,-140,-0.008113827298762645,-0.00811382729871248,-0.008113827298720708,-45720.740901366706,-45720.740901374935,-45720.740901383644,-2117.0963497005837,-2117.096349709437,-2117.0963497200773,-230.7084701413769,-230.70847005088876,-230.7084700461702,70.36003671964136,70.36003671052686,70.3600367011386,-34.252428653235995,-34.25242866253302,-34.25242867046836,-18.57953802099088,-18.579537977978593,-18.579537987075565
-130,-0.007386769383499438,-41817.44138697703,-1971.5348475520184,-153.13907276072868,160.35059472580633,-22.074678547412077,-14.009586619927077,-130,7011352094429.1182,196.86336060738657,7011352094232.2549,35615322591.247299,1.610155502934688e+22,1.3969838619232178e-09,4.481535142986104e-10,3.8838891214254545e-08,1.1741576599888504e-09,4.4133230403531343e-10,3.8072787589271684e-08,1.8978742188924258e-14,7559.9752285519435,0.00439852722779315,5.9462795228135081e-08,9.9452166349434101e-08,-130,-0.007386769383483903,-0.007386769383499438,-0.00738676938348046,-41817.44138697804,-41817.44138697703,-41817.44138697664,-1971.5348475515702,-1971.5348475520184,-1971.5348475516425,-153.1390727538601,-153.13907276072868,-153.1390727218898,160.35059472617286,160.35059472580633,160.3505947269805,-22.074678546970745,-22.074678547412077,-22.074678547300664,-14.00958658208932,-14.009586619927077,-14.009586620162107
-120,-0.006673715085302297,-37984.21740755634,-1790.1677541287174,-102.91379927033232,248.30436997315473,-13.151189506309493,-10.252421255923045,-120,9945657930683.8984,248.66581512706892,9945657930435.2324,39996080384.437401,9.6547102622789232e+20,2.5735062081366777e-08,2.45013325184118e-08,3.54633726828979e-08,2.5560439098626375e-08,2.6637621886038687e-08,6.954738474007627e-08,2.920927388849748e-14,8684.0046296359742,0.0062418160941925442,1.0300431487014713e-07,2.5248336906619206e-07,-120,-0.006673715085331506,-0.006673715085302297,-0.006673715085320278,-37984.2174075437,-37984.21740755634,-37984.217407569435,-1790.1677541156373,-1790.1677541287174,-1790.1677541401386,-102.91379930579569,-102.91379927033232,-102.91379927803114,248.30436998554796,248.30436997315473,248.30436995998753,-13.151189494345658,-13.151189506309493,-13.15118952098328,-10.25242132547043,-10.252421255923045,-10.252421268604285
-110,-0.005958299602031629,-34208.7987786477,-1544.7373707890529,-70.21069377300925,337.3101892021514,-6.673564088212061,-7.306217251560976,-110,14112017007509.891,314.09952274526751,14112017007195.791,44928489174.925095,1.3726906982919198e+22,8.658389560878277e-10,2.2216681827558205e-09,1.637386048969347e-08,2.0500010577961802e-09,1.8607693164085504e-09,2.3455672071293066e-08,1.5046124068884836e-14,10103.616571174611,0.0088588411943196846,4.4830784136150802e-08,8.7887458144475517e-08,-110,-0.005958299602016583,-0.005958299602031629,-0.005958299602021962,-34208.798778647935,-34208.7987786477,-34208.79877864707,-1544.737370789069,-1544.7373707890529,-1544.7373707868474,-70.21069375670777,-70.21069377300925,-70.2106937566354,337.3101892016366,337.3101892021514,337.3101892036866,-6.673564089323861,-6.673564088212061,-6.673564087463092,-7.306217228105304,-7.306217251560976,-7.306217249610729
-100,-0.005226612515902968,-30499.0443836547,-1199.2153729560637,-48.75532036229819,430.30530361878436,-1.9348203122008272,-5.087842091003475,-100,20027377677858.605,396.75139961795736,20027377677461.855,50478404605.865303,2.1486731311518134e+22,1.3242242857813835e-09,1.4292709238361567e-09,3.838536599687359e-08,2.7976057026535273e-09,7.588027983729262e-10,3.612903753946739e-09,1.9486148805647474e-14,10765.997850125557,0.012574268535564401,5.6105419359217729e-08,1.0113900744332383e-07,-100,-0.005226612515922454,-0.005226612515902968,-0.005226612515903718,-30499.04438365485,-30499.0443836547,-30499.044383653527,-1199.2153729565111,-1199.2153729560637,-1199.2153729550819,-48.75532040068356,-48.75532036229819,-48.7553203666875,430.3053036180536,430.30530361878436,430.3053036208512,-1.9348203127079273,-1.9348203122008272,-1.9348203119491245,-5.087842093098089,-5.087842091003475,-5.087842089485186
-90,-0.004471297097000352,-26892.47086710069,-719.9101150941128,-34.56669914760773,530.5833001000778,1.6373264950730118,-3.4739450214465983,-90,28425623914878.406,501.15221991746807,28425623914377.254,56720538760.777435,3.0210268464783003e+23,4.5838532969355583e-10,1.2018972483929247e-09,7.848807825894255e-08,1.4479155652225018e-09,5.778701961389743e-09,6.8083183535350145e-09,4.030283051736916e-14,10273.725692962664,0.017849007661977955,1.1404080132842834e-07,1.906789734752723e-07,-90,-0.004471297097040655,-0.004471297097000352,-0.004471297097002387,-26892.470867100397,-26892.47086710069,-26892.470867100856,-719.9101150953147,-719.9101150941128,-719.9101150951192,-34.56669922609581,-34.56669914760773,-34.56669915087416,530.5833001000719,530.5833001000778,530.5833001015199,1.6373264910848206,1.6373264950730118,1.6373264892943098,-3.473945026448469,-3.4739450214465983,-3.4739450196401505
-80,-0.0036955799192112675,-23444.499118775886,-95.53973187909833,-25.111247337336085,642.5439248500134,4.495367742858662,-2.3328947951382846,-80,40348608624643.219,633.02498181493206,40348608624010.195,63739362242.799026,7.2606272580061822e+22,2.1464074961841106e-09,2.627984940772876e-09,3.5309430046481793e-08,1.2951204553246498e-09,3.3023752621375024e-09,5.480737641505584e-09,1.470698562933137e-14,10044.681257541288,0.025337383746883331,3.0548733113309704e-08,6.6182803522274458e-08,-80,-0.0036955799192235424,-0.0036955799192112675,-0.0036955799192088354,-23444.499118774555,-23444.499118775886,-23444.4991187767,-95.53973188172631,-95.53973187909833,-95.53973187993779,-25.11124736545753,-25.111247337336085,-25.1112473301481,642.5439248510229,642.5439248500134,642.5439248497278,4.495367743823863,4.495367742858662,4.495367740521488,-2.3328947902902755,-2.3328947951382846,-2.332894795771013
-70,-0.0029099564387759314,-20181.67827611605,648.7148678171984,-18.743044859655924,772.0375311346925,7.001707005901835,-1.5418264086873397,-70,57275387797234.414,799.59862827263828,57275387796434.812,71630172654.204819,2.1574709500888639e+22,2.5756889954209328e-09,1.2447344488464296e-08,1.9793876759877094e-08,1.3660610420629382e-09,3.952891347580589e-09,9.14999742640532e-09,7.742504554153484e-15,10370.121975047425,0.035968299325705042,1.7990420930806546e-08,5.2575576827904036e-08,-70,-0.002909956438768189,-0.0029099564387759314,-0.0029099564387746776,-20181.678276117585,-20181.67827611605,-20181.67827611501,648.7148678125077,648.7148678171984,648.714867824955,-18.743044844646647,-18.743044859655924,-18.743044864440524,772.0375311333792,772.0375311346925,772.0375311347452,7.001707003136062,7.001707005901835,7.001707007088953,-1.5418263995373422,-1.5418264086873397,-1.5418264064936107
-60,-0.002119791906832898,-17052.826260416998,1465.2153371954419,-14.360937590298004,925.8620056717459,9.44748547562358,-0.9951555163104429,-60,81305685911696.922,1010.0043200544719,81305685910686.922,80500334797.886719,5.3399890562046222e+22,1.102307578548789e-09,6.110894901212305e-09,1.2316495734410182e-07,2.3283064365386963e-09,3.0640876502729952e-09,3.170480766812034e-09,6.157270873718979e-14,11341.542310953892,0.051060460458293856,1.4090910704299928e-07,2.7422495058222751e-07,-60,-0.0021197919068932634,-0.002119791906832898,-0.0021197919068316907,-17052.826260416332,-17052.826260416998,-17052.826260415895,1465.215337189331,1465.2153371954419,1465.2153371931372,-14.360937711746374,-14.360937590298004,-14.360937588581416,925.8620056700674,925.8620056717459,925.8620056723958,9.447485472559492,9.44748547562358,9.447485474522182,-0.9951555143955702,-0.9951555163104429,-0.9951555131399621
