voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-3390.8869600325415417725070861589543812684038144759131159202124608557238534776996,-1535701.2086030304515471238909231949568212671014389807241864644136946096181333912,-3577125508.9940061003902672225440779329297229698696678716330355804519659494889197,-471631265.60468721383184006150467014738191176804486008848781868079227814354135727,-477365.90283825963711990311719548755603538995754868477095167500809731318508814613,-1532763.5191252703442172502222871740791603901005714193753989885234678016924105566,-3004054982.7515448967041305248630133477356325363395101508695411761462679018029365,-150,506429998464555.31347592277003170589343367210718961592873020322394055382393375658,9139.9630138168086826215301526344589568848286441423643991433458201344787495557311,506429998455415.35046210596134908436328103764823273110008606085954141047811362211,55408320328.976074855560257848508963536311084408965137812020966506736268032722026,1012859996929110.6269518455400634117868673442143792318574604064478811076478675132,2.0273578406455310646986968724961194001186233175521459276970844370290172629759861e-72,9.0556790788267123675091192908877917806825311981391381895826148899355013185928451e-72,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,7.0194778015807645915140267940841647714030850962138095097472661805530314176104207e-74,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,9.0556790788267123675091192908877917806825311981391381895826148899355013185928451e-72,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,7208905900.1417627550185417295763497980355231993114482431728738369320506537595613,-1.7718122373434548566502339433869418860718203606185159624239977661986538549075799e-72,5.9222927905859850064901110307922275890245040288978931371282905935311928597006461e-72,1.6494003603260999337471853560223103853160959201367290521668389533527027519904837e-71,-150,-3390.8869600325415417725070861589543812684038144759131159202124608557238534776996,-3390.8869600325415417725070861589543812684038144759131159202124608557238534776996,-3390.8869600325415417725070861589543812684038144759131159202124608557238534776996,-1535701.2086030304515471238909231949568212671014389807241864644136946096181333902,-1535701.2086030304515471238909231949568212671014389807241864644136946096181333912,-1535701.2086030304515471238909231949568212671014389807241864644136946096181333922,-3577125508.9940061003902672225440779329297229698696678716330355804519659494889197,-3577125508.9940061003902672225440779329297229698696678716330355804519659494889197,-3577125508.9940061003902672225440779329297229698696678716330355804519659494889197,-471631265.60468721383184006150467014738191176804486008848781868079227814354135727,-471631265.60468721383184006150467014738191176804486008848781868079227814354135727,-471631265.60468721383184006150467014738191176804486008848781868079227814354135727,-477365.90283825963711990311719548755603538995754868477095167500809731318508814612,-477365.90283825963711990311719548755603538995754868477095167500809731318508814613,-477365.90283825963711990311719548755603538995754868477095167500809731318508814619,-1532763.5191252703442172502222871740791603901005714193753989885234678016924105566,-1532763.5191252703442172502222871740791603901005714193753989885234678016924105566,-1532763.5191252703442172502222871740791603901005714193753989885234678016924105566,-3004054982.7515448967041305248630133477356325363395101508695411761462679018029364,-3004054982.7515448967041305248630133477356325363395101508695411761462679018029365,-3004054982.7515448967041305248630133477356325363395101508695411761462679018029365
-140,-3051.3350001683687889793512977371109094407162766427307874815432432367291278099855,-1355547.8205144101099669418365160953976362907115229898522197265172433241692194545,-3271687430.1698392328142089684220636498754268187668540806581569106737304537491316,-416527932.17755727979030715692453203895132464681504414707424764480167088375228444,-431265.0287509500906451187602060678625934987209546821512832919078724652864548369,-1371089.1076102596273570692521501381812870455663751458744460173800722063212977891,-2658382927.8693020314541022343055051536726358752846748608998335000745137830058449,-140,399485270188665.6544945513966621373471825952338097898447994364899037988806929018,10170.143690596266088476675042560361290687565096772675055988813121276989088195814,399485270178495.51080395513057366067214003487251910227970266381484781006757162481,39280199212.725597562859501167417953565394389523912030561948401246546649650634405,798970540377331.3089891027933242746943651904676195796895988729798075977613858036,6.1904056202916979074769370152553264125759490612279264967849906474168466045068277e-72,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,1.8792302775885511504840701653453669466748416793013348293811578751086855763681441e-74,8.8434366004167112963956243075076091608227843731827521382642723534526380064383253e-75,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,6495224479.0985158385275819602266216249153506997760528318107518709747983169644838,-5.4092208639715952171521788980182554387494174534303176609700286840662614241215956e-72,5.1665414155711847063990823328890984326150846517929297881021454585128440391181905e-72,1.4874897374685087266479278737779529226572873635436526185993420274294802366138013e-71,-140,-3051.3350001683687889793512977371109094407162766427307874815432432367291278099854,-3051.3350001683687889793512977371109094407162766427307874815432432367291278099855,-3051.3350001683687889793512977371109094407162766427307874815432432367291278099855,-1355547.8205144101099669418365160953976362907115229898522197265172433241692194514,-1355547.8205144101099669418365160953976362907115229898522197265172433241692194545,-1355547.8205144101099669418365160953976362907115229898522197265172433241692194575,-3271687430.1698392328142089684220636498754268187668540806581569106737304537491316,-3271687430.1698392328142089684220636498754268187668540806581569106737304537491316,-3271687430.1698392328142089684220636498754268187668540806581569106737304537491316,-416527932.17755727979030715692453203895132464681504414707424764480167088375228444,-416527932.17755727979030715692453203895132464681504414707424764480167088375228444,-416527932.17755727979030715692453203895132464681504414707424764480167088375228444,-431265.0287509500906451187602060678625934987209546821512832919078724652864548369,-431265.0287509500906451187602060678625934987209546821512832919078724652864548369,-431265.02875095009064511876020606786259349872095468215128329190787246528645483688,-1371089.1076102596273570692521501381812870455663751458744460173800722063212977891,-1371089.1076102596273570692521501381812870455663751458744460173800722063212977891,-1371089.1076102596273570692521501381812870455663751458744460173800722063212977891,-2658382927.8693020314541022343055051536726358752846748608998335000745137830058449,-2658382927.8693020314541022343055051536726358752846748608998335000745137830058449,-2658382927.8693020314541022343055051536726358752846748608998335000745137830058449
-130,-2722.7343257070372936724675380142675432216020663238239024311952993885359001434013,-1178284.9106435144790630736927389712483072460290983583017813615675663352023295774,-2982365801.2480151588425871433384475691449600907732789874401167264001386939962246,-362357466.02843710922528322818835631486369475973953901081302459494252045005512663,-380941.3208745307438370551117586537992369496085432067889426326354732540423382489,-1196117.1984355191817060319779053813943423105212233085948802389942425420826744446,-2318455632.4925847026218340383810161763093178527769371908949575247505934130013053,-130,315181381738217.71733458810308109819361044968494393095746606355182213626713541212,11316.437772343056646857937268465231698166127326186658861838181170785117498735,315181381726901.279562245046434240256341984453245764830139876892960298085964627,27851642723.517556242907505525742026311785511659812943450829522127972628158513725,630362763476435.43466917620616219638722089936988786191493212710364427253427082424,8.496331713850355378012096053437935501260490086535329116837399663579621964685621e-72,0.0,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,5.3060619602500267778373745845045654964936706239096512829585634120715828038629952e-74,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,0.0,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,5830155156.646711812592352897010366191226803839945840049575495211248091945187035,-7.4249507910089975107929072752581422436507723791812322662088709694428459152856312e-72,5.8705521100021013949745017261045231353553662758874094763360658204532273366052927e-72,1.3818106988594052580538030785988494706142321352839773991947779971133977180327317e-71,-130,-2722.7343257070372936724675380142675432216020663238239024311952993885359001434013,-2722.7343257070372936724675380142675432216020663238239024311952993885359001434013,-2722.7343257070372936724675380142675432216020663238239024311952993885359001434013,-1178284.9106435144790630736927389712483072460290983583017813615675663352023295816,-1178284.9106435144790630736927389712483072460290983583017813615675663352023295774,-1178284.9106435144790630736927389712483072460290983583017813615675663352023295731,-2982365801.2480151588425871433384475691449600907732789874401167264001386939962246,-2982365801.2480151588425871433384475691449600907732789874401167264001386939962246,-2982365801.2480151588425871433384475691449600907732789874401167264001386939962246,-362357466.02843710922528322818835631486369475973953901081302459494252045005512663,-362357466.02843710922528322818835631486369475973953901081302459494252045005512663,-362357466.02843710922528322818835631486369475973953901081302459494252045005512663,-380941.3208745307438370551117586537992369496085432067889426326354732540423382489,-380941.3208745307438370551117586537992369496085432067889426326354732540423382489,-380941.32087453074383705511175865379923694960854320678894263263547325404233824895,-1196117.1984355191817060319779053813943423105212233085948802389942425420826744446,-1196117.1984355191817060319779053813943423105212233085948802389942425420826744446,-1196117.1984355191817060319779053813943423105212233085948802389942425420826744446,-2318455632.4925847026218340383810161763093178527769371908949575247505934130013053,-2318455632.4925847026218340383810161763093178527769371908949575247505934130013053,-2318455632.4925847026218340383810161763093178527769371908949575247505934130013053
-120,-2402.9762120724936892785463665102365875601270875634055530472736428758457165749867,-1004252.5166777910688875092993222375197761220746583995156342456638531299609915024,-2704356057.1843690880566590320324870361451239476544147557401791467367206920972981,-309239201.78815093777043248605165890212059589701517389400896583655712220914238568,-326557.80703512524503046875765120363711003326460892629702378265198429251246042639,-1006737.7124953236054227657861032759216568600417856723984385239338138348441115544,-1984570981.1215453159561915262954967306713811030334077906866097789518883861553841,-120,248733881441168.72455831707354498315743361072948538139135777452112779075139841688,12591.932597149428123404898765890006623557436896450997862169835366890458636414391,248733881428576.79196116764542157825866772072286182395446132352326562091603152642,19753431772.457017569735337598122571318311682623885931936588348421442276280471467,497467762882337.44911663414708996631486722145897076278271554904225558150279683377,6.231306514568625197222766777677549104944754438953896725424462907051565055286605e-72,0.0,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.4319450651145956065087966845645925192262657026252568380226748971994754517705395e-74,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,0.0,5208494519.0053138941557071456979082094779399754831350331106714651845414174975232,5.4640433874114902760773578293913435853400880154922996253873989996202716436749877e-72,3.9993056244692810521393322961801176811380573944453603286059766400951991591232487e-72,9.9733586007077808971249535066854935189462104715800718042775061169868464841688009e-72,-120,-2402.9762120724936892785463665102365875601270875634055530472736428758457165749867,-2402.9762120724936892785463665102365875601270875634055530472736428758457165749867,-2402.9762120724936892785463665102365875601270875634055530472736428758457165749867,-1004252.5166777910688875092993222375197761220746583995156342456638531299609914993,-1004252.5166777910688875092993222375197761220746583995156342456638531299609915024,-1004252.5166777910688875092993222375197761220746583995156342456638531299609915055,-2704356057.1843690880566590320324870361451239476544147557401791467367206920972981,-2704356057.1843690880566590320324870361451239476544147557401791467367206920972981,-2704356057.1843690880566590320324870361451239476544147557401791467367206920972981,-309239201.78815093777043248605165890212059589701517389400896583655712220914238568,-309239201.78815093777043248605165890212059589701517389400896583655712220914238568,-309239201.78815093777043248605165890212059589701517389400896583655712220914238568,-326557.80703512524503046875765120363711003326460892629702378265198429251246042639,-326557.80703512524503046875765120363711003326460892629702378265198429251246042639,-326557.80703512524503046875765120363711003326460892629702378265198429251246042641,-1006737.7124953236054227657861032759216568600417856723984385239338138348441115544,-1006737.7124953236054227657861032759216568600417856723984385239338138348441115544,-1006737.7124953236054227657861032759216568600417856723984385239338138348441115544,-1984570981.1215453159561915262954967306713811030334077906866097789518883861553841,-1984570981.1215453159561915262954967306713811030334077906866097789518883861553841,-1984570981.1215453159561915262954967306713811030334077906866097789518883861553841
-110,-2090.8646152749778416539388240391280716407928366818172412677725208048063264049083,-835002.09783325392988637042930716197288803751347886436311886749287673354205949709,-2431947451.2595262350232138469876034226610496055814022371727467215421773025960152,-257670422.84434361912701402718811048108661546317817825032049916917849723115439024,-268721.88238401567252589922313355414375435736294821051690613012553119604454837736,-806239.53566225002156020462457442814544698461180588515640845587493820554969005387,-1659449843.0704436417451541199658779985680339936864718676221307840547251656825936,-110,196370707376405.48075350553762015926701477531740145353314798768900697291992155674,14011.190599100102581258550587215213806035918394458024679301108681076079320911646,196370707362394.29015440543503890071642756010359541761475352966432767181124048067,14015276288.441739684022462786233232938166185773758773243633727426957544095358636,392741414752810.96150701107524031853402955063480290706629597537801394583984311349,4.5377884055888249839630047227898419506471912314893996909468547513653848770536657e-72,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,3.5373746401666845185582497230030436643291137492731008553057089413810552025753301e-74,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,4623896930.0926821176052274187228081413335053452857608192720942497799540810719804,4.0151834837357638414509381252436647098172179439775829448004754754201947730779348e-72,3.3283686954346218407344571104775364415596148992398707620908602503372904257480178e-72,8.8638038990991735788840297454235907893878152979295730166865186694842378310139523e-72,-110,-2090.8646152749778416539388240391280716407928366818172412677725208048063264049083,-2090.8646152749778416539388240391280716407928366818172412677725208048063264049083,-2090.8646152749778416539388240391280716407928366818172412677725208048063264049083,-835002.09783325392988637042930716197288803751347886436311886749287673354205949482,-835002.09783325392988637042930716197288803751347886436311886749287673354205949709,-835002.09783325392988637042930716197288803751347886436311886749287673354205949935,-2431947451.2595262350232138469876034226610496055814022371727467215421773025960152,-2431947451.2595262350232138469876034226610496055814022371727467215421773025960152,-2431947451.2595262350232138469876034226610496055814022371727467215421773025960152,-257670422.84434361912701402718811048108661546317817825032049916917849723115439024,-257670422.84434361912701402718811048108661546317817825032049916917849723115439024,-257670422.84434361912701402718811048108661546317817825032049916917849723115439024,-268721.88238401567252589922313355414375435736294821051690613012553119604454837736,-268721.88238401567252589922313355414375435736294821051690613012553119604454837736,-268721.8823840156725258992231335541437543573629482105169061301255311960445483774,-806239.53566225002156020462457442814544698461180588515640845587493820554969005387,-806239.53566225002156020462457442814544698461180588515640845587493820554969005387,-806239.53566225002156020462457442814544698461180588515640845587493820554969005387,-1659449843.0704436417451541199658779985680339936864718676221307840547251656825935,-1659449843.0704436417451541199658779985680339936864718676221307840547251656825936,-1659449843.0704436417451541199658779985680339936864718676221307840547251656825936
-100,-1785.9955397843980581590190408682658813140254860883896515360386663926788269087042,-673041.07216410893273057252121544164380735537750613374938586529977718895925307349,-2158721917.020010960180972776271926640543262793069897698450427070026395289207145,-208443410.50384250031584750493300220727858638695341468429410568463131499745208313,-208335.79510590574905780946798648030214403880009542371715387511901610065356124496,-604682.20451032498804211626757023261810646210884739018571472225489443776678239168,-1347867882.3646502954076815503148641493113608868345737579770717237839121542115087,-100,155118171852028.4285942185456805043866341268618374618642745446421922725225911966,15590.415568834338270405399548301176524915719142371302471379919800046538620877361,155118171836438.01302538420741009898708582568531254614513217333972089260279115006,9949585446.7223980210294190087173472161862279359699467009783152809482080548459183,310236343704056.8571884370913610087732682537236749237285490892843845450451823932,3.4920520275895488731642221484270671673798969793605392505971045455696104327923337e-72,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,2.3214021076093867153038513807207474047159808979604724362943714927813174766900604e-74,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-78,4069288646.0941118708428792161860461122761747965057302374625293929204086039872831,-3.1333011881330536248129100550386730819073092580114654668402953884799612054265755e-72,3.4018482685311021792058519591490231150154348341768055515040573354624556256272121e-72,8.2505936158784211802553857098370858925497745609617688578647938191722292793115384e-72,-100,-1785.9955397843980581590190408682658813140254860883896515360386663926788269087042,-1785.9955397843980581590190408682658813140254860883896515360386663926788269087042,-1785.9955397843980581590190408682658813140254860883896515360386663926788269087042,-673041.07216410893273057252121544164380735537750613374938586529977718895925307524,-673041.07216410893273057252121544164380735537750613374938586529977718895925307349,-673041.07216410893273057252121544164380735537750613374938586529977718895925307175,-2158721917.020010960180972776271926640543262793069897698450427070026395289207145,-2158721917.020010960180972776271926640543262793069897698450427070026395289207145,-2158721917.020010960180972776271926640543262793069897698450427070026395289207145,-208443410.50384250031584750493300220727858638695341468429410568463131499745208313,-208443410.50384250031584750493300220727858638695341468429410568463131499745208313,-208443410.50384250031584750493300220727858638695341468429410568463131499745208313,-208335.79510590574905780946798648030214403880009542371715387511901610065356124496,-208335.79510590574905780946798648030214403880009542371715387511901610065356124496,-208335.79510590574905780946798648030214403880009542371715387511901610065356124494,-604682.20451032498804211626757023261810646210884739018571472225489443776678239168,-604682.20451032498804211626757023261810646210884739018571472225489443776678239168,-604682.20451032498804211626757023261810646210884739018571472225489443776678239168,-1347867882.3646502954076815503148641493113608868345737579770717237839121542115087,-1347867882.3646502954076815503148641493113608868345737579770717237839121542115087,-1347867882.3646502954076815503148641493113608868345737579770717237839121542115087
-90,-1488.6680359910880535649767876024267539017952423391560708804897252909706294127544,-521390.3510046533289904854428260606489237485573180598913408621550565015481322459,-1878426663.9569649696132817125776548510047141670368608803715291199730942578013685,-162492704.59726540276791595601280363964641872579426579299781512071061777607619765,-146024.08052505469156969125891107980842971045581142716832398924905464520482019509,-418317.13328187675670382979897686267691405222407328788088404676840799491856983542,-1055751530.1581948946907392615083109477857588196660296964327588510804361775495406,-90,122632219607648.14120127246886017468591215362647380692974885969048504027121754768,17347.637653616907592468089658475704866284198254754267845060966197026244365598428,122632219590300.50354765556126770659625367792160752273149410542263997930502052143,7069101975.511913727003184003274391196494056681314057105704068210004800783168471,245264439215296.28240254493772034937182430725294761385949771938097008054243509535,7.4997869519408972237995141392856717939502725724822977352567444727499278193351023e-72,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,2.8298997121333476148465997784024349314632909994184806842445671531048441620602641e-73,5.8587767477760712338621011037237910690450946472335732916000804341623726792653905e-74,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,3539241457.7533786585129461254451535946119779434138582801974586311033030436950477,6.8845882203821011704088566037276278806630443117118114156921003242247933205149191e-72,4.293928209237990491530538403395985164367661350051322130365680919728418271174944e-72,9.4941574205479944181338635448770886318260611877380107869064890216986213947233758e-72,-90,-1488.6680359910880535649767876024267539017952423391560708804897252909706294127544,-1488.6680359910880535649767876024267539017952423391560708804897252909706294127544,-1488.6680359910880535649767876024267539017952423391560708804897252909706294127544,-521390.35100465332899048544282606064892374855731805989134086215505650154813224215,-521390.3510046533289904854428260606489237485573180598913408621550565015481322459,-521390.35100465332899048544282606064892374855731805989134086215505650154813224965,-1878426663.9569649696132817125776548510047141670368608803715291199730942578013685,-1878426663.9569649696132817125776548510047141670368608803715291199730942578013685,-1878426663.9569649696132817125776548510047141670368608803715291199730942578013685,-162492704.59726540276791595601280363964641872579426579299781512071061777607619765,-162492704.59726540276791595601280363964641872579426579299781512071061777607619765,-162492704.59726540276791595601280363964641872579426579299781512071061777607619765,-146024.08052505469156969125891107980842971045581142716832398924905464520482019509,-146024.08052505469156969125891107980842971045581142716832398924905464520482019509,-146024.08052505469156969125891107980842971045581142716832398924905464520482019504,-418317.13328187675670382979897686267691405222407328788088404676840799491856983542,-418317.13328187675670382979897686267691405222407328788088404676840799491856983542,-418317.13328187675670382979897686267691405222407328788088404676840799491856983542,-1055751530.1581948946907392615083109477857588196660296964327588510804361775495406,-1055751530.1581948946907392615083109477857588196660296964327588510804361775495406,-1055751530.1581948946907392615083109477857588196660296964327588510804361775495406
-80,-1200.448232166939897033955061706766270808595921743764329915546639236717070945644,-383373.33226669659449422805441926716329738941808894836059610486632847142811804814,-1586945570.8434690472837500221410713951991475461428023629968317088610890700576426,-120798214.77304267352715280413753208960280462550061097351227276170954503015511968,-81002.956306987309096795110807708126814496876542476573822594883092289754514241829,-263881.67693703589296770209884262844829176919116616951247829885825202247629637924,-789481471.52156882754990075579905077058165737310970120554442073161592850427479402,-80,97065387206277.508314972571093394472639782921406960954968018917597580081240135791,19302.919209079671848664085672287306767572224213147654892655060095675125648796794,97065387186974.589105892899244730386967495614639388730754871262704925021144460666,5028534086.2132432762985612949956595444036009460247509291681224435727443666945264,194130774412555.01662994514218678894527956584281392190993603783519516016248027158,6.7740724359192008530390482195508286171902528298579881379104326227447207129317572e-72,4.5278395394133561837545596454438958903412655990695690947913074449677506592964226e-72,5.6597994242666952296931995568048698629265819988369613684891343062096883241205282e-73,2.9984777223287911739341413667642987310914753265322768968802298448425350740579947e-74,1.658144362578133368074179557657676717654272069971766025924551066272369626207186e-75,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,3035219655.0812886392781916056392474310676039418799345158343583800819174877707212,6.389294045662697825935696920388702879132177294604185459219169989625045432714142e-72,3.9249084208958426937984952953424854036467565231788575301944461375269050703751256e-72,8.2293927715170264640735746450773159464195831578258717578222574499551009697040763e-72,-80,-1200.448232166939897033955061706766270808595921743764329915546639236717070945644,-1200.448232166939897033955061706766270808595921743764329915546639236717070945644,-1200.448232166939897033955061706766270808595921743764329915546639236717070945644,-383373.33226669659449422805441926716329738941808894836059610486632847142811804475,-383373.33226669659449422805441926716329738941808894836059610486632847142811804814,-383373.33226669659449422805441926716329738941808894836059610486632847142811805153,-1586945570.8434690472837500221410713951991475461428023629968317088610890700576426,-1586945570.8434690472837500221410713951991475461428023629968317088610890700576426,-1586945570.8434690472837500221410713951991475461428023629968317088610890700576426,-120798214.77304267352715280413753208960280462550061097351227276170954503015511968,-120798214.77304267352715280413753208960280462550061097351227276170954503015511968,-120798214.77304267352715280413753208960280462550061097351227276170954503015511968,-81002.956306987309096795110807708126814496876542476573822594883092289754514241829,-81002.956306987309096795110807708126814496876542476573822594883092289754514241829,-81002.956306987309096795110807708126814496876542476573822594883092289754514241799,-263881.67693703589296770209884262844829176919116616951247829885825202247629637924,-263881.67693703589296770209884262844829176919116616951247829885825202247629637924,-263881.67693703589296770209884262844829176919116616951247829885825202247629637924,-789481471.52156882754990075579905077058165737310970120554442073161592850427479402,-789481471.52156882754990075579905077058165737310970120554442073161592850427479402,-789481471.52156882754990075579905077058165737310970120554442073161592850427479402
-70,-925.72800587256683255645023313520053951352318030299627788110722563028117821022242,-262815.86245431792143317990314630423665713825014198073847091307867527854181223313,-1285480875.862535441490346279452679130129921683496685075113786925262764653515554,-84410092.648104292768517956760980013751201745825129884113987607434892379213264024,-9480.2782524888487107956618060691951133537108650920640687122444105062447288928614,-150776.85838818952032846558477011968318142166118445530673262521943599348369834993,-555934809.52320891020634033260200602186687533011420853575729701475328700665455115,-70,76961915813186.742905535781825366303031828688541757262392900020268898138390478083,21478.583852860849395486449311971376418898210463246191384751513623879722295365624,76961915791708.15905267493242987985371985731212285905192965382888414662476659836,3583193209.5902946030572791902606006270720274762460890696986824796453577194815464,153923831626373.48581107156365073260606365737708351452478580004053779627678095617,1.5984511655253205668235090935820003558187182754527824489912672278865643196637273e-72,2.2639197697066780918772798227219479451706327995347845473956537224838753296482113e-72,1.414949856066673807423299889201217465731645499709240342122283576552422081030132e-73,1.4370584475677155856642889499699864886337024606421972224679442574360536760462279e-74,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,0.0,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,2572605954.8303339156282140657406178022985982921198721747761636311561776291760804,-1.5465872424681263175658949536855272119344398647090093590593779160278673401134724e-72,1.2522876068008919013671390688565413042956073367737296687273148469112351047383629e-72,3.0925390668439058208744469388676165220541249968765831302846487324751760752023987e-72,-70,-925.72800587256683255645023313520053951352318030299627788110722563028117821022242,-925.72800587256683255645023313520053951352318030299627788110722563028117821022242,-925.72800587256683255645023313520053951352318030299627788110722563028117821022242,-262815.86245431792143317990314630423665713825014198073847091307867527854181223393,-262815.86245431792143317990314630423665713825014198073847091307867527854181223313,-262815.86245431792143317990314630423665713825014198073847091307867527854181223233,-1285480875.862535441490346279452679130129921683496685075113786925262764653515554,-1285480875.862535441490346279452679130129921683496685075113786925262764653515554,-1285480875.862535441490346279452679130129921683496685075113786925262764653515554,-84410092.648104292768517956760980013751201745825129884113987607434892379213264024,-84410092.648104292768517956760980013751201745825129884113987607434892379213264024,-84410092.648104292768517956760980013751201745825129884113987607434892379213264024,-9480.2782524888487107956618060691951133537108650920640687122444105062447288928617,-9480.2782524888487107956618060691951133537108650920640687122444105062447288928614,-9480.2782524888487107956618060691951133537108650920640687122444105062447288928473,-150776.85838818952032846558477011968318142166118445530673262521943599348369834992,-150776.85838818952032846558477011968318142166118445530673262521943599348369834993,-150776.85838818952032846558477011968318142166118445530673262521943599348369834993,-555934809.52320891020634033260200602186687533011420853575729701475328700665455115,-555934809.52320891020634033260200602186687533011420853575729701475328700665455115,-555934809.52320891020634033260200602186687533011420853575729701475328700665455115
-60,-673.29144209468573852489305630857450686342248674902456356808419789241799189537274,-164051.96391756449699594970335031666221199915369983404780360432656355932938059813,-983844803.15373423175362615017052518491481187778008050513454590403700920905165473,-54444975.885928840581020000061667458573582579919428400259716846673667758974976489,76883.884221772403013831511370308560162629139158221211838030018616503244931352413,-77759.74327083032850600500723968818383219525856294761703401103640805122420213194,-362459287.33015654455074537468627676461789258067921965599121091833023969081741859,-60,61175066144722.05539597793769373816412727598862217090954913304869126735727166696,23899.471335267020205725713792579303213664597291853394384444351775217778795551849,61175066120822.584060710917488012450334696685408506312257279654306823005496449181,2559682818.3579805684110717101376574638178951453303380286296976852239218888197648,122350132289444.11079195587538747632825455197724434181909826609738253471454333392,2.0256996962829529313306226929384617234009690454821741616711598859627448933497789e-72,3.3958796545600171378159197340829219177559491993021768210934805837258129944723169e-72,7.0747492803333690371164994460060873286582274985462017106114178827621104051506602e-74,8.1249073766328535035634798325226159165059331428616535270303002247346111684152114e-74,1.5199656656966222540679979278528703245164160641407855237641718107496721573565872e-75,1.1319598848533390459386399113609739725853163997673922736978268612419376648241056e-72,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,2180331286.6712725674537521069751042652034854672035723339157124841662632334937558,-1.9661384250858665625898709687446060084285291589981766479189957869592680170070882e-72,1.7348341283479464686971081006380263118160754300396974737647596761139331494308773e-72,4.2817520534989347490460239000744269593339766211404806364408081998459220904110421e-72,-60,-673.29144209468573852489305630857450686342248674902456356808419789241799189537274,-673.29144209468573852489305630857450686342248674902456356808419789241799189537274,-673.29144209468573852489305630857450686342248674902456356808419789241799189537274,-164051.96391756449699594970335031666221199915369983404780360432656355932938059914,-164051.96391756449699594970335031666221199915369983404780360432656355932938059813,-164051.96391756449699594970335031666221199915369983404780360432656355932938059711,-983844803.15373423175362615017052518491481187778008050513454590403700920905165473,-983844803.15373423175362615017052518491481187778008050513454590403700920905165473,-983844803.15373423175362615017052518491481187778008050513454590403700920905165473,-54444975.885928840581020000061667458573582579919428400259716846673667758974976489,-54444975.885928840581020000061667458573582579919428400259716846673667758974976489,-54444975.885928840581020000061667458573582579919428400259716846673667758974976489,76883.884221772403013831511370308560162629139158221211838030018616503244931352411,76883.884221772403013831511370308560162629139158221211838030018616503244931352413,76883.884221772403013831511370308560162629139158221211838030018616503244931352493,-77759.743270830328506005007239688183832195258562947617034011036408051224202131941,-77759.74327083032850600500723968818383219525856294761703401103640805122420213194,-77759.74327083032850600500723968818383219525856294761703401103640805122420213194,-362459287.33015654455074537468627676461789258067921965599121091833023969081741859,-362459287.33015654455074537468627676461789258067921965599121091833023969081741859,-362459287.33015654455074537468627676461789258067921965599121091833023969081741859
