voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-3390.8869600864587,-1535701.2110472799,-3577125509.0475845,-471631265.61471325,-477365.90272278496,-1532763.5188798844,-3004054982.797886,-150,506429998464555.31,9139.9630138168086,506429998455415.37,55408320328.976074,1.5460138710695404e+18,0.011355909053236246,0.0010247230529785156,0.07871198654174805,0.002489177684765309,0.003684930969029665,0.0011820793151855469,4.0646227716933936e-08,74747315.22136271,0.32699255464271282,0.13725298020068316,0.25549730160434275,-150,-3390.8869600848598,-3390.8869600864587,-3390.886960125506,-1535701.2088736799,-1535701.2110472799,-1535701.220229589,-3577125509.048261,-3577125509.0475845,-3577125509.0472364,-471631265.6120983,-471631265.61471325,-471631265.69081026,-477365.90312443505,-477365.90272278496,-477365.90063525736,-1532763.5193593227,-1532763.5188798844,-1532763.5156743918,-3004054982.798216,-3004054982.797886,-3004054982.797034
-140,-3051.33500011967,-1355547.8223680628,-3271687430.1185865,-416527932.166054,-431265.0291428422,-1371089.1079432887,-2658382927.828523,-140,399485270188665.62,10170.143690596267,399485270178495.5,39280199212.725594,3.0697545684772123e+19,0.0029888676945120096,0.0011730194091796875,0.05191493034362793,0.0024111030506901443,0.0005272477865219116,0.0011510848999023438,2.5263489078497514e-08,68783756.741200432,0.25845838710193036,0.076505042428426526,0.14409145720052785,-140,-3051.3350001209888,-3051.33500011967,-3051.3350000957253,-1355547.8204900573,-1355547.8223680628,-1355547.819379195,-3271687430.1197596,-3271687430.1185865,-3271687430.1188626,-416527932.17105246,-416527932.166054,-416527932.1191375,-431265.0286922658,-431265.0291428422,-431265.03110336885,-1371089.1075696952,-1371089.1079432887,-1371089.107416041,-2658382927.827372,-2658382927.828523,-2658382927.8280263
-130,-2722.734325740606,-1178284.9089296293,-2982365801.2847185,-362357466.0334321,-380941.3205514325,-1196117.1983016627,-2318455632.5226445,-130,315181381738217.69,11316.437772343057,315181381726901.25,27851642723.517551,1.125163311392634e+18,0.009527647169306874,0.0013470649719238281,0.019730806350708008,0.001679387059994042,0.0015852933283895254,0.0009660720825195312,1.2673808669205755e-08,63494353.773154996,0.20422918305133886,0.04061571649792238,0.088149533077190367,-130,-2722.7343257407224,-2722.734325740606,-2722.7343257280486,-1178284.910629283,-1178284.9089296293,-1178284.9011016358,-2982365801.284386,-2982365801.2847185,-2982365801.285733,-362357466.0330806,-362357466.0334321,-362357466.0137013,-380941.3208481037,-380941.3205514325,-380941.31916871667,-1196117.1984430638,-1196117.1983016627,-1196117.199886956,-2318455632.5216784,-2318455632.5226445,-2318455632.5224643
-120,-2402.976212120646,-1004252.5163870308,-2704356057.2374063,-309239201.7932095,-326557.8072241012,-1006737.7134740523,-1984570981.1632166,-120,248733881441168.72,12591.932597149429,248733881428576.78,19753431772.457016,2.6579424162980166e+17,0.002204414806328714,0.0019626617431640625,0.012338876724243164,0.003451720636803657,0.0023857939522713423,0.002619028091430664,6.869413482490927e-09,58896943.550549626,0.16134530954858589,0.017452711424321334,0.046879157767648616,-120,-2402.9762121196095,-2402.976212120646,-2402.976212126479,-1004252.5165981262,-1004252.5163870308,-1004252.5143937113,-2704356057.236841,-2704356057.2374063,-2704356057.238804,-309239201.79421306,-309239201.7932095,-309239201.80554837,-326557.80680458265,-326557.8072241012,-326557.8037723806,-1006737.7121721874,-1006737.7134740523,-1006737.7145579814,-1984570981.1614194,-1984570981.1632166,-1984570981.1640384
-110,-2090.864615271316,-835002.0962764277,-2431947451.254805,-257670422.845347,-268721.8826633439,-806239.5359790258,-1659449843.0677946,-110,196370707376405.5,14011.190599100104,196370707362394.31,14015276288.44174,7.7766308237238003e+17,0.0026501157553866506,0.00054168701171875,0.0015890002250671387,0.0004802702460438013,0.0012594484724104404,0.0010378360748291016,1.6048034012783319e-09,54955383.881289095,0.12745593052238213,0.0052603662545339814,0.019707214899245984,-110,-2090.86461527084,-2090.864615271316,-2090.864615269711,-835002.0979151606,-835002.0962764277,-835002.0952650448,-2431947451.2547636,-2431947451.254805,-2431947451.2542634,-257670422.843758,-257670422.845347,-257670422.8441911,-268721.88218307367,-268721.8826633439,-268721.88228653185,-806239.5355196963,-806239.5359790258,-806239.5367791448,-1659449843.0672634,-1659449843.0677946,-1659449843.0667567
-100,-1785.995539776615,-673041.0684161261,-2158721917.0131373,-208443410.5025303,-208335.79590238992,-604682.2054340409,-1347867882.3595083,-100,155118171852028.44,15590.41556883434,155118171836438.03,9949585446.7223969,3.4202161324043277e+17,0.0045529252383857965,0.003811359405517578,0.002785325050354004,0.0015756707289256155,0.0031859747832641006,0.006305694580078125,5.03700903209392e-09,51635273.363672204,0.10068530039161894,0.0083083770873730728,0.038259846999048497,-100,-1785.9955397747476,-1785.995539776615,-1785.9955397797846,-673041.0710804298,-673041.0684161261,-673041.0665275046,-2158721917.0110464,-2158721917.0131373,-2158721917.014858,-208443410.5018332,-208443410.5025303,-208443410.50461853,-208335.7943267192,-208335.79590238992,-208335.79434699565,-604682.203591715,-604682.2054340409,-604682.2067776897,-1347867882.3575003,-1347867882.3595083,-1347867882.363806
-90,-1488.6680359962388,-521390.3530000883,-1878426663.9617794,-162492704.5974259,-146024.08048913622,-418317.13354537904,-1055751530.161778,-90,122632219607648.12,17347.637653616908,122632219590300.48,7069101975.5119123,2.2179087284253914e+17,0.002724179590586573,0.0008807182312011719,0.0038374364376068115,0.0005963792209513485,0.0004775412962771952,0.00022864341735839844,2.521119313314557e-09,48987091.687776349,0.079551345813342042,0.0049216321349249701,0.020920058166971511,-90,-1488.6680359948946,-1488.6680359962388,-1488.6680359974157,-521390.3502759087,-521390.3530000883,-521390.3522171844,-1878426663.9623346,-1878426663.9617794,-1878426663.961454,-162492704.59722844,-162492704.5974259,-162492704.60106587,-146024.08059213433,-146024.08048913622,-146024.0799957551,-418317.13308735215,-418317.13354537904,-418317.13356489345,-1055751530.1616185,-1055751530.161778,-1055751530.1618471
-80,-1200.4482321651765,-383373.3317010332,-1586945570.8407896,-120798214.77341524,-81002.9563570246,-263881.6769036016,-789481471.5207775,-80,97065387206277.5,19302.919209079671,97065387186974.578,5028534086.2132425,1.1531443433106401e+18,0.0008944278815761209,0.0013530254364013672,0.0011623650789260864,0.0001939958892762661,0.00017911934992298484,0.0009783506393432617,7.489688869100064e-10,47270373.227777556,0.062880841797280235,0.0020427412518904545,0.0090105068286123746,-80,-1200.4482321652933,-1200.4482321651765,-1200.4482321645444,-383373.3325954611,-383373.3317010332,-383373.3320331616,-1586945570.8413615,-1586945570.8407896,-1586945570.8400085,-120798214.77299039,-120798214.77341524,-120798214.77225287,-81002.95627688477,-81002.9563570246,-81002.95647088066,-263881.6770061755,-263881.6769036016,-263881.67708272097,-789481471.519938,-789481471.5207775,-789481471.5209163
-70,-925.7280058781699,-262815.86263817217,-1285480875.8696074,-84410092.64887051,-9480.278243705601,-150776.85830072768,-555934809.5269066,-70,76961915813186.734,21478.583852860851,76961915791708.156,3583193209.5902939,3.1370288424422624e+17,0.001408496405929327,0.0006866455078125,0.0007885247468948364,0.00046208081766963005,0.0005381878290791065,0.0003522634506225586,3.5697667044587433e-11,47125823.56331227,0.049740033121158295,0.0018869013481806276,0.0066664220093284321,-70,-925.7280058781342,-925.7280058781699,-925.7280058781458,-262815.8624565819,-262815.86263817217,-262815.8638650783,-1285480875.869985,-1285480875.8696074,-1285480875.8692985,-84410092.64861906,-84410092.64887051,-84410092.64808199,-9480.278340748977,-9480.278243705601,-9480.27787866816,-150776.85866093787,-150776.85830072768,-150776.85812275004,-555934809.5266153,-555934809.5269066,-555934809.5269675
-60,-673.2914420974556,-164051.96392848843,-983844803.1573905,-54444975.88648719,76883.88424264936,-77759.74322813131,-362459287.3317299,-60,61175066144722.047,23899.471335267022,61175066120822.578,2559682818.3579798,1.6444175700678918e+17,0.00014341241330839694,0.0002167224884033203,0.00034361332654953003,0.00023848807904869318,0.0004369883827166632,0.0004006624221801758,1.9065282685915008e-10,49736238.776607268,0.039389442327711688,0.0010838124434502663,0.0047469185049289209,-60,-673.291442097265,-673.2914420974556,-673.2914420972662,-164051.9640571006,-164051.96392848843,-164051.96391368817,-983844803.1572778,-983844803.1573905,-983844803.1574945,-54444975.88624436,-54444975.88648719,-54444975.88614358,76883.88418766612,76883.88424264936,76883.8844261542,-77759.74344709446,-77759.74322813131,-77759.74301010607,-362459287.33139586,-362459287.3317299,-362459287.3317965
