voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-4.6149652116806823e-11,-9.602507723014321e-05,-150,3913162.9427928827,9.6045347052819838e-05,3913162.9426968372,40742868476.916962,52856325843806648.0,2.3056880975877783e-12,1.1081136957100765e-18,1.420513756671551e-11,-46.483676679947351,3.3367276513271123e-12,4.7839116565709383e-12,-150,-4.614965208513138e-11,-4.6149652116806823e-11,-4.614965100869313e-11,-9.602507716423509e-05,-9.602507723014321e-05,-9.602507492445511e-05
-140,-4.586361696540705e-11,-9.542991461799221e-05,-140,2987233.9735999806,9.547080033429762e-05,2987233.9735045098,31289503839.288807,1.0066218718149874e+17,1.4686945100849877e-12,7.058545812157571e-19,7.7963102205531595e-12,-40.348914974743067,2.0149942376055941e-12,3.0081440810514337e-12,-140,-4.5863617045178535e-11,-4.586361696540705e-11,-4.5863617671261634e-11,-9.54299147839753e-05,-9.542991461799221e-05,-9.542991608668672e-05
-130,-4.556477866244751e-11,-9.480811207334064e-05,-130,2280401.0316168391,9.4899690574898278e-05,2280401.0315219392,24029593961.816597,19483991208405404.0,1.6988194976187004e-12,8.164526551572346e-19,4.8883417982722026e-12,-35.026271634722676,2.4958537694697781e-12,3.682028640317192e-12,-130,-4.556477873827307e-11,-4.556477866244751e-11,-4.5564779478900166e-11,-9.480811223111334e-05,-9.480811207334064e-05,-9.480811377216014e-05
-120,-4.522607766416849e-11,-9.41033659262765e-05,-120,1740822.4011360169,9.4331997214608824e-05,1740822.4010416849,18454209097.000042,64401130272723712.0,1.2362340318095022e-11,5.941340755280683e-18,-1.65037409534503e-11,-30.410840485020781,1.7444563465919814e-11,2.4709817525447875e-11,-120,-4.522607768328566e-11,-4.522607766416849e-11,-4.5226071741944906e-11,-9.410336596605423e-05,-9.41033659262765e-05,-9.410335360371391e-05
-110,-4.476381069263768e-11,-9.314151205292901e-05,-110,1328923.5376581752,9.3767699816406944e-05,1328923.5375644076,14172508659.806622,51767964592544392.0,5.23087823056656e-12,2.513960079840802e-18,-9.8783334900568932e-12,-26.414420172053209,7.2373223907506363e-12,1.0323273486045892e-11,-110,-4.476381073441493e-11,-4.476381069263768e-11,-4.476380822045485e-11,-9.314151213985628e-05,-9.314151205292901e-05,-9.314150690897804e-05
-100,-4.391425177277114e-11,-9.137380726752214e-05,-100,1014494.5466901729,9.3206778065525381e-05,1014494.5465969661,10884343046.135252,53681503130991848.0,1.0495632141171995e-12,5.044200818970752e-19,1.7691573058458503e-12,-22.966966953828468,1.0474210723361874e-12,1.6726064977490296e-12,-100,-4.3914251921037926e-11,-4.391425177277114e-11,-4.3914251416617844e-11,-9.137380757602565e-05,-9.137380726752214e-05,-9.137380652646243e-05
-90,-4.1840907746455676e-11,-8.705973313869263e-05,-90,774474.51570406219,9.2649211768720534e-05,774474.51561141293,8359213218.5363493,14220057070216678.0,1.457858072001321e-12,7.006465874556379e-19,-4.3081903266520879e-12,-20.022580257943613,2.3155837109809477e-12,3.8028746818241643e-12,-90,-4.1840907752203225e-11,-4.1840907746455676e-11,-4.1840908447102264e-11,-8.705973315065174e-05,-8.705973313869263e-05,-8.70597345965507e-05
-80,-3.590952033999465e-11,-7.471810307947284e-05,-80,591260.1985275402,9.2094980853545482e-05,591260.1984354452,6420113159.7800617,24093271453144696.0,1.0084057612373687e-12,4.846398088443227e-19,-7.3730858810141973e-12,-17.5755126935139,1.459456117411592e-12,2.1786461523731759e-12,-80,-3.590952036709545e-11,-3.590952033999465e-11,-3.5909520824634456e-11,-7.471810313586236e-05,-7.471810307947284e-05,-7.47181040878786e-05
-70,-1.8095248693106362e-11,-3.7651370564099794e-05,-70,451415.01155123336,9.1544065367627425e-05,451415.0114596893,4931122620.9849586,59446560383752384.0,1.1249819503148135e-12,5.4066632531440765e-19,-3.0773679286675196e-12,-15.698729869726407,1.5324149370759305e-12,2.3958612871410878e-12,-70,-1.8095248416025188e-11,-1.8095248693106362e-11,-1.8095248152440037e-11,-3.765136998756802e-05,-3.7651370564099794e-05,-3.765136943911784e-05
-60,3.38732554182094e-11,7.048118064546276e-05,-60,344683.66443917539,9.0996445477949377e-05,344683.66434817895,3787880533.4511724,43754612304257904.0,8.679279517309624e-12,4.171261738154027e-18,3.7446126468187458e-12,-14.633244894019208,1.2251571754532713e-11,1.808508898193395e-11,-60,3.387325580456562e-11,3.38732554182094e-11,3.387325163330388e-11,7.048118144936666e-05,7.048118064546276e-05,7.048117277008714e-05
-50,1.6887663825287687e-10,0.0003513870958237138,-50,263240.16846150206,9.0452101470136175e-05,263240.16837104998,2910271449.5628815,38615292936037992.0,6.444796410952358e-13,3.097369273404745e-19,-5.0751765953294122e-12,-14.990758600380142,1.0328824807814585e-12,1.5591972157835698e-12,-50,1.6887663815742294e-10,1.6887663825287687e-10,1.6887663794313994e-10,0.00035138709562509973,0.0003513870958237138,0.00035138709517923417
-40,4.4695922836499264e-10,0.0009300025558988611,-40,201114.08799066767,8.991101374774471e-05,201114.08790075665,2236812595.1167169,2.3507096721648198e+17,1.2567724638756772e-12,6.040048534431714e-19,-4.6227854044262052e-12,-18.204364881512433,2.0105677838835186e-12,3.0775382242609339e-12,-40,4.469592289374399e-10,4.4695922836499264e-10,4.46959228333435e-10,0.0009300025570899706,0.0009300025558988611,0.0009300025558331981
-30,8.631844022663169e-10,0.0017960557683443963,-30,153752.98157708041,8.937316283155858e-05,153752.98148770726,1720348443.6022294,3.208316907968487e+17,4.710110773631371e-12,2.2636792147200197e-18,-5.6065253563095218e-13,-27.504407804883453,6.3246895276737797e-12,9.57456336436735e-12,-30,8.631844019290503e-10,8.631844022663169e-10,8.631844000026376e-10,0.0017960557676426347,0.0017960557683443963,0.0017960557636342855
