voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-4.614965211698367e-11,-9.602507723051117e-05,-150,3913162.9427928827,9.6045347052819838e-05,3913162.9426968372,40742868476.916962,52856325843806648.0,2.3211270449088883e-10,1.1155336577344912e-16,59.89278823291545,1.046997079351677e-10,1.815850670777558e-10,3.0971513819300772e-10,-150,-4.614959529525523e-11,-4.614965211698367e-11,-4.6149706848621007e-11,-9.602495899969877e-05,-9.602507723051117e-05,-9.602519111240326e-05
-140,-4.5863616965327495e-11,-9.542991461782666e-05,-140,2987233.9735999806,9.547080033429762e-05,2987233.9735045098,31289503839.288807,1.0066218718149874e+17,2.682350247679762e-10,1.289137529052896e-16,55.440294959256541,4.1967875147947553e-11,4.448847747554305e-10,7.0588681080896443e-10,-140,-4.586363495332195e-11,-4.5863616965327495e-11,-4.58637458790804e-11,-9.542995204602986e-05,-9.542991461782666e-05,-9.543018285285143e-05
-130,-4.5564778661912577e-11,-9.480811207222759e-05,-130,2280401.0316168391,9.4899690574898278e-05,2280401.0315219392,24029593961.816597,19483991208405404.0,2.7147746897715486e-10,1.304720715853394e-16,49.520545993507547,1.6551854809927145e-10,2.5501903243934956e-10,4.36204315723554e-10,-130,-4.55648547666986e-11,-4.5564778661912577e-11,-4.5564724294627015e-11,-9.480827042592302e-05,-9.480811207222759e-05,-9.480799894845404e-05
-120,-4.5226077663959595e-11,-9.410336592584185e-05,-120,1740822.4011360169,9.4331997214608824e-05,1740822.4010416849,18454209097.000042,64401130272723712.0,1.4032881107128858e-10,6.744202660428966e-17,41.860843736338147,3.8227244495300912e-11,1.5408759495943679e-10,2.5044741454316455e-10,-120,-4.522609711279297e-11,-4.5226077663959595e-11,-4.5226029670766365e-11,-9.410340639365994e-05,-9.410336592584185e-05,-9.410326606484887e-05
-110,-4.4763810692370094e-11,-9.314151205237223e-05,-110,1328923.5376581752,9.3767699816406944e-05,1328923.5375644076,14172508659.806622,51767964592544392.0,6.291644982781008e-11,3.023764578905487e-17,34.049638691845367,3.6303498175209859e-11,6.2752003364165194e-11,1.0699943361891506e-10,-110,-4.476382703878075e-11,-4.4763810692370094e-11,-4.476379680113496e-11,-9.314154606487879e-05,-9.314151205237223e-05,-9.314148314842896e-05
-100,-4.3914251772468184e-11,-9.137380726689177e-05,-100,1014494.5466901729,9.3206778065525381e-05,1014494.5465969661,10884343046.135252,53681503130991848.0,1.0203247196249009e-10,4.903680602417761e-17,27.506085717710722,2.6725768456250528e-11,1.4418274283771598e-10,2.265310786175867e-10,-100,-4.391426426207881e-11,-4.3914251772468184e-11,-4.391430080927421e-11,-9.137383325442949e-05,-9.137380726689177e-05,-9.137390929936373e-05
-90,-4.184090774513758e-11,-8.705973313595001e-05,-90,774474.51570406219,9.2649211768720534e-05,774474.51561141293,8359213218.5363493,14220057070216678.0,7.596791766614416e-11,3.651018122823695e-17,22.48795718989518,7.701991225726776e-11,1.170648188794953e-10,2.0193299810067344e-10,-90,-4.1840944255318805e-11,-4.184090774513758e-11,-4.184093838866829e-11,-8.705980910386768e-05,-8.705973313595001e-05,-8.705979689693777e-05
-80,-3.590952033914889e-11,-7.471810307771304e-05,-80,591260.1985275402,9.2094980853545482e-05,591260.1984354452,6420113159.7800617,24093271453144696.0,3.829944832957864e-11,1.840671486896393e-17,18.691059128152592,3.4702922052846896e-11,6.4449929394377291e-11,1.1139500433188232e-10,-80,-3.590953661237137e-11,-3.590952033914889e-11,-3.5909538745863757e-11,-7.471813693793461e-05,-7.471810307771304e-05,-7.471814137716137e-05
-70,-1.8095248693442388e-11,-3.7651370564798975e-05,-70,451415.01155123336,9.1544065367627425e-05,451415.0114596893,4931122620.9849586,59446560383752384.0,5.3876373834796897e-11,2.5892985264862778e-17,15.768407322276479,1.0737618442276529e-11,7.6554888633460833e-11,1.1745193706502732e-10,-70,-1.8095243824094354e-11,-1.8095248693442388e-11,-1.8095222800457123e-11,-3.765136043298867e-05,-3.7651370564798975e-05,-3.765131668842514e-05
-60,3.3873255417783905e-11,7.048118064457741e-05,-60,344683.66443917539,9.0996445477949377e-05,344683.66434817895,3787880533.4511724,43754612304257904.0,1.911648617181072e-11,9.187383252072116e-18,13.515437103759878,1.1138179286092314e-11,1.6257040658852959e-11,2.8068436463968283e-11,-60,3.3873260165032403e-11,3.3873255417783905e-11,3.387325097764915e-11,7.048119052233126e-05,7.048118064457741e-05,7.048117140584509e-05
