voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-1.560306294445964e-05,-48.19491407344001,-1.0075690499963625,2.699124687068222e-07,-150,21606078475.35133,1.384327187140912e-08,21606078475.35133,1.5607638624778396e+18,2.239098869613392e+17,1.7550079064676538e-05,6.205161917627322e-08,1.766650234702512e-05,3.013337666955655e-14,1.7664675704298638e-05,-0.32793115207084705,2.4963813633139715e-05,3.5714095279776328e-05,-150,-1.5603062947231665e-05,-1.560306294445964e-05,-1.5603062974593018e-05,-48.19493160396814,-48.19491407344001,-48.19491405388908,-1.007569091860205,-1.0075690499963625,-1.0075690298085858,1.7812720758625904e-05,2.699124687068222e-07,1.4621841160078475e-07
-140,-1.0490735356888488e-05,-32.29716919948256,-0.8909018376831362,4.0269214557633415e-07,-140,19306243381.07655,1.2112031884257553e-08,19306243381.07655,1.5939723050241946e+18,51394735922656960.0,7.763304893160239e-06,1.9928624750420454e-08,9.484289530286294e-06,5.515671537667695e-13,4.8515498451418004e-06,-0.37449730714349933,7.437032558120348e-06,1.3061581742155291e-05,-140,-1.0490735353161861e-05,-1.0490735356888488e-05,-1.0490735904729015e-05,-32.29717548005283,-32.29716919948256,-32.297167716747936,-0.8909018565900624,-0.8909018376831362,-0.890901857611761,6.704347044299841e-06,4.0269214557633415e-07,-2.779942485986453e-06
-130,-7.060843764009466e-06,-21.641457742425946,-0.7922652669226002,6.005768008507869e-07,-130,17270691324.109959,1.0597300820787733e-08,17270691324.109959,1.6297254948384271e+18,1.6718094203245673e+18,4.349056325736456e-06,2.75545819494738e-09,4.252577865237946e-06,3.047027470696453e-14,-3.9063041760043649e-06,-0.4276774741405886,5.7492733442758685e-06,8.5353582850944965e-06,-130,-7.060843750835732e-06,-7.060843764009466e-06,-7.0608437813060064e-06,-21.641453620046377,-21.641457742425946,-21.641457969102703,-0.7922652680426836,-0.7922652669226002,-0.7922652652872254,-3.4801262017158123e-06,6.005768008507869e-07,7.724516635221335e-07
-120,-4.758565563684069e-06,-14.499747276150208,-0.704412130749497,8.955696830935757e-07,-120,15468060099.758404,9.2720020686398882e-09,15468060099.758404,1.6682545997347277e+18,25200535924360184.0,1.8887832993641496e-05,1.4080378640812796e-08,1.893663505562738e-05,1.840062272066541e-14,-1.8837865343235283e-05,-0.48840553407106463,2.6721573627421513e-05,3.8075109351755079e-05,-120,-4.758565582084692e-06,-4.758565563684069e-06,-4.758565581480768e-06,-14.4997284039855,-14.499747276150208,-14.499747291818494,-0.7044121166691184,-0.704412130749497,-0.7044121274486578,-1.8041065372533805e-05,8.955696830935757e-07,8.540422964387062e-07
-110,-3.2118466596324387e-06,-9.712625166331774,-0.6237327348820886,1.3351697005245306e-06,-110,14373085183.538658,8.1124452173918708e-09,14373085183.538658,1.7717327881271741e+18,56978464200582976.0,2.2407384676625952e-06,4.892159211067337e-08,2.420729741983367e-06,4.983196557354014e-14,-2.3245225774311228e-06,-0.55779530267583188,3.2581657438773622e-06,4.9297306136504218e-06,-110,-3.2118466727026636e-06,-3.2118466596324387e-06,-3.211846622870698e-06,-9.71262302622199,-9.712625166331774,-9.712625266960458,-0.6237327167764306,-0.6237327348820886,-0.6237327656980227,-8.54786372342035e-07,1.3351697005245306e-06,1.5659433696413316e-06
-100,-2.1719596411780837e-06,-6.504505212554172,-0.5487940623166727,1.9903477019985904e-06,-100,13449818863.620031,7.0979025800452807e-09,13449818863.620031,1.8949004599516818e+18,9741193200611058.0,8.242095645982772e-06,1.4579800500236217e-07,8.296694183501252e-06,6.121780277932318e-15,6.9188281262011486e-06,-0.63702859262462164,1.0505329896897221e-05,1.638564122095423e-05,-100,-2.1719596409197726e-06,-2.1719596411780837e-06,-2.1719596350563035e-06,-6.504512827843428,-6.504505212554172,-6.504504585747782,-0.5487940860912204,-0.5487940623166727,-0.5487939402932154,9.618330447041678e-06,1.9903477019985904e-06,1.3216362635404266e-06
-90,-1.4719158463820654e-06,-4.354401908743236,-0.4791911692792914,2.9665974094071195e-06,-90,12585882203.858858,6.2102386747470137e-09,12585882203.858858,2.0266342185908931e+18,5.0987063902221804e+18,2.7582354960031807e-06,2.6213600401447934e-08,2.649783281139243e-06,4.540516789152359e-14,-2.4592204523515684e-06,-0.72749226424329871,3.5650253134835614e-06,5.703342675409532e-06,-90,-1.4719158544284265e-06,-1.4719158463820654e-06,-1.4719158917872333e-06,-4.354399390518665,-4.354401908743236,-4.354402148754161,-0.479191143065691,-0.4791911692792914,-0.4791911593623023,4.1015255157733304e-07,2.9665974094071195e-06,3.059935832716576e-06
-80,-9.997461375142228e-07,-2.912822851951614,-0.41497573095598445,4.420568735766664e-06,-80,11777465900.712088,5.4335860435375973e-09,11777465900.712088,2.1675309466608236e+18,54556354724484304.0,3.657629349618219e-06,1.7284377706872078e-08,3.5341151190001026e-06,3.680500224421013e-14,3.2706527784581981e-06,-0.83082213560921403,4.7410788199010437e-06,7.0941030106535572e-06,-80,-9.997461382362674e-07,-9.997461375142228e-07,-9.997461014312651e-07,-2.9128262773156166,-2.912822851951614,-2.912822619686267,-0.414975730702281,-0.41497573095598445,-0.4149757479866587,7.843552314537771e-06,4.420568735766664e-06,4.309437195537669e-06
-70,-6.805119956421969e-07,-1.9457617919555605,-0.3563796968607019,6.5853228749377485e-06,-70,11021005692.128418,4.7540616132163838e-09,11021005692.128418,2.3182294612021453e+18,27154171956465352.0,5.108813638798892e-07,1.831747175606857e-07,5.129096766315517e-07,2.88889047461431e-14,3.3223828510209425e-07,-0.9488179599171177,6.6388497386439725e-07,1.4102241622055178e-06,-70,-6.805119954480104e-07,-6.805119956421969e-07,-6.805119667532921e-07,-1.9457621723413467,-1.9457617919555605,-1.9457616614599829,-0.3563797306269407,-0.3563796968607019,-0.35637954745222317,6.983197855648399e-06,6.5853228749377485e-06,6.470288179016848e-06
-60,-4.638647710575489e-07,-1.2960013896421423,-0.3035522333809796,9.806402704014321e-06,-60,10313166660.448692,4.1595185281252791e-09,10313166660.448692,2.4794135645062026e+18,51729177926937760.0,1.2330298886809032e-05,1.3777167373607568e-07,1.2267678725419576e-05,6.187582535365581e-14,1.2330689892073713e-05,-1.0835855064200703,1.7276978768927318e-05,2.5090185974931281e-05,-60,-4.6386475131624536e-07,-4.638647710575489e-07,-4.6386470918172357e-07,-1.2960135415196419,-1.2960013896421423,-1.296001211220755,-0.3035522922873497,-0.3035522333809796,-0.30355215451567596,2.204934794403103e-05,9.806402704014321e-06,9.781669218611455e-06
