voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.0655165245892279e-07,-2.8964719710202283e-08,-0.6379990219497135,-0.013338091956011185,3.574489705378873e-09,-150,21606083557.831318,6.8509300867020845e-10,21606083557.831318,3.1537445696270565e+19,40461522739495664.0,7.099537070355455e-08,4.497144345805282e-08,2.601713031125108e-08,1.0511037636710536e-11,7.20667241169292e-15,0.078807767599710879,4.3599258800486318e-08,6.1116466918664974e-08,1.3334785945069194e-07,-150,-2.065516504182239e-07,-2.0655165245892279e-07,-2.0655165762489632e-07,-5.3607064606775445e-08,-2.8964719710202283e-08,1.738830609677911e-08,-0.6379990092100343,-0.6379990219497135,-0.6379990541814777,-0.013338080054381862,-0.013338091956011185,-0.013338106071512174,3.574390766848964e-09,3.574489705378873e-09,3.5639786677421625e-09
-140,-1.217893192657791e-07,-2.0791115728516902e-08,-0.37494513236508936,-0.010342678047468742,4.67520828344082e-09,-140,19306248135.138165,7.3242035757918644e-10,19306248135.138165,2.6359518731769889e+19,33271545904639304.0,7.700862720936167e-08,7.22008991482781e-09,7.600721256897924e-08,7.920700424929469e-11,1.1509495598692254e-15,0.080607424039317491,-6.8261895358467939e-08,8.8039744992269264e-08,1.4969793312983844e-07,-140,-1.2178932041672867e-07,-1.217893192657791e-07,-1.2178932026589092e-07,-1.0930927829555515e-09,-2.0791115728516902e-08,-7.810171999231722e-08,-0.3749451395851793,-0.37494513236508936,-0.3749451385344855,-0.01034269048977876,-0.010342678047468742,-0.010342614482566192,4.675214689791542e-09,4.67520828344082e-09,4.596007685542247e-09
-130,-7.187751360742227e-08,-1.4921010065904244e-08,-0.2203042838660482,-0.008065047598012475,6.1136297876830785e-09,-130,17270695770.97485,7.8301715738958261e-10,17270695770.97485,2.2056599409075249e+19,1.4697086798842394e+17,1.41194738326177e-07,1.079807816495304e-07,3.3171086884220546e-08,6.724491326200414e-11,1.731319388204646e-14,0.083663326769740892,-1.1092986937355498e-07,1.4281807707564416e-07,2.6724598065881978e-07,-130,-7.187751736240367e-08,-7.187751360742227e-08,-7.187750004920978e-08,3.2118414969306563e-08,-1.4921010065904244e-08,-1.0907632335687044e-07,-0.22030430728045758,-0.2203042838660482,-0.22030419929967593,-0.008065071247983724,-0.008065047598012475,-0.00806503807689684,6.113644999105619e-09,6.1136297876830785e-09,6.180874700945083e-09
-120,-4.2472514431757075e-08,-1.070636688368276e-08,-0.12941730079471508,-0.006287216622904753,7.993192729487522e-09,-120,15468064259.276932,8.3710926713308182e-10,15468064259.276932,1.8477951286158504e+19,1.7781264219364326e+17,6.977993474613216e-08,7.723015332805616e-08,1.2922555149130072e-07,1.1901413770108622e-10,1.2390941701265928e-14,0.088189402699894281,-5.9653281342386677e-08,1.3166690816231888e-07,2.7303351808368136e-07,-120,-4.247251728775709e-08,-4.2472514431757075e-08,-4.2472526822698776e-08,3.958554174732232e-08,-1.070636688368276e-08,-3.019439299880985e-08,-0.1294173186615808,-0.12941730079471508,-0.1294173780248684,-0.006287249008892104,-0.006287216622904753,-0.006287119783340613,7.993240075654924e-09,7.993192729487522e-09,7.874225937953838e-09
-110,-2.5135805225304006e-08,-7.681004925118305e-09,-0.07601067782280863,-0.004881311911568461,1.0448982939479353e-08,-110,14373085183.538658,8.9493814855379086e-10,14373085183.538658,1.6060422954106257e+19,2.2252880397168915e+17,1.212163683377102e-07,1.0789358384499792e-07,1.3379541836423814e-08,5.915591957619614e-11,1.7274698004760263e-14,0.094449790219583066,1.053228688846497e-07,1.3246828967027928e-07,2.2532344180244492e-07,-110,-2.5135800147817596e-08,-2.5135805225304006e-08,-2.51358174225156e-08,-4.014595048063008e-08,-7.681004925118305e-09,8.107041785708012e-08,-0.07601064612390473,-0.07601067782280863,-0.07601075401748858,-0.004881311149802059,-0.004881311911568461,-0.004881324529343895,1.0449004483555383e-08,1.0448982939479353e-08,1.0508138859055549e-08
-100,-1.4903444031440504e-08,-5.509764005172773e-09,-0.04463228392849558,-0.0037656913475954054,1.3657298548510067e-08,-100,13449818863.620031,9.5676194396920866e-10,13449818863.620031,1.4057644065379846e+19,1.3563782930072968e+18,4.4219525352905517e-08,2.217552719230298e-08,3.5390897552833867e-08,2.40459532380048e-11,3.54516428589986e-15,0.10276987419994332,-1.2459506384954189e-08,7.1858228693752542e-08,1.6402137883628291e-07,-100,-1.4903445423415744e-08,-1.4903444031440504e-08,-1.4903441878251458e-08,3.870976134773274e-08,-5.509764005172773e-09,1.1694359800509364e-08,-0.04463229268731084,-0.04463228392849558,-0.044632270511783645,-0.0037657267384929582,-0.0037656913475954054,-0.0037657219926042255,1.3657307907056875e-08,1.3657298548510067e-08,1.3681344501748072e-08
-90,-8.855783414118093e-09,-3.951759384697538e-09,-0.026198262819334635,-0.0028830530112388016,1.7848530069165593e-08,-90,12585882203.858858,1.0228566285916005e-09,12585882203.858858,1.2304639625974469e+19,1.3820066800627909e+18,1.788114070026739e-07,1.1858828891792017e-07,6.719467027542156e-08,1.0081033999542616e-11,1.899949752526739e-14,0.11354933033840887,-1.8360622933144555e-07,2.2674505441226779e-07,3.8182963743030886e-07,-90,-8.855782279010946e-09,-8.855783414118093e-09,-8.855764414620567e-09,-2.694317755014275e-09,-3.951759384697538e-09,-1.8150572475768817e-07,-0.026198255785857327,-0.026198262819334635,-0.026198144231045717,-0.00288306125003146,-0.0028830530112388016,-0.0028829940553611847,1.784850962783494e-08,1.7848530069165593e-08,1.7858590661834484e-08
-80,-5.274826509838403e-09,-2.8340445101971183e-09,-0.01536853538169718,-0.0021894806019105203,2.33236497177982e-08,-80,11777465900.712088,1.0935172424536211e-09,11777465900.712088,1.0770260809318332e+19,1.7261871399063821e+18,1.0401619498981112e-07,8.602580654423764e-08,1.89702828193479e-07,3.389747336371515e-10,1.3727063653326562e-14,0.12727908609384639,-9.7407664628734736e-08,2.3592763529189062e-07,4.3442853231799801e-07,-80,-5.2748295622880595e-09,-5.274826509838403e-09,-5.274840236902056e-09,-1.4532687213353324e-08,-2.8340445101971183e-09,-1.0685023950000823e-07,-0.015368554421002045,-0.01536853538169718,-0.015368621407503724,-0.0021894498786423355,-0.0021894806019105203,-0.002189290899082327,2.332364540744785e-08,2.33236497177982e-08,2.3662620141085e-08
-70,-3.1492611970694897e-09,-2.0322913417385674e-09,-0.009004560777203803,-0.0016492469588610115,3.0475434504965824e-08,-70,11021005692.128418,1.1690592074373846e-09,11021005692.128418,9.4272433953852662e+18,64895241776265432.0,5.5451047140164e-08,2.6901592516115347e-08,5.0386014044650346e-08,3.889466146634478e-10,4.247381476753319e-15,0.14456070155275969,-6.237872665626476e-08,7.9933932996286556e-08,1.6875371822668077e-07,-70,-3.1492577612078366e-09,-3.1492611970694897e-09,-3.149256949688013e-09,6.3369220981712715e-09,-2.0322913417385674e-09,-4.9114125041992726e-08,-0.009004539329907857,-0.009004560777203803,-0.009004533875611287,-0.0016492767754243687,-0.0016492469588610115,-0.001649226389410324,3.047547660425594e-08,3.0475434504965824e-08,3.008652998959249e-08
-60,-1.88341591224911e-09,-1.4571560021467131e-09,-0.005262114278573864,-0.0012325032534253285,3.981660763105363e-08,-60,10313166660.448692,1.249819735286059e-09,10313166660.448692,8.2517233239945697e+18,5.446624895864359e+17,2.8793539925322046e-07,1.0208913181486423e-07,1.8580500577534964e-07,2.1625190048909467e-11,1.6341140087319335e-14,0.16613090535725022,-2.9330982787012516e-07,3.5065801733306341e-07,5.9623609323340508e-07,-60,-1.883416455257009e-09,-1.88341591224911e-09,-1.8834001141169215e-09,2.616119842979714e-08,-1.4571560021467131e-09,-2.617742008234233e-07,-0.005262117731035687,-0.005262114278573864,-0.005262015641903872,-0.0012325273564783856,-0.0012325032534253285,-0.0012323415514726103,3.98166375587752e-08,3.981660763105363e-08,3.979501236872629e-08
