voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.8690397206206694e-07,1.8153756520478332e-06,-0.00013799672792235492,-0.29269182997470816,-0.4562117469728969,-9.242292889285913e-09,-150,144128570.73373216,9.6045347052819838e-05,144128570.73363611,1500630432981.5073,1.1117553313878098e+17,1.619666754047058e-08,1.8210487686104015e-08,1.715578257233119e-08,3.67135954970621e-09,1.2243426689735272e-09,7.08495091843628e-15,7.486482589405297e-09,-1.050321440179999,2.5918081723782245e-08,8.0660118717119574e-08,-150,-2.8690397914701786e-07,-2.8690397206206694e-07,-2.869039769688771e-07,1.8167578948654348e-06,1.8153756520478332e-06,1.8315723195883038e-06,-0.00013799541316715627,-0.00013799672792235492,-0.00013801362365484238,-0.29269184706663687,-0.29269182997470816,-0.2926918299108543,-0.45621174593184904,-0.4562117469728969,-0.45621174330153735,-9.361785983271463e-09,-9.242292889285913e-09,-1.046663555825944e-08
-140,-4.5072475681460413e-07,3.4900035154792345e-06,-0.0002771775720577518,-0.2700704906637136,-1.001236650060204,-8.07275552493e-09,-140,131727673.60541692,9.547080033429762e-05,131727673.60532145,1379769239853.0581,98017668162470736.0,7.694973178654732e-10,1.010317990385182e-08,8.436418785784383e-09,4.220677585209387e-09,1.417428008737323e-10,5.001554800051713e-15,1.2587285990859021e-08,-2.2454036448908896,1.3765391036339293e-08,5.0670052638923794e-08,-140,-4.5072476181615893e-07,-4.5072475681460413e-07,-4.5072476052488584e-07,3.489385852548446e-06,3.4900035154792345e-06,3.489234018161369e-06,-0.00027718147009988734,-0.0002771775720577518,-0.00027718767523765564,-0.27007049910013237,-0.2700704906637136,-0.27007049090445356,-1.001236647072641,-1.001236650060204,-1.0012366458395263,-7.931012724056268e-09,-8.07275552493e-09,-8.006225016288226e-09
-130,-8.01326927417291e-07,6.325492791905535e-06,-0.0005010089876188192,-0.24011204636770045,-2.1401039419251116,-7.000965384050119e-09,-130,120395735.5482865,9.4899690574898278e-05,120395735.54819159,1268663099098.9988,75416565734959120.0,9.767346806794033e-09,3.29881064392969e-08,1.4218093591367165e-08,6.70857769335953e-09,1.5119050245444895e-09,2.116672241821838e-14,9.8921836545594013e-09,-4.6269941628152385,4.0937714967102621e-08,1.0993619905411338e-07,-130,-8.013269338874324e-07,-8.01326927417291e-07,-8.0132691272071e-07,6.325702845015862e-06,6.325492791905535e-06,6.335260138712329e-06,-0.0005010100274435975,-0.0005010089876188192,-0.0005009770393371582,-0.24011206058579404,-0.24011204636770045,-0.24011204710091683,-2.1401039387854697,-2.1401039419251116,-2.1401039454940474,-7.3687929204118395e-09,-7.000965384050119e-09,-8.512870408594608e-09
-120,-1.4924883430744816e-06,1.0749233625467284e-05,-0.0007213334046085357,-0.20334215388674862,-4.352113452849833,-5.8601653443579845e-09,-120,110041402.86716773,9.4331997214608824e-05,110041402.86707339,1166533160713.426,59051996525543576.0,3.302589795610005e-09,1.69076244354964e-08,1.6732609270375676e-08,1.441789887479672e-08,7.533066768245986e-09,1.2887664525989303e-14,1.4146197187383034e-08,-9.0841453180949401,5.2849501614566723e-08,1.608279497292768e-07,-120,-1.4924883559621461e-06,-1.4924883430744816e-06,-1.4924883516564974e-06,1.0749203958980783e-05,1.0749233625467284e-05,1.0745931035671674e-05,-0.0007213420323435072,-0.0007213334046085357,-0.0007213503122329712,-0.2033421706193579,-0.20334215388674862,-0.20334215436845682,-4.352113461104316,-4.352113452849833,-4.352113446686417,-1.8027258151965403e-09,-5.8601653443579845e-09,-9.335792583442526e-09
-110,-2.7261604204640875e-06,1.697464210281818e-05,-0.0004911875831106033,-0.16251916651580606,-8.264108493719608,-4.648461219783966e-09,-110,100581444.27932104,9.3767699816406944e-05,100581444.27922727,1072666221697.3981,1.831976617874903e+17,1.4697098427278465e-08,4.158308956349853e-08,1.8671487467258885e-08,1.0010243300939692e-08,1.911367217607369e-09,1.996532677885402e-14,2.7565854704750272e-08,-16.834806808921986,4.9390192717568133e-08,1.6076884333665654e-07,-110,-2.7261604284569098e-06,-2.7261604204640875e-06,-2.7261604404294143e-06,1.6976431478365334e-05,1.697464210281818e-05,1.6989339201245457e-05,-0.0004911845088913706,-0.0004911875831106033,-0.0004912260919809341,-0.162519184909371,-0.16251916651580606,-0.16251916623788354,-8.264108493714613,-8.264108493719608,-8.264108503724856,-6.559828437391335e-09,-4.648461219783966e-09,-6.1888840718893334e-09
-100,-4.661784102936832e-06,2.468425907993448e-05,0.0014205323204062653,-0.12213783133123346,-14.368824350159418,-3.4528818067374716e-09,-100,91940155.539636508,9.3206778065525381e-05,91940155.539543301,986410617852.2937,1.019552840655808e+17,2.611174715339004e-08,1.5212938163540468e-08,1.5249799534267083e-08,7.587971140310401e-09,1.5199119714551235e-09,8.259060820772941e-15,2.8992359689800108e-10,-29.340642374146356,3.5003896579960634e-08,1.2449156409386576e-07,-100,-4.661784094677771e-06,-4.661784102936832e-06,-4.66178409810804e-06,2.4687018976343733e-05,2.468425907993448e-05,2.4660907229190343e-05,0.0014205292474776766,0.0014205323204062653,0.0014205444604158401,-0.12213781608143393,-0.12213783133123346,-0.12213783076285978,-14.368824342571447,-14.368824350159418,-14.368824343298911,-4.423473806865197e-09,-3.4528818067374716e-09,-2.9035618354100734e-09
-90,-7.158188084362276e-06,3.2637474845816116e-05,0.007663140396413385,-0.08660515576780045,-22.22301429201466,-2.3652970349331822e-09,-90,84048856.725125477,9.2649211768720534e-05,84048856.725032821,907172928086.38184,1.084924069688292e+17,2.542486711578718e-08,4.141684495362341e-09,3.520293923031659e-08,4.029032396601906e-08,3.293652361634217e-10,1.3570916241353696e-14,-1.1437757154255645e-08,-48.257516297651989,7.9252611609594783e-08,2.3913948756272216e-07,-90,-7.158188072214506e-06,-7.158188084362276e-06,-7.15818807079136e-06,3.2640561333036056e-05,3.2637474845816116e-05,3.26628997129319e-05,0.007663138725701846,0.007663140396413385,0.007663142867386341,-0.08660512220001237,-0.08660515576780045,-0.0866051574029516,-22.223014303420932,-22.22301429201466,-22.223014263130608,-2.4107613110641024e-09,-2.3652970349331822e-09,-2.694662271096604e-09
-80,-9.346771821833908e-06,3.8497269015261294e-05,0.023815165558111917,-0.05846538663271073,-29.120240612269484,-1.4082573714046316e-09,-80,76845490.74269408,9.2094980853545482e-05,76845490.742601991,834415622116.23694,1.0804824382446944e+17,1.853971601240012e-09,2.5214345486523904e-08,7.933632329565343e-08,1.0076668388592225e-08,9.150468442743136e-10,3.9386178238114133e-14,-7.7457318474722903e-08,-75.587320608529652,1.0111122159808039e-07,2.1095277031344317e-07,-80,-9.34677178244773e-06,-9.346771821833908e-06,-9.34677181157699e-06,3.849623022271487e-05,3.8497269015261294e-05,3.849808419431611e-05,0.023815163342564075,0.023815165558111917,0.02381518855690956,-0.058465307296387437,-0.05846538663271073,-0.058465386487721815,-29.120240603930675,-29.120240612269484,-29.120240614007344,-1.7898799621260397e-09,-1.4082573714046316e-09,-2.323304215678945e-09
-70,-9.762780890311812e-06,4.011244158452877e-05,0.06197133862024652,-0.038005917419384125,-30.506570216965216,-4.961142386899362e-10,-70,70274337.491784871,9.1544065367627425e-05,70274337.491693333,767655851961.2771,1.7148628765888666e+17,3.2274585236684848e-09,7.902658590019929e-09,1.8914941141146002e-09,1.1548024758667452e-08,5.446064387654159e-09,8.465597946499641e-15,1.3407491419721215e-08,-114.05098159798814,2.5928734681770693e-08,9.7112281039929335e-08,-70,-9.76278089860842e-06,-9.762780890311812e-06,-9.762780890142822e-06,4.010949623753368e-05,4.011244158452877e-05,4.01092141260051e-05,0.06197133071758793,0.06197133862024652,0.06197133846580982,-0.03800591552789001,-0.038005917419384125,-0.0380059163852442,-30.50657022851324,-30.506570216965216,-30.506570220455615,-3.0675083688425087e-09,-4.961142386899362e-10,2.3785560188116506e-09
-60,-7.985973417990658e-06,3.837374910263425e-05,0.14702219116377407,-0.024049364553702254,-25.109489095550984,5.83587035249005e-10,-60,79501609.465817243,9.0996445477949377e-05,79501609.465726241,873678186529.63086,1.3616162144622394e+17,6.164684723865299e-10,4.385288299157963e-09,3.244580930317209e-08,1.0559872976045881e-08,1.813356669683186e-09,1.9465118671633044e-14,-4.4884105040429403e-08,-167.57974562056549,5.7340195576152746e-08,1.2368228970614016e-07,-60,-7.985973400099976e-06,-7.985973417990658e-06,-7.985973419565094e-06,3.8373132634161866e-05,3.837374910263425e-05,3.8373184509055136e-05,0.14702218810771794,0.14702219116377407,0.14702218677848577,-0.02404933210789295,-0.024049364553702254,-0.024049364061454526,-25.10948908499111,-25.109489095550984,-25.109489093125376,1.5851303429570418e-09,5.83587035249005e-10,-2.2822632672614418e-10
