voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-2.8690396940514666e-07,1.8157861798271495e-06,-0.00013799547042555755,-0.2926918299695177,-0.4562117407796672,-9.242302499466951e-09,-150,144128570.73373216,9.6045347052819838e-05,144128570.73363611,1500630432981.5073,1.1117553313878098e+17,3.4402169788567104e-08,4.1985125059484495e-09,1.5634116334872772e-08,3.317879304631788e-10,3.146299987579794e-11,5.109564365139523e-15,-179.55863119475904,-1.7648005723458482e-08,2.850610311056466e-08,4.7030409600764967e-08,-150,-2.869039643900336e-07,-2.8690396940514666e-07,-2.869039642955823e-07,1.80012094851622e-06,1.8157861798271495e-06,1.8345231183047872e-06,-0.00013799544540192343,-0.00013799547042555755,-0.0001379912719130516,-0.29269181433540137,-0.2926918299695177,-0.2926918299694812,-0.4562117407847879,-0.4562117407796672,-0.45621174045299995,-9.24117654521237e-09,-9.242302499466951e-09,-9.272639545088168e-09
-140,-4.507247592168876e-07,3.4894680374011787e-06,-0.00027718108893565863,-0.2700704906255904,-1.0012366520721034,-8.072750736926251e-09,-140,131727673.60541692,9.547080033429762e-05,131727673.60532145,1379769239853.0581,98017668162470736.0,7.773330559291726e-08,7.761358764880877e-11,3.9664913131787216e-08,5.282263515482555e-10,7.994148718644054e-12,1.2703263335789674e-14,-200.65071114284129,4.7386123469550512e-08,5.5293307376014687e-08,8.1256651145482781e-08,-140,-4.5072477192015095e-07,-4.507247592168876e-07,-4.5072476518209417e-07,3.5291254661068503e-06,3.4894680374011787e-06,3.451392160513933e-06,-0.0002771810783660457,-0.00027718108893565863,-0.00027718115597963333,-0.2700705302904396,-0.2700704906255904,-0.27007049062552646,-1.0012366520717118,-1.0012366520721034,-1.001236651543877,-8.069967262171922e-09,-8.072750736926251e-09,-8.077961410890566e-09
-130,-8.013269264384389e-07,6.3252638176392665e-06,-0.0005010097391915362,-0.2401120463394796,-2.140103937670495,-7.000970884813924e-09,-130,120395735.5482865,9.4899690574898278e-05,120395735.54819159,1268663099098.9988,75416565734959120.0,2.8653680883734822e-08,1.3909539538291098e-08,8.93006033009236e-09,3.9827963149718926e-10,3.0879202190040034e-12,9.700649698869321e-15,-224.27581149192039,1.1434423186074127e-08,3.7085458335458192e-08,6.3874614869056741e-08,-130,-8.013269292843291e-07,-8.013269264384389e-07,-8.013269361390886e-07,6.334159245680211e-06,6.3252638176392665e-06,6.305505564796476e-06,-0.0005010096959263507,-0.0005010097391915362,-0.000501023605465889,-0.24011205526953994,-0.2401120463394796,-0.24011204633962002,-2.140103937669472,-2.140103937670495,-2.1401039372722153,-7.001535963523965e-09,-7.000970884813924e-09,-6.998448043304961e-09
-120,-1.4924883482568036e-06,1.0749085641102249e-05,-0.000721339395687106,-0.20334215397784805,-4.352113459827152,-5.86013912560134e-09,-120,110041402.86716773,9.4331997214608824e-05,110041402.86707339,1166533160713.426,59051996525543576.0,1.8551611767145073e-08,2.5932503019965303e-10,1.8911949783984028e-10,5.057643193140393e-11,5.876979133380422e-12,2.9425221550268173e-15,-250.73736458679471,-3.1249669518729206e-10,2.7367354108590997e-08,3.9075040116119003e-08,-120,-1.4924883481796855e-06,-1.4924883482568036e-06,-1.4924883511222077e-06,1.0748856868084827e-05,1.0749085641102249e-05,1.0730534029335104e-05,-0.0007213393490556685,-0.000721339395687106,-0.0007213391363620758,-0.20334215378872855,-0.20334215397784805,-0.20334215397766897,-4.3521134598284315,-4.352113459827152,-4.352113459877728,-5.858317484223018e-09,-5.86013912560134e-09,-5.864194463356398e-09
-110,-2.726160416830964e-06,1.6976479871963324e-05,-0.0004911844026116723,-0.16251916650290066,-8.264108488089256,-4.648466539156597e-09,-110,100581444.27932104,9.3767699816406944e-05,100581444.27922727,1072666221697.3981,1.831976617874903e+17,9.474654075026194e-09,1.1514691704468671e-09,9.475787932089474e-09,3.008615578892204e-11,4.5810657784556286e-12,3.180622269467054e-15,-280.37136111074454,-1.3474107163347071e-08,1.7231247380807683e-08,2.8443574403914768e-08,-110,-2.726160413793873e-06,-2.726160416830964e-06,-2.726160416974495e-06,1.6967005217888298e-05,1.6976479871963324e-05,1.697206442941024e-05,-0.0004911843978303882,-0.0004911844026116723,-0.0004911832511425018,-0.16251915702711273,-0.16251916650290066,-0.16251916650286802,-8.264108488089805,-8.264108488089256,-8.264108488059719,-4.651075810298624e-09,-4.648466539156597e-09,-4.646494744520169e-09
-100,-4.661784101446431e-06,2.468700346889861e-05,0.0014205300322806596,-0.12213783133134291,-14.368824343447574,-3.452882973201156e-09,-100,91940155.539636508,9.3206778065525381e-05,91940155.539543301,986410617852.2937,1.019552840655808e+17,1.0694150863466145e-08,1.3896191359066834e-09,1.0483546475370531e-08,1.504574242972012e-11,1.5533863258199165e-12,3.3979023140637797e-15,-313.55609584529327,-1.4686520444229245e-08,1.5120330403418822e-08,2.4771407195877876e-08,-100,-4.661784098048529e-06,-4.661784101446431e-06,-4.661784100769796e-06,2.467639049589382e-05,2.468700346889861e-05,2.4687084646757285e-05,0.0014205301572921868,0.0014205300322806596,0.0014205314218997955,-0.12213782084783986,-0.12213783133134291,-0.12213783133138634,-14.36882434344828,-14.368824343447574,-14.36882434346262,-3.4531426229729434e-09,-3.452882973201156e-09,-3.4515892366471235e-09
-90,-7.158188089532893e-06,3.2640428509560964e-05,0.007663139102159938,-0.08660515576341547,-22.22301430769469,-2.3652970594629023e-09,-90,84048856.725125477,9.2649211768720534e-05,84048856.725032821,907172928086.38184,1.084924069688292e+17,3.375651629750065e-08,1.2164843234303835e-08,1.742193589393537e-08,5.7049476254178444e-11,5.260335239272315e-13,8.829448572289251e-15,-350.72107289361213,2.2572521629626863e-08,2.1629843007713388e-08,3.4749441506217039e-08,-90,-7.158188095120064e-06,-7.158188089532893e-06,-7.158188086290616e-06,3.2657869520273664e-05,3.2640428509560964e-05,3.262411300397616e-05,0.007663139084446278,0.007663139102159938,0.007663151249289513,-0.08660517318517691,-0.08660515576341547,-0.08660515576324102,-22.22301430769366,-22.22301430769469,-22.22301430763764,-2.3655897605362464e-09,-2.3652970594629023e-09,-2.3658230929868296e-09
-80,-9.34677182415492e-06,3.849630026484863e-05,0.023815164214021328,-0.058465386632973355,-29.120240617012698,-1.4082574571676684e-09,-80,76845490.74269408,9.2094980853545482e-05,76845490.742601991,834415622116.23694,1.0804824382446944e+17,6.5050447251024934e-09,3.7696048296731455e-09,3.791639002770353e-09,4.32720526077901e-11,2.0527173710815916e-12,2.6046601941248637e-15,-392.35781364118793,-4.7706976147310343e-09,4.5813155094607727e-09,7.607228218484866e-09,-80,-9.346771822884796e-06,-9.34677182415492e-06,-9.346771825489456e-06,3.849234082298203e-05,3.849630026484863e-05,3.849884586770713e-05,0.023815164386837152,0.023815164214021328,0.023815160617232323,-0.05846538284146163,-0.058465386632973355,-0.058465386633100636,-29.120240617012822,-29.120240617012698,-29.12024061705597,-1.4098936722967137e-09,-1.4082574571676684e-09,-1.4078409549256321e-09
-70,-9.76278089433609e-06,4.010975085488727e-05,0.06197133692948271,-0.038005917417749065,-30.50657022564633,-4.961144821906842e-10,-70,70274337.491784871,9.1544065367627425e-05,70274337.491693333,767655851961.2771,1.7148628765888666e+17,1.1405866667812958e-08,4.394487503056599e-09,8.465985246175478e-09,1.3869794202037156e-11,1.7326244605708752e-13,4.35789981032865e-15,-439.03490443423186,9.6760572887433227e-09,1.1225864367259729e-08,1.9696284713882565e-08,-70,-9.762780897070134e-06,-9.76278089433609e-06,-9.762780892712234e-06,4.011827406477653e-05,4.010975085488727e-05,4.0106868198108714e-05,0.06197133686529004,0.06197133692948271,0.061971341259777546,-0.03800592588362406,-0.038005917417749065,-0.03800591741763881,-30.50657022564586,-30.50657022564633,-30.50657022563246,-4.962457788443286e-10,-4.961144821906842e-10,-4.960725163982715e-10
-60,-7.985973417045986e-06,3.837318392103622e-05,0.14702219106153808,-0.0240493645534485,-25.10948909216701,5.835870711118294e-10,-60,79501609.465817243,9.0996445477949377e-05,79501609.465726241,873678186529.63086,1.3616162144622394e+17,1.7843293342867383e-08,9.686786317519847e-09,7.896787251882031e-09,1.2491341294662561e-11,8.02281934769518e-13,5.5814914186802164e-15,-491.42042637813984,8.5546503214573022e-09,1.239198935935641e-08,2.0293087903181616e-08,-60,-7.98597341957609e-06,-7.985973417045986e-06,-7.985973413994599e-06,3.838104116687946e-05,3.837318392103622e-05,3.836319787353659e-05,0.14702219107687167,0.14702219106153808,0.1470222007483244,-0.02404937245023575,-0.0240493645534485,-0.024049364553901498,-25.109489092168957,-25.10948909216701,-25.1094890921795,5.827847891770599e-10,5.835870711118294e-10,5.833840077684727e-10
