voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-4.872926341394492e-10,1.3665400145271436e-05,-0.0003384035662106789,2.9823452064426625e-11,-0.0006892028958375717,4.6399655096652995e-08,-8.018283163889924e-12,-150,1016727227961015.6,1.0123105102142333e-05,1016727227961015.6,1.0043630069057049e+20,5.3816651933714924e+19,4.5006595376208386e-05,0.0004637191347647863,5.918722795418283e-06,0.00043724900789800236,0.0011604899749380322,8.037094167122036e-06,1.7940726472039498e-10,-0.028131924271191572,-0.042633849552330995,0.0018918807378622909,0.0030860466215302824,-150,-4.851744063349775e-10,-4.872926341394492e-10,-6.645816710553724e-10,-3.134119523093695e-05,1.3665400145271436e-05,9.958412192645483e-06,0.00012531556855410741,-0.0003384035662106789,-0.0003383532166481018,-1.8767828215871067e-06,2.9823452064426625e-11,4.041939973831177e-06,-0.0011076330785998595,-0.0006892028958375717,-0.0006703840707018571,1.011625152799289e-07,4.6399655096652995e-08,-0.0011603888124227524,8.037086148838872e-06,-8.018283163889924e-12,9.583810156616448e-08
-140,-4.15552889841384e-10,-6.214797566759763e-05,-0.0002613285850673457,-7.09369776728823e-11,-0.0005411853381653747,2.2735126446653654e-08,-2.0878284893871806e-12,-140,837100510720270.87,1.4951631810319604e-05,837100510720270.87,5.5987234125341745e+19,1.156421735635555e+20,2.851771649990361e-05,0.001012958870813084,8.588099206199435e-06,0.0010021283720401024,0.0014965906676837044,3.8017749279343057e-06,2.2980765028920962e-10,-0.0071729979747668501,-0.063308558857509925,0.0018251060083857844,0.0031097152095717825,-140,-4.1241977627448596e-10,-4.15552889841384e-10,-6.422274265636956e-10,-5.30587130236123e-05,-6.214797566759763e-05,-3.363025916769402e-05,-0.0012742874558804296,-0.0002613285850673457,-0.0002825409173965454,8.588028269221761e-06,-7.09369776728823e-11,7.506459951400757e-07,0.0004609430338747278,-0.0005411853381653747,-0.0005240251580289623,2.4208147152121444e-08,2.2735126446653654e-08,-0.0014965664595365524,3.8017728401058163e-06,-2.0878284893871806e-12,3.371946575249411e-06
-130,-3.4384558805184884e-10,-9.510028354536368e-05,-0.000201925475197599,-1.7165547104887654e-11,-0.0004184410884446429,4.859880935845831e-08,-4.128912148323759e-12,-130,689208713849516.25,2.2083273021046819e-05,689208713849516.25,3.1209536430249935e+19,1.6185456952986839e+20,6.99165053713111e-06,0.0014195996976312758,6.828340844958994e-06,0.001407393223642056,3.8857401745203156e-05,1.373267288271684e-05,3.6758615455094216e-12,0.030818429153326745,-0.094548867435813658,0.0020112608844265007,0.0029519222009212294,-130,-3.4684447325685856e-10,-3.4384558805184884e-10,-3.4316861171134914e-10,-9.021528209760092e-05,-9.510028354536368e-05,-8.810863300823257e-05,-0.0016215251728288749,-0.000201925475197599,-0.00020795315504074097,4.744040922969553e-06,-1.7165547104887654e-11,-2.084299921989441e-06,0.000977707096095709,-0.0004184410884446429,-0.00042968612754634705,7.503880630187014e-08,4.859880935845831e-08,3.8906000554561615e-05,1.3732668753804692e-05,-4.128912148323759e-12,1.9009029315420693e-07
-120,-3.1855585985120055e-10,-0.0001859006187039927,-0.0001560472971212504,1.725543499998008e-11,-0.00032091558673889614,1.0195543508516305e-07,2.159122308718339e-12,-120,567445181610643.37,3.261657011815289e-05,567445181610643.37,1.7397451036546279e+19,4.1257913448738488e+19,3.217121498091697e-05,0.001019661965645291,4.650608814235411e-06,0.0010385940808373406,0.00038501201218288275,1.3151296253380512e-05,6.36328789792987e-11,-0.022412563842900829,-0.14176548651132201,0.0012993321902911917,0.0022031291403520892,-120,-3.160096193640861e-10,-3.1855585985120055e-10,-2.5492298087190185e-10,-0.00015372940372307574,-0.0001859006187039927,-0.0001842910601226322,0.0008615718212494627,-0.0001560472971212504,-0.00015809014439582825,-2.2962253456074815e-06,1.725543499998008e-11,2.3543834686279297e-06,-0.0013551017627673745,-0.00032091558673889614,-0.00031650768193003387,7.8696549722232e-08,1.0195543508516305e-07,0.000385090708732605,-1.3151294094258203e-05,2.159122308718339e-12,-2.2061736799850587e-06
-110,-2.8921646831158463e-10,-0.00023253719646019373,-0.00012055515212796288,2.5988882677505592e-11,-0.00024876056185922754,2.1243545179744605e-07,-1.1481824387413897e-13,-110,467193794517121.62,4.8174047626838315e-05,467193794517121.62,9.6980390382817362e+18,6.0857636250224148e+19,3.408261397887339e-05,0.00023809959746579068,3.1261774257825725e-06,0.0002620972467571186,0.0003096480861580886,1.923036102026628e-06,4.3582802452802204e-11,-0.0022630966075115216,-0.2132784437464168,0.00038625398200708831,0.00064629878538661339,-110,-2.9046153763785965e-10,-2.8921646831158463e-10,-3.3279927076438683e-10,-0.00026291366691545784,-0.00023253719646019373,-0.00022883105293658446,-0.0003561577723143472,-0.00012055515212796288,-0.00011805817484855652,6.581726030515543e-07,2.5988882677505592e-11,-2.468004822731018e-06,1.3336684897891082e-05,-0.00024876056185922754,-0.00024036684230566152,1.8245640042079225e-07,2.1243545179744605e-07,-0.0003094356507062912,1.2936244590919747e-06,-1.1481824387413897e-13,-6.294116429346534e-07
-100,-3.678563706298003e-10,-0.0004802614120613362,-9.314269037444496e-05,6.247841879377825e-11,-0.00019215634960818875,4.4920472308485217e-07,2.436983403814131e-14,-100,384653969821055.75,7.1152143108427898e-05,384653969821055.75,5.4060770767633265e+18,1.1376475047658393e+20,3.273930969620705e-05,1.777867653629528e-05,2.4238151058026283e-07,2.2126343036443785e-05,2.7593849321161823e-05,4.936198687628308e-07,1.105425829262868e-11,-0.00046994954987092586,-0.32180706680414417,4.6222887865250944e-05,8.7898398241427781e-05,-100,-3.677051280244133e-10,-3.678563706298003e-10,-3.568021123371716e-10,-0.0004475221023651292,-0.0004802614120613362,-0.00047387342510774033,-0.00010984550097248302,-9.314269037444496e-05,-9.206682443618774e-05,1.3807338222332924e-07,6.247841879377825e-11,-1.043081283569336e-07,-0.00020764337953549372,-0.00019215634960818875,-0.00018551703649904994,4.5610131635791104e-07,4.4920472308485217e-07,2.8043054044246674e-05,-4.936198443929967e-07,2.436983403814131e-14,-3.458726544292971e-07
-90,-4.765477918836102e-10,-0.0007714541159238713,-7.196160503819264e-05,1.459583237395365e-10,-0.00014847154869051675,9.561993234609952e-07,4.605090442525398e-14,-90,316696579428094.94,0.00010509034881473725,316696579428094.94,3.0135648325461002e+18,8.399967959697526e+19,1.4663680061578169e-05,1.2560309493589368e-05,3.3452064250968774e-07,2.541982687193485e-05,3.3022510438026112e-06,1.6784335284288883e-06,2.076755509072464e-12,-0.00012400904756097007,-0.48683981640139107,3.4432085338939953e-05,7.5418386696126456e-05,-90,-4.767453430415769e-10,-4.765477918836102e-10,-4.786245473926827e-10,-0.0007577602925869612,-0.0007714541159238713,-0.0007724239726485393,-5.940129554460327e-05,-7.196160503819264e-05,-7.19018280506134e-05,-1.7247051452659445e-07,1.459583237395365e-10,1.6205012798309326e-07,-0.0001738913755624516,-0.00014847154869051675,-0.00015240085885181998,9.222281546531994e-07,9.561993234609952e-07,4.2244791984558105e-06,-1.6784334823779838e-06,4.605090442525398e-14,-1.0187179809102136e-06
-80,-6.72697788153869e-10,-0.00123007101505574,-5.5595009435325255e-05,3.401181961175598e-10,-0.00011471498653391565,2.03006726572124e-06,-1.5923064610544335e-14,-80,260745323013307.91,0.00015521642682179439,260745323013307.91,1.6798822673110001e+18,2.7019023659578696e+19,3.054011903307974e-05,0.00011998218230489188,1.5680231073151795e-07,0.0001549461079353165,1.608419057795612e-05,9.792071787679767e-07,5.711379304886754e-12,0.0035712991813418478,-0.73805098084374987,0.00020085602196205475,0.00033694648478372572,-80,-6.729351215573028e-10,-6.72697788153869e-10,-6.784091674587557e-10,-0.001259219417525432,-0.00123007101505574,-0.0012286792984923522,-0.00017557719174021713,-5.5595009435325255e-05,-5.69857656955719e-05,-1.5058664042038832e-07,3.401181961175598e-10,-1.564621925354004e-07,3.3371958432226734e-05,-0.00011471498653391565,-0.00012157414950308976,2.0229439316807023e-06,2.03006726572124e-06,-1.4054123312234879e-05,9.79207162844912e-07,-1.5923064610544335e-14,6.604234776963678e-07
-70,-1.024482287536991e-09,-0.002001544357774548,-4.2947064771717714e-05,7.925174595503899e-10,-8.8618994353008e-05,4.3091442371729195e-06,-1.4323324522673207e-14,-70,214679059131513.84,0.00022925168131088101,214679059131513.84,9.364339572297152e+17,4.2541367586395472e+19,1.6297582114431497e-05,0.00017937320794057755,5.2946581638017184e-08,0.00016504368502889832,4.40004131338297e-05,1.4203040028997329e-06,5.7208527786269796e-12,0.0041873779258045129,-1.1210362237191298,0.00025659480345100144,0.00040987424277236868,-70,-1.024353766129852e-09,-1.024482287536991e-09,-1.018761434758364e-09,-0.0019855750105858064,-0.002001544357774548,-0.002001872592700238,-0.00022232027271229526,-4.2947064771717714e-05,-4.353746771812439e-05,-3.764061799774586e-09,7.925174595503899e-10,-5.21540641784668e-08,7.411419419067755e-05,-8.8618994353008e-05,-9.092949083822077e-05,4.291921988994012e-06,4.3091442371729195e-06,4.8292335122823715e-05,1.4203039885764083e-06,-1.4323324522673207e-14,7.603984114737665e-07
-60,-1.4195903829356161e-09,-0.0028552156847793213,-3.3171845869432215e-05,1.8465787408516644e-09,-6.845161524927037e-05,9.150555195165067e-06,-9.736807705109815e-15,-60,176751391644628.44,0.00033860033026147566,176751391644628.44,5.2200596351496934e+17,1.5125588625320641e+20,6.163579412514497e-07,4.8598386086950995e-05,2.2395148475967005e-07,5.4532308102039906e-05,1.3037273822474093e-05,1.0509075517061467e-06,3.6020291849466967e-13,0.0018256208647066813,-1.7055184410891873,7.4569139096641523e-05,0.00013192975333868321,-60,-1.4193108198564877e-09,-1.4195903829356161e-09,-1.4196710227749824e-09,-0.0028550849188624665,-0.0028552156847793213,-0.00285459932683807,-8.148524884177277e-05,-3.3171845869432215e-05,-3.288686275482178e-05,-6.376400192580774e-08,1.8465787408516644e-09,1.601874828338623e-07,-2.0140361709053423e-05,-6.845161524927037e-05,-7.467266981109333e-05,9.154117566041328e-06,9.150555195165067e-06,2.218782901763916e-05,7.434486007423944e-07,-9.736807705109815e-15,1.0509075419693391e-06
