voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.08704902634146644,-14781.81175304132,-83171.95964724818,-14781.81175306697,-83171.95964727816,-14781.811753066659,-83171.9596472546,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,27612151867747860.0,1.365770003758371e-07,3.9042788557708263e-08,4.0745362639427185e-10,4.385947249829769e-08,3.001332515850663e-10,2.4054315872490406e-08,1.0880185641326534e-14,376783.72910629871,2.6478664949536324e-07,9.0030517033442081e-08,2.1656967419403372e-07,-150,-0.08704902634145556,-0.08704902634146644,-0.08704902634146114,-14781.811753109701,-14781.81175304132,-14781.811752973124,-83171.9596472399,-83171.95964724818,-83171.95964727894,-14781.811753066562,-14781.81175306697,-14781.81175306678,-83171.9596472343,-83171.95964727816,-83171.95964725688,-14781.811753066959,-14781.811753066659,-14781.811753066722,-83171.95964723868,-83171.9596472546,-83171.95964726273
-140,-0.07451884052579365,-12427.807394378468,-71312.9799126449,-12427.807394390604,-71312.97991266528,-12427.807394390447,-71312.97991267826,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,29119609347942860.0,7.737253326922655e-08,2.9976945370435715e-08,1.4370016288012266e-10,2.8740032576024532e-08,3.1104718800634146e-10,4.7264620661735535e-08,6.2450045135165055e-15,378590.83101105958,1.5296973288059235e-07,5.531239701335723e-08,1.5069065284478711e-07,-140,-0.0745188405257874,-0.07451884052579365,-0.0745188405257897,-12427.807394417076,-12427.807394378468,-12427.807394339703,-71312.97991265514,-71312.9799126449,-71312.97991262516,-12427.8073943905,-12427.807394390604,-12427.80739439046,-71312.9799126493,-71312.97991266528,-71312.97991267804,-12427.807394390758,-12427.807394390447,-12427.80739439046,-71312.9799126451,-71312.97991267826,-71312.97991269236
-130,-0.06318003963463911,-10447.205579361778,-60506.77552350439,-10447.205579352903,-60506.77552352502,-10447.205579352985,-60506.775523509554,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,31022657707174580.0,6.795016815885901e-08,3.1992385629564524e-08,1.6007106751203537e-10,1.5454133972525597e-08,1.8735590856522322e-10,2.817978383973241e-08,5.495603971894525e-15,384888.56084530649,-1.3760291039943695e-07,4.5452960357796594e-08,1.2995934639548068e-07,-130,-0.06318003963464461,-0.06318003963463911,-0.06318003963464112,-10447.205579327689,-10447.205579361778,-10447.205579395639,-60506.77552352832,-60506.77552350439,-60506.775523496326,-10447.205579353064,-10447.205579352903,-10447.205579352914,-60506.77552351839,-60506.77552352502,-60506.77552353384,-10447.205579352874,-10447.205579352985,-10447.205579352798,-60506.7755235264,-60506.775523509554,-60506.77552349822
-120,-0.05289271738793485,-8810.37203748839,-50622.60984885145,-8810.3720374953,-50622.60984885912,-8810.37203749552,-50622.609848842745,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,1.606061600632967e+17,6.689515430480242e-08,1.1590600479394197e-08,2.764863893389702e-10,3.859167918562889e-08,6.584741640836e-10,4.059984348714352e-09,5.072331443756184e-15,396496.99908693001,1.3946555554866791e-07,4.6425256002677778e-08,1.0842029496416217e-07,-120,-0.05289271738792978,-0.05289271738793485,-0.052892717387930374,-8810.372037521636,-8810.37203748839,-8810.372037454741,-50622.60984883986,-50622.60984885145,-50622.609848840424,-8810.372037495577,-8810.3720374953,-8810.37203749537,-50622.60984883539,-50622.60984885912,-50622.60984887398,-8810.37203749486,-8810.37203749552,-8810.372037495486,-50622.60984884582,-50622.609848842745,-50622.60984884176
-110,-0.04360517314985569,-7473.179305676267,-41628.759025754545,-7473.179305679806,-41628.75902574492,-7473.179305679862,-41628.75902573691,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,26038298714574716.0,4.3037289287894964e-08,3.259629011154175e-08,3.2014213502407074e-10,1.5286786947399378e-08,7.275957614183426e-11,9.466020856052637e-09,5.530298441414061e-15,414274.25385837414,9.2783011496067047e-08,4.2133933091646987e-08,1.1263335863986867e-07,-110,-0.04360517314985186,-0.04360517314985569,-0.04360517314985739,-7473.179305697755,-7473.179305676267,-7473.179305654718,-41628.75902572952,-41628.759025754545,-41628.75902576212,-7473.179305680125,-7473.179305679806,-7473.179305679805,-41628.75902573761,-41628.75902574492,-41628.759025752894,-7473.179305679878,-7473.179305679862,-7473.179305679805,-41628.759025746374,-41628.75902573691,-41628.75902573744
-100,-0.03532693490052454,-6380.921201667746,-33562.488733880265,-6380.921201665248,-33562.48873387915,-6380.921201665283,-33562.48873387546,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,2.1921607017842566e+17,3.7216523196548223e-08,4.773028194904327e-09,4.802132025361061e-10,1.236185198649764e-08,1.9554136088117957e-10,1.514126779511571e-08,5.329070518200751e-15,438880.82735444489,-8.2422047853469849e-08,2.5919293517215506e-08,6.9249665557435947e-08,-100,-0.03532693490052768,-0.03532693490052454,-0.03532693490052987,-6380.921201649275,-6380.921201667746,-6380.921201686491,-33562.488733881444,-33562.488733880265,-33562.48873387667,-6380.9212016656675,-6380.921201665248,-6380.921201665187,-33562.48873388302,-33562.48873387915,-33562.488733891514,-6380.921201665478,-6380.921201665283,-6380.921201665304,-33562.488733889135,-33562.48873387546,-33562.48873387399
-90,-0.02808995041480826,-5475.188402359124,-26486.241020220485,-5475.188402355623,-26486.241020220077,-5475.188402355656,-26486.2410202198,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,24738038724572444.0,6.792834028601646e-08,9.655195754021406e-09,1.127773430198431e-10,1.2980308383703232e-08,1.0186340659856796e-10,1.3213139027357101e-08,6.619704784327496e-15,470520.00943670637,-1.5588011592626572e-07,4.0989273571151631e-08,9.1311164851504145e-08,-90,-0.028089950414813183,-0.02808995041480826,-0.02808995041481488,-5475.18840232509,-5475.188402359124,-5475.188402393018,-26486.24102023014,-26486.241020220485,-26486.241020227695,-5475.188402355736,-5475.188402355623,-5475.188402355649,-26486.241020231217,-26486.241020220077,-26486.241020218236,-5475.188402355554,-5475.188402355656,-5475.18840235559,-26486.24102023139,-26486.2410202198,-26486.241020218178
-80,-0.021910153775504097,-4701.491484045753,-20443.837877935493,-4701.491484046619,-20443.837877934937,-4701.491484046631,-20443.837877935537,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,2.3801768250407773e+17,2.1951564121991396e-08,1.673470251262188e-08,6.184563972055912e-11,2.422893885523081e-09,7.366907084360719e-11,5.180481821298599e-09,3.896188927043909e-15,508698.10240547627,5.186302587389946e-08,1.5303902150039268e-08,3.9079282032616902e-08,-80,-0.021910153775502234,-0.021910153775504097,-0.02191015377550613,-4701.4914840568745,-4701.491484045753,-4701.491484034923,-20443.837877931364,-20443.837877935493,-20443.8378779481,-4701.491484046659,-4701.491484046619,-4701.491484046681,-20443.837877932514,-20443.837877934937,-20443.83787793372,-4701.491484046557,-4701.491484046631,-4701.491484046564,-20443.837877930724,-20443.837877935537,-20443.837877935905
-70,-0.016761722940938514,-4015.0617534836806,-15430.799274046449,-4015.061753484048,-15430.799274047396,-4015.0617534840444,-15430.799274047673,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,43952102592825552.0,1.2696546036750078e-08,7.479684427380562e-09,9.458744898438454e-11,8.280039764940739e-09,2.255546860396862e-10,5.529727786779404e-09,7.806255641895632e-16,552018.01948165975,3.0617229640483856e-08,1.1057839777172815e-08,3.0361889002961107e-08,-70,-0.016761722940937786,-0.016761722940938514,-0.016761722940937734,-4015.0617534898993,-4015.0617534836806,-4015.0617534772027,-15430.799274048826,-15430.799274046449,-15430.799274041347,-4015.0617534840494,-4015.061753484048,-4015.061753483955,-15430.799274043922,-15430.799274047396,-15430.799274052202,-4015.061753484122,-4015.0617534840444,-4015.0617534838966,-15430.799274043355,-15430.799274047673,-15430.799274048884
-60,-0.012569677864522793,-3383.3094604317034,-11385.413376861045,-3383.3094604315706,-11385.413376861123,-3383.309460431582,-11385.4133768626,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,3.7902268865292122e+17,5.791662260890007e-09,6.581103662028909e-09,1.1596057447604835e-10,5.282345227897167e-09,2.1827872842550278e-10,7.654307410120964e-09,1.0894063429134349e-15,598141.0457350295,-1.4260876923799515e-08,1.0209157372403112e-08,3.0501041692332365e-08,-60,-0.012569677864523825,-0.012569677864522793,-0.012569677864523883,-3383.3094604288053,-3383.3094604317034,-3383.309460434597,-11385.413376867626,-11385.413376861045,-11385.413376862416,-3383.309460431672,-3383.3094604315706,-3383.3094604316866,-11385.413376866185,-11385.413376861123,-11385.413376860903,-3383.3094604314683,-3383.309460431582,-3383.3094604316866,-11385.413376855635,-11385.4133768626,-11385.41337686329
