voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1","current, barrier 2",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_6 transport over barrier 2,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_5 transport over barrier 2,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_4 transport over barrier 2,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_3 transport over barrier 2,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_2 transport over barrier 2,solute_1 transport over barrier 0,solute_1 transport over barrier 1,solute_1 transport over barrier 2
-150,-0.08704902634142472,-14781.811753064245,-83171.95964721804,-14781.811753066162,-83171.95964720043,-14781.811753065407,-83171.9596472218,-150,433542989.0448944,12522.845398806083,433530466.19949561,34620.16620329977,27612151867747860.0,4.3037289287894964e-09,1.6487319953739643e-08,8.789356797933578e-09,2.223532646894455e-08,9.054929250851274e-09,7.843482308089733e-09,3.858025010572419e-15,170028.99639402275,3.0994435410673743e-08,2.5544325345888595e-08,1.1615659900598985e-07,-150,-0.08704902634142772,-0.08704902634142472,-0.08704902634142386,-14781.811753059941,-14781.811753064245,-14781.81175306387,-83171.95964721889,-83171.95964721804,-83171.9596472024,-14781.811753057373,-14781.811753066162,-14781.811753063928,-83171.95964722267,-83171.95964720043,-83171.9596472095,-14781.811753058133,-14781.811753065407,-14781.811753067188,-83171.9596472183,-83171.9596472218,-83171.95964722615
-140,-0.07451884052576843,-12427.807394387964,-71312.97991263069,-12427.807394391459,-71312.97991265064,-12427.807394392412,-71312.97991262224,-140,381737748.32482421,14312.805243240478,381723435.51958096,26671.064255912224,29119609347942860.0,1.074658939614892e-08,9.138602763414383e-09,2.3752363631501794e-08,2.8696376830339432e-08,2.3665052140131593e-08,2.0299921743571758e-08,1.3114509478384662e-14,176055.7529747269,4.2812014940943845e-08,6.8607580354181268e-08,3.1317631510319188e-07,-140,-0.07451884052576821,-0.07451884052576843,-0.07451884052578132,-12427.807394385709,-12427.807394387964,-12427.807394396455,-71312.97991263983,-71312.97991263069,-71312.97991263404,-12427.807394379746,-12427.807394391459,-12427.807394403499,-71312.9799126347,-71312.97991265064,-71312.9799126634,-12427.80739437803,-12427.807394392412,-12427.807394401694,-71312.97991264254,-71312.97991262224,-71312.97991263145
-130,-0.06318003963465722,-10447.205579350533,-60506.775523529264,-10447.205579354375,-60506.77552353325,-10447.205579353342,-60506.77552353765,-130,336674673.37130946,16358.613989633934,336658314.75731981,20580.880115188989,31022657707174580.0,1.8004357116296887e-08,5.653419066220522e-09,9.76797309704125e-10,2.1296727936714888e-08,1.05355866253376e-08,2.1507730707526207e-08,1.6930901125533637e-14,184270.9131669974,2.1228099563527878e-08,4.8697109289545323e-08,1.7113734429585747e-07,-130,-0.0631800396346555,-0.06318003963465722,-0.06318003963464029,-10447.205579364225,-10447.205579350533,-10447.20557934622,-60506.77552352989,-60506.775523529264,-60506.77552352424,-10447.205579355352,-10447.205579354375,-10447.205579354835,-60506.77552352863,-60506.77552353325,-60506.775523511955,-10447.205579357746,-10447.205579353342,-10447.20557934721,-60506.77552352672,-60506.77552353765,-60506.775523516146
-120,-0.052892717387926155,-8810.372037496074,-50622.60984884759,-8810.372037493715,-50622.60984883459,-8810.372037493928,-50622.60984884174,-120,297557870.34723133,18696.841542522128,297539173.50568879,15914.873625606604,1.606061600632967e+17,8.387360139749944e-09,4.5649358071386814e-08,8.636561688035727e-09,1.1074007488787174e-08,2.6793713914230466e-09,3.5775883588939905e-08,3.191891195797325e-15,194845.80996282538,1.2319893648205067e-08,4.3579914416546805e-08,1.693534841251676e-07,-120,-0.05289271738792422,-0.052892717387926155,-0.05289271738792296,-8810.372037490477,-8810.372037496074,-8810.372037487687,-50622.60984883529,-50622.60984884759,-50622.60984888094,-8810.372037497196,-8810.372037493715,-8810.37203748856,-50622.60984884367,-50622.60984883459,-50622.609848832595,-8810.372037496607,-8810.372037493928,-8810.372037496418,-50622.60984883864,-50622.60984884174,-50622.609848805965
-110,-0.043605173149853606,-7473.179305679032,-41628.759025743835,-7473.179305678072,-41628.759025745596,-7473.179305679398,-41628.75902574016,-110,263696467.12531567,21369.284946004384,263675097.84036967,12339.976175694241,26038298714574716.0,4.49108483735472e-09,1.3751559890806675e-08,8.922143024392426e-09,1.2842065189033747e-08,5.136826075613499e-09,3.4880940802395344e-08,1.0831613383999183e-14,207969.64847345045,1.9517044120042081e-08,3.0368243581925431e-08,1.2958270190210897e-07,-110,-0.04360517314985248,-0.043605173149853606,-0.043605173149842774,-7473.179305683523,-7473.179305679032,-7473.17930567998,-41628.75902573844,-41628.759025743835,-41628.759025752195,-7473.179305686994,-7473.179305678072,-7473.179305686557,-41628.75902573737,-41628.759025745596,-41628.759025732754,-7473.179305682032,-7473.179305679398,-7473.179305676895,-41628.759025742256,-41628.75902574016,-41628.759025707375
-100,-0.03532693490052869,-6380.92120166569,-33562.48873388141,-6380.92120166506,-33562.48873388711,-6380.921201665549,-33562.4887338803,-100,234492411.26088765,24423.715527832945,234467987.54535982,9601.0130397098346,2.1921607017842566e+17,4.926732799503952e-09,1.18525349535048e-08,5.966285243630409e-09,2.60770320892334e-08,4.727553459815681e-09,1.2347300071269274e-08,1.2628786905111156e-14,223846.79694323888,4.2877132067511227e-09,2.5360501297437503e-08,1.1773215646826429e-07,-100,-0.03532693490052568,-0.03532693490052869,-0.03532693490053831,-6380.921201664249,-6380.92120166569,-6380.9212016607635,-33562.48873388234,-33562.48873388141,-33562.48873389326,-6380.921201667428,-6380.92120166506,-6380.921201661462,-33562.4887338735,-33562.48873388711,-33562.488733899576,-6380.92120166494,-6380.921201665549,-6380.921201660822,-33562.48873388342,-33562.4887338803,-33562.48873389265
-90,-0.028089950414811302,-5475.1884023562025,-26486.241020223202,-5475.188402356311,-26486.241020222587,-5475.18840235648,-26486.241020224777,-90,209429907.32486603,27914.732836956453,209401992.59202906,7502.4865381337531,24738038724572444.0,4.052708391100168e-09,1.2441887520253658e-08,6.51925802230835e-09,1.1219526641070843e-08,7.799826562404633e-09,4.358298610895872e-09,6.845218836204481e-15,242687.94160160419,1.593828180803436e-08,1.9207924206743522e-08,1.0492675528439577e-07,-90,-0.028089950414818148,-0.028089950414811302,-0.028089950414814366,-5475.188402354448,-5475.1884023562025,-5475.188402358501,-26486.241020232774,-26486.241020223202,-26486.241020220332,-5475.188402354135,-5475.188402356311,-5475.188402360654,-26486.241020233807,-26486.241020222587,-26486.24102022586,-5475.188402352855,-5475.18840235648,-5475.188402360654,-26486.241020229136,-26486.241020224777,-26486.24102022851
-80,-0.021910153775503663,-4701.491484046074,-20443.83787793537,-4701.491484046364,-20443.837877935275,-4701.491484046354,-20443.83787793407,-80,188066307.04156122,31904.740639099407,188034402.30092213,5894.6195228142706,2.3801768250407773e+17,4.652065399568528e-09,7.0031092036515474e-09,1.8953869584947824e-09,7.232301868498325e-09,1.7962520360015333e-09,1.7462298274040222e-09,1.4988010832439613e-15,264692.68765347468,6.5697199138365788e-09,1.1254092971220751e-08,5.7430156630289275e-08,-80,-0.021910153775502164,-0.021910153775503663,-0.0219101537755025,-4701.491484050726,-4701.491484046074,-4701.491484047205,-20443.83787793033,-20443.83787793537,-20443.837877928367,-4701.49148404826,-4701.491484046364,-4701.491484047729,-20443.83787793033,-20443.837877935275,-20443.837877937563,-4701.491484048151,-4701.491484046354,-4701.491484047263,-20443.837877935206,-20443.83787793407,-20443.83787793346
-70,-0.01676172294093835,-4015.0617534839407,-15430.79927404622,-4015.061753483966,-15430.799274047287,-4015.0617534838248,-15430.799274047522,-70,170024291.33495164,36465.062416810317,169987826.27253482,4662.6628357715572,43952102592825552.0,1.7389538697898388e-09,3.974491846747696e-09,9.781615517567843e-10,8.734787115827203e-09,3.4124241210520267e-09,3.3232936402782798e-09,3.2404634531246757e-15,290022.21944379166,7.0346505595096712e-09,1.2391815681515606e-08,4.2258761823177338e-08,-70,-0.016761722940938462,-0.01676172294093835,-0.016761722940935222,-4015.0617534850535,-4015.0617534839407,-4015.0617534833145,-15430.799274050194,-15430.79927404622,-15430.79927404903,-4015.0617534849443,-4015.061753483966,-4015.0617534841876,-15430.799274044432,-15430.799274047287,-15430.799274038553,-4015.0617534866105,-4015.0617534838248,-4015.061753483198,-15430.7992740443,-15430.799274047522,-15430.799274044199
-60,-0.012569677864522765,-3383.30946043162,-11385.413376861721,-3383.309460431558,-11385.413376860977,-3383.309460431656,-11385.413376861985,-60,154985206.20450801,41677.216314127232,154943528.98819387,3718.70340466988,3.7902268865292122e+17,2.546585164964199e-09,9.64064383879304e-10,3.3760443329811096e-09,1.183070708066225e-08,3.92901711165905e-09,6.402842700481415e-09,5.238864897449957e-16,318762.98961565609,7.779823505752726e-09,7.5244385557063667e-09,3.5368088902032468e-08,-60,-0.01256967786452329,-0.012569677864522765,-0.012569677864522986,-3383.309460429664,-3383.30946043162,-3383.3094604322105,-11385.413376861194,-11385.413376861721,-11385.413376860757,-3383.309460430639,-3383.309460431558,-3383.309460434015,-11385.413376868397,-11385.413376860977,-11385.413376856566,-3383.309460429271,-3383.309460431656,-3383.3094604332,-11385.41337685936,-11385.413376861985,-11385.413376865763
