voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.5704857522582908123303547106236519657837008320960577784250505370436949796167652,-1780542.2979347404530657557971354567203146955010213810185228034483459021332944524,-150,41203357.069241847811286972037104931280357890753317672584180303489761983465995519,41203357.069241847811286972037104931280357890753317672584180303489761983465995519,0.0,1.0,82406714.138483695622573944074209862560715781506635345168360606979523966931991038,0.0,0.0,41245798.435295474362973265854348099818705087162151563910701676152405051173231627,2.573778794734014459069476086735844484304189790617311413593203863551793039787539e-85,1.444509999810228858439807859421595032824157033772987828045362375746300319192934e-75,2.0428456327151826068030791411548080766189035599600215255567118767373982378027212e-75,-150,-0.5704857522582908123303547106236519657837008320960577784250505370436949796167652,-0.5704857522582908123303547106236519657837008320960577784250505370436949796167652,-1780542.2979347404530657557971354567203146955010213810185228034483459021332944524,-1780542.2979347404530657557971354567203146955010213810185228034483459021332944524
-140,-0.46650339903605354421252197094418683619397244197726899566679620122724140968836547,-1456003.118090054830802892764114180625847121257289203229621667507883164711577164,-140,33775479.937448869495229185241439097320152474855427236301494954371140460560165897,33775479.937448869495229185241439097320152474855427236301494954371140460560165897,0.0,1.0,67550959.874897738990458370482878194640304949710854472602989908742280921120331794,0.0,0.0,33810270.246045648195662802317447816880539740328344827030872156355380014170363376,0.0,8.5405364690789978333085728411129252783523472528257535784520574745768205509115477e-76,1.2078142504513544255957230041139269400809027891756204789472965425354529799179932e-75,-140,-0.46650339903605354421252197094418683619397244197726899566679620122724140968836547,-0.46650339903605354421252197094418683619397244197726899566679620122724140968836547,-1456003.118090054830802892764114180625847121257289203229621667507883164711577164,-1456003.118090054830802892764114180625847121257289203229621667507883164711577164
-130,-0.38124346522166547325065409395193197302034530223079175380708054041200188666549395,-1189898.4557480196395705591169960411556778846097115268432668805617621677223004175,-130,27703131.409299446618617976127493780862313128781721199164548733094340498275450849,27703131.409299446618617976127493780862313128781721199164548733094340498275450849,0.0,1.0,55406262.818598893237235952254987561724626257563442398329097466188680996550901697,2.2108591501041778240989060768769022902056960932956880345660680883631595016095813e-75,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,27731666.91768042503494938822549305819078250241977748203370060403836768364554827,0.0,3.0075890059633406452312537011342511241285802745863666427707497292678678508718229e-76,4.2533731622775717822671846678175228815118071394636264926237480866781621323866006e-76,-130,-0.38124346522166547325065409395193197302034530223079175380708054041200188666549395,-0.38124346522166547325065409395193197302034530223079175380708054041200188666549395,-1189898.4557480196395705591169960411556778846097115268432668805617621677223004175,-1189898.4557480196395705591169960411556778846097115268432668805617621677223004175
-120,-0.31128417030322303479954427547382108384656957278166385087963799049227889012069501,-971548.59645200702413111136864573311918558079757697197036976602617221464810553716,-120,22742606.816897138201939738580597910487220323866285579877580628411625215870944541,22742606.816897138201939738580597910487220323866285579877580628411625215870944541,0.0,1.0,45485213.633794276403879477161195820974440647732571159755161256823250431741889083,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,22766032.755208610705292533908981199998091812079717426801994090119907558965681471,0.0,8.335620511963920191812666603156727899940621358569047419008448629795710319889806e-76,1.1788347578814737931650650825533778178609472642518178619900429431495244679000155e-75,-120,-0.31128417030322303479954427547382108384656957278166385087963799049227889012069501,-0.31128417030322303479954427547382108384656957278166385087963799049227889012069501,-971548.59645200702413111136864573311918558079757697197036976602617221464810553716,-971548.59645200702413111136864573311918558079757697197036976602617221464810553716
-110,-0.25381780213190386117123328590373064372508412701031483615181790780833596220355491,-792190.39367011196628898505758380729949834138319132223611048693970707436146400016,-110,18694822.890765646102071933550020142186246371831604852434758968117233693911948661,18694822.890765646102071933550020142186246371831604852434758968117233693911948661,0.0,1.0,37389645.781531292204143867100040284372492743663209704869517936234467387823897321,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,18714079.424166100432464843959099528510945611497322588829345740387692990866198215,0.0,3.4763911255727819100663942432921019207509986771404622255997407869541068859042746e-76,4.916359477898497511933493719846530945200983622288295635287722896495101781051624e-76,-110,-0.25381780213190386117123328590373064372508412701031483615181790780833596220355491,-0.25381780213190386117123328590373064372508412701031483615181790780833596220355491,-792190.39367011196628898505758380729949834138319132223611048693970707436146400016,-792190.39367011196628898505758380729949834138319132223611048693970707436146400016
-100,-0.20653803357488829141678675349800704499222211125978998534153144659427859399061977,-644625.57295533177857384815980616478643364057727106182914339928408967505426637259,-100,15397327.849215943974942629572901032860640825813843111122839941402755881264440584,15397327.849215943974942629572901032860640825813843111122839941402755881264440584,0.0,1.0,30794655.698431887949885259145802065721281651627686222245679882805511762528881168,0.0,0.0,15413187.810005015100816256405545327809248183777917625325862531999271157113125564,0.0,5.5458040131845799557645420170680774037189757832514822889951251617310053046396271e-76,7.8429512497087718016592774347592897490627897303647725559861052302848251593172962e-76,-100,-0.20653803357488829141678675349800704499222211125978998534153144659427859399061977,-0.20653803357488829141678675349800704499222211125978998534153144659427859399061977,-644625.57295533177857384815980616478643364057727106182914339928408967505426637259,-644625.57295533177857384815980616478643364057727106182914339928408967505426637259
-90,-0.16754736150945630657655372794194260561927454382367507492671245909140110079479188,-522931.83991715454133667038074891216313181857333321511208303102105966655811633513,-90,12717781.637940259740430201478118032141113795900623491336113409001426538890724976,12717781.637940259740430201478118032141113795900623491336113409001426538890724976,0.0,1.0,25435563.275880519480860402956236064282227591801246982672226818002853077781449951,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,12730881.54203251249688940076584647415352055334501056225335580148618151262289421,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,4.5235775246583877117932738212143737874273041953752944083996710712626273678304878e-76,6.3973046858180056963928386198820992776667647318483500871632885761864068607276062e-76,-90,-0.16754736150945630657655372794194260561927454382367507492671245909140110079479188,-0.16754736150945630657655372794194260561927454382367507492671245909140110079479188,-522931.83991715454133667038074891216313181857333321511208303102105966655811633512,-522931.83991715454133667038074891216313181857333321511208303102105966655811633513
-80,-0.13528095336008674775684430513756345530232258109467453292275706753554144346501154,-422225.19775307975840774090509159718056131149899511366109663727851217663571063051,-80,10548644.658955209933209207759390458693379422102230816169038366105046668055166129,10548644.658955209933209207759390458693379422102230816169038366105046668055166129,0.0,1.0,21097289.317910419866418415518780917386758844204461632338076732210093336110332257,0.0,0.0,10559510.251498749455368209469304473298992657001180972053187116790988792401836389,-6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,4.9767884656589012020317751089803019699394990742520444475188840750310156138710458e-76,7.0382417451968044814021276053488991711492639036403605717481607317144223271553987e-76,-80,-0.13528095336008674775684430513756345530232258109467453292275706753554144346501154,-0.13528095336008674775684430513756345530232258109467453292275706753554144346501154,-422225.19775307975840774090509159718056131149899511366109663727851217663571063051,-422225.19775307975840774090509159718056131149899511366109663727851217663571063051
-70,-0.10844384487270210298809319927530382159454901954133724070262146258826627849465486,-338463.93530805901519588686002592257395426806691533823551616319015677503423821499,-70,8802861.8289376076837879672485187601309021374294488780399528150468099222324452882,8802861.8289376076837879672485187601309021374294488780399528150468099222324452882,0.0,1.0,17605723.657875215367575934497037520261804274858897756079905630093619844464890576,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,8811929.1843128892920992215702117821936144628136978258093972313761731103838854881,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,2.2786374979723348330673757458739059998573697752517757798335495184698303790962478e-76,3.2224800533643717902362349954659075527564638389532428430203218451560066577875585e-76,-70,-0.10844384487270210298809319927530382159454901954133724070262146258826627849465486,-0.10844384487270210298809319927530382159454901954133724070262146258826627849465486,-338463.93530805901519588686002592257395426806691533823551616319015677503423821499,-338463.93530805901519588686002592257395426806691533823551616319015677503423821499
-60,-0.085958968652224402042387311616244657042117640077723489522301672441234285491381894,-268286.41901443322842287085218803732191295353414257221544584376555195979288606126,-60,7410368.7530595679457268829712928298721874730542655568683394564849713708147077809,7410368.7530595679457268829712928298721874730542655568683394564849713708147077809,0.0,1.0,14820737.506119135891453765942585659744374946108531113736678912969942741629415562,0.0,0.0,7418001.7760754458182005127780795528027507921060887410500775937901609781512161224,0.0,3.7870049672720464176251934446064330392468851724289934699298991306144870644341578e-76,5.3556337854904069903756661702661292693580094545225624729189219107913422540435211e-76,-60,-0.085958968652224402042387311616244657042117640077723489522301672441234285491381894,-0.085958968652224402042387311616244657042117640077723489522301672441234285491381894,-268286.41901443322842287085218803732191295353414257221544584376555195979288606126,-268286.41901443322842287085218803732191295353414257221544584376555195979288606126
