voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.04448235629180563,-138833.82113547326,-150,1305694779479.5476,148384.68330715355,1305694631094.8643,8799390.5461036265,6.344633116952889e+22,5.820766091346741e-11,2.0816681711721685e-17,0.0,-1305694927864.231,4.1159031748919956e-11,5.8207660913467407e-11,-150,-0.04448235629180565,-0.04448235629180563,-138833.82113547332,-138833.82113547326
-140,-0.04235079767335881,-132181.01645867294,-140,1198917865539.2979,143853.41577301844,1198917721685.8821,8334302.380633289,5.825782651316988e+22,0.0,0.0,0.0,-1198918009392.7136,0.0,0.0,-140,-0.04235079767335881,-0.04235079767335881,-132181.01645867294,-132181.01645867294
-130,-0.04013625289226307,-125269.20378359262,-130,1105921869752.8806,139479.69519237289,1105921730273.1853,7928909.4246124737,inf,2.9103830456733704e-11,6.938893903907228e-18,2.9103830456733704e-11,-1105922009232.5757,4.1159031748919956e-11,5.8207660913467407e-11,-130,-0.04013625289226308,-0.04013625289226307,-125269.20378359265,-125269.20378359262
-120,-0.03782277300978404,-118048.60489945082,-120,1025871419036.386,135271.22470555885,1025871283765.1613,7583811.1266411021,inf,0.0,0.0,0.0,-1025871554307.6107,4.1159031748919956e-11,5.8207660913467407e-11,-120,-0.03782277300978404,-0.03782277300978404,-118048.60489945082,-118048.60489945082
-110,-0.035397070546334966,-110477.74827195682,-110,958093432001.72681,131244.04218869458,958093300757.68457,7300090.8538327338,4.6555683712209091e+22,0.0,0.0,0.0,-958093563245.76904,0.0,0.0,-110,-0.035397070546334966,-0.035397070546334966,-110477.74827195682,-110477.74827195682
-100,-0.03285012521475312,-102528.48069523447,-100,902073729653.93896,127428.12166984902,902073602225.81726,7079078.9178475365,4.3833573887589233e+22,2.9103830456733704e-11,1.3877787807814457e-17,0.0,-902073857082.06067,2.0579515874459978e-11,2.9103830456733704e-11,-100,-0.03285012521475313,-0.03285012521475312,-102528.4806952345,-102528.48069523447
-90,-0.03017814826046569,-94188.97709258954,-90,857455929758.51624,123876.80550380125,857455805881.71069,6921844.0552392555,4.1665505398145549e+22,4.3655745685100555e-11,1.3877787807814457e-17,2.9103830456733704e-11,-857456053635.32166,6.1738547623379937e-11,8.7311491370201111e-11,-90,-0.030178148260465703,-0.03017814826046569,-94188.97709258959,-94188.97709258954
-80,-0.027381573075604453,-85460.5901236094,-80,824042704991.79565,120682.68505647141,824042584309.1106,6828176.7563109724,8.0083779425976107e+22,1.4551915228366852e-11,3.469446951953614e-18,0.0,-824042825674.48071,2.0579515874459978e-11,2.9103830456733704e-11,-80,-0.027381573075604456,-0.027381573075604453,-85460.59012360942,-85460.5901236094
-70,-0.024459871915961454,-76341.67264657133,-70,801799524503.21985,118004.33655537505,801799406498.8833,6794661.5176041871,3.8961048908750263e+22,1.4551915228366852e-11,6.938893903907228e-18,-1.4551915228366852e-11,-801799642507.55652,4.1159031748919956e-11,5.8207660913467407e-11,-70,-0.024459871915961447,-0.024459871915961454,-76341.67264657131,-76341.67264657133
-60,-0.021398905402425443,-66788.09426474858,-60,790861041540.25635,116111.3301586462,790860925428.92615,6811230.5703472737,7.6859052114220472e+22,0.0,0.0,0.0,-790861157651.58655,2.0579515874459978e-11,2.9103830456733704e-11,-60,-0.021398905402425443,-0.021398905402425443,-66788.09426474858,-66788.09426474858
