voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,6.135241578813951e-11,0.00019148694066210836,-150,92902.876442784531,0.077442896949789397,92902.798999887586,1199630.6969639671,inf,4.255493527005605e-18,1.370017889540952e-24,0.0,-92902.953885681476,1.962615573354719e-17,2.7755575615628914e-17,-150,6.135241578814088e-11,6.135241578813951e-11,0.00019148694066211262,0.00019148694066210836
-140,7.493603041297794e-11,0.00023388274161353917,-140,113471.82952821537,0.063481987834872827,113471.76604622754,1787464.9707468897,1.1563327130263452e+22,1.4040418133687282e-17,4.497794580757088e-24,0.0,-113471.8930102032,1.962615573354719e-17,2.7755575615628914e-17,-140,7.493603041297345e-11,7.493603041297794e-11,0.00023388274161352513,0.00023388274161353917
-130,9.152709105472402e-11,0.00028566507819826475,-130,138594.8055592305,0.052068833792147294,138594.75349039672,2661761.2776288553,2.8246959300816834e+22,4.716279450311944e-18,1.5121895573235037e-24,0.0,-138594.85762806429,9.8130778667735948e-18,1.3877787807814457e-17,-130,9.152709105472251e-11,9.152709105472402e-11,0.00028566507819826004,0.00028566507819826475
-120,1.1179145523292171e-10,0.0003489121574061227,-120,169280.07777670649,0.042745384875576366,169280.0350313216,3960195.4285696195,inf,2.3852447794681098e-18,7.625571271973224e-25,-6.9388939039072284e-18,-169280.12052209137,9.8130778667735948e-18,1.3877787807814457e-17,-120,1.1179145523292094e-10,1.1179145523292171e-10,0.0003489121574061203,0.0003489121574061227
-110,1.3654240303549248e-10,0.0004261623066026607,-110,206759.15389802906,0.035137458343288512,206759.11876057071,5884294.5291608274,4.2139511518217411e+22,9.161508357502512e-18,2.920981538077879e-24,0.0,-206759.18903548742,9.8130778667735948e-18,1.3877787807814457e-17,-110,1.365424030354954e-10,1.3654240303549248e-10,0.00042616230660266985,0.0004261623066026607
-100,1.6677327690447918e-10,0.000520515845519598,-100,252536.20084590898,0.028939721390301112,252536.17190618761,8726283.0709401444,inf,5.204170427930421e-18,1.6543612251060553e-24,-3.4694469519536142e-18,-252536.22978563039,4.9065389333867974e-18,6.9388939039072284e-18,-100,1.6677327690448084e-10,1.6677327690447918e-10,0.0005205158455196032,0.000520515845519598
-90,2.036973479561714e-10,0.0006357595129718209,-90,308448.41224847827,0.023903437070960341,308448.3883450412,12903935.586033531,1.2572952805882247e+23,1.4094628242311558e-18,4.652890945610781e-25,-3.4694469519536142e-18,-308448.43615191535,4.9065389333867974e-18,6.9388939039072284e-18,-90,2.0369734795617186e-10,2.036973479561714e-10,0.0006357595129718223,0.0006357595129718209
-80,2.487965088111517e-10,0.0007765184419823712,-80,376739.74147041189,0.019826481611937403,376739.7216439303,19001845.554058325,1.5356639235321988e+23,6.288372600415926e-18,2.016252743098005e-24,-3.4694469519536142e-18,-376739.76129689353,9.8130778667735948e-18,1.3877787807814457e-17,-80,2.487965088111537e-10,2.487965088111517e-10,0.0007765184419823775,0.0007765184419823712
-70,3.0388074714847374e-10,0.0009484417826107171,-70,460150.95934050664,0.016545232475500174,460150.94279527414,27811695.001680292,1.8756641518092782e+23,6.7220534694101275e-18,2.1713491079516976e-24,3.4694469519536142e-18,-460150.97588573908,4.9065389333867974e-18,6.9388939039072284e-18,-70,3.0388074714847157e-10,3.0388074714847374e-10,0.0009484417826107103,0.0009484417826107171
-60,3.7116078686650314e-10,0.0011584294221800972,-60,562029.65090854012,0.013928001612556251,562029.63698053849,40352497.547233485,4.5818827368039886e+23,1.734723475976807e-18,5.169878828456423e-25,0.0,-562029.66483654175,2.4532694666933987e-18,3.4694469519536142e-18,-60,3.7116078686650366e-10,3.7116078686650314e-10,0.001158429422180099,0.0011584294221800972
-50,4.533368121953882e-10,0.0014149089019831092,-50,686464.5657874858,0.011869750358854854,686464.55391773547,57833108.956279106,5.5963242122988355e+23,2.168404344971009e-18,6.72084247699335e-25,0.0,-686464.57765723614,2.4532694666933987e-18,3.4694469519536142e-18,-50,4.5333681219538885e-10,4.533368121953882e-10,0.0014149089019831113,0.0014149089019831092
-40,5.537068355711779e-10,0.0017281736441048003,-40,838449.71403205639,0.010287873864574618,838449.70374418248,81498833.001752064,6.8353658284603203e+23,2.3852447794681098e-18,7.237830359838992e-25,1.7347234759768071e-18,-838449.72431993019,4.9065389333867974e-18,6.9388939039072284e-18,-40,5.537068355711772e-10,5.537068355711779e-10,0.0017281736441047979,0.0017281736441048003
-30,6.762990584549984e-10,0.002110796062593628,-30,1024084.7932973577,0.0091188858716549689,1024084.7841784719,112303718.64622301,inf,0.0,0.0,-1.7347234759768071e-18,-1024084.8024162437,2.4532694666933987e-18,3.4694469519536142e-18,-30,6.762990584549984e-10,6.762990584549984e-10,0.002110796062593628,0.002110796062593628
-20,8.26033537201672e-10,0.0025781321385819978,-20,1250819.9911232786,0.0083158707873448087,1250819.9828074079,150413591.44574389,1.019716756031026e+24,4.336808689942018e-19,2.0679515313825692e-25,0.0,-1250819.9994391494,0.0,0.0,-20,8.260335372016722e-10,8.26033537201672e-10,0.002578132138581998,0.0025781321385819978
-10,1.008919642196719e-09,0.0031489377097275876,-10,1527754.9871198505,0.0078466007967335702,1527754.9792732496,194702779.80190268,1.2454848583584352e+24,2.168404344971009e-18,8.271806125530277e-25,1.7347234759768071e-18,-1527754.9949664511,2.4532694666933987e-18,3.4694469519536142e-18,-10,1.0089196421967182e-09,1.008919642196719e-09,0.0031489377097275854,0.0031489377097275876
0,1.232297234990258e-09,0.0038461212078347634,0,1866004.1550611393,0.0076922424473793265,1866004.1473688968,242582597.70489541,inf,8.673617379884035e-19,2.0679515313825692e-25,-8.6736173798840355e-19,-1866004.1627533818,1.2266347333466993e-18,1.7347234759768071e-18,0,1.2322972349902578e-09,1.232297234990258e-09,0.0038461212078347625,0.0038461212078347634
10,1.505131242713022e-09,0.004697663054659869,10,2279142.6217300119,0.0078466007967335702,2279142.613883411,290462415.60788804,inf,1.734723475976807e-18,6.203854594147708e-25,0.0,-2279142.6295766127,0.0,0.0,10,1.5051312427130214e-09,1.505131242713022e-09,0.004697663054659867,0.004697663054659869
20,1.8383714520801007e-09,0.0057377386144822125,20,2783751.0844214368,0.0083158707873448087,2783751.0761055658,334751603.96404696,inf,8.673617379884035e-19,4.1359030627651384e-25,1.7347234759768071e-18,-2783751.0927373073,0.0,0.0,20,1.8383714520801011e-09,1.8383714520801007e-09,0.005737738614482213,0.0057377386144822125
30,2.2453919627791357e-09,0.007008089771470461,30,3400081.2525437055,0.0091188858716549689,3400081.2434248198,372861476.76356775,2.7718775280943377e+24,2.6020852139652106e-18,8.271806125530277e-25,0.0,-3400081.2616625912,2.4532694666933987e-18,3.4694469519536142e-18,30,2.245391962779135e-09,2.2453919627791357e-09,0.007008089771470458,0.007008089771470461
40,2.742527937050421e-09,0.008559700178059992,40,4152868.6198255676,0.010287873864574618,4152868.6095376937,403666362.40803874,3.3855788580966185e+24,0.0,0.0,1.7347234759768071e-18,-4152868.630113441,0.0,0.0,40,2.742527937050421e-09,2.742527937050421e-09,0.008559700178059992,0.008559700178059992
50,3.3497311871042627e-09,0.010454841407940896,50,5072325.1865317654,0.011869750358854854,5072325.1746620154,427332086.45351183,inf,1.734723475976807e-18,8.271806125530277e-25,0.0,-5072325.1984015154,2.4532694666933987e-18,3.4694469519536142e-18,50,3.3497311871042635e-09,3.3497311871042627e-09,0.010454841407940898,0.010454841407940896
60,4.091370911400543e-09,0.012769572132960497,60,6195351.9731151955,0.013928001612556251,6195351.9591871938,444812697.86255735,5.0506901563206635e+24,1.734723475976807e-18,8.271806125530277e-25,3.4694469519536142e-18,-6195351.9870431963,2.4532694666933987e-18,3.4694469519536142e-18,60,4.091370911400542e-09,4.091370911400543e-09,0.012769572132960495,0.012769572132960497
70,4.997211716148964e-09,0.015596790624684657,70,7567019.9877359513,0.016545232475500174,7567019.9711907189,457353500.40811044,3.0844634437712395e+24,0.0,0.0,0.0,-7567020.0042811837,4.9065389333867974e-18,6.9388939039072284e-18,70,4.997211716148964e-09,4.997211716148964e-09,0.015596790624684657,0.015596790624684657
80,6.103608173466872e-09,0.019049963088223695,80,9242379.0840738229,0.019826481611937403,9242379.0642473418,466163349.8557325,3.7673721576664069e+24,0.0,0.0,0.0,-9242379.1039003041,0.0,0.0,80,6.103608173466872e-09,6.103608173466872e-09,0.019049963088223695,0.019049963088223695
90,7.454963858007888e-09,0.02326767745945034,90,11288667.305249633,0.023903437070960341,11288667.281346196,472261259.82375729,2.30073937219479e+24,3.469446951953614e-18,0.0,-3.4694469519536142e-18,-11288667.329153072,4.9065389333867974e-18,6.9388939039072284e-18,90,7.454963858007888e-09,7.454963858007888e-09,0.023267677459450336,0.02326767745945034
100,9.10551341832428e-09,0.028419205425481524,100,13788009.382584432,0.028939721390301112,13788009.35364471,476438912.33885062,5.6202588300128269e+24,1.3877787807814457e-17,4.963083675318166e-24,6.9388939039072284e-18,-13788009.411524152,1.962615573354719e-17,2.7755575615628914e-17,100,9.105513418324275e-09,9.10551341832428e-09,0.02841920542548151,0.028419205425481524
