voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.07942666863521781,-165265.6442680354,-150,400690995336.22559,185747.88794163545,400690809588.33765,2157176.589066403,inf,0.0,0.0,400690995336.26868,-2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-150,-0.07942666863521781,-0.07942666863521781,-165265.6442680354,-165265.6442680354
-140,-0.07643448406809508,-159039.70883914916,-140,261070515472.6972,181694.23118171829,261070333778.46603,1436867.3885501192,1.2685940576319525e+22,2.9103830456733704e-11,1.3877787807814457e-17,261070515472.76038,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-140,-0.0764344840680951,-0.07643448406809508,-159039.70883914919,-159039.70883914916
-130,-0.07355501321659734,-153048.30049229576,-130,170100688167.53558,178105.49528465304,170100510062.04031,955055.81057830947,8.2655340001862709e+21,2.9103830456733704e-11,1.3877787807814457e-17,170100688167.62881,-2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-130,-0.07355501321659733,-0.07355501321659734,-153048.30049229573,-153048.30049229576
-120,-0.07078400615824675,-147282.5762760024,-120,110829229653.6745,174997.27741025263,110829054656.39709,633319.73670569411,inf,5.820766091346741e-11,2.7755575615628914e-17,110829229653.81265,2.9103830456733704e-11,0.0,0.0,-120,-0.07078400615824677,-0.07078400615824675,-147282.57627600245,-147282.5762760024
-110,-0.06811737125567437,-141734.02258775357,-110,72210866857.867249,172388.09881487006,72210694469.768433,418885.45296514634,inf,2.9103830456733704e-11,1.3877787807814457e-17,72210866858.073013,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-110,-0.06811737125567438,-0.06811737125567437,-141734.0225877536,-141734.02258775357
-100,-0.06555116828014454,-136394.44086588544,-100,47049043909.674995,170299.66712663547,47048873610.007866,276272.08381264273,2.2862075180632019e+21,2.9103830456733704e-11,1.3877787807814457e-17,47049043909.9832,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-100,-0.06555116828014455,-0.06555116828014454,-136394.44086588547,-136394.44086588544
-90,-0.06308160131544373,-131255.93282447718,-90,30654839489.432041,168757.16823867123,30654670732.263802,181650.59184968824,inf,5.820766091346741e-11,2.7755575615628914e-17,30654839489.896545,5.8207660913467407e-11,4.1159031748919956e-11,5.8207660913467407e-11,-90,-0.06308160131544376,-0.06308160131544373,-131255.93282447723,-131255.93282447718
-80,-0.06070501118862051,-126310.88470374639,-80,19973183430.827713,167789.59089353538,19973015641.23682,119037.08283966764,inf,4.3655745685100555e-11,2.0816681711721685e-17,19973183431.53249,0.0,4.1159031748919956e-11,5.8207660913467407e-11,-80,-0.06070501118862053,-0.06070501118862051,-126310.88470374643,-126310.88470374639
-70,-0.05841786703390008,-121551.9497168125,-70,13013542499.827368,167430.08736063834,13013375069.740007,77725.232692477002,inf,2.9103830456733704e-11,1.3877787807814457e-17,13013542500.904432,0.0,0.0,0.0,-70,-0.058417867033900096,-0.05841786703390008,-121551.94971681252,-121551.9497168125
-60,-0.05621675637052017,-116972.02740432827,-60,8478983291.6252298,167716.37397161158,8478815575.2512579,50555.488953394735,inf,1.4551915228366852e-11,6.938893903907228e-18,8478983293.2839651,-2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-60,-0.05621675637052016,-0.05621675637052017,-116972.02740432826,-116972.02740432827
-50,-0.0540983727065054,-112564.23784125135,-50,5524487886.4191122,168691.17568027216,5524319195.243432,32749.121962905268,inf,4.3655745685100555e-11,2.0816681711721685e-17,5524487888.9946184,2.9103830456733704e-11,4.1159031748919956e-11,5.8207660913467407e-11,-50,-0.05409837270650542,-0.0540983727065054,-112564.2378412514,-112564.23784125135
-40,-0.05205949906226996,-108321.88735387009,-40,3599484236.7118459,170402.71925800166,3599313833.992588,21123.396694520903,8.7453083608394449e+19,2.9103830456733704e-11,1.3877787807814457e-17,3599484240.7453523,0.0,0.0,0.0,-40,-0.05205949906226995,-0.05205949906226996,-108321.88735387006,-108321.88735387009
