voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,0.000016083881651015401624022909873838031027110183435581106288642923438544625112690731,100.39876186651312382578016801337196357864964272379074518476809984736007187683878,-150,7020026.6148523734963013908178310230297453687399848090731186260738889525107365272,7020026.6148523734963013908178310230297453687399848090731186260738889525107365272,0.0,1.0,14040053.229704746992602781635662046059490737479969618146237252147777905021473054,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,7020026.6583237577510999271152611730684907997611281275970609708889067977024760344,-1.2567279271162179975925176204764865646016551711998590886685565739998989452087593e-88,7.0927672178411641228798714047339307777924143802089760522800001877682598383661147e-79,1.0030687594226258995724015724179911985175666908179908242019802096765174387959272e-78,-150,0.000016083881651015401624022909873838031027110183435581106288642923438544625112690731,0.000016083881651015401624022909873838031027110183435581106288642923438544625112690731,100.39876186651312382578016801337196357864964272379074518476809984736007187683878,100.39876186651312382578016801337196357864964272379074518476809984736007187683878
-140,0.000018724658350887939530682174613396548220158352823974710488506173787624779921858446,116.88301092938789311493184542908037993301334752258226183105624677991808865843977,-140,7466048.3887737848978342569229109478723160587439793507654793865111355289171289716,7466048.3887737848978342569229109478723160587439793507654793865111355289171289716,0.0,1.0,14932096.777547569795668513845821895744632117487958701530958773022271057834257943,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,0.0,7466048.4282102951593590078951179632715453134272276175037465704975377836425158638,0.0,5.4712346252148055510722478925783805168601228322560279238990964909299215541987393e-79,7.7374942099040557230192636054386147303482158846523621582885442632340810205164003e-79,-140,0.000018724658350887939530682174613396548220158352823974710488506173787624779921858446,0.000018724658350887939530682174613396548220158352823974710488506173787624779921858446,116.88301092938789311493184542908037993301334752258226183105624677991808865843977,116.88301092938789311493184542908037993301334752258226183105624677991808865843977
-130,0.000021798888456314871024696344825555091398221757037949397139260408351462418979349305,136.07296164990556882893563869310549152710954205593274225928749407759432650466464,-130,7940410.1042957236590844255572301753317345104489588530853425342902840595535022904,7940410.1042957236590844255572301753317345104489588530853425342902840595535022904,0.0,1.0,15880820.208591447318168851114460350663469020897917706170685068580568119107004581,1.8891618714269097618032644699875874061816250797204365529739351340993794569417809e-78,3.2172234934175180738368451084198056053802372382716392669915048294397412997344237e-85,7940410.1404347104462850609112182397033128672889809086663454835931594095799694749,0.0,5.6282133445114142047775546521631654176237741091699873671939379669381098769637848e-79,7.959495643737278764632664777306058334112197415859032761388697028742405823530513e-79,-130,0.000021798888456314871024696344825555091398221757037949397139260408351462418979349305,0.000021798888456314871024696344825555091398221757037949397139260408351462418979349305,136.07296164990556882893563869310549152710954205593274225928749407759432650466464,136.07296164990556882893563869310549152710954205593274225928749407759432650466464
-120,0.00002537773895840884710745326401526398186846894630871094971319613421074116081108481,158.41285242452464662936813199211343423351949800693163975533879014222390163346751,-120,8444912.2440944855088466126065827505135414474398227584113165582851871695476782423,8444912.2440944855088466126065827505135414474398227584113165582851871695476782423,0.0,1.0,16889824.488188971017693225213165501027082894879645516822633116570374339095356485,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,9.6516704802525542215105353252594168161407117148149178009745144883192238992032711e-86,8444912.2775951340914719304028210331882230250347702317106400301715528031565219416,0.0,4.4351494594807343287937182414007707293781523344738170306981852935934144586575343e-80,6.2722485167493562695267913787227418585691722135293870609114060880865227309970789e-80,-120,0.00002537773895840884710745326401526398186846894630871094971319613421074116081108481,0.00002537773895840884710745326401526398186846894630871094971319613421074116081108481,158.41285242452464662936813199211343423351949800693163975533879014222390163346751,158.41285242452464662936813199211343423351949800693163975533879014222390163346751
-110,0.000029544056353423638726126207694967664817804653619877219215149740672331236137983942,184.41982742461698014519483124476653903456529591532118035230190974954169417143939,-110,8981469.7072461873466639403915751909163252065682056219001897013090890361879940296,8981469.7072461873466639403915751909163252065682056219001897013090890361879940296,0.0,1.0,17962939.414492374693327880783150381832650413136411243800379402618178072375988059,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.6086117467087590369184225542099028026901186191358196334957524147198706498672119e-85,8981469.7387069346916492105752820136701034471407730516594964420220786548026209235,0.0,3.5347676299069621987390765985211564774294337478856930831713581761871485793438614e-80,4.9989163220518270410609090736560407013109074330542351729007037495985503670351766e-80,-110,0.000029544056353423638726126207694967664817804653619877219215149740672331236137983942,0.000029544056353423638726126207694967664817804653619877219215149740672331236137983942,184.41982742461698014519483124476653903456529591532118035230190974954169417143938,184.41982742461698014519483124476653903456529591532118035230190974954169417143939
-100,0.000034394284420437788272556259740904933321139323461409788046491624252692733519550249,214.69590774305736586028139614392946106122847878772044687865172229391932122802414,-100,9552119.0763343992591068633102676639096444566841808915316517234198952801175379388,9552119.0763343992591068633102676639096444566841808915316517234198952801175379388,0.0,1.0,19104238.152668798518213726620535327819288913368361783063303446839790560235075878,8.0964080204010418362997048713753745979212503416590137984597220032830548154647754e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,9552119.1063095827535663288987595446260169012055778107643812413108762048464945937,1.2567279271162179975925176204764865646016551711998590886685565739998989452087593e-88,1.349472484776496036949598374864983886802563972833564404178381197841017842073636e-78,1.9084422900202407368575980650413006310720843166728023939699375950159654190658565e-78,-100,0.000034394284420437788272556259740904933321139323461409788046491624252692733519550249,0.000034394284420437788272556259740904933321139323461409788046491624252692733519550249,214.69590774305736586028139614392946106122847878772044687865172229391932122802414,214.69590774305736586028139614392946106122847878772044687865172229391932122802414
-90,0.000040040696648625047558403852400035155310517058402682789706812479926738673628287333,249.94192664559956043714123799167970205889844641886114512708565901625806798024258,-90,10159026.346621693815241180315368523649932437339365268349131776584513104843402673,10159026.346621693815241180315368523649932437339365268349131776584513104843402673,0.0,1.0,20318052.693243387630482360630737047299864874678730536698263553169026209686805347,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-85,10159026.375638004877837553293805127314308095663480993718675909099355223890880201,0.0,5.0162432510636692104895030336154094150026215734498125855810727811460117560880584e-79,7.0940392378167474435128292161934983082036331756176514185277897346741658441773144e-79,-90,0.000040040696648625047558403852400035155310517058402682789706812479926738673628287333,0.000040040696648625047558403852400035155310517058402682789706812479926738673628287333,249.94192664559956043714123799167970205889844641886114512708565901625806798024257,249.94192664559956043714123799167970205889844641886114512708565901625806798024258
-80,0.000046613994985679472783022231383431073606451778704232461816858455383026693304538973,290.97375147115777240235876470881665527178721427632864696815200030994210321528084,-80,10804495.146599236874929186941671295226597500064244750163496148572116214739086662,10804495.146599236874929186941671295226597500064244750163496148572116214739086662,0.0,1.0,21608990.293198473749858373883342590453195000128489500326992297144232429478173323,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-85,10804495.175172598665600504404454223676827861871874512827744196022765952638444436,0.0,7.5529626261746278413772472207538431140376303045737784458554931791591722589707149e-79,1.0681502182033267833188441580459141378973313109532458707851846364678939166319381e-78,-80,0.000046613994985679472783022231383431073606451778704232461816858455383026693304538973,0.000046613994985679472783022231383431073606451778704232461816858455383026693304538973,290.97375147115777240235876470881665527178721427632864696815200030994210321528084,290.97375147115777240235876470881665527178721427632864696815200030994210321528084
-70,0.00005426633505196289769840713491534074016336143317879951358628512993793085037627369,338.74116761524906642313476821012538728859130453997538079872255838309932342057648,-70,11490975.481096809467859003548430136608714005150161509028853533621132378399345505,11490975.481096809467859003548430136608714005150161509028853533621132378399345505,0.0,1.0,22981950.962193618935718007096860273217428010300323018057707067242264756798691009,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,11490975.509750372375755278340470187832624107364974832821598695309459041295983407,0.0,1.1794476591859770135406245750439049408850798329912149699313383530239803550948517e-78,1.6679908757300086547324385359363337871979841212348936260032262317208070924482778e-78,-70,0.00005426633505196289769840713491534074016336143317879951358628512993793085037627369,0.00005426633505196289769840713491534074016336143317879951358628512993793085037627369,338.74116761524906642313476821012538728859130453997538079872255838309932342057648,338.74116761524906642313476821012538728859130453997538079872255838309932342057648
-60,0.000063174847829477426977401100270207583257280472925592095820572488474990986749292741,394.34986160722490742952294127881172131620779134537974950075744503966030675529882,-60,12221073.030121930711098402583103731435413176382596356029444773861234517742307828,12221073.030121930711098402583103731435413176382596356029444773861234517742307828,0.0,1.0,24442146.060243861422196805166207462870826352765192712058889547722469035484615656,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,12221073.059405987699917067843771794737348661761877751455774296421586397444244976,0.0,6.1334043612836194392832580934415186113007507787393453170126124706703415856200831e-79,8.6739436312455851389748216090640421179784913132839229572010477556979942807935158e-79,-60,0.000063174847829477426977401100270207583257280472925592095820572488474990986749292741,0.000063174847829477426977401100270207583257280472925592095820572488474990986749292741,394.34986160722490742952294127881172131620779134537974950075744503966030675529882,394.34986160722490742952294127881172131620779134537974950075744503966030675529882
