voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,1.6083881651015407e-05,100.39876186651315,-150,7020026.6148523735,781.2429524777051,7019245.3718998954,8985.7151256064735,inf,2.842170943040401e-14,3.3881317890172014e-21,9927816.9084221367,0.0,1.6077746776921858e-13,2.2737367544323206e-13,-150,1.6083881651015403e-05,1.6083881651015407e-05,100.39876186651313,100.39876186651315
-140,1.87246583508879e-05,116.88301092938764,-140,7466048.388773785,767.37851764893298,7465281.0102561358,9729.290326823324,inf,2.7000623958883807e-13,4.0657581468206416e-20,10558586.944509329,0.0,3.2155493553843715e-13,4.5474735088646412e-13,-140,1.872465835088794e-05,1.87246583508879e-05,116.88301092938791,116.88301092938764
-130,2.179888845631487e-05,136.07296164990555,-130,7940410.1042957241,757.57293575880976,7939652.531359965,10481.380378698917,9.8775161553998774e+19,2.842170943040401e-14,3.3881317890172014e-21,11229435.711407619,1.1368683720419603e-13,0.0,0.0,-130,2.1798888456314873e-05,2.179888845631487e-05,136.07296164990558,136.07296164990555
-120,2.537773895840883e-05,158.41285242452454,-120,8444912.2440944854,752.21012750649129,8444160.033966979,11226.79944776682,1.0505094312366814e+20,1.4210854715202004e-13,2.0328790734103208e-20,11942909.476026103,1.1368683727062463e-13,1.6077746776921858e-13,2.2737367544323206e-13,-120,2.5377738958408852e-05,2.537773895840883e-05,158.4128524245247,158.41285242452454
-110,2.954405635342362e-05,184.41982742461687,-110,8981469.7072461862,751.74962552860711,8980717.957620658,11947.42159123883,1.1172547863559792e+20,8.526512829121202e-14,1.3552527156068805e-20,12701716.314522885,1.1368683732338801e-13,1.6077746776921858e-13,2.2737367544323206e-13,-110,2.9544056353423634e-05,2.954405635342362e-05,184.41982742461695,184.41982742461687
-100,3.4394284420437705e-05,214.69590774305686,-100,9552119.0763343982,756.73842577644507,9551362.3379086219,12622.748827025041,5.9412051133906166e+19,5.115907697472721e-13,8.131516293641283e-20,13508736.389546178,2.273736747297184e-13,8.0388733884609286e-13,1.1368683772161603e-12,-100,3.4394284420437787e-05,3.4394284420437705e-05,214.69590774305738,214.69590774305686
-90,4.004069664862499e-05,249.9419266455992,-90,10159026.346621696,767.82480942941697,10158258.521812266,13230.917029329948,1.2637375803475989e+20,3.694822225952521e-13,5.421010862427522e-20,14367032.880933259,1.1368683739690258e-13,1.6077746776921858e-13,2.2737367544323206e-13,-90,4.004069664862505e-05,4.004069664862499e-05,249.94192664559958,249.9419266455992
-80,4.661399498567945e-05,290.97375147115764,-80,10804495.146599237,785.77445771359976,10803709.372141523,13750.12262174762,inf,1.7053025658242404e-13,2.710505431213761e-20,15279863.611323757,0.0,1.6077746776921858e-13,2.2737367544323206e-13,-80,4.6613994985679476e-05,4.661399498567945e-05,290.9737514711578,290.97375147115764
-70,5.426633505196292e-05,338.7411676152492,-70,11490975.481096808,811.48923496398208,11490163.991861844,14160.35479707483,1.4294261127309437e+20,1.7053025658242404e-13,2.710505431213761e-20,16250693.410786064,1.1368683743812984e-13,3.2155493553843715e-13,4.5474735088646412e-13,-70,5.426633505196289e-05,5.426633505196292e-05,338.741167615249,338.7411676152492
-60,6.317484782947733e-05,394.34986160722434,-60,12221073.030121932,846.0290769322097,12220227.001045,14445.216320976609,5.06748997367064e+19,5.684341886080801e-13,9.486769009248164e-20,17283207.267364401,3.4106051234760112e-13,8.0388733884609286e-13,1.1368683772161603e-12,-60,6.317484782947743e-05,6.317484782947733e-05,394.3498616072249,394.34986160722434
