voltage,current,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,6.135241578813951e-11,0.00019148694066210836,-150,92902.876442784531,0.077442896949789397,92902.798999887586,1199630.6969639671,inf,4.255493527005605e-18,1.370017889540952e-24,131384.50784890345,0.0,0.0,0.0,-150,6.135241578814088e-11,6.135241578813951e-11,0.00019148694066211262,0.00019148694066210836
-140,7.49360304129735e-11,0.0002338827416135253,-140,113471.82952821537,0.063481987834872827,113471.76604622754,1787464.9707468897,1.1563327130263452e+22,1.6263032587282567e-19,5.169878828456423e-26,160473.40026611515,1.3877787807812284e-17,0.0,0.0,-140,7.493603041297345e-11,7.49360304129735e-11,0.00023388274161352513,0.0002338827416135253
-130,9.152709105472624e-11,0.0002856650781982717,-130,138594.8055592305,0.052068833792147294,138594.75349039672,2661761.2776288553,2.8246959300816834e+22,1.1655173354219173e-17,3.7352374535597656e-24,196002.65369633966,6.9388939039067384e-18,9.8130778667735948e-18,1.3877787807814457e-17,-130,9.152709105472251e-11,9.152709105472624e-11,0.00028566507819826004,0.0002856650781982717
-120,1.1179145523292171e-10,0.0003489121574061227,-120,169280.07777670649,0.042745384875576366,169280.0350313216,3960195.4285696195,inf,2.3852447794681098e-18,7.625571271973224e-25,239398.18183139828,0.0,9.8130778667735948e-18,1.3877787807814457e-17,-120,1.1179145523292094e-10,1.1179145523292171e-10,0.0003489121574061203,0.0003489121574061227
-110,1.3654240303549248e-10,0.0004261623066026607,-110,206759.15389802906,0.035137458343288512,206759.11876057071,5884294.5291608274,4.2139511518217411e+22,9.161508357502512e-18,2.920981538077879e-24,292401.59958738298,6.9388939039071282e-18,1.962615573354719e-17,2.7755575615628914e-17,-110,1.365424030354954e-10,1.3654240303549248e-10,0.00042616230660266985,0.0004261623066026607
-100,1.6677327690447918e-10,0.000520515845519598,-100,252536.20084590898,0.028939721390301112,252536.17190618761,8726283.0709401444,inf,5.204170427930421e-18,1.6543612251060553e-24,357140.12022646272,0.0,4.9065389333867974e-18,6.9388939039072284e-18,-100,1.6677327690448084e-10,1.6677327690447918e-10,0.0005205158455196032,0.000520515845519598
-90,2.0369734795616917e-10,0.000635759512971814,-90,308448.41224847827,0.023903437070960341,308448.3883450412,12903935.586033531,1.2572952805882247e+23,8.348356728138384e-18,2.68833699079734e-24,436211.92789424676,3.4694469519536042e-18,1.4719616800160393e-17,2.0816681711721685e-17,-90,2.0369734795617186e-10,2.0369734795616917e-10,0.0006357595129718223,0.000635759512971814
-80,2.487965088111517e-10,0.0007765184419823712,-80,376739.74147041189,0.019826481611937403,376739.7216439303,19001845.554058325,1.5356639235321988e+23,6.288372600415926e-18,2.016252743098005e-24,532790.45187239081,3.4694469519536096e-18,9.8130778667735948e-18,1.3877787807814457e-17,-80,2.487965088111537e-10,2.487965088111517e-10,0.0007765184419823775,0.0007765184419823712
-70,3.0388074714846815e-10,0.0009484417826106997,-70,460150.95934050664,0.016545232475500174,460150.94279527414,27811695.001680292,1.8756641518092782e+23,1.0625181290357943e-17,3.412120026781239e-24,650751.72743833566,3.4694469519536119e-18,1.4719616800160393e-17,2.0816681711721685e-17,-70,3.0388074714847157e-10,3.0388074714846815e-10,0.0009484417826107103,0.0009484417826106997
-60,3.71160786866502e-10,0.0011584294221800937,-60,562029.65090854012,0.013928001612556251,562029.63698053849,40352497.547233485,4.5818827368039886e+23,4.9873299934333204e-18,1.6026624368214911e-24,794829.95477067388,1.7347234759768067e-18,7.3598084000801965e-18,1.0408340855860843e-17,-60,3.711607868665036e-10,3.71160786866502e-10,0.0011584294221800987,0.0011584294221800937
