voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-4.937039751759286e-05,-112.83129578105157,-27.505722741040245,-150,65969414.788975067,149.37612952975678,65969265.412845537,441632.91013530706,8.950141908341622e+20,7.531752999057062e-13,3.510081114654895e-12,1.4501204056993622e-18,8.4893531115151802e-13,-1212073.0360118186,4.4447046553442787e-12,6.8212102632969618e-12,-150,-4.937039751759141e-05,-4.937039751759286e-05,-112.83129578105232,-112.83129578105157,-27.505722741036735,-27.505722741040245
-140,-2.9671596776120526e-05,-68.46969818401924,-16.09218784427958,-140,88146951.351355419,98.61327400381353,88146852.738081411,893864.97144336405,2.3159028421919638e+21,4.263256414560601e-13,5.577760475716786e-13,1.3552527156068805e-19,-4.7850161891804343e-13,-672457.53253336425,6.2479295868856217e-13,9.2370555648813024e-13,-140,-2.967159677612066e-05,-2.9671596776120526e-05,-68.46969818401881,-68.46969818401924,-16.092187844280136,-16.09218784427958
-130,-1.7498441698536796e-05,-40.69427024816423,-9.280061404546359,-130,118234623.36944109,65.303805861859473,118234558.06563523,1810531.8948722365,1.6826358134960179e+21,9.166001291305292e-13,7.442935157087049e-13,6.539094352803199e-19,9.2421856551270695e-13,-320759.84188488219,2.280166955566681e-12,3.709033080667723e-12,-130,-1.749844169853745e-05,-1.7498441698536796e-05,-40.69427024816515,-40.69427024816423,-9.280061404547103,-9.280061404546359
-120,-1.0078300486703676e-05,-23.54366840993746,-5.27446759916711,-120,159012563.99742803,43.466203226139214,159012520.53122482,3658303.5138850785,3.9321267165178846e+21,2.8421709430404007e-13,7.300826609935029e-13,2.591920818598159e-19,-2.9721410144385259e-13,-141202.14724931208,1.1595787507884391e-12,1.8545165403338615e-12,-120,-1.0078300486703935e-05,-1.0078300486703676e-05,-23.543668409937176,-23.54366840993746,-5.27446759916784,-5.27446759916711
-110,-5.622332280260748e-06,-13.111247194662983,-2.9577375761355142,-110,214242632.61787078,29.170720969237305,214242603.44714981,7344440.778265493,2.9236604885309839e+21,3.552713678800501e-15,1.234568003383174e-13,6.013933925505532e-20,1.4895809012857049e-14,-60452.711442985441,8.8817841970012523e-14,8.8817841970012523e-14,-110,-5.622332280260688e-06,-5.622332280260748e-06,-13.11124719466298,-13.111247194662983,-2.957737576135391,-2.9577375761355142
-100,-2.9835512719312514e-06,-6.853403878196131,-1.6390359329113835,-100,289014783.19682097,19.835764705355352,289014763.36105627,14570387.756151969,3.180412937555217e+21,7.549516567451064e-13,7.083222897108499e-14,2.0752307207730358e-19,7.5803313258317729e-13,-25872.730810321653,7.921515891693238e-13,1.0729195309977513e-12,-100,-2.983551271931459e-06,-2.9835512719312514e-06,-6.853403878196886,-6.853403878196131,-1.6390359329113127,-1.6390359329113835
-90,-1.434624297365051e-06,-3.133861501043622,-0.8958282822111414,-90,390215703.59792185,13.765579092969167,390215689.83234274,28347205.806781229,1.5472408002709779e+22,6.799005802804459e-13,1.1340928196545974e-12,3.271664758769735e-19,6.8761529814619208e-13,-11201.794515270527,1.2488698204273284e-12,2.1085355683680973e-12,-90,-1.4346242973647239e-06,-1.434624297365051e-06,-3.133861501044302,-3.133861501043622,-0.8958282822100073,-0.8958282822111414
-80,-5.213673804961968e-07,-0.9192581594361782,-0.4719872372302234,-80,527162889.50482363,9.8464912727160385,527162879.65833235,53538146.219207682,7.4703029918273372e+21,5.1958437552457326e-14,2.6567636979279996e-13,1.4431323838845142e-19,-5.2322950421055136e-14,-4926.6610241267053,4.4140233553426788e-13,6.5369931689929217e-13,-80,-5.213673804960525e-07,-5.213673804961968e-07,-0.9192581594361262,-0.9192581594361782,-0.4719872372299577,-0.4719872372302234
-70,3.5925692031563314e-08,0.4272821346591602,-0.21010300439706953,-70,712462555.79870915,7.3473328186464251,712462548.45137632,96968869.300514936,6.3918849783243127e+21,3.2529534621517087e-13,5.940803404769213e-13,1.8130475538182282e-19,-3.2898434507185558e-13,-2202.5052926171488,5.9793672602138459e-13,9.9209529480503988e-13,-70,3.592569203138201e-08,3.5925692031563314e-08,0.4272821346594855,0.4272821346591602,-0.2101030043976636,-0.21010300439706953
-60,4.1127510877989474e-07,1.2868810066308027,-0.0021672196101008012,-60,963170407.94655192,5.788312250998727,963170402.15823972,166399179.2737796,1.3910135888346519e+22,2.460254222569347e-13,4.903855099769316e-13,1.5685991391965574e-19,2.4808704209792252e-13,-1000.1887711148987,5.3281600575454008e-13,8.2867046558021684e-13,-60,4.112751087800516e-07,4.1127510877989474e-07,1.2868810066305567,1.2868810066308027,-0.0021672196096104157,-0.0021672196101008012
-50,7.254792319277834e-07,1.8793307735661569,0.2566409739433766,-50,1302362195.9436398,4.8548632112650605,1302362191.0887766,268259297.79477257,1.2174739435862052e+22,4.3920422854171193e-13,2.3792079417717105e-13,2.550627962419512e-19,-4.4337405318290201e-13,-461.05914453162796,8.1499844166593488e-13,1.3145040611561853e-12,-50,7.254792319280384e-07,7.254792319277834e-07,1.879330773566596,1.8793307735661569,0.2566409739436145,0.2566409739433766
-40,1.0970095967474667e-06,2.323283480320898,0.7337277770550372,-40,1761258724.1772928,4.3410442331521413,1761258719.8362486,405722363.00352061,4.2426213054476722e+22,4.796163466380676e-13,8.40327807338781e-13,2.5029823591364575e-19,-4.8987371234140986e-13,-215.88698865147362,8.3876590499462026e-13,1.2523315717771766e-12,-40,1.0970095967472164e-06,1.0970095967474667e-06,2.3232834803213778,2.323283480320898,0.7337277770541969,0.7337277770550372
-30,1.7135575428054698e-06,2.6697612201911403,1.78561391563926,-30,2382101070.4345989,4.1123558210787197,2382101066.3222432,579254610.75733125,2.3397744834007473e+22,7.793765632868599e-13,3.6637359812630166e-13,7.369186641112413e-20,8.1311953697982275e-13,-103.08950752155802,9.8908228348529825e-13,1.6395773627664312e-12,-30,1.7135575428053961e-06,1.7135575428054698e-06,2.669761220190361,2.6697612201911403,1.7856139156396265,1.78561391563926
-20,2.955142398708636e-06,2.91366770188392,4.2064154536517435,-20,3222040882.4866056,4.0813161839847591,3222040878.4052896,789461227.02524674,2.1428971891798923e+22,5.6710192097853e-13,1.0276224315930449e-12,3.1213164106320967e-19,6.177280909014371e-13,-50.74591988516012,1.3617794862444168e-12,2.1942447858691594e-12,-20,2.955142398708948e-06,2.955142398708636e-06,2.913667701883353,2.91366770188392,4.206415453652771,4.2064154536517435
-10,5.565823646292137e-06,2.991475230296487,9.586672872461804,-10,4358404139.3360062,4.1914206325995078,4358404135.1445856,1039839357.9107176,5.927715300203316e+22,1.148858785882112e-12,8.72191208145523e-13,5.082197683525802e-20,-1.3651302310790925e-12,-26.349617724316523,1.4854528500252055e-12,2.4797941478027496e-12,-10,5.565823646292086e-06,5.565823646292137e-06,2.991475230297636,2.991475230296487,9.586672872460932,9.586672872461804
0,1.0653286904762986e-05,2.798538396351441,20.3009471547482,0,5895813302.9412937,4.4066101252488821,5895813298.5346832,1337947568.6218786,3.8023838901431662e+22,6.199485369506874e-13,7.389644451905042e-13,1.5585406229479126e-19,-8.8018481392282411e-13,-15.011958230814081,1.1293671453681683e-12,1.7816859099184512e-12,0,1.065328690476283e-05,1.0653286904762986e-05,2.798538396352061,2.798538396351441,20.300947154747462,20.3009471547482
10,1.8950818141219916e-05,2.2909987326844465,37.9042491620221,10,7975824004.1408834,4.7043603365153084,7975823999.4365234,1695410945.0826778,1.482329546416382e+23,3.126388037344441e-13,3.268496584496461e-13,2.574980159653073e-19,-5.9863225487788441e-13,-9.8374045309972598,9.5583948346102045e-13,1.5480949855373183e-12,10,1.8950818141220173e-05,1.8950818141219916e-05,2.290998732684759,2.2909987326844465,37.904249162022424,37.9042491620221
20,2.962478321735738e-05,1.616718579687499,60.563434424522484,20,10789964079.490147,5.0711504046168452,10789964074.418997,2127715255.6285481,3.7279029029410929e+23,1.170175067954915e-13,6.465938895416912e-13,2.744386749103933e-19,-3.5260683262094972e-13,-7.6034302940785876,8.6286262060194442e-13,1.3142820165512603e-12,20,2.9624783217357106e-05,2.962478321735738e-05,1.616718579687616,1.616718579687499,60.56343442452184,60.563434424522484
30,4.0795228302479526e-05,1.0214657362530233,84.20297686347078,30,14597376250.096369,5.4994961429345004,14597376244.596872,2654311571.5883183,5.1014428616798193e+23,6.661338147750939e-16,1.7053025658242404e-13,8.131516293641283e-20,-5.3290705182007514e-15,-6.7935386473880648,3.6867656597484458e-13,5.1825210789502307e-13,30,4.0795228302479445e-05,4.0795228302479526e-05,1.021465736253024,1.0214657362530233,84.20297686347061,84.20297686347078
