voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.040631788062335400262196346255748269074212638532913394348406493180278493007478607,-253632.24910552237970865624379231802723549772036509272528584882451906607911041797,0.6132607321030813414623105346157011037078074957126526976475587139089142524423431,-150,485758364775.57712762945616050652388308582546283754365357791836941729564927011548,781.24295247770493064569826467169907838495986623149818605497898322366727900355243,485758363994.3341751517512298608256184141263844525837873464201833623166660464482,621776315.8502728044950910632929579494558073962709808420609122388980874230431694,971516729551.15425525891232101304776617165092567508730715583673883459129854023097,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,781.24641262531118189453025093118324041996688547492117714311868422666260259579008,8.470396265008021784773135827105390022511081420817178498483978997799630107607165e-77,6.248458406140467169698309429038711093062398599931333887671082382507089414250124e-77,8.4190539631157000551904405254648215407481889393490172726602078978087411750982785e-77,-150,-0.040631788062335400262196346255748269074212638532913394348406493180278493007478607,-0.040631788062335400262196346255748269074212638532913394348406493180278493007478607,-253632.24910552237970865624379231802723549772036509272528584882451906607911041797,-253632.24910552237970865624379231802723549772036509272528584882451906607911041797,0.6132607321030813414623105346157011037078074957126526976475587139089142524423431,0.6132607321030813414623105346157011037078074957126526976475587139089142524423431
-140,-0.036897407567386889481767783689512306271700974606208147300721088291522306931832632,-230321.70723787728514276308244458553542183519018429307430151797823171568347057895,0.81106192914939660495294541509569018361663737721726464138790971567786753449544059,-140,442946802500.17458010704142523469655266675200003983666461831410744124809179086954,767.37851764893297967438103225507201025853748080479891022718931270183291336695119,442946801732.79606245810844556031552041167998978129918381351519721405877908903663,577220748.70855030688554543867036306307375116482656091729992505185104461019783807,885893605000.34916021408285046939310533350400007967332923662821488249618358173908,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,1.1596417737553575546783431456397020908480957520605358305085539327618958720066736e-80,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,767.38431288970890382970927515755213338236901276110229270330215225870954205894812,8.1185443909099914004110228636840382490853701816172226132068764706861400235824422e-77,1.6390955071679512210384486170027479511168449924264387312232584974889526595321455e-76,2.1733426921113436842872463247991683431987277329726103771781154137033897090360203e-76,-140,-0.036897407567386889481767783689512306271700974606208147300721088291522306931832632,-0.036897407567386889481767783689512306271700974606208147300721088291522306931832632,-230321.70723787728514276308244458553542183519018429307430151797823171568347057895,-230321.70723787728514276308244458553542183519018429307430151797823171568347057895,0.81106192914939660495294541509569018361663737721726464138790971567786753449544061,0.81106192914939660495294541509569018361663737721726464138790971567786753449544059
-130,-0.033220109898413608517385038479472791404107395356468635597257534601320816737996414,-207367.53816669420285338048930165882350667478361491701293968984326567775999260861,1.0594000674226017951184795823456155690476302209318335266660006138830785458815313,-130,407091395379.03881821546333099979818787850415771789823854320632350111019909126573,757.57293575880964050435109355228119995461490787785388045100698953241936124226936,407091394621.46588245665369049544709432622295776328333066535244305010320955884637,537362643.4678304127973779145328411118986084131856857919232594326435949412512065,814182790758.07763643092666199959637575700831543579647708641264700222039818253146,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,757.58147553434446355265998508907770447106767503393828314192249214569851098561746,1.7747753988001939553618385501342825472420174728596813790277651570375116665637913e-76,3.074723855447668511716292199376836127296574970828483284069085592379465813829355e-76,3.9757635520880420721015366318116579549030023213591221982888758545572055324400079e-76,-130,-0.033220109898413608517385038479472791404107395356468635597257534601320816737996414,-0.033220109898413608517385038479472791404107395356468635597257534601320816737996414,-207367.53816669420285338048930165882350667478361491701293968984326567775999260861,-207367.53816669420285338048930165882350667478361491701293968984326567775999260861,1.0594000674226017951184795823456155690476302209318335266660006138830785458815313,1.0594000674226017951184795823456155690476302209318335266660006138830785458815313
-120,-0.029622607017315698371490675282884206935608774089937292901785403211113285596442661,-184911.52104289955221479926909045556300685235662977973991499317045919317988762447,1.3648798802022235722403252466918956554831585106053844412121095362847217844445021,-120,377363263978.20916683031484326266061784663222106970593901846246162570004754999725,752.21012750649116141170468960901910142162500907309284501811646962253512645704458,377363263225.99903932382368185095592823761311964808092994536961660758357792746212,501672671.2110808805158538109378551288010762471304264217797090436710002213185664,754726527956.4183336606296865253212356932644421394118780369249232514000950999945,0.0,0.0,0.0,752.22169528767181708922939216711861060071390338955515180773083370280954385751118,6.2823217253504465320293881647077613225013953066349148771524647892555741960606635e-77,4.7876566586554702846853265047876245872212588215476394719257124217539129475767854e-76,6.7421208125006646100534927425146148500285477730985448883798738150381516624405712e-76,-120,-0.029622607017315698371490675282884206935608774089937292901785403211113285596442661,-0.029622607017315698371490675282884206935608774089937292901785403211113285596442661,-184911.52104289955221479926909045556300685235662977973991499317045919317988762447,-184911.52104289955221479926909045556300685235662977973991499317045919317988762447,1.3648798802022235722403252466918956554831585106053844412121095362847217844445021,1.3648798802022235722403252466918956554831585106053844412121095362847217844445021
-110,-0.026131712604398378983769815630020087974397719916230503405657169412856204419111312,-163121.03696805020899999869488947868197815728842368824383359867050512944822458045,1.7323213686840034532668539924786995084496780717412128061765622909081720297773596,-110,353047774280.09492216471645507272627883126357601816636965145480352632677094249367,751.74962552860700734221964380413018415454548725116661979232573228358027134632353,353047773528.3452966361094477305066350271333918636208824002881837340010386589134,469634785.69323221618582424173579578085611836989971707035158620388393509098059392,706095548560.18984432943291014545255766252715203633273930290960705265354188498735,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,751.76429121685785491981868992349730973537584266592952648140629481199335095993002,5.9624551690356801562733870772434546448184336834119894497522188459296952855267675e-77,1.2537650829935399256476694770010845981291359390582768071518217250910153548879864e-76,1.6718534598413755504665934604352403106752578519122306118159767280756800538030561e-76,-110,-0.026131712604398378983769815630020087974397719916230503405657169412856204419111312,-0.026131712604398378983769815630020087974397719916230503405657169412856204419111312,-163121.03696805020899999869488947868197815728842368824383359867050512944822458045,-163121.03696805020899999869488947868197815728842368824383359867050512944822458045,1.7323213686840034532668539924786995084496780717412128061765622909081720297773596,1.7323213686840034532668539924786995084496780717412128061765622909081720297773596
-100,-0.022776083957934372024399930191212032706154421274485503383203039258726803762855402,-142174.97245382694636102542927821102371930375007670694617975129154032801051669795,2.1637276448416451341203228793939971240564835343360550163232578419484889264101142,-100,333529875048.81474802814738218722691119567823124460273438572745639978124825017572,756.73842577644501885914216498408362707887175594847156026369503396162737258861035,333529874292.07632225170236332808474621159460416573097843725589613608621428854835,440746582.55473053244829899418659820388729787602674176445325591473680424054031783,667059750097.62949605629476437445382239135646248920546877145491279956249650035145,0.0,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,0.0,756.75596158550915285292833354727847147133696699772996106254621132236885357785261,-2.1623068003282718955016388384902305043734497616521312274706478561776889999428289e-77,1.7024202228748528835126620540704915106787150647344108655887632769632555532500706e-76,2.3980597423889670987342410471722288073677062133116882392492879874518318676561793e-76,-100,-0.022776083957934372024399930191212032706154421274485503383203039258726803762855402,-0.022776083957934372024399930191212032706154421274485503383203039258726803762855402,-142174.97245382694636102542927821102371930375007670694617975129154032801051669795,-142174.97245382694636102542927821102371930375007670694617975129154032801051669795,2.1637276448416451341203228793939971240564835343360550163232578419484889264101142,2.1637276448416451341203228793939971240564835343360550163232578419484889264101142
-90,-0.019583373809024906027224601851010198557486163564744375552421204590440901355768513,-122245.93960065009748159070459858872524342534288964244356868472736136688035939184,2.6573969989925068508098678089545422287765445763533187152631051348339036771417501,-90,318281382671.98589082155699054263704116206770407550721753232343097068396431856365,767.82480942941694350642846261620591642104175460276458242759675461336382577214441,318281381904.16108139214004703620857854586178765446546292955884854308720970519982,414523441.75816087944353271224118507913334666548285479455397979168751155934641087,636562765343.97178164311398108527408232413540815101443506464686194136792863712729,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,767.84462776039746519500968715600533814337557875308401425980613641733613715798773,-1.3773237398271577569529361448409649873417237384392592133480236606988839726207495e-76,2.7123783531434249259662973782905548575776618185315464415738725913064001432746792e-76,3.5857323811812908097257586138134106578749994577077855856211313786225908756347818e-76,-90,-0.019583373809024906027224601851010198557486163564744375552421204590440901355768513,-0.019583373809024906027224601851010198557486163564744375552421204590440901355768513,-122245.93960065009748159070459858872524342534288964244356868472736136688035939184,-122245.93960065009748159070459858872524342534288964244356868472736136688035939184,2.6573969989925068508098678089545422287765445763533187152631051348339036771417501,2.6573969989925068508098678089545422287765445763533187152631051348339036771417501
-80,-0.016577184152277996834914766723638528102955440004688908805931562110280352809737342,-103481.26080516482456687270396322882346380798127769059705867011594128407483066096,3.2074201585968970039726333122718908127028725150471135659891152874941443078300095,-80,306849959083.98132425634112827541687328016309891597532404158153799304328217877818,785.7744577135996874092989831565909794690053576525544102338015991360959212794118,306849958298.20686654274144086611789012357211944696996638902712775924168304268226,390506405.58721556317778751169972982619930546926227574966185856416157614728308489,613699918167.96264851268225655083374656032619783195064808316307598608656435755635,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,785.79558844565306138403005287475895998420413168293088880553933856605163745552213,-1.5867561795708669092416017855043141129867212666830605600107607406428464978397308e-76,1.3306014421343394680312493592775351121618591537279001932100449115820131840777155e-76,1.569362735325781890606879697851714662220996318693025678600595556404001449275857e-76,-80,-0.016577184152277996834914766723638528102955440004688908805931562110280352809737342,-0.016577184152277996834914766723638528102955440004688908805931562110280352809737342,-103481.26080516482456687270396322882346380798127769059705867011594128407483066096,-103481.26080516482456687270396322882346380798127769059705867011594128407483066096,3.2074201585968970039726333122718908127028725150471135659891152874941443078300095,3.2074201585968970039726333122718908127028725150471135659891152874941443078300095
-70,-0.013774304657124266760949406987487778198322342110235514382610166488378971592874124,-85985.73047246725413096453647982066597727085450077702115749577520093493008116522,3.8037738138992177796064547718871910685715979423635402099964361902622978672023291,-70,298849561874.8650119145454494358259042263720440320101903063473058167901721789701,811.48923496398203885191956729880007765939031239976806478016013042208476392772107,298849561063.37577695056341058390633692757196637261987790657924103663004175688533,368272983.79149718965358209605378821455070374234379786174362655752916210720061354,597699123749.73002382909089887165180845274408806402038061269461163358034435794019,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,4.9416552858893077614133940865328214098640443979852379140989514180194426363920748e-83,811.51035204164440115620192540215614311882378572213272962737798362382399479179092,1.5516244982441111262062887053607000583486055503039936451398005861466741934054353e-77,1.9922068618575887561328882083465930002721875821123927904108063429667532691259297e-76,2.8132394350632127036206271216673294682303560999467202066342585738237778016964145e-76,-70,-0.013774304657124266760949406987487778198322342110235514382610166488378971592874124,-0.013774304657124266760949406987487778198322342110235514382610166488378971592874124,-85985.730472467254130964536479820665977270854500777021157495775200934930081165221,-85985.73047246725413096453647982066597727085450077702115749577520093493008116522,3.8037738138992177796064547718871910685715979423635402099964361902622978672023291,3.8037738138992177796064547718871910685715979423635402099964361902622978672023291
-60,-0.011182679750951086978946301395769460982546204959052549835236287748019614488337868,-69808.925941364062704037869844276142560785168795797015061739270877325447452141898,4.4331139540280966072814302501278856817278302027464803653765755454115506219713152,-60,293952174794.29703005136870146222183669868917005151000386162684201707905949165081,846.02907693220972927640061450963877406129099593993012585343863379849185116621846,293952173948.26795311915897218582122218905039599021900792169671616364042569315896,347449257.72551279498789007827702445866178551044530510092612528709210819799992188,587904349588.59406010273740292444367339737834010302000772325368403415811898330163,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.6867516709168837158957718482032030412335938211789612080124420840173030865551615e-80,3.2944368572595385076089293910218809399093629319901586093993009453462950909280499e-83,846.04857173200605478882391290184600672001525875877273095828324749654985721696935,-1.2021780946980035830780083892148112751184445998208784974497984256746786311249335e-76,1.2718508994503107797139769650517956886369103362859236342944646643022715854897253e-76,1.3498538902057769954886789354460609242941535811593118868109852272798568014545972e-76,-60,-0.011182679750951086978946301395769460982546204959052549835236287748019614488337868,-0.011182679750951086978946301395769460982546204959052549835236287748019614488337868,-69808.925941364062704037869844276142560785168795797015061739270877325447452141898,-69808.925941364062704037869844276142560785168795797015061739270877325447452141898,4.4331139540280966072814302501278856817278302027464803653765755454115506219713152,4.4331139540280966072814302501278856817278302027464803653765755454115506219713152
