voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.0011666121437276318,-7282.223502370229,0.0001914858890845611,-150,9171071980.0396328,0.077442896949789397,9171071979.9621906,118423668809.62312,6.0897087888954323e+21,1.1186784831807017e-10,7.193111229808306e-11,4.9873299934333204e-18,5.8350889986042883e-10,-11557.050230785733,1.3888817188087666e-10,2.2381674291693798e-10,-150,-0.0011666121437276368,-0.0011666121437276318,-7282.223502370117,-7282.223502370229,0.0001914858171534488,0.0001914858890845611
-140,-0.0007010865164495198,-4376.320795164076,0.0002338819136142034,-140,8298358500.8716803,0.063481987834872827,8298358500.808198,130719890537.4086,1.0720313159261945e+22,5.3660187404602766e-11,8.340279909844345e-11,3.5344990823027445e-17,-2.8315843725891258e-10,-14245.354193419698,1.7042610681654931e-10,2.7621567533220315e-10,-140,-0.0007010865164495552,-0.0007010865164495198,-4376.32079516413,-4376.320795164076,0.0002338818302114043,0.0002338819136142034
-130,-0.0004206626373968658,-2625.859731109233,0.0002856642737937426,-130,7508701201.1137962,0.052068833792147294,7508701201.0617275,144207209078.03802,7.6010224828326242e+21,8.640199666842818e-11,6.62269676490572e-11,3.507394027990607e-17,-8.8056701668732482e-10,-17592.022199920772,1.8761040187954746e-10,3.0542408185896264e-10,-130,-0.0004206626373968307,-0.0004206626373968658,-2625.8597311091467,-2625.859731109233,0.00028566434002071024,0.0002856642737937426
-120,-0.00025197632901272576,-1572.886646716496,0.0003489115383002589,-120,6794197681.931076,0.042745384875576366,6794197681.8883305,158945759915.54843,8.3224435719468046e+22,3.842615114990622e-11,2.224220758744941e-11,1.328147661294743e-17,-2.0038913053173338e-10,-21773.420882200669,7.5028557070790064e-11,1.2114975689314633e-10,-120,-0.0002519763290127125,-0.00025197632901272576,-1572.8866467164576,-1572.886646716496,0.0003489115605424665,0.0003489115383002589
-110,-0.00015067040477228055,-940.5152391668726,0.0004261618365400885,-110,6147697876.3498154,0.035137458343288512,6147697876.3146782,174961370748.20798,4.6988785206940213e+21,3.4788172342814505e-11,1.1698735296467033e-11,9.324138683375338e-18,2.2334878153456113e-10,-27019.645331968382,5.9460831977661338e-11,9.3325888683715164e-11,-110,-0.00015067040477228987,-0.00015067040477228055,-940.5152391669073,-940.5152391668726,0.0004261618248413532,0.0004261618365400885
-100,-8.994486267357415e-05,-561.4546157723602,0.0005205154742231495,-100,5562732526.083395,0.028939721390301112,5562732526.0544558,192217901860.92444,1.1614184655827053e+23,6.969003152335063e-11,1.6915687383808886e-11,1.657474071187215e-17,-1.3734103064279867e-10,-33633.336725925154,1.1221547689649273e-10,1.7289402895470651e-10,-100,-8.994486267359073e-05,-8.994486267357415e-05,-561.4546157724299,-561.4546157723602,0.0005205154573074621,0.0005205154742231495
-90,-5.3621642134290755e-05,-334.7181387736576,0.000635759204701599,-90,5033448480.3342657,0.023903437070960341,5033448480.3103619,210574256136.96661,2.2569766632816999e+21,7.958078640513122e-13,4.1377183797319805e-12,1.4568966692773966e-18,-1.9688979744527658e-10,-42015.834346471893,6.5041873691505831e-12,9.9357432004065771e-12,-90,-5.362164213429221e-05,-5.3621642134290755e-05,-334.7181387736584,-334.7181387736576,0.0006357592005638807,0.000635759204701599
-80,-3.1945204296310534e-05,-199.40981955511876,0.0007765181631996763,-80,4554550170.8392162,0.019826481611937403,4554550170.8193893,229720545479.78647,1.8123246939885643e+21,6.0822458181064576e-12,2.7549105900172288e-11,7.853689486941873e-18,-1.6325447388459953e-10,-52703.659937080112,3.5470609904656188e-11,5.5089745265579637e-11,-80,-3.194520429630268e-05,-3.1945204296310534e-05,-199.40981955512484,-199.40981955511876,0.0007765181907487822,0.0007765181631996763
-70,-1.904066303838018e-05,-118.85747140493754,0.0009484416067865892,-70,4121246679.6417918,0.016545232475500174,4121246679.6252465,249089681015.02628,6.5578443187522293e+20,3.0183855415089056e-11,2.6312970032027483e-11,3.594807828147251e-18,-2.844105639814886e-11,-66419.532480447102,4.022907208985811e-11,6.0362173592842794e-11,-70,-1.9040663038383773e-05,-1.904066303838018e-05,-118.85747140490736,-118.85747140493754,0.0009484415804736192,0.0009484416067865892
-60,-1.1375916521182262e-05,-71.01303172230452,0.0011584292475743715,-60,3729203872.5413017,0.013928001612556251,3729203872.5273738,267748667488.62106,2.2634135097242622e+22,2.4087398742267396e-11,1.1583835670195275e-11,1.4568966692773966e-19,-2.1574322884126398e-10,-84143.740070119253,2.949130866041371e-11,4.814836723765481e-11,-60,-1.1375916521182408e-05,-1.1375916521182262e-05,-71.0130317223286,-71.01303172230452,0.0011584292591582071,0.0011584292475743715
-50,-6.831727027236228e-06,-42.64781750316931,0.0014149087749515885,-50,3374501122.4675736,0.011869750358854854,3374501122.4557037,284294194944.8996,5.4674833389388562e+20,1.2306600183364935e-11,5.126348130712888e-12,3.2864878353466853e-19,-7.855408302561392e-12,-107213.85943323407,1.5134692983054945e-11,2.4602327119982448e-11,-50,-6.8317270272359e-06,-6.831727027236228e-06,-42.647817503157,-42.64781750316931,0.0014149087698252403,0.0014149087749515885
-40,-4.139785182827435e-06,-25.844812045100532,0.0017281735258137584,-40,3053592193.7017589,0.010287873864574618,3053592193.6914711,296814699897.95782,4.4848602684771978e+20,4.476419235288631e-12,1.018301111835318e-11,3.980207819147957e-18,-3.2382618277806962e-11,-137463.609293727,1.8408574613342125e-11,2.9332139148130487e-11,-40,-4.1397851828234545e-06,-4.139785182827435e-06,-25.844812045096056,-25.844812045100532,0.0017281735359967695,0.0017281735258137584
-30,-2.5434113776755708e-06,-15.880697108037156,0.0021107959799674296,-30,2763269900.402761,0.0091188858716549689,2763269900.3936419,303027139421.94128,3.6330444258060922e+21,5.830003146911622e-12,7.042832029374724e-12,3.1903495958333222e-18,-5.4790494354125546e-11,-177415.100895093,1.5783933997111306e-11,2.5737209238818615e-11,-30,-2.543411377678761e-06,-2.5434113776755708e-06,-15.880697108042986,-15.880697108037156,0.0021107959729245976,0.0021107959799674296
-20,-1.5928814009865563e-06,-9.948236170434523,0.002578132075699722,-20,2500634191.7678242,0.0083158707873448087,2500634191.7595081,300706234586.19861,3.3090157515855338e+20,4.6558312760680565e-12,1.2941837705671144e-11,3.4006255249892023e-18,-3.5848035202320084e-12,-230542.84987528634,1.605771871526457e-11,2.5884374504903107e-11,-20,-1.592881400989957e-06,-1.5928814009865563e-06,-9.948236170429867,-9.948236170434523,0.0025781320627578843,0.002578132075699722
-10,-1.0221082338630796e-06,-6.386499085422317,0.003148937645367106,-10,2263063351.7875609,0.0078466007967335702,2263063351.7797141,288413213621.06793,2.1691779051502502e+20,6.154188270102168e-12,1.3466450177190836e-12,5.545948222147531e-19,3.7433089373399778e-11,-301632.38269690715,7.9245926837849919e-12,1.2308543073658029e-11,-10,-1.022108233862525e-06,-1.0221082338630796e-06,-6.386499085416163,-6.386499085422317,0.003148937644020461,0.003148937645367106
0,-6.744566970715612e-07,-4.217783984320848,0.003846121150557742,0,2048188034.3603857,0.0076922424473793265,2048188034.3526933,266266702898.60452,8.33080027129634e+19,2.686739719592879e-12,1.2993269654648643e-12,8.4671530989908e-19,-1.8414773987412008e-11,-397260.54243387782,4.9800544149958225e-12,7.9730987437298673e-12,0,-6.744566970724079e-07,-6.744566970715612e-07,-4.2177839843235345,-4.217783984320848,0.003846121149258415,0.003846121150557742
10,-4.582110446258368e-07,-2.8696390502605706,0.004697663002205295,10,1853867884.9028187,0.0078466007967335702,1853867884.8949721,236263820847.69214,1.104705069422516e+20,7.58948459633757e-13,1.3418727934366714e-12,5.515243277809563e-19,8.075641271363872e-12,-526427.69365993538,2.6054219149245354e-12,4.2009173917278986e-12,10,-4.5821104462638833e-07,-4.582110446258368e-07,-2.8696390502613296,-2.8696390502605706,0.0046976630008634225,0.004697663002205295
