voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.3225609142626604,-193425.43553497066,-910031.7087701565,-150,50830932.308720015,437091.23965534702,50393841.069064669,116.29364237270224,9.6149771843966195e+17,1.4551915228366852e-10,1.1641532182693481e-10,5.551115123125783e-17,500962.68488261593,2.3283064365386963e-10,2.2730818239234667e-10,3.2014213502407074e-10,-150,-0.32256091426266037,-0.3225609142626604,-193425.4355349708,-193425.43553497066,-910031.7087701564,-910031.7087701565
-140,-0.26614170000289955,-172988.25967949777,-744160.3645513235,-140,42578341.766386487,399649.3087426264,42178692.457643859,106.53926038392545,inf,1.1641532182693481e-10,1.1641532182693481e-10,5.551115123125783e-17,448259.9731551077,-1.7462298274040222e-10,1.4551915228366852e-10,2.0372681319713593e-10,-140,-0.2661417000028995,-0.26614170000289955,-172988.25967949766,-172988.25967949777,-744160.3645513233,-744160.3645513235
-130,-0.21956883613199343,-154282.4084702592,-608154.7886861983,-130,35769381.827624545,366207.20243857335,35403174.625185974,97.675254854181645,1.4273614322374395e+18,1.7462298274040222e-10,0.0,2.7755575615628914e-17,401043.92371533404,-2.9103830456733704e-10,1.8406878575731415e-10,2.3283064365386963e-10,-130,-0.2195688361319934,-0.21956883613199343,-154282.40847025902,-154282.4084702592,-608154.7886861983,-608154.7886861983
-120,-0.18106346552476593,-137120.66746109907,-496556.5998673467,-120,30152975.569956705,336430.22090301686,29816545.349053688,89.626239548345865,1.2503068463476941e+18,2.9103830456733704e-11,5.820766091346741e-11,0.0,358808.12781480426,5.8207660913467407e-11,8.2318063497839911e-11,1.1641532182693481e-10,-120,-0.18106346552476593,-0.18106346552476593,-137120.6674610991,-137120.66746109907,-496556.59986734664,-496556.5998673467
-110,-0.14916305592985368,-121331.27617973769,-404886.97092964954,-110,25523475.43975126,310020.34609636012,25213455.093654901,82.328388317514126,1.1121736815978157e+18,5.820766091346741e-11,5.820766091346741e-11,2.7755575615628914e-17,321098.60921189864,2.9103830456733704e-11,1.0493535302416391e-10,1.4551915228366852e-10,-110,-0.1491630559298537,-0.14916305592985368,-121331.27617973775,-121331.27617973769,-404886.9709296496,-404886.97092964954
-100,-0.12266353234031187,-106756.20909123338,-329466.8777899385,-100,21712607.644027237,286713.25911487255,21425894.384912364,75.729346145544014,3.3643146640208934e+17,4.3655745685100555e-11,5.820766091346741e-11,1.3877787807814457e-17,287512.70292121131,-8.7311491370201111e-11,8.2318063497839911e-11,1.1641532182693481e-10,-100,-0.12266353234031188,-0.12266353234031187,-106756.20909123334,-106756.20909123338,-329466.87778993853,-329466.8777899385
-90,-0.10057171587540736,-93249.59402531513,-267269.4472926089,-90,18582894.121402547,266275.69479826093,18316618.426604286,69.788172500992061,9.4030836826750182e+17,2.9103830456733704e-11,0.0,0.0,257699.83327463278,-2.9103830456733704e-11,2.9103830456733704e-11,2.9103830456733704e-11,-90,-0.10057171587540736,-0.10057171587540736,-93249.5940253151,-93249.59402531513,-267269.4472926089,-267269.4472926089
-80,-0.08206616801167994,-80676.25223867309,-215798.47816181186,-80,16022289.848135361,248503.10713354201,15773786.74100182,64.475209316096041,9.0696479157842688e+17,7.275957614183426e-11,5.820766091346741e-11,0.0,231364.3665769331,8.7311491370201111e-11,9.3177721099823954e-11,1.3096723705530167e-10,-80,-0.08206616801167994,-0.08206616801167994,-80676.25223867316,-80676.25223867309,-215798.4781618118,-215798.47816181186
-70,-0.06646487575051692,-68910.34550066052,-172988.25967949786,-70,13939821.804644622,233217.62208979434,13706604.182554828,59.771734570200955,6.1067181238774042e+17,7.275957614183426e-11,5.820766091346741e-11,0.0,208270.40590666712,8.7311491370201111e-11,8.9704030003762106e-11,1.4551915228366852e-10,-70,-0.06646487575051692,-0.06646487575051692,-68910.3455006606,-68910.34550066052,-172988.2596794978,-172988.25967949786
-60,-0.05319848734378624,-57834.11666198559,-137120.6674610991,-60,12262055.937322192,220266.25739507109,12041789.67992712,55.669243588812073,9.8363647517210266e+17,5.093170329928398e-11,2.9103830456733704e-11,1.3877787807814457e-17,188247.73673036566,1.4551915228366852e-10,9.7617214960327962e-11,1.6007106751203537e-10,-60,-0.05319848734378625,-0.05319848734378624,-57834.11666198564,-57834.11666198559,-137120.66746109913,-137120.6674610991
