voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.00022293969993777363665220618849431016627123503047368053615280906953698193317352704,-0.0000041721437389879755723509050049962849893210863784208271512575945690105069265842733,-1391.6335784606505676250584766155879241031929866897459765198977090162139507041333,-150,138085036940.29336489693914101483728996392491942552562278759980789984174244276533,145644.09909366091630201007380796949847947248390488181142281332506850839894594288,138084891296.19427123602283900476348199442643995304171790578838508651667393436639,948099.08399717269660659255755510794901978169376003518994533325109743503193717686,276170073880.58672979387828202967457992784983885105124557519961579968348488553066,1.0270387349830830052504743633084567408798872242087503868914675556246474025940446e-76,2.1158612959981389332196562063860978949234200892868889393308073501913049917747946e-76,1.7501695804191298321672437389803742493268490576197717612433786272152192670555265e-83,3.0059799736975868860557853134802572571192947266337849877392713173221853325375455,1.028144121565106858308023498695043243738593736037737224820545247338558560632658e-76,1.8922069855390819902858939426634942300867229462736192496524677389526488234073068e-76,3.2745434440301744833367196602772732236940631227625199155717221347617933232327068e-76,-150,-0.00022293969993777363665220618849431016627123503047368053615280906953698193317352702,-0.00022293969993777363665220618849431016627123503047368053615280906953698193317352704,-0.0000041721437389879755723509050049962849893210863784208271512575945690105070292881468,-0.0000041721437389879755723509050049962849893210863784208271512575945690105069265842733,-1391.6335784606505676250584766155879241031929866897459765198977090162139507041331,-1391.6335784606505676250584766155879241031929866897459765198977090162139507041333
-140,-0.00020334458243411864186369065504167708511138910690393423409655587295123811930158558,-0.0000038010363652494273716890861253095818263194418053512741986886384287493897046056677,-1269.3169901697417380000749664214312575485412931534500644255638105440840541623039,-140,114419292457.49699156155784256343082879469880283372258673590502991172459770412302,147555.36627877109612204352298813215233117597687172480713835414160549065112704177,114419144902.13071279046172051990784066254647165774571501109789155758299221347189,775432.94658175087359287990442232562391752453036972391929850699023552647225403508,228838584914.99398312311568512686165758939760566744517347181005982344919540824603,4.0528843541490631848723238573927958541572305182358769641396418271845995773010944e-77,5.6135095608113890065011287108202597212254002368835829002654072556095846720555776e-77,2.3164009152606130131625284780622600358737708115555802722338834771966137358087851e-84,3.0479634346749801557512021533718791429164845433559631810333457954716467092430626,-4.0572446905116456826078797020794486341831823096423223790088296856997714816323324e-77,2.0451261231355555703071121103335457758479647426322914948530143430468379597429651e-76,3.2401719426568298853860931656464249937721321714607122459135971833561481349550698e-76,-140,-0.00020334458243411864186369065504167708511138910690393423409655587295123811930158558,-0.00020334458243411864186369065504167708511138910690393423409655587295123811930158558,-0.0000038010363652494273716890861253095818263194418053512741986886384287493896640768242,-0.0000038010363652494273716890861253095818263194418053512741986886384287493897046056677,-1269.3169901697417380000749664214312575485412931534500644255638105440840541623039,-1269.3169901697417380000749664214312575485412931534500644255638105440840541623039
-130,-0.00018547173668541455014587514923003047304574733875741471449039722662929974187113434,-0.0000034626721923532684717898410214372599085247022631989067757806153382118635212948525,-1157.7511618645098271191086750969445929391472096511853941372019164305872817746436,-130,94809508521.44146719544392922078142141208995440392510477454756665323993467352365,149506.06837966717015848741653886877069156376748281667406986548130969602841922572,94809359015.373087528273770733364882543319262840157621957873496787758624977495231,634151.57357141473218353291430926849058586904450839553634607757232486410147633591,189619017042.8829343908878584415628428241799088078502095490951333064798693470473,1.3723278533031148720720794179674815170184010707207561056876830385542599010272411e-76,3.6056003717519306310988019027191668209409301521521474782473961987953870778203133e-76,7.9787142636754448231153758688811179013429883509136653821389319770105584233413708e-83,3.0905736238269743211286088872967263927525455684062420943197634840545327188473969,1.3738033134297731747022676828331597879347703545815422724079421914757366112273661e-76,1.6465395362261581772851448469926353725973435832523710292525294822585409782944061e-76,2.6590358519611204028560428417955128138997043060146801017636909347439590179009849e-76,-130,-0.00018547173668541455014587514923003047304574733875741471449039722662929974187113442,-0.00018547173668541455014587514923003047304574733875741471449039722662929974187113434,-0.0000034626721923532684717898410214372599085247022631989067757806153382118636585276378,-0.0000034626721923532684717898410214372599085247022631989067757806153382118635212948525,-1157.7511618645098271191086750969445929391472096511853941372019164305872817746439,-1157.7511618645098271191086750969445929391472096511853941372019164305872817746436
-120,-0.00016916978907934266936439112052585163332527895272270044068649958698988331803744507,-0.0000031539117920474395904023196997163866037638133838918367245625389233327486127680018,-1055.9911896010362598508302638828370885876275388084547471825698124024457929406537,-120,78560553146.370973180436159635835075316503828455078713065138855508412640928896014,151495.66364964277239224192318996896803549746931523884275376144306840226695598608,78560401650.707323537663767393911885347535792957609397826296101746969572526629058,518566.34872437300548869411834542375544576943672992100856159439798071425232646634,157121106292.74194636087231927167015063300765691015742613027771101682528185779203,1.3730316536775489996739776291248473276661000323605419261912669718742614839859257e-76,4.5339884914245834283278347279702097748359001913290477271374443218385106966602742e-77,2.908370038049436338748507978011504267263734463397561897360320365813526134959919e-83,3.1338163160222272743018271980910518189116529828019992015882593287141878347389221,-1.374507301705130234825685426580283950200924536651116719598632627264512689256707e-76,1.497286685434390748620158073088780852327507751301744000504097663569960508933028e-76,2.2176044134476689275766376283438084039565878198176091121140293759613571289635147e-76,-120,-0.00016916978907934266936439112052585163332527895272270044068649958698988331803744504,-0.00016916978907934266936439112052585163332527895272270044068649958698988331803744507,-0.0000031539117920474395904023196997163866037638133838918367245625389233327484754648364,-0.0000031539117920474395904023196997163866037638133838918367245625389233327486127680018,-1055.9911896010362598508302638828370885876275388084547471825698124024457929406536,-1055.9911896010362598508302638828370885876275388084547471825698124024457929406537
-110,-0.00015430066984063647576316199517312498610442139685037592228608037801792475031456621,-0.000002871852405929497570988827763759281110713554243508438008541396626906381860195795,-963.175214610272959622311387679326136381222252234756186595324699724544424585878,-110,65096429745.420278083646810493501184814301566837889681479846787336648482546209731,153523.69918797903054216657471437398359573430186465282690636775422727034905538787,65096276221.721090104616268326926470440317971103587816827019880968894255275860675,424015.5108933002807018267131621036416105763124551939541800358772778958206165987,130192859490.84055616729362098700236962860313367577936295969357467329696509241946,1.48647907485034689045342983884327065501937358797507787558203869960461580290556e-76,8.8520727689718057410210106593704095603939003735471884196492960569228065982414877e-77,3.8091926162063413994228246083690498367702008901136208921179417180566536988855577e-83,3.1776976365952897585591530746619028782399095474051884356463110252464281104909026,1.4880763471824314832632605825784378884156053899401726291055477466603006163110069e-76,1.6883262299035110223647049094805553843344161286402654591785251010629631600232313e-76,2.6185792690212316225908250482323352462811278070275243438723640221798485720443589e-76,-110,-0.00015430066984063647576316199517312498610442139685037592228608037801792475031456625,-0.00015430066984063647576316199517312498610442139685037592228608037801792475031456621,-0.0000028718524059294975709888277637592811107135542435084380085413966269063820088437025,-0.000002871852405929497570988827763759281110713554243508438008541396626906381860195795,-963.17521461027295962231138767932613638122225223475618659532469972454442458587809,-963.175214610272959622311387679326136381222252234756186595324699724544424585878
-100,-0.00014073844387115237061574107326294489191783924838950752117440167130041266890512235,-0.000002613783139771814079804754360326779713484682979191756844118581778170713946327194,-878.51712517118800709806325527765903112984671928492234258544327901716272506073188,-100,53939859075.397144588203277074659733272968100081487332945164340308522918637951107,155589.80371210855541210363859569013689044452211272503042851512838015090380263988,53939703485.593432479647864971021137582831209636965220220133911793394538487047304,346679.90953445332801934933227395989852507900126905587326830600850217407623708082,107879718150.79428917640655414931946654593620016297466589032868061704583727590221,2.1374693965115548980575655305824964269459824954086395311918846172344899670771039e-78,1.0363402266113333550463622235360479485339200437323537662028444164202310163794912e-76,1.6986940045244495429858542172456573596407652618074255329715145499441834062597757e-83,3.2222240426396087880996615418276968507153549316366766311694128810452270496244961,-2.1397665416363161295291239765861744785362871177832979788006849292661970012628532e-78,9.4283619618244578666109252688255499202992479588360172467420566873956554470961324e-78,1.512401920297105195882621735601979688617521245299934301147905364438693123019738e-77,-100,-0.00014073844387115237061574107326294489191783924838950752117440167130041266890512234,-0.00014073844387115237061574107326294489191783924838950752117440167130041266890512235,-0.0000026137831397718140798047543603267797134846829791917568441185817781707139441897246,-0.000002613783139771814079804754360326779713484682979191756844118581778170713946327194,-878.51712517118800709806325527765903112984671928492234258544327901716272506073178,-878.51712517118800709806325527765903112984671928492234258544327901716272506073188
-90,-0.00012836824431848937541603141576676328391953403440822448922119834875497745475508411,-0.0000023771372027418140188410360795897236549614647769158984996655352106330167196276895,-801.29989973578028729354347488957111404301921621953292534133111904759014972934049,-90,44695360535.935544101666287610714465394733665009924201147860924449101720501343672,157693.68097326398687985928883013317644992619428452420169050410562745430288176943,44695202842.25457083767940775142563526155721508372991662365923394499609304704079,283431.52534763503353074846676749844087669894635393254803049953715762950844493709,89390721071.871088203332575221428930789467330019848402295721848898203441002687344,1.9031735348478769001569417154623408615759724084439171850442288787767604249694465e-77,2.3209702991816319930725820631276073847374250979422506222251203076078090470999023e-76,4.0408327077324027007390774561752758403575779712691789193413300657763150724664362e-83,3.2674023061153406154788389437756400529759667860217496295338803429454502988790977,-1.905218643733237076796719947416791772375718647937132987453985448384467196164659e-77,2.2103473856304406520959752076547556657773181428013007162997481524792352905515704e-76,3.304611773647336290914713852482427776659989067152441060084671779959414881246485e-76,-90,-0.00012836824431848937541603141576676328391953403440822448922119834875497745475508407,-0.00012836824431848937541603141576676328391953403440822448922119834875497745475508411,-0.0000023771372027418140188410360795897236549614647769158984996655352106330167005959541,-0.0000023771372027418140188410360795897236549614647769158984996655352106330167196276895,-801.29989973578028729354347488957111404301921621953292534133111904759014972934025,-801.29989973578028729354347488957111404301921621953292534133111904759014972934049
-80,-0.00011708529984970095990889314862977348659033076683374369927095814705801004755694235,-0.000002159438650811968526017080801573105692299693674943088975799387884566139338042852,-730.8695349797683768178356085798410733794118503894240994115554976483535310603419,-80,37035233085.146985000977845331685892711389913911341402861927347018885007123390257,159835.10375916765778721381980276132226474477355170996002883537431979729314840302,37035073250.043225833320058117866089950067649166567851151967318183510687326097108,231709.00643296736449101266344965521469255363012560424980998327353415880553213712,74070466170.293970001955690663371785422779827822682805723854694037770014246780513,2.6491882912432388855727591610453277782793233452852851983118475348840810714560014e-76,2.3317655098755000488543150029561078842013200983977959739563999369455197868538553e-76,5.018868649731328195185478369134896744393170091703757256506747533925996427585701e-84,3.3132394986148678147470612410031178389070128669711986370538888898556087612418202,-2.6520359765602739976140895530439711826985563058041265595376166096701397546136199e-76,3.2153118078553535988793983673420732434470645302603271843081623898926364164268353e-76,5.2260202288006488110766665726764352180848986167123260773899206608791589828830238e-76,-80,-0.00011708529984970095990889314862977348659033076683374369927095814705801004755694235,-0.00011708529984970095990889314862977348659033076683374369927095814705801004755694235,-0.0000021594386508119685260170808015731056922996936749430889757993878845661390731240228,-0.000002159438650811968526017080801573105692299693674943088975799387884566139338042852,-730.86953497976837681783560857984107337941185038942409941155549764835353106034214,-730.8695349797683768178356085798410733794118503894240994115554976483535310603419
-70,-0.00010679404739867905667860478966808764955389626384733938174940292855206220677062145,-0.000001958240363056487570502656871429452854835006800012203520167949926709537542244126,-666.62950739680996201151641357856356355680103393760440429870390454634638758312149,-70,30687938820.147219173891017760553906048363947062034096403573264336951786360048678,162013.90843228164965217918295120685666587053391292350703307876534731088161206122,30687776806.238786892241365581370954841507281191500183480066231258186439049167066,189415.4589386634147128960542297823028783900357370053516575219342036333744275904,61375877640.294438347782035521107812096727894124068192807146528673903572720097355,8.3699105717435701147580540478836261002239939823301072739110657232314326244420021e-78,4.7175070732203403766172947050547182657221151990733187065691980205795932724774758e-76,7.6955985962547032326177334993401750080695274739457611266436795520198611889647415e-83,3.3597429776427587787567658836916764503382195101915335737921782089376044886082406,-8.3789142584845392845926991899829418856593585420607734336813344378349418705689037e-78,1.7314874964817621874812180148369673097617383846519853143518229543402351413618386e-76,2.529529639707136599281822132441806475023685911409020166399469215309228699286844e-76,-70,-0.00010679404739867905667860478966808764955389626384733938174940292855206220677062137,-0.00010679404739867905667860478966808764955389626384733938174940292855206220677062145,-0.0000019582403630564875705026568714294528548350068000122035201679499267095375338742154,-0.000001958240363056487570502656871429452854835006800012203520167949926709537542244126,-666.62950739680996201151641357856356355680103393760440429870390454634638758312102,-666.62950739680996201151641357856356355680103393760440429870390454634638758312149
-60,-0.000097407322878397392848202689725027323959145787226867836689344694049771401815742246,-0.0000017710489592018243279738380377548517597747017177496120457452647498805385732597242,-608.03572156476500940675409107168176404637472911340026614536556518155339244470031,-60,25428477441.035219215130479488558274546278750849557927019101553746274134639883039,164229.98995666405648105529182154897869765886603389750081979449474192398248682466,25428313211.045262551073998433266452997300053190691893121600733951779392715900552,154834.55517317586606987041160887750449823770390296700433869601476150608541978156,50856954882.070438430260958977116549092557501699115854038203107492548269279766078,1.684903206914605479004058824639244851597270742086854314600516493251817357752062e-77,2.9147068873443750610678937536951348552516501229972449674454999211818997335673191e-77,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-84,3.4069203742795357113394706315312898232073123282402550808889544466875097424833418,1.6867159315935012182596103619627129064438024082794496635353589839204631038723568e-77,1.1752130017411767622561680042490504530966092852131043899301759092850067492521962e-76,1.8133225698326957455690297597338172089842708848405025288787938342763476234523238e-76,-60,-0.000097407322878397392848202689725027323959145787226867836689344694049771401815742244,-0.000097407322878397392848202689725027323959145787226867836689344694049771401815742246,-0.0000017710489592018243279738380377548517597747017177496120457452647498805385901087563,-0.0000017710489592018243279738380377548517597747017177496120457452647498805385732597242,-608.03572156476500940675409107168176404637472911340026614536556518155339244470028,-608.03572156476500940675409107168176404637472911340026614536556518155339244470031
