voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.3225609142626603,-193425.4355349707,-910031.7087701561,-150,50830932.308720015,437091.23965534702,50393841.069064669,116.29364237270224,9.6149771843966195e+17,2.9103830456733704e-11,4.656612873077393e-10,1.6653345369377348e-16,666823.8212188374,6.8840598448473871e-11,5.8497975237672741e-10,8.7311491370201111e-10,-150,-0.32256091426266015,-0.3225609142626603,-193425.43553497066,-193425.4355349707,-910031.7087701557,-910031.7087701561
-140,-0.2661417000028996,-172988.25967949777,-744160.3645513237,-140,42578341.766386487,399649.3087426264,42178692.457643859,106.53926038392545,inf,2.0372681319713593e-10,6.984919309616089e-10,2.220446049250313e-16,600398.66910824424,-0.0,1.1051794016994259e-09,1.6880221664905548e-09,-140,-0.2661417000028994,-0.2661417000028996,-172988.25967949757,-172988.25967949777,-744160.364551323,-744160.3645513237
-130,-0.21956883613199354,-154282.4084702591,-608154.7886861986,-130,35769381.827624545,366207.20243857335,35403174.625185974,97.675254854181645,1.4273614322374395e+18,2.9103830456733704e-11,1.1641532182693481e-10,2.7755575615628914e-17,540614.78813666385,3.2220565723193059e-11,2.9103830456733704e-11,2.9103830456733704e-11,-130,-0.21956883613199352,-0.21956883613199354,-154282.40847025914,-154282.4084702591,-608154.7886861985,-608154.7886861986
-120,-0.18106346552476593,-137120.66746109907,-496556.59986734664,-120,30152975.569956705,336430.22090301686,29816545.349053688,89.626239548345865,1.2503068463476941e+18,2.9103830456733704e-11,0.0,0.0,486851.0998206893,3.0805039930946227e-11,0.0,0.0,-120,-0.18106346552476593,-0.18106346552476593,-137120.6674610991,-137120.66746109907,-496556.59986734664,-496556.59986734664
-110,-0.14916305592985366,-121331.27617973773,-404886.9709296494,-110,25523475.43975126,310020.34609636012,25213455.093654901,82.328388317514126,1.1121736815978157e+18,7.275957614183426e-11,1.1641532182693481e-10,2.7755575615628914e-17,438550.8245870641,2.912180591071819e-11,2.4175457257422604e-10,3.7834979593753815e-10,-110,-0.14916305592985363,-0.14916305592985366,-121331.27617973766,-121331.27617973773,-404886.9709296493,-404886.9709296494
-100,-0.12266353234031188,-106756.20909123335,-329466.87778993853,-100,21712607.644027237,286713.25911487255,21425894.384912364,75.729346145544014,3.3643146640208934e+17,0.0,5.820766091346741e-11,1.3877787807814457e-17,395221.37343670143,8.1368329477390861e-11,2.9103830456733704e-11,2.9103830456733704e-11,-100,-0.1226635323403119,-0.12266353234031188,-106756.20909123335,-106756.20909123335,-329466.8777899386,-329466.87778993853
-90,-0.10057171587540739,-93249.59402531509,-267269.44729260897,-90,18582894.121402547,266275.69479826093,18316618.426604286,69.788172500992061,9.4030836826750182e+17,2.9103830456733704e-11,1.7462298274040222e-10,6.938893903907228e-17,356437.72870062903,2.4762142508787446e-11,2.3866915532353921e-10,3.637978807091713e-10,-90,-0.10057171587540732,-0.10057171587540739,-93249.59402531506,-93249.59402531509,-267269.4472926088,-267269.44729260897
-80,-0.0820661680116799,-80676.25223867316,-215798.47816181168,-80,16022289.848135361,248503.10713354201,15773786.74100182,64.475209316096041,9.0696479157842688e+17,1.3096723705530167e-10,1.1641532182693481e-10,6.938893903907228e-17,321849.88003352995,2.2008173617482445e-11,3.5346479275878282e-10,5.5297277867794037e-10,-80,-0.08206616801167983,-0.0820661680116799,-80676.25223867303,-80676.25223867316,-215798.47816181157,-215798.47816181168
-70,-0.06646487575051692,-68910.34550066054,-172988.25967949783,-70,13939821.804644622,233217.62208979434,13706604.182554828,59.771734570200955,6.1067181238774042e+17,5.820766091346741e-11,2.9103830456733704e-11,0.0,291194.18933521828,2.8293975052388079e-11,6.1738547623379937e-11,8.7311491370201111e-11,-70,-0.06646487575051692,-0.06646487575051692,-68910.3455006606,-68910.34550066054,-172988.2596794978,-172988.25967949783
-60,-0.05319848734378624,-57834.11666198561,-137120.66746109907,-60,12262055.937322192,220266.25739507109,12041789.67992712,55.669243588812073,9.8363647517210266e+17,1.4551915228366852e-11,0.0,0.0,264307.00451962108,1.538663996315513e-11,5.444828110592703e-11,8.7311491370201111e-11,-60,-0.05319848734378624,-0.05319848734378624,-57834.116661985594,-57834.11666198561,-137120.66746109907,-137120.66746109907
-50,-0.04178803051130456,-47336.71110158172,-106756.20909123335,-50,10930251.503678007,209519.39143840355,10720732.112239603,52.168209484759714,2.5488302945198422e+17,0.0,0.0,0.0,241136.33098778559,5.2760942907589626e-11,3.2539071653442658e-11,4.3655745685100555e-11,-50,-0.04178803051130456,-0.04178803051130456,-47336.71110158172,-47336.71110158172,-106756.20909123335,-106756.20909123335
-40,-0.031826224591730214,-37313.06725630049,-80676.25223867314,-40,9898089.6106588524,200869.46597315092,9697220.1446857005,49.276228035483868,1.4980321833129165e+18,1.4551915228366852e-11,4.3655745685100555e-11,1.3877787807814457e-17,221744.5595050955,8.111772221290143e-12,3.2539071653442658e-11,4.3655745685100555e-11,-40,-0.0318262245917302,-0.031826224591730214,-37313.06725630048,-37313.06725630049,-80676.2522386731,-80676.25223867314
-30,-0.022961641972242142,-27662.865129475314,-57834.11666198564,-30,9129885.645230595,194229.90963791663,8935655.7355926782,47.005559865885367,4.6172305217158779e+18,3.637978807091713e-11,3.637978807091713e-11,3.469446951953614e-18,206293.99421291592,2.4245997394576597e-12,3.5644767089734929e-11,5.8207660913467407e-11,-30,-0.02296164197224214,-0.022961641972242142,-27662.86512947535,-27662.865129475314,-57834.1166619856,-57834.11666198564
-20,-0.014885088214117773,-18289.52225467602,-37313.067256300485,-20,8599214.5700854678,189534.27152126568,8409680.2985642012,45.370235689119887,2.7553534536600291e+17,7.275957614183426e-12,7.275957614183426e-12,0.0,195009.76511599676,3.8248298008229429e-11,3.2539071653442658e-11,4.3655745685100555e-11,-20,-0.014885088214117773,-0.014885088214117773,-18289.522254676012,-18289.52225467602,-37313.06725630049,-37313.067256300485
-10,-0.007317659106358936,-9099.22706592222,-18289.52225467602,-10,8287894.4876882927,186735.5560986682,8101158.9315896248,44.383055165504189,1.7603229330500258e+19,0.0,7.275957614183426e-12,2.6020852139652106e-18,188122.7611540787,5.7693275210637455e-13,1.4551915228366852e-11,1.4551915228366852e-11,-10,-0.007317659106358934,-0.007317659106358936,-9099.22706592222,-9099.22706592222,-18289.522254676012,-18289.52225467602
0,1.3987300917506218e-17,2.9103830456733704e-11,2.9103830456733704e-11,0,8185288.1208212888,185805.75288549409,7999482.3679357944,44.052931589613429,inf,5.820766091346741e-11,5.820766091346741e-11,2.7974601835012436e-17,185805.75288549406,0.0,1.4257906835893972e-10,2.3283064365386963e-10,0,-1.3987300917506218e-17,1.3987300917506218e-17,-2.9103830456733704e-11,2.9103830456733704e-11,-2.9103830456733704e-11,2.9103830456733704e-11
10,0.007317659106358934,9099.22706592222,18289.522254676012,10,8287894.4876882927,186735.5560986682,8101158.9315896248,44.383055165504189,1.7603229330500258e+19,0.0,7.275957614183426e-12,2.6020852139652106e-18,188122.7611540787,5.7693275210637455e-13,1.4551915228366852e-11,1.4551915228366852e-11,10,0.007317659106358936,0.007317659106358934,9099.22706592222,9099.22706592222,18289.52225467602,18289.522254676012
20,0.014885088214117777,18289.52225467602,37313.0672563005,20,8599214.5700854659,189534.27152126568,8409680.2985641994,45.37023568911988,1.8736403484888223e+18,0.0,7.275957614183426e-12,1.734723475976807e-18,195009.76511599682,5.6247497070925528e-12,2.5204656522966648e-11,4.3655745685100555e-11,20,0.014885088214117775,0.014885088214117777,18289.52225467602,18289.52225467602,37313.06725630049,37313.0672563005
30,0.02296164197224214,27662.86512947535,57834.1166619856,30,9129885.645230595,194229.90963791663,8935655.7355926782,47.005559865885367,4.6172305217158779e+18,3.637978807091713e-11,3.637978807091713e-11,3.469446951953614e-18,206293.99421291592,2.4245997394576597e-12,3.5644767089734929e-11,5.8207660913467407e-11,30,0.022961641972242142,0.02296164197224214,27662.865129475314,27662.86512947535,57834.11666198564,57834.1166619856
40,0.0318262245917302,37313.06725630048,80676.2522386731,40,9898089.6106588524,200869.46597315092,9697220.1446857005,49.276228035483868,1.4980321833129165e+18,1.4551915228366852e-11,4.3655745685100555e-11,1.3877787807814457e-17,221744.5595050955,8.111772221290143e-12,3.2539071653442658e-11,4.3655745685100555e-11,40,0.031826224591730214,0.0318262245917302,37313.06725630049,37313.06725630048,80676.25223867314,80676.2522386731
50,0.04178803051130456,47336.71110158172,106756.20909123335,50,10930251.503678007,209519.39143840355,10720732.112239603,52.168209484759714,2.5488302945198422e+17,0.0,0.0,0.0,241136.33098778559,5.2760942907589626e-11,3.2539071653442658e-11,4.3655745685100555e-11,50,0.04178803051130456,0.04178803051130456,47336.71110158172,47336.71110158172,106756.20909123335,106756.20909123335
60,0.05319848734378624,57834.116661985594,137120.66746109907,60,12262055.937322192,220266.25739507109,12041789.67992712,55.669243588812073,9.8363647517210266e+17,1.4551915228366852e-11,0.0,0.0,264307.00451962108,1.538663996315513e-11,5.444828110592703e-11,8.7311491370201111e-11,60,0.05319848734378624,0.05319848734378624,57834.11666198561,57834.116661985594,137120.66746109907,137120.66746109907
70,0.06646487575051692,68910.3455006606,172988.2596794978,70,13939821.804644622,233217.62208979434,13706604.182554828,59.771734570200955,6.1067181238774042e+17,5.820766091346741e-11,2.9103830456733704e-11,0.0,291194.18933521828,2.8293975052388079e-11,6.1738547623379937e-11,8.7311491370201111e-11,70,0.06646487575051692,0.06646487575051692,68910.34550066054,68910.3455006606,172988.25967949783,172988.2596794978
80,0.08206616801167983,80676.25223867303,215798.47816181157,80,16022289.848135363,248503.10713354201,15773786.741001822,64.475209316096056,9.0696479157842688e+17,1.3096723705530167e-10,1.1641532182693481e-10,6.938893903907228e-17,321849.88003352995,2.2008173617482445e-11,3.0454902351566637e-10,4.9476511776447296e-10,80,0.0820661680116799,0.08206616801167983,80676.25223867316,80676.25223867303,215798.47816181168,215798.47816181157
90,0.10057171587540732,93249.59402531506,267269.4472926088,90,18582894.121402547,266275.69479826093,18316618.426604286,69.788172500992061,9.4030836826750182e+17,2.9103830456733704e-11,1.7462298274040222e-10,6.938893903907228e-17,356437.72870062903,2.4762142508787446e-11,2.3866915532353921e-10,3.637978807091713e-10,90,0.10057171587540739,0.10057171587540732,93249.59402531509,93249.59402531506,267269.44729260897,267269.4472926088
100,0.1226635323403119,106756.20909123335,329466.8777899386,100,21712607.644027237,286713.25911487255,21425894.384912364,75.729346145544014,3.3643146640208934e+17,0.0,5.820766091346741e-11,1.3877787807814457e-17,395221.37343670143,8.1368329477390861e-11,2.9103830456733704e-11,2.9103830456733704e-11,100,0.12266353234031188,0.1226635323403119,106756.20909123335,106756.20909123335,329466.87778993853,329466.8777899386
