voltage,current,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.078754398480475,-0.011601614480479177,-163866.81836192068,-150,400691025682.75256,1.6479743563141505,400691025681.10461,243141541703.92294,1.6640532140416616e+22,1.94948987508603e-11,0.0,1.3877787807814457e-17,2.0184216013015277,3.4053157471283551e-11,4.0317154051825684e-11,6.8558410684649296e-11,-150,-0.07875439848047501,-0.078754398480475,-0.011601614499974076,-0.011601614480479177,-163866.81836192068,-163866.81836192068
-140,-0.07579296024003972,-0.011071016331450016,-157704.85834229976,-140,261070535244.99939,1.6257459981247748,261070535243.37366,160585070205.39035,2.1833849765518264e+22,9.681365084612814e-12,5.820766091346741e-11,2.7755575615628914e-17,1.991195322080574,1.6909957779480888e-11,3.079813333247392e-11,4.157145461203271e-11,-140,-0.07579296024003969,-0.07579296024003972,-0.011071016341131381,-0.011071016331450016,-157704.8583422997,-157704.85834229976
-130,-0.07294334603505001,-0.010555772734436064,-151775.57420296635,-130,170100701050.19376,1.6085817861260403,170100701048.58517,105745758479.49178,4.7105818090971465e+22,2.923977032720515e-12,0.0,0.0,1.9701714838800195,5.1067727731742634e-12,3.841471690167725e-11,5.6929769925995188e-11,-130,-0.07294334603505001,-0.07294334603505001,-0.010555772731512087,-0.010555772734436064,-151775.57420296635,-151775.57420296635
-120,-0.07020131604420961,-0.010055709824418425,-146070.14401047747,-120,110829238047.37999,1.5967392140069729,110829238045.78325,69409730202.126801,1.5296754963068148e+22,5.867242455770416e-12,5.820766091346741e-11,2.7755575615628914e-17,1.9556654544434064,1.0246369638361079e-11,1.2602214656494777e-10,1.8386423633609539e-10,-120,-0.07020131604420958,-0.07020131604420961,-0.010055709818551183,-0.010055709824418425,-146070.1440104774,-146070.14401047747
-110,-0.06756278110634201,-0.009570785529886501,-140580.05931465354,-110,72210872326.792313,1.5905136166528187,72210872325.201797,45400977125.08593,6.912315059437308e+21,8.460513539754189e-12,2.9103830456733704e-11,0.0,1.9480389483722551,1.4773862338507475e-11,3.4830645596808267e-11,4.2247991563493237e-11,-110,-0.06756278110634201,-0.06756278110634201,-0.009570785538347015,-0.009570785529886501,-140580.0593146535,-140580.05931465354
-100,-0.06502379615686624,-0.009101084264936707,-135297.11149164615,-100,47049047472.957184,1.5902417866238365,47049047471.366943,29586096824.209785,2.9697544491575783e+21,1.2831850165762049e-11,2.9103830456733704e-11,2.7755575615628914e-17,1.947704456446349,2.2405016863492234e-11,1.4122771442081805e-11,1.8730690609647382e-11,-100,-0.06502379615686626,-0.06502379615686624,-0.009101084277768557,-0.009101084264936707,-135297.11149164618,-135297.11149164615
-90,-0.06258055383163258,-0.008646804978373992,-130213.37843524368,-90,30654841811.091221,1.5963059891289273,30654841809.494915,19203612603.006622,2.902115483391716e+21,8.556322317332388e-12,2.9103830456733704e-11,1.3877787807814457e-17,1.9551301629909987,1.4938237864323994e-11,2.070316027411732e-11,2.7408648267668312e-11,-90,-0.0625805538316326,-0.06258055383163258,-0.008646804986930315,-0.008646804978373992,-130213.3784352437,-130213.37843524368
-80,-0.06022937801036824,-0.008208242113363986,-125321.21112252826,-80,19973184943.506516,1.609138417193519,19973184941.897377,12412347334.508074,6.8464824359189755e+20,2.3633496201713733e-11,4.3655745685100555e-11,3.469446951953614e-17,1.9708454023639983,4.1256730338011816e-11,2.4207188689457352e-11,2.8872380181121926e-11,-80,-0.060229378010368276,-0.06022937801036824,-0.008208242136997482,-0.008208242113363986,-125321.2111225283,-125321.21112252826
-70,-0.05796671690045745,-0.007785759532541804,-120613.21922309909,-70,13013543485.41445,1.6292261331648001,13013543483.785223,7987561223.3983841,5.6524904989033352e+20,1.8653092959119988e-11,1.4551915228366852e-10,7.632783294297951e-17,1.9954467110782503,3.2558973782943482e-11,2.0020109760393899e-10,3.0039528850500652e-10,-70,-0.05796671690045738,-0.05796671690045745,-0.007785759513888711,-0.007785759532541804,-120613.21922309895,-120613.21922309909
-60,-0.05578913501165367,-0.007379757749749151,-116082.25440062858,-60,8478983933.7853785,1.6571165476115164,8478983932.1282616,5116709471.0426702,1.5148921600033242e+21,4.535286209084166e-12,7.275957614183426e-11,4.163336342344337e-17,2.0296045380918719,7.915476717858637e-12,1.1330835933464311e-10,1.6392256128872074e-10,-60,-0.055789135011653626,-0.05578913501165367,-0.007379757745213864,-0.007379757749749151,-116082.2544006285,-116082.25440062858
-50,-0.0536933028882414,-0.006990636362070929,-111721.38894827625,-50,5524488304.8193245,1.6934234921100968,5524488303.1259012,3262319396.5116868,5.4345580328308081e+20,8.237919027487273e-12,7.275957614183426e-11,4.163336342344337e-17,2.0740706824755999,1.4376157079265063e-11,1.2000571343344963e-10,1.7746528899187375e-10,-50,-0.05369330288824136,-0.0536933028882414,-0.00699063635383301,-0.006990636362070929,-111721.38894827617,-111721.38894827625
-40,-0.05167598287137522,-0.006618751802971334,-107523.88616396816,-40,3599484509.321362,1.7388339484190354,3599484507.5825281,2070056495.3853402,6.4742919643303104e+20,4.505905197571547e-12,5.820766091346741e-11,3.469446951953614e-17,2.1296865350182799,7.8625425785858789e-12,4.3474936147961686e-11,6.5589946668387356e-11,-40,-0.05167598287137518,-0.05167598287137522,-0.006618751798465429,-0.006618751802971334,-107523.8861639681,-107523.88616396816
-30,-0.049734007898351466,-0.006264369640595502,-103483.15623740203,-30,2345246904.1367483,1.7941155031903113,2345246902.3426328,1307188361.0427592,1.6239194390546701e+20,1.1705767431757774e-11,4.3655745685100555e-11,2.7755575615628914e-17,2.1973922085316677,2.0423918715401731e-11,1.1922722200411161e-11,1.3969892950771445e-11,-30,-0.049734007898351494,-0.049734007898351466,-0.006264369652301269,-0.006264369640595502,-103483.15623740207,-103483.15623740203
-20,-0.04786424818572332,-0.005927600833986733,-99592.68692658833,-20,1528047549.5254207,1.8601246047177447,1528047547.6652961,821475908.46866226,5.812412033793934e+20,2.1310357992132545e-12,1.4551915228366852e-11,6.938893903907228e-18,2.2782366507083638,3.7178807842053779e-12,3.3651141722328692e-11,4.7992701826538031e-11,-20,-0.047864248185723324,-0.04786424818572332,-0.005927600836117769,-0.005927600833986733,-99592.68692658834,-99592.68692658833
-10,-0.046063556007734645,-0.005608283528083889,-95845.9286566658,-10,995600869.28395271,1.9378157063522576,995600867.34613705,513774796.03469145,2.9471833696127438e+20,2.738490857689957e-12,2.9103830456733704e-11,1.3877787807814457e-17,2.3733888436576716,4.7774164186593464e-12,7.6096964899962056e-11,1.0988608460660299e-10,-10,-0.04606355600773463,-0.046063556007734645,-0.005608283525345398,-0.005608283528083889,-95845.92865666577,-95845.9286566658
0,-0.04432866813725462,-0.005305684214296905,-92236.09152589011,0,648685151.78236127,2.0282513902056962,648685149.75410986,319824827.88614017,4.5546841299407372e+19,1.1545528422196583e-11,2.9103830456733704e-11,1.3877787807814457e-17,2.4841502061840628,2.0141448146025389e-11,3.5663478656913995e-11,5.7724238583523046e-11,0,-0.044328668137254605,-0.04432866813725462,-0.005305684202751376,-0.005305684214296905,-92236.09152589008,-92236.09152589011
10,-0.042656018780151454,-0.005017616990355606,-88755.75607300193,10,422652546.2581237,2.1326135747095409,422652544.1255101,198185246.15538397,1.7348175534831678e+20,1.97489420650232e-12,5.820766091346741e-11,2.7755575615628914e-17,2.6119683298270191,3.4454401329854243e-12,4.0708387608721392e-11,5.9473084443317781e-11,10,-0.042656018780151427,-0.042656018780151454,-0.005017616988380711,-0.005017616990355606,-88755.75607300187,-88755.75607300193
20,-0.04104134379725334,-0.00473771836290883,-85396.04977175592,20,275381940.55371785,2.252215920593637,275381938.30150193,122271553.99964181,7.3353207765259008e+18,3.042680690734656e-11,4.3655745685100555e-11,6.938893903907228e-18,2.7584522016003734,5.3092287937283208e-11,4.2294181156044708e-11,6.3527403823537831e-11,20,-0.041041343797253334,-0.04104134379725334,-0.004737718393335637,-0.00473771836290883,-85396.04977175588,-85396.04977175592
30,-0.03947875393964939,-0.004446907294443317,-82144.71869010766,30,179429750.12814513,2.388517562014759,179429747.73962757,75121804.83060497,1.2302559322944717e+19,1.1816419370758169e-11,2.9103830456733704e-11,6.938893903907228e-18,2.9253891072679199,2.0625964169303351e-11,8.0290292099919478e-11,1.2404973576130018e-10,30,-0.039478753939649384,-0.03947875393964939,-0.004446907306259736,-0.004446907294443317,-82144.71869010763,-82144.71869010766
40,-0.037958365148063215,-0.00408655089139731,-78981.19680413412,40,116915947.89789638,2.5431383030191186,116915945.35475807,45973098.576313421,7.288954113362749e+19,1.2986955261196087e-12,8.731149137020111e-11,4.85722573273506e-17,3.1147635081474903,2.2684242424889914e-12,8.3928232663722836e-11,1.1995575713297235e-10,40,-0.03795836514806317,-0.037958365148063215,-0.004086550890098614,-0.00408655089139731,-78981.19680413403,-78981.19680413412
50,-0.0364598344380684,-0.0034741779984605163,-75863.15598913535,50,76192409.069222331,2.717875434403592,76192406.351346895,28033812.037431333,6.5890313400370289e+18,9.350983962846948e-12,5.820766091346741e-11,3.469446951953614e-17,3.3287784857005618,1.6353363846391924e-11,1.078572127692187e-11,1.4726012076415884e-11,50,-0.03645983443806836,-0.0364598344380684,-0.0034741779891095323,-0.0034741779984605163,-75863.1559891353,-75863.15598913535
