voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.029068378020133907,46.91937010912197,-181497.9076553118,0.4388461645467996,-150,486290324120.12,781.2429524777051,486290323338.87701,622457229.95369697,1.1720057302640224e+22,2.738431703619426e-11,8.731149137020111e-11,6.6185390501516395e-12,1.0408340855860843e-17,-9.936229616869241e-11,-782.48641025700704,1.0148333229347628e-10,1.6469980934630257e-10,-150,-0.029068378020133918,-0.029068378020133907,46.919370109149355,46.91937010912197,-181497.9076553119,-181497.9076553118,0.43884616454018105,0.4388461645467996
-140,-0.027545224116986747,64.10507189479354,-172007.43311240606,0.605712254408818,-140,443439771359.46112,767.37851764893298,443439770592.08258,577863155.09333789,1.469905450745111e+23,7.602807272633072e-12,2.9103830456733704e-11,1.1056378035334546e-11,3.469446951953614e-18,-4.1382008930668235e-11,-769.68271748673305,3.5451125814774132e-11,6.2897687058693919e-11,-140,-0.027545224116986743,-0.027545224116986747,64.10507189480114,64.10507189479354,-172007.43311240603,-172007.43311240606,0.6057122543977617,0.605712254408818
-130,-0.025764530095662923,81.60929763607938,-160909.71035292046,0.822056140050774,-130,407552456373.73163,757.57293575880976,407552455616.15869,537971246.24774742,1.4580465344946742e+22,5.6985527407960035e-12,1.4551915228366852e-10,1.8168799797990687e-12,2.42861286636753e-17,-2.5693225325085223e-11,-760.84929888426939,1.35202367520068e-10,1.978701646976333e-10,-130,-0.0257645300956629,-0.025764530095662923,81.60929763608507,81.60929763607938,-160909.71035292032,-160909.71035292046,0.8220561400489571,0.822056140050774
-120,-0.023766169777212416,99.19789974796683,-148453.41338082543,1.095773134781135,-120,377798694161.04169,752.21012750649129,377798693408.83154,502251538.95947969,1.4133545283944452e+22,9.180212146020494e-12,5.820766091346741e-11,3.469224907348689e-12,6.938893903907228e-18,-6.24140739091672e-11,-756.39915179417335,7.9655922570032388e-11,1.2431833340542653e-10,-120,-0.023766169777212423,-0.023766169777212416,99.19789974797601,99.19789974796683,-148453.41338082548,-148453.41338082543,1.0957731347846043,1.095773134781135
-110,-0.021600797046729167,116.59352109726802,-134954.4627146601,1.433196501847645,-110,353463158856.08606,751.74962552860711,353463158104.33643,470187342.77059555,1.8091809320588703e+22,6.110667527536862e-12,5.820766091346741e-11,4.026334821105593e-12,1.3877787807814457e-17,2.2140511646284722e-11,-756.80201677830314,5.0799809640573489e-11,8.0252249290424515e-11,-110,-0.02160079704672918,-0.021600797046729167,116.59352109726191,116.59352109726802,-134954.46271466016,-134954.4627146601,1.4331965018436186,1.433196501847645
-100,-0.019325366653276572,133.493566307724,-120768.08215216984,1.8379411893581459,-100,333930206662.9859,756.73842577644507,333930205906.2475,441275605.00229603,6.2299549515936097e+21,2.4158453015843406e-12,4.3655745685100555e-11,1.5629719740672954e-11,3.469446951953614e-18,-1.6754597709223162e-11,-762.6048758037748,7.8293526275146342e-11,1.1811884803591965e-10,-100,-0.01932536665327657,-0.019325366653276572,133.4935663077264,133.493566307724,-120768.0821521698,-120768.08215216984,1.8379411893425162,1.8379411893581459
-90,-0.01699817144256733,149.5950174208682,-106257.84395544638,2.3098458449308508,-90,318671148192.07147,767.82480942941697,318671147424.24664,415031064.74103272,1.3709214930204753e+22,1.7820411812863313e-11,2.9103830456733704e-11,4.706457445990964e-12,6.938893903907228e-18,1.624016476853285e-10,-774.4507613763567,3.8079224934793906e-11,6.7858607621928968e-11,-90,-0.016998171442567336,-0.01699817144256733,149.59501742085038,149.5950174208682,-106257.84395544641,-106257.84395544638,2.3098458449355572,2.3098458449308508
-80,-0.014673951730029267,164.62294286059065,-91765.1684068432,2.8442777824265946,-80,307233215554.5025,785.77445771359976,307233214768.72803,390994149.19705027,6.7689295287603429e+21,8.327560863108374e-12,7.275957614183426e-11,7.284395309170577e-12,1.0408340855860843e-17,-6.3209881773218513e-11,-793.09824791259518,1.7009364253531086e-10,2.5552004956352903e-10,-80,-0.014673951730029257,-0.014673951730029267,164.62294286059898,164.62294286059065,-91765.16840684312,-91765.1684068432,2.84427778241931,2.8442777824265946
-70,-0.012399634303326032,178.35830664111933,-77582.7535475097,3.4320490706166815,-70,299230003100.9292,811.48923496398208,299230002289.43994,368741802.36563522,1.6075956653292161e+22,9.663381206337363e-13,2.9103830456733704e-11,2.26840768391412e-12,5.204170427930421e-18,1.8772539078781847e-11,-819.44271181810745,3.5246105934517923e-11,5.2120086024842749e-11,-70,-0.012399634303326038,-0.012399634303326032,178.35830664111836,178.35830664111933,-77582.75354750972,-77582.7535475097,3.432049070614413,3.4320490706166815
-60,-0.010211166012497363,190.66056754298307,-63934.833093365654,4.060088261100021,-60,294333189824.24597,846.0290769322097,294333188978.21692,347899614.62261915,6.7928441806922952e+21,9.521272659185342e-12,0.0,3.319122754419368e-12,1.734723475976807e-18,1.1302159208526064e-10,-854.53999546411103,6.7158503701491345e-11,7.9262818530878576e-11,-60,-0.010211166012497365,-0.010211166012497363,190.66056754297355,190.66056754298307,-63934.833093365654,-63934.833093365654,4.06008826110334,4.060088261100021
