voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.07875485590181967,-1.696874903290009,-0.011601601789787004,-163866.6388834183,-150,400694731024.72076,1.6479743563141505,400694731023.07281,243143790126.02609,9.7176924676652471e+22,1.3999890136062731e-10,1.734723475976807e-18,1.4551915228366852e-10,2.7755575615628914e-17,1.6480343987399322,-4.2630927087061732e-10,2.0203578568396323e-10,2.9206659313274486e-10,-150,-0.0787548559018197,-0.07875485590181967,-1.69687490315001,-1.696874903290009,-0.011601601789787006,-0.011601601789787004,-163866.63888341843,-163866.6388834183
-140,-0.07579347744360043,-1.9140794446567835,-0.01107100230680399,-157704.6584515661,-140,261073320048.39963,1.6257459981247748,261073320046.7739,160586783144.19104,5.1197247211087436e+21,2.0354407048728262e-10,8.673617379884035e-18,2.0372681319713593e-10,2.7755575615628914e-17,1.6258042340027374,1.2170572535885604e-10,2.8807907126677851e-10,4.1465831636389172e-10,-140,-0.0757934774436004,-0.07579347744360043,-1.9140794448603276,-1.9140794446567835,-0.011071002306803999,-0.01107100230680399,-157704.6584515659,-157704.6584515661
-130,-0.07294393203429192,-2.163598785775067,-0.010555757216432109,-151775.35111141083,-130,170102794013.21854,1.6085817861260403,170102794011.60995,105747059602.65681,2.1203849131869812e+21,2.944204879895551e-10,5.204170427930421e-18,3.2014213502407074e-10,5.551115123125783e-17,1.6086383413438454,5.2020480978409722e-10,4.1442228173322868e-10,6.0440897252378445e-10,-130,-0.07294393203429186,-0.07294393203429192,-2.1635987860694876,-2.163598785775067,-0.010555757216432104,-0.010555757216432109,-151775.3511114105,-151775.35111141083
-120,-0.07020198150160077,-2.4513060905586763,-0.010055692639444275,-146069.89444520074,-120,110830811052.49132,1.5967392140069729,110830811050.89458,69410715338.019699,4.5156987857557447e+21,2.305533541857585e-10,1.734723475976807e-18,1.7462298274040222e-10,0.0,1.5967942174574485,4.8341993602596389e-11,2.9248267030569034e-10,4.4874326650401475e-10,-120,-0.07020198150160077,-0.07020198150160077,-2.4513060907892297,-2.4513060905586763,-0.010055692639444273,-0.010055692639444275,-146069.89444520057,-146069.89444520074
-110,-0.0675635386953066,-2.784357256923176,-0.009570766480478369,-140579.77941641927,-110,72212054556.533752,1.5905136166528187,72212054554.943237,45401720425.695908,8.3206596194033635e+21,3.030282691440789e-10,8.673617379884035e-18,3.4924596548080444e-10,6.938893903907228e-17,1.5905672010902023,1.343446291712791e-10,4.2284900075242663e-10,6.4173289425484281e-10,-110,-0.06756353869530653,-0.0675635386953066,-2.7843572572262043,-2.784357256923176,-0.00957076648047836,-0.009570766480478369,-140579.77941641893,-140579.77941641927
-100,-0.06502466101390597,-3.1715062042115223,-0.009101063098196664,-135296.7966902772,-100,47049936019.241745,1.5902417866238365,47049936017.651505,29586655573.383675,3.5687655084720291e+21,2.6704949362965635e-10,1.3877787807814457e-17,2.3283064365386963e-10,2.7755575615628914e-17,1.5902940895659876,3.0006655320213849e-10,3.5461985458550428e-10,5.1503602771507673e-10,-100,-0.06502466101390594,-0.06502466101390597,-3.171506204478572,-3.1715062042115223,-0.00910106309819665,-0.009101063098196664,-135296.79669027697,-135296.7966902772
-90,-0.06258154411740259,-3.623502157589167,-0.008646781400620376,-130213.02328686678,-90,30655509649.305225,1.5963059891289273,30655509647.70892,19204030967.792919,8.8251780196480818e+20,6.721143641641447e-10,1.734723475976807e-18,6.693881005048752e-10,9.71445146547012e-17,1.5963571538001515,5.6765555797588796e-10,9.2910413469213996e-10,1.3515499865113245e-09,-90,-0.0625815441174025,-0.06258154411740259,-3.623502158261281,-3.623502157589167,-0.008646781400620375,-0.008646781400620376,-130213.02328686611,-130213.02328686678
-80,-0.06023051561087236,-4.153590544401057,-0.008208215797518785,-125320.80910443906,-80,19973686926.396591,1.609138417193519,19973686924.787453,12412659292.06543,6.4466234731862216e+20,4.771063544239951e-10,3.469446951953614e-18,4.220055416226387e-10,5.551115123125783e-17,1.6091885935025885,5.8139495648368289e-10,6.2888676678375466e-10,9.2756735972643334e-10,-80,-0.0602305156108723,-0.06023051561087236,-4.153590544878163,-4.153590544401057,-0.008208215797518788,-0.008208215797518785,-125320.80910443864,-125320.80910443906
-70,-0.057968028306802456,-4.77814452375356,-0.007785730037509722,-120612.76247914105,-70,13013920849.159113,1.6292261331648001,13013920847.529886,7987792844.8639259,4.8028561387287137e+20,8.29381008315977e-12,3.469446951953614e-18,4.3655745685100555e-11,2.0816681711721685e-17,1.6292754787143158,2.1310951614506024e-10,3.0292790417244765e-11,3.8742346136766415e-11,-70,-0.057968028306802435,-0.057968028306802456,-4.778144523761854,-4.77814452375356,-0.007785730037509719,-0.007785730037509722,-120612.762479141,-120612.76247914105
-60,-0.05579065240105979,-5.517460501645392,-0.0073797246236590045,-116081.73337498837,-60,8479267686.5540724,1.6571165476115164,8479267684.8969555,5116880703.8802786,2.4590686852973606e+20,2.745963456618483e-10,9.540979117872439e-18,2.6193447411060333e-10,3.469446951953614e-17,1.65716522873895,-3.7568769623019804e-10,3.8001676462260227e-10,5.5651750742458095e-10,-60,-0.05579065240105983,-0.05579065240105979,-5.517460501370795,-5.517460501645392,-0.007379724623658995,-0.0073797246236590045,-116081.73337498863,-116081.73337498837
