voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.034666982402606893774659343054006283625119804849397994302722491604239681431431143,-108047.36474498661878131719460766080769816013399279700331696841850654948423474366,-111.08602610730010062770940311519847171174228370374685398500615805659683449344327,-27.080265394098868518839896749464368100898764754731070171959734964780478398488846,-150,1893163811.4281701404852458950032922478022382304788936947753226132028952970336263,149.37612952975675655797309327527621318445586416838242480868987671949365747918765,1893163662.0520406107284893370301989725260250460230295263928978045130185775399688,12673804.157250163825636715469307061282131912544848443182726001807478922387488614,3786327622.8563402809704917900065844956044764609577873895506452264057905940672525,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,0.0,4.7566397119856120788260766119330325762787345757246706065950866769287947040855555e-78,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,9494.796116065147090237075346146483517334159397061676594943422663824945629773168,-1.765148477350987341682649839316227348299198363308364992446066502822377916986946e-77,7.5865778323537564226441812381310380453150097707240646624189849143671630631324549e-77,1.0792494016447811175012927506124149939741849829720885674982097809702809902328034e-76,-150,-0.034666982402606893774659343054006283625119804849397994302722491604239681431431143,-0.034666982402606893774659343054006283625119804849397994302722491604239681431431143,-108047.36474498661878131719460766080769816013399279700331696841850654948423474366,-108047.36474498661878131719460766080769816013399279700331696841850654948423474366,-111.08602610730010062770940311519847171174228370374685398500615805659683449344327,-111.08602610730010062770940311519847171174228370374685398500615805659683449344327,-27.080265394098868518839896749464368100898764754731070171959734964780478398488851,-27.080265394098868518839896749464368100898764754731070171959734964780478398488846
-140,-0.021120702525443543604486728861111855984480752414417699786125928673072081245765508,-65828.515933278290602287676442825260176407737885690051986856018959495924350155927,-67.487645050954260372164191929719767480321629865193800588428707135943237106522984,-15.861379415011688503568713815252354889028118207660348614453421322156193100955557,-140,1761420235.6010529894818645764972838654264520616567435832765866222439848228342184,98.613274003813520533444009431745238754616388501386426665191489450646001201351548,1761420136.9877789856683440430532744336812133070403550818901599570524953721882172,17861897.938130887682813585740231649927540728355397198745280799024146803209723527,3522840471.2021059789637291529945677308529041233134871665531732444879696456684369,0.0,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,5.3976053469340278908664699142502497319475002277726758656398146688553698769765169e-79,0.0,6766.4656410936679155591458732702535902058997671261962349532082058702264427686128,2.9641628288715745176944005586699282723065550875578703336580126665426900425239564e-77,4.9099252971978777037266552555740219723296998094004616092698323982420349222975758e-77,6.4996262082581343265736046413213186788195920976101931476872805988395967491729189e-77,-140,-0.021120702525443543604486728861111855984480752414417699786125928673072081245765508,-0.021120702525443543604486728861111855984480752414417699786125928673072081245765508,-65828.515933278290602287676442825260176407737885690051986856018959495924350155927,-65828.515933278290602287676442825260176407737885690051986856018959495924350155927,-67.487645050954260372164191929719767480321629865193800588428707135943237106522984,-67.487645050954260372164191929719767480321629865193800588428707135943237106522984,-15.861379415011688503568713815252354889028118207660348614453421322156193100955557,-15.861379415011688503568713815252354889028118207660348614453421322156193100955557
-130,-0.012648269041606159068212038288032847747144116257687462111824322079040400620660463,-39422.594741032633588697079861492905933152839335940258052591404037139135349196807,-40.162278725541778125257205471763981089766962005497947126048163820264629788798489,-9.1587442272998744768453231779810971418583893123955853785797324692276125727806473,-130,1650553006.4274856757115411418013574217025779363092746692138605151158919416821959,65.303805861859464634926467294025598445898602732133680265452897160683713065234904,1650552941.1236798138520765068748901276769794904106719370801802496629947809984829,25274989.484058344997318603313826090419097719242089921577137453891907827301140503,3301106012.8549713514230822836027148434051558726185493384277210302317838833643919,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,0.0,5.9036308482090930056352014687112106443175783741263642280435472940605608029430654e-79,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,4921.1814101355268963891659716488219070182004109802998412025568694528258907317943,8.8149041419166065885616949521910181247388532690914389723546807346820669140491969e-78,1.1111836120593004173293253223472578142540792465944512380992847302608193283434746e-77,1.3445321001099521542132451689030758040636980897736729575745382112578650051135097e-77,-130,-0.012648269041606159068212038288032847747144116257687462111824322079040400620660463,-0.012648269041606159068212038288032847747144116257687462111824322079040400620660463,-39422.594741032633588697079861492905933152839335940258052591404037139135349196807,-39422.594741032633588697079861492905933152839335940258052591404037139135349196807,-40.162278725541778125257205471763981089766962005497947126048163820264629788798489,-40.162278725541778125257205471763981089766962005497947126048163820264629788798489,-9.1587442272998744768453231779810971418583893123955853785797324692276125727806467,-9.1587442272998744768453231779810971418583893123955853785797324692276125727806473
-120,-0.0074315698448943954568923599769754728954098073163751543970952169657105010599035553,-23163.574798550561982274760672459719993417470557227925343804996341165507458598522,-23.268429575044262229484883973197261328224046555801596305505507844494942412385772,-5.2128060818801323368123625882460847434071566295410241304137669287311873589732903,-120,1562250001.8643938737952206821671270969781418884299850285370661402391514824069032,43.466203226139205905700669321545295417327819964725847769605717616307743248934618,1562249958.39819064765601477646645777543284647110216506381121837063343386609916,35941717.60842699775130117566590275688683330090782182760876843248737965950189513,3124500003.7287877475904413643342541939562837768599700570741322804783029648138064,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,0.0,3.6602511258896376634938249106009505994768985919583458213869993223175476978247005e-78,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,3666.075973154616497277579556987300020475682631486541303178169956453588194211599,-2.2577687666594297603808995043606396012612517637283427841887921824977945103204408e-77,4.0988483517754492671635458680309398632074711147564336399896816621341121043893961e-77,5.3950198532278786006759441272273034507680893782279075604131089453155673271817806e-77,-120,-0.0074315698448943954568923599769754728954098073163751543970952169657105010599035553,-0.0074315698448943954568923599769754728954098073163751543970952169657105010599035553,-23163.574798550561982274760672459719993417470557227925343804996341165507458598522,-23163.574798550561982274760672459719993417470557227925343804996341165507458598522,-23.268429575044262229484883973197261328224046555801596305505507844494942412385772,-23.268429575044262229484883973197261328224046555801596305505507844494942412385772,-5.212806081880132336812362588246084743407156629541024130413766928731187358973294,-5.2128060818801323368123625882460847434071566295410241304137669287311873589732903
-110,-0.004278670337386340853563660103157439512027461525780367091937810468257670143832039,-13336.784027185099843880493801398604721822224712371844471570097434587650909850868,-12.976930839446392007657765343967554047351728158626719202226441204658573888941017,-2.927437443355088947842291474124185731106133419430717908755276995536148608342585,-110,1499272838.2955844872779098107646705703257440349018720267997111307561990845851122,29.17072096923730143822983413335182478748449329825020717639371011360915205425144,1499272809.1248635180406083725348364369739192474173787285495039543624889709759602,51396495.817730367214784650791218686235603740687351963130522478596683415534357423,2998545676.5911689745558196215293411406514880698037440535994222615123981691702245,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,3.3735033418337674317915436964064060824671876423579224160248841680346061731103231e-80,4.7060371618581055673492034564869364850417267610893017703547134144082756114889007e-78,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,2808.5241472275566560163394428322869169471406466199704886351350886989430427147449,-1.1736385605338146620898520899278713937850859522307618671268996545339764588305853e-77,2.5148685820426344895123642600419511971538373573383914446721980524041543132347314e-77,3.5332765258738129502985338609820699265450476927427980427392807177744832604305577e-77,-110,-0.004278670337386340853563660103157439512027461525780367091937810468257670143832039,-0.004278670337386340853563660103157439512027461525780367091937810468257670143832039,-13336.784027185099843880493801398604721822224712371844471570097434587650909850868,-13336.784027185099843880493801398604721822224712371844471570097434587650909850868,-12.976930839446392007657765343967554047351728158626719202226441204658573888941017,-12.976930839446392007657765343967554047351728158626719202226441204658573888941017,-2.9274374433550889478422914741241857311061334194307179087552769955361486083425803,-2.927437443355088947842291474124185731106133419430717908755276995536148608342585
-100,-0.0024126957368234606522074850218344298998067064791681340262439184511503751347940172,-7521.0312689887928641456418996051963915384391140038355488007603489580602506835097,-6.7931449618423486426872676100676802068583082180513508694190661965837627534671387,-1.6246246227158799893830901500882939664695628241376550122409343269153510722486194,-100,1465795488.2124768409667322008936436524919646303591970993025023355929285639815556,19.835764705355350228908902602403078086778232340360197687545759459124104648835206,1465795468.3767121356113819719847410500888865435809647589423046480471691048574509,73896595.8704246319959857651054797846488197211126591727618823285229471549319471,2931590976.4249536819334644017872873049839292607183941986050046711858571279631112,0.0,1.6867516709168837158957718482032030412335938211789612080124420840173030865551615e-80,1.8238002441788805178123033108697132883338233191497518061634530033437089623377684e-78,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-84,2221.2512931498588228351037403172780430628557299759496903789280089000014594717956,-5.8796514714639180190343021633133876585227539829324236143447621224462703831495282e-78,5.8102090553980169326013048932170543443867296344106799783746736367206217312613552e-78,6.3252437652098645955852909335263777279705895832303974449963236986452937108119191e-78,-100,-0.0024126957368234606522074850218344298998067064791681340262439184511503751347940172,-0.0024126957368234606522074850218344298998067064791681340262439184511503751347940172,-7521.0312689887928641456418996051963915384391140038355488007603489580602506835097,-7521.0312689887928641456418996051963915384391140038355488007603489580602506835097,-6.7931449618423486426872676100676802068583082180513508694190661965837627534671387,-6.7931449618423486426872676100676802068583082180513508694190661965837627534671387,-1.6246246227158799893830901500882939664695628241376550122409343269153510722486176,-1.6246246227158799893830901500882939664695628241376550122409343269153510722486194
-90,-0.0013329211164511659464604301505436199315598612293519487044688030110003795280026768,-4155.7337703002984202063931642062938431007453781731589629574120248005797243200263,-3.1106892084214941180705443369088473675897684130455449505626387502074004873251323,-0.88920437905150489419133706304806819339009680702995293556201510028837662831108644,-90,1467865821.8425500461574238629482601507765299686786508832161335912063674886266355,13.765579092969167189817551542983566063773890798134908666371774990874762301553331,1467865808.0769709531882566731307086077929639049047600850812249248345924977518732,106633060.03539431648788600705285341145158391071542511652560114326382296077860263,2935731643.685100092314847725896520301553059937357301766432267182412734977253271,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,5.1340503983532648102577555629684992567547511932134631768878705932276662697022729e-79,2.0590230357872115672555808693886755874433518324938491308745630908414344318300312e-84,1816.6007495872032173666569750935880089627877074624778504790565966387311867199218,1.5830326367483347819375142178763550563748857070961966929279611163093443539098756e-78,5.0902603040710045199435527928776556378370558250938604041160976741576629861867971e-78,7.3813552326792758808225818110812934390001207528457724779413664389702911913004478e-78,-90,-0.0013329211164511659464604301505436199315598612293519487044688030110003795280026768,-0.0013329211164511659464604301505436199315598612293519487044688030110003795280026768,-4155.7337703002984202063931642062938431007453781731589629574120248005797243200263,-4155.7337703002984202063931642062938431007453781731589629574120248005797243200263,-3.1106892084214941180705443369088473675897684130455449505626387502074004873251323,-3.1106892084214941180705443369088473675897684130455449505626387502074004873251323,-0.88920437905150489419133706304806819339009680702995293556201510028837662831108695,-0.88920437905150489419133706304806819339009680702995293556201510028837662831108644
-80,-0.00072219007472355877285680022748982142487459069702721273634893928328410213101548838,-2252.4091367437490220422261353256647102381718947496733653926183747925371111437175,-0.91365116316366867417089481788812248084475917254096129357496419974463927377460367,-0.46910836076567465206671032608679559464558507316981988800909131565239185016122125,-80,1514033181.3852533015101229785712890885550741593015161292773867297698312311701997,9.8464912727160382753196481737007706751251117338903408623619594912170431497876072,1514033171.5387620287940847032516409148543034841764043953870458674078717399531565,153763725.51921483983037045150402746715206158325692306573158805854831641411651937,3028066362.7705066030202459571425781771101483186030322585547734595396624623403993,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,1.8975956297814941803827433292286034213877930488263313590139973445194659723745567e-80,2.6476730134423459077951443729764652737863568011818506712020301837559104386770551e-78,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-84,1518.9892407150401190935716532759014631010811636696693297206784107222861808384348,2.0106050181135733640373828595467251585069941369929218736922497201568021435728644e-78,4.9973566534659754841086958298693768497317972490475213787221893750098915881605937e-78,8.0207692177725880753188029066008141137921260593153972247978251005128295981038919e-78,-80,-0.00072219007472355877285680022748982142487459069702721273634893928328410213101548838,-0.00072219007472355877285680022748982142487459069702721273634893928328410213101548838,-2252.4091367437490220422261353256647102381718947496733653926183747925371111437175,-2252.4091367437490220422261353256647102381718947496733653926183747925371111437175,-0.91365116316366867417089481788812248084475917254096129357496419974463927377460369,-0.91365116316366867417089481788812248084475917254096129357496419974463927377460367,-0.4691083607656746520667103260867955946455850731698198880090913156523918501612239,-0.46910836076567465206671032608679559464558507316981988800909131565239185016122125
-70,-0.00038424539377665233278600179290171191850007126925624805664312572468498989238877606,-1199.379344199695579794875622556596042367614411438838819191440596581780192792916,0.42517000288362943970667309865789313949521866381144604305993797866183656423074227,-0.20906442778569144015811845518451401653769825319081430843748953957697829966147811,-70,1616200340.3487635839874532101225353992078350377681457300293730236383666976555676,7.3473328186464252274884185511917684192777003617276197666063700483553023415695909,1616200333.0014307653410279826341168480160666184904453683017532570319966493002653,219971026.25419258138473861101359878182411759399102904547170748055427867358968957,3232400680.6975271679749064202450707984156700755362914600587460472767333953111353,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,6.3253187659383139346091444307620114046259768294211045300466578150648865745818558e-81,1.5657799495183134618963719609648795731201220143162825838752997533041871308162835e-78,1.5442672768404086754416856520415066905825138743703868481559223181310758238725234e-84,1222.4600808097226195240693642854615843804553046527651742033593480829620016926938,-9.6471961040579811201574227762595648029182709870459984370664824569436622469924844e-79,1.7756657746876641620244894155949671335790719985890842777449317126154506690365992e-78,2.807328350650072782195453312532873308888227511973744533902764800470865246174963e-78,-70,-0.00038424539377665233278600179290171191850007126925624805664312572468498989238877606,-0.00038424539377665233278600179290171191850007126925624805664312572468498989238877606,-1199.379344199695579794875622556596042367614411438838819191440596581780192792916,-1199.379344199695579794875622556596042367614411438838819191440596581780192792916,0.42517000288362943970667309865789313949521866381144604305993797866183656423074228,0.42517000288362943970667309865789313949521866381144604305993797866183656423074227,-0.20906442778569144015811845518451401653769825319081430843748953957697829966147654,-0.20906442778569144015811845518451401653769825319081430843748953957697829966147811
-60,-0.00020093566975148182024654598647855345151905983039969220749975231174408585828466144,-628.41861318111588336198926702522656198188955677457198217293379475951284209233621,1.2818082764205291202539997107054960488214963026583138376118935629574101786133295,-0.0021586766904679620721654399379004420845793444917121023495252631718495676730131401,-60,1790778824.436336065365799706907983012030586493401016479919813890720449147967853,5.7883122509987269849347440147087999419236560972739433016640066859094605347567332,1790778818.6480238143670727219732389973217865514773603826458705890564424620583925,309378407.17341250924491570961404973064940893036914920220095888826863102581469257,3581557648.872672130731599413815966024061172986802032959839627781440898295935706,0.0,4.2168791772922092897394296205080076030839845529474030200311052100432577163879038e-81,1.0120510025501302295374631089219218247401562927073767248074652504103818519330969e-79,0.0,822.16807660514319472112908994805510211067800443852303309824925057007001851570225,-8.7398049244647492941804074520217113777367594237655257500170218152959372852548749e-79,8.1176278060673322859742830442699118559817244904738676441505698084523519579263251e-79,1.2704556283131617673824622328556253891538162087591386166659576463509253838581982e-78,-60,-0.00020093566975148182024654598647855345151905983039969220749975231174408585828466144,-0.00020093566975148182024654598647855345151905983039969220749975231174408585828466144,-628.41861318111588336198926702522656198188955677457198217293379475951284209233621,-628.41861318111588336198926702522656198188955677457198217293379475951284209233621,1.2818082764205291202539997107054960488214963026583138376118935629574101786133295,1.2818082764205291202539997107054960488214963026583138376118935629574101786133295,-0.0021586766904679620721654399379004420845793444917121023495252631718495676730132413,-0.0021586766904679620721654399379004420845793444917121023495252631718495676730131401
