voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.07875485590195776,-1.6968749030779176,-0.011601601787402969,-163866.63888370575,-150,400694731024.72076,1.6479743563141505,400694731023.07281,243143790126.02609,9.7176924676652471e+22,7.586331562947635e-11,2.8908004462424586e-12,2.0372681319713593e-10,1.249000902703301e-16,1.9029861594522619,5.8312740741782061e-12,3.2826739300353308e-10,5.207769770976256e-10,-150,-0.07875485590195788,-0.07875485590195776,-1.6968749031537809,-1.6968749030779176,-0.01160160179029377,-0.011601601787402969,-163866.63888370595,-163866.63888370575
-140,-0.07579347744193354,-1.91407944489892,-0.011071002335571496,-157704.65844809753,-140,261073320048.39963,1.6257459981247748,261073320046.7739,160586783144.19104,5.1197247211087436e+21,8.183675959116954e-11,3.575645508846481e-11,2.6193447411060333e-10,8.326672684688674e-17,1.8773169769103792,7.2115488035309508e-11,3.0847078852553843e-10,5.1579490852049492e-10,-140,-0.07579347744193363,-0.07579347744193354,-1.9140794448170833,-1.91407944489892,-0.01107100229981504,-0.011071002335571496,-157704.6584480978,-157704.65844809753
-130,-0.07294393203684298,-2.1635987860529764,-0.010555757172409115,-151775.35111671872,-130,170102794013.21854,1.6085817861260403,170102794011.60995,105747059602.65681,2.1203849131869812e+21,9.128031663863112e-11,5.625561474986718e-11,1.1641532182693481e-10,0.0,1.8574955119149099,1.1345118886355338e-10,1.6560208763110352e-10,3.1268249447991003e-10,-130,-0.07294393203684298,-0.07294393203684298,-2.1635987861442567,-2.1635987860529764,-0.01055575722866473,-0.010555757172409115,-151775.3511167186,-151775.35111671872
-120,-0.07020198150235762,-2.451306090977909,-0.010055692626384883,-146069.89444677526,-120,110830811052.49132,1.5967392140069729,110830811050.89458,69410715338.019699,4.5156987857557447e+21,1.64171343186581e-10,1.7212346131723066e-11,1.7462298274040222e-10,1.3877787807814457e-16,1.8438190960323337,3.4709427123708823e-11,4.4588560340200742e-10,7.4575002076415764e-10,-120,-0.07020198150235749,-0.07020198150235762,-2.4513060908137376,-2.451306090977909,-0.010055692643597229,-0.010055692626384883,-146069.89444677508,-146069.89444677526
-110,-0.06756353869504811,-2.7843572572333706,-0.009570766484940567,-140579.77941588123,-110,72212054556.533752,1.5905136166528187,72212054554.943237,45401720425.695908,8.3206596194033635e+21,1.9535928430514105e-11,6.0870440632410094e-12,8.731149137020111e-11,4.163336342344337e-17,1.8366287570623669,1.2273357134833081e-11,1.7182105321991981e-10,2.6674253778002921e-10,-110,-0.06756353869504807,-0.06756353869504811,-2.7843572572138346,-2.7843572572333706,-0.009570766478853522,-0.009570766484940567,-140579.77941588114,-140579.77941588123
-100,-0.06502466101352787,-3.171506204265759,-0.009101063104722001,-135296.79668949044,-100,47049936019.241745,1.5902417866238365,47049936017.651505,29586655573.383675,3.5687655084720291e+21,1.93946636528608e-10,9.247441354331976e-12,8.731149137020111e-11,2.7755575615628914e-17,1.8363133950463664,1.864454996242817e-11,2.3392999074726286e-10,3.8745424230102188e-10,-100,-0.0650246610135279,-0.06502466101352787,-3.1715062044597055,-3.171506204265759,-0.00910106309547456,-0.009101063104722001,-135296.79668949035,-135296.79668949044
-90,-0.0625815441164475,-3.623502158186682,-0.00864678141710614,-130213.02328487903,-90,30655509649.305225,1.5963059891289273,30655509647.70892,19204030967.792919,8.8251780196480818e+20,1.5091927707544528e-11,2.4367563522531555e-11,1.6007106751203537e-10,8.326672684688674e-17,1.8433144184052546,4.9124180333926315e-11,2.5165282814727693e-10,3.9300779471063141e-10,-90,-0.06258154411644741,-0.0625815441164475,-3.623502158201774,-3.623502158186682,-0.008646781392738577,-0.00864678141710614,-130213.02328487887,-130213.02328487903
-80,-0.0602305156116861,-4.1535905449444845,-0.008208215783477989,-125320.8091061319,-80,19973686926.396591,1.609138417193519,19973686924.787453,12412659292.06543,6.4466234731862216e+20,1.3648637775531824e-11,2.1737162417267974e-11,2.9103830456733704e-11,1.3877787807814457e-17,1.8581308883634646,4.3816275383569484e-11,5.2806086150150987e-11,8.153377278885543e-11,-80,-0.06023051561168609,-0.0602305156116861,-4.153590544930836,-4.1535905449444845,-0.008208215805215151,-0.008208215783477989,-125320.80910613187,-125320.8091061319
-70,-0.057968028307478894,-4.778144523817547,-0.007785730025836211,-120612.7624805485,-70,13013920849.159113,1.6292261331648001,13013920847.529886,7987792844.8639259,4.8028561387287137e+20,1.7763568394002505e-15,1.901198989906483e-11,7.275957614183426e-11,2.7755575615628914e-17,1.8813252249464099,3.831927363401486e-11,9.9737690523068417e-11,1.5062937182286351e-10,-70,-0.05796802830747887,-0.057968028307478894,-4.778144523817545,-4.778144523817547,-0.007785730044848201,-0.007785730025836211,-120612.76248054842,-120612.7624805485
-60,-0.05579065240187433,-5.517460501426552,-0.007379724609600902,-116081.73337668336,-60,8479267686.5540724,1.6571165476115164,8479267684.8969555,5116880703.8802786,2.4590686852973606e+20,2.7337243579950155e-11,2.4196353254346548e-11,2.764863893389702e-10,1.1102230246251565e-16,1.9135295335022167,4.8763559858767326e-11,3.2149619912652194e-10,4.9627295502230329e-10,-60,-0.05579065240187422,-0.05579065240187433,-5.517460501453889,-5.517460501426552,-0.007379724633797255,-0.007379724609600902,-116081.73337668309,-116081.73337668336
