voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.0030933726324681701998639076147973848348078421298810559022386101710229234314651949,0.0000050869464323028151663747257002195367567257035985387279298096131562043544523629087,-6052.1024099769885120840823635152585431243024042563447333286676817333425546564799,-384.37830846474890839714675923217255866047583715834445084320567360803003533052065,-150,81279477.834448706741735118549828431075892050045596413445169228234530089347576694,2611173.1545024597393743986589305621984285596044946919818802369719731278335523893,78668304.679946247002360719890897868877463490441101721463288991262556961514024305,31.12757102848505906299787017448951217894484700537337753072544048845881985830679,162558955.66889741348347023709965686215178410009119282689033845646906017869515339,4.0970794582400561033991477575742303859544967127082543713625352146244583640071061e-77,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-78,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,0.11113300212168725722957116191607038922330047481609626013588980012864119613278041,-4.143246061106870946004230937765553232565836243702951676069286841260422187581337e-77,4.6580529953616705981986835767595462441741150506539358951399104543111617182956245e-77,7.7055558764543392736428035758791788406344830334264994295775399103093430474130011e-77,-150,-0.0030933726324681701998639076147973848348078421298810559022386101710229234314651949,-0.0030933726324681701998639076147973848348078421298810559022386101710229234314651949,0.0000050869464323028151663747257002195367567257035985387279298096131562043544933337033,0.0000050869464323028151663747257002195367567257035985387279298096131562043544523629087,-6052.1024099769885120840823635152585431243024042563447333286676817333425546564799,-6052.1024099769885120840823635152585431243024042563447333286676817333425546564799,-384.37830846474890839714675923217255866047583715834445084320567360803003533052064,-384.37830846474890839714675923217255866047583715834445084320567360803003533052065
-140,-0.0022781550848621860509907229229564782558072506038000279773634483318203657453020928,0.0000065566472252972254070936491676016821101497873309278711281733892770939325300944534,-4457.1332351357870372312379947340519267943308016231149473636489283169373022842011,-283.09790492364060768486665010877934254489404518644457728149663538808673520511778,-140,84691615.936156329414697890525934280068386250553598948041681656584415517880935502,2000505.7468733979075623777359679291484642250429096004970468988570997049103201613,82691110.189282931507135512789966350919922025510689347544634757727315812970615341,42.335102545204556205897315691837783053655200768385352538628493138276612423483367,169383231.872312658829395781051868560136772501107197896083363313168831035761871,1.9626316740119895715446321996215054549083303293885030159306599349863971651590361e-78,0.0,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-77,0.0,0.081374054527233933096819542778668456410512353811528392184900612159508213305810679,-1.9894142359048033173549100812195269169632950310046806943783310768041740245310324e-78,7.9753674655143346971654669926368896395884425837050536479930844930095728028819916e-78,1.4585567474268363499343143058760138389403732678265196855127443580637968459737474e-77,-140,-0.0022781550848621860509907229229564782558072506038000279773634483318203657453020928,-0.0022781550848621860509907229229564782558072506038000279773634483318203657453020928,0.0000065566472252972254070936491676016821101497873309278711281733892770939325320570851,0.0000065566472252972254070936491676016821101497873309278711281733892770939325300944534,-4457.1332351357870372312379947340519267943308016231149473636489283169373022842011,-4457.1332351357870372312379947340519267943308016231149473636489283169373022842011,-283.0979049236406076848666501087793425448940451864445772814966353880867352051178,-283.09790492364060768486665010877934254489404518644457728149663538808673520511778
-130,-0.0016775711073657365943786805242484737918796471888226674427363620441747740135951414,0.0000083343136120954591868665971160392611373933965636039887245775908746303247633380123,-3282.0767817068905851579145047494262034515526109162278486440338757666064475156079,-208.49980735031629670796224496832732267703030438461648841216870948716439792061841,-130,89190360.985882535966353881672758753933367083967113087758686848422156067560428476,1532654.3025504846159481298631235921880678262005863790553520423478200461508794146,87657706.683332051350405751809635161745299257766526708703334806074336021409549062,58.193397452681384845581238486527623823757074874710858478951869364502090603144584,178380721.97176507193270776334551750786673416793422617551737369684431213512085695,2.3385493289955463149849543536817047683079329159710632943664344021772988975519499e-77,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,3.5624195289764584079718701434051648230853501503299660713222776814445441188045012e-77,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,0.059280638202848260158173936651683213431016231199566046293175374405941529605056348,2.3776353421113212086471992856110794469567843069823572164956297926867281452881765e-77,2.4361027409438425254995035506536965882161787229914713049852572872491209123613958e-77,3.4052458221936077449766840493351735339753236811153973637661643810485565115512851e-77,-130,-0.0016775711073657365943786805242484737918796471888226674427363620441747740135951413,-0.0016775711073657365943786805242484737918796471888226674427363620441747740135951414,0.000008334313612095459186866597116039261137393396563603988724577590874630324739952519,0.0000083343136120954591868665971160392611373933965636039887245775908746303247633380123,-3282.0767817068905851579145047494262034515526109162278486440338757666064475156079,-3282.0767817068905851579145047494262034515526109162278486440338757666064475156079,-208.49980735031629670796224496832732267703030438461648841216870948716439792061837,-208.49980735031629670796224496832732267703030438461648841216870948716439792061841
-120,-0.0012348029792342637599749154014531491285705111771583243440942302273508826482503106,0.00001049597601905193743659865184329908781678775835218311984570057959848425853231311,-2415.756725776807267728169502606297658172726824557594574795319807602747221690376,-153.53786622427286673785636726163467692907816046867081943913964110867274275744248,-120,94752536.178104666324537451070666264834685451678026653838341332386104104018492914,1174219.5403230793024892109366398569860531803988727717188265523663453087324313859,93578316.637781587022048240134026407848632271279153882119514780019758795286061528,80.694055007834469623610821415456120654218125520888326307593865693698314603565312,189505072.35620933264907490214133252966937090335605330767668266477220820803698583,2.7060377586924208651287636846156458300074655142019974915018738499784187951075792e-77,0.0,5.5055574538727084486837993125352547265864502323281293829526109622324772745160472e-77,3.0885345536808173508833713040830133811650277487407736963118446362621516477450468e-83,0.043039341180745366756433900833156917243044089833808871493747052250302502151691554,2.7619505603529015444114964242240957694603506612208880942911866896709862507528051e-77,2.7204200180618561075356384092219246895290424848978390882544765850710187637016186e-77,3.1491963214975865252173359640008306580101089665920306453414798886668996625355176e-77,-120,-0.0012348029792342637599749154014531491285705111771583243440942302273508826482503107,-0.0012348029792342637599749154014531491285705111771583243440942302273508826482503106,0.000010495976019051937436598651843299087816787758352183119845700579598484258505252732,0.00001049597601905193743659865184329908781678775835218311984570057959848425853231311,-2415.756725776807267728169502606297658172726824557594574795319807602747221690376,-2415.756725776807267728169502606297658172726824557594574795319807602747221690376,-153.53786622427286673785636726163467692907816046867081943913964110867274275744253,-153.53786622427286673785636726163467692907816046867081943913964110867274275744248
-110,-0.00090758663228451577939017229313460576483996411753691980240907792331242652486604314,0.000013131650087491737488372855110881823147965017953939775552278506459957537140184358,-1775.4556569417508836871089779904862130561977258746517694258054554049538422150082,-112.98927520183238574352253705194603760179622802340364344360899121719904387301709,-110,101374507.89185202741186829729018026545850352519860055129838947889538131790086991,899613.84328459002465427145625875880049091048149206002284564406808377089796520524,100474894.0485674373872140258339215066580126147171084912755438348272975470029047,112.68669179402847296559157679742181683053696117849382627588319310007239271851114,202749015.78370405482373659458036053091700705039720110259677895779076263580173981,6.3171920111355888826918614524654663493697022694536717951836482689931493464626071e-78,2.1590421387736111563465879657000998927790000911090703462559258675421479507906068e-78,3.1306111012217361767025525502651448445295501321081520020710925079361145286463798e-77,1.2354138214723269403533485216332053524660110994963094785247378545048606590980187e-83,0.031177291663619661079610222708543866876075156289331396889751002468541835704439295,6.4797932885230674804931637926300016800123714826228457637023661261686447391044056e-78,2.0047763143335291284884208289306806821639559602802266158949769130293154971127565e-77,3.3433950722910779689210483512675999915749968775714083153995950083752342455802009e-77,-110,-0.00090758663228451577939017229313460576483996411753691980240907792331242652486604312,-0.00090758663228451577939017229313460576483996411753691980240907792331242652486604314,0.000013131650087491737488372855110881823147965017953939775552278506459957537133867166,0.000013131650087491737488372855110881823147965017953939775552278506459957537140184358,-1775.4556569417508836871089779904862130561977258746517694258054554049538422150082,-1775.4556569417508836871089779904862130561977258746517694258054554049538422150082,-112.98927520183238574352253705194603760179622802340364344360899121719904387301706,-112.98927520183238574352253705194603760179622802340364344360899121719904387301709
-100,-0.00066385984529563600690236785538589696179535756681462550137558103228569894005082145,0.000016346912792822121867990947372286457825617295449461140733736760555345694223134566,-1298.3838985280468921245565535367275867937904671373645324114615337891410180574777,-82.930807910595291188686492701400709071519557934439504669535429481254897467842149,-100,109070379.7467578708120999752864213844968120703342302085279285416345828705667962,689234.97772240022613280766281699834140654355603698686034998754559868919717773229,108381144.76903547058596716762360438615540552677819322166757855408898418136961847,158.24846862413243617619856381209864825985142349685403782104637470238751867345114,218140759.4935157416241999505728427689936241406684604170558570832691657411335924,1.8691468162851908300119492124621839431533214402089562653333422444243723495730471e-78,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-78,2.307476285814296923345415888341981760407556347372818932561020770935670622407461e-77,6.1770691073616347017667426081660267623300554974815473926236892725243032954900935e-84,0.022551131388198375191837703585651914836696562607987259454214708035920348041797201,-1.9294614982169380202717464438863100253538091954655320765285743165007524165884832e-78,2.2878746188850838031822118746332462764130922581223772113448126705184240086520837e-77,3.8195094046428523741711800140716268143666319905952289881950908895897653902719009e-77,-100,-0.00066385984529563600690236785538589696179535756681462550137558103228569894005082145,-0.00066385984529563600690236785538589696179535756681462550137558103228569894005082145,0.000016346912792822121867990947372286457825617295449461140733736760555345694225003713,0.000016346912792822121867990947372286457825617295449461140733736760555345694223134566,-1298.3838985280468921245565535367275867937904671373645324114615337891410180574778,-1298.3838985280468921245565535367275867937904671373645324114615337891410180574777,-82.930807910595291188686492701400709071519557934439504669535429481254897467842126,-82.930807910595291188686492701400709071519557934439504669535429481254897467842149
-90,-0.00047786398136919378302686262836152144644516371710062177787124744841037152978115708,0.000020263695473994669701095104067243186673027989249296509587682287679738895439497585,-934.01838640093444409729089314404341985197935577824831574833204353641576621713526,-60.288697692777157635125569713237968873486491151456346885731058714481068308200313,-90,117870639.4503960347872862615021084073819744930870166231394329356112811582037854,528067.48639878088182518032972767158894890603741093307497965300612118743868812018,117342571.96399725390546108117238073579302558704960569006445328260515997076509728,223.21131765606115862820182981706383704640339216638520777306583291077285731174516,235741278.9007920695745725230042168147639489861740332462788658712225623164075708,1.5106673507226770697952809933877707194942399410096288414866907846960420840773025e-77,3.2385632081604167345198819485501498391685001366636055193838888013132219261859101e-78,2.5975975732120009224794886462329326834997344846156002603391608093866467532949488e-77,1.3383649732616875187161275651026391318381786911210019350684660090469323806895203e-83,0.016296847901298655407829378601681956970539589989123907044153094452048656660427623,1.5720997746922974115125756513441788859775699753730391720638195616886460446393109e-77,1.6548037752864986614927385791023078561264951672737856926578978479362057929324548e-77,2.6136652546952929326963466868873415562855692039733790871683792712599296770973856e-77,-90,-0.00047786398136919378302686262836152144644516371710062177787124744841037152978115709,-0.00047786398136919378302686262836152144644516371710062177787124744841037152978115708,0.000020263695473994669701095104067243186673027989249296509587682287679738895424390912,0.000020263695473994669701095104067243186673027989249296509587682287679738895439497585,-934.01838640093444409729089314404341985197935577824831574833204353641576621713525,-934.01838640093444409729089314404341985197935577824831574833204353641576621713526,-60.288697692777157635125569713237968873486491151456346885731058714481068308200339,-60.288697692777157635125569713237968873486491151456346885731058714481068308200313
-80,-0.00032576216676718786385229874944438274523397897981345178187023775047319354413580237,0.000025019653166225917639563055523437390232691024269966620985371048258234281754674391,-635.47490754761590609773465233039742534471358449439635639931668987723104752017441,-42.349001681132116381690941990260343299747748769296175002500938957015998361159045,-80,127821195.74618265035458030893701334347073628556275932995647012538072034759383879,404612.2617197151731426125835446090862636357492389840014652845443498274389095404,127416583.48446293518143769635346873438447264981352034595500484083637052015492925,315.91033648586637327115994339227822540366585937885903235239547058839129882103117,255642391.49236530070916061787402668694147257112551865991294025076144069518767759,2.3630296184907435680824779130041832600429306701392179833560934397734102781865752e-77,6.4771264163208334690397638971002996783370002733272110387677776026264438523718203e-78,6.2747162158108074231322712753159153133889690147857356938062845525443674819852009e-78,2.0590230357872115672555808693886755874433518324938491308745630908414344318300312e-84,0.011772308252196267835146921508754580495744815596451123123616438281438284444020292,-2.4846420508384844773368184554908546961719876602300545579836546612152645704354088e-77,2.7263670077913585038263727304072018399624601743742776570176505323712755574393997e-77,4.512366236209041843261878550659259581944136010858522108873175409069896324415936e-77,-80,-0.00032576216676718786385229874944438274523397897981345178187023775047319354413580237,-0.00032576216676718786385229874944438274523397897981345178187023775047319354413580237,0.000025019653166225917639563055523437390232691024269966620985371048258234281778304687,0.000025019653166225917639563055523437390232691024269966620985371048258234281754674391,-635.47490754761590609773465233039742534471358449439635639931668987723104752017441,-635.47490754761590609773465233039742534471358449439635639931668987723104752017441,-42.349001681132116381690941990260343299747748769296175002500938957015998361159051,-42.349001681132116381690941990260343299747748769296175002500938957015998361159045
-70,-0.00017962877978633431575165187894081928102509895596905951078596887610991498494341224,0.000030765618233113631050120916664745832246175180087947399946614327139576473745109811,-347.75285492743192328449359460327472120532378295552683663081253139879528395106538,-26.006580601045721079690319421551614311232318638344957193905855341824437573184197,-70,138982754.78212179553849881274633161124681025548781473207786809012159456946790996,310068.55832972763875640657836896814189588477069928718392383999581573695125240242,138672686.22379206789974240616796264310491437071711544489394425012577883251665756,448.23233781197255471963437582446910311065890675699333128599379922120816037568297,277965509.56424359107699762549266322249362051097562946415573618024318913893581992,9.0595742127912710356102777931914878340332234359972796806642460954314520414759716e-78,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-78,1.0930150827541406479004601576356755707193687961239668627920624704432124000877447e-77,4.3754239510478245804181093474509356233171226440494294031084465680380481676388162e-84,0.0085053654305650091585080552776097165340138062551258664908584407415897747255662901,9.6512514332616805754066360267051449302952904128694202093443037324835494812867854e-78,1.1275510136710775895108849844702835819853592233647485451149678792266623366178091e-77,1.9352316427943871647773558573866796039030033606483374908785819648074284394502466e-77,-70,-0.00017962877978633431575165187894081928102509895596905951078596887610991498494341225,-0.00017962877978633431575165187894081928102509895596905951078596887610991498494341224,0.000030765618233113631050120916664745832246175180087947399946614327139576473736050237,0.000030765618233113631050120916664745832246175180087947399946614327139576473745109811,-347.75285492743192328449359460327472120532378295552683663081253139879528395106538,-347.75285492743192328449359460327472120532378295552683663081253139879528395106538,-26.006580601045721079690319421551614311232318638344957193905855341824437573184208,-26.006580601045721079690319421551614311232318638344957193905855341824437573184197
-60,-0.00000051285450334106003991281556633409181478975358417929635328570826323542603789043097,0.000037661694517833802568228427694291694617454455434310067382489728888754612793645966,5.1768090425269714648662534720362121724394385138519201904701569853347561534682313,-6.2439345871472831472646788624279442568864510752399361865740721409220419994965696,-60,151430495.32578151561999977534522810147636470453912210174449622003902636988159144,237711.35278021791465846691014102485495219332272374097935168756520353008140747901,151192783.97300129770534130843508707662141251121639836076514453247382283980018396,637.03518386768189723932058698286690229602554102912662190399275042107589915832753,302860990.65156303123999955069045620295272940907824420348899244007805273976318288,4.7497787898524896164825351095286208356369248969998220395598712733897246893793939e-79,1.0795210693868055781732939828500499463895000455545351731279629337710739753953034e-78,4.6554346117305990558723303010408403938047189464539329341143401518877565188922458e-78,1.7936020975802663261640411479440416249994822603364388913477639424126557746019412e-84,0.0061511832893312728039009130238314571020931488118908208350371018498893971582832088,-5.1434965527248656571698872040588529084855278601695594858393172036687499032035547e-79,4.050600305293074852398173832350226776836092932789700600941807147951156736311855e-78,7.0272287321841666051381393663026467767568192178994910082866415414418079278859266e-78,-60,-0.00000051285450334106003991281556633409181478975358417929635328570826323542603789042918,-0.00000051285450334106003991281556633409181478975358417929635328570826323542603789043097,0.000037661694517833802568228427694291694617454455434310067382489728888754612794120944,0.000037661694517833802568228427694291694617454455434310067382489728888754612793645966,5.1768090425269714648662534720362121724394385138519201904701569853347561534682302,5.1768090425269714648662534720362121724394385138519201904701569853347561534682313,-6.243934587147283147264678862427944256886451075239936186574072140922041999496565,-6.2439345871472831472646788624279442568864510752399361865740721409220419994965696
