voltage,current,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.011898340760199685,-33560.430971003974,-7150.9284478437985,0.00018806044020149015,-150,50374429049.281479,0.077442896949789397,50374429049.204033,650471909411.42175,1.1922374551083635e+18,1.728330971673131e-07,1.2705640983767807e-08,2.708880773212856e-08,6.60894949877644e-14,4.8710944997285122,5.5133982193538581e-08,2.7565330036535894e-07,4.2527468312181238e-07,-150,-0.011898340760265774,-0.011898340760199685,-33560.43097117681,-33560.430971003974,-7150.928447856504,-7150.9284478437985,0.00018803335139375802,0.00018806044020149015
-140,-0.00662895694034905,-18528.104767372,-4323.04773345603,0.00023101308907446522,-140,42073838438.320557,0.063481987834872827,42073838438.257072,662768131139.20728,1.237931000460265e+18,1.2863893061876297e-08,9.626364771975204e-08,2.177232339667487e-08,1.8275311819415663e-14,5.9490150698851663,4.4105118335163018e-08,1.4479865901735515e-07,2.3606837451506379e-07,-140,-0.006628956940330774,-0.00662895694034905,-18528.104767384862,-18528.104767372,-4323.047733359766,-4323.04773345603,0.0002310348613978619,0.00023101308907446522
-130,-0.003688206714527957,-10209.103263950363,-2604.3078622233597,0.00028330187649458494,-130,35211832610.413239,0.052068833792147294,35211832610.361168,676255449679.83655,1.2545268327295905e+18,1.9286744645796716e-07,4.452567736734636e-08,1.7958008421503722e-08,6.317429218638537e-14,7.2658365888435572,3.6220617941439234e-08,2.9606547638949696e-07,4.7478673793205362e-07,-130,-0.0036882067145911314,-0.003688206714527957,-10209.10326414323,-10209.103263950363,-2604.3078622678854,-2604.3078622233597,0.00028331983450300644,0.00028330187649458494
-120,-0.0020505238765550957,-5617.793742194655,-1564.1877199604398,0.0003470091578196069,-120,29536804498.828217,0.042745384875576366,29536804498.785473,690994000517.34717,6.8551986323619494e+17,1.4762917999178171e-08,2.0330617189756595e-08,2.7494379465904748e-08,1.679602637527644e-14,8.8743390681584611,5.52927267394166e-08,7.2830624280247493e-08,1.2517365569064687e-07,-120,-0.0020505238765718917,-0.0020505238765550957,-5617.793742209418,-5617.793742194655,-1564.1877199807705,-1564.1877199604398,0.000346981663440141,0.0003470091578196069
-110,-0.0011396453296513625,-3088.4418199056518,-937.0081559999754,0.0004245867798892966,-110,24842520767.115459,0.035137458343288512,24842520767.080322,707009611350.00659,1.1089794150237966e+18,6.2222625274444e-08,2.4691530597920064e-08,1.4240579527765619e-08,2.845445233601307e-14,10.839037451422772,2.8590048989860687e-08,1.2213246551909685e-07,2.0230907719909208e-07,-110,-0.001139645329679817,-0.0011396453296513625,-3088.4418199678744,-3088.4418199056518,-937.008156024667,-937.0081559999754,0.00042457253930976884,0.0004245867798892966
-100,-0.0006333474684081222,-1696.7200158475655,-560.0408344648648,0.0005191969696027796,-100,20960060375.299343,0.028939721390301112,20960060375.270405,724266142462.72314,1.6719863198765908e+18,9.995119398809038e-09,4.684636678575771e-08,7.937034006270417e-09,1.3250251590379847e-14,13.238756115486771,1.5914956181526486e-08,8.0955080428973402e-08,1.2955716663376471e-07,-100,-0.000633347468394872,-0.0006333474684081222,-1696.7200158375704,-1696.7200158475655,-560.0408344180184,-560.0408344648648,0.0005192049066367858,0.0005191969696027796
-90,-0.00035200082683704105,-931.5561342243165,-334.1475953674338,0.0006346638352283905,-90,17751230118.274525,0.023903437070960341,17751230118.250622,742622496738.76514,9.3251453642962483e+17,2.374440555286128e-08,4.095454642083496e-08,1.2002005006484483e-08,2.7985968577282083e-15,16.169782991467962,2.4046737557486043e-08,5.6907711246625282e-08,1.0591341521176689e-07,-90,-0.00035200082683424245,-0.00035200082683704105,-931.5561342480609,-931.5561342243165,-334.14759532647923,-334.1475953674338,0.000634675837233397,0.0006346638352283905
-80,-0.00019565207232935506,-511.06069288660103,-199.17899399923303,0.0007756248096504707,-80,15103194829.794424,0.019826481611937403,15103194829.774597,761768786081.58508,1.6633325774118656e+18,7.276281621670933e-08,1.2646495406443137e-07,5.69716724653762e-09,4.174747570209747e-14,19.749726632418025,1.1418270373819216e-08,2.4243433772051438e-07,3.9845568984564483e-07,-80,-0.00019565207228760758,-0.00019565207232935506,-511.0606928138382,-511.06069288660103,-199.17899387276807,-199.17899399923303,0.0007756191124832242,0.0007756248096504707
-70,-0.00010873987067350381,-280.00701825079483,-118.7635809842742,0.0009477145180118354,-70,12924108508.579399,0.016545232475500174,12924108508.562855,781137921616.82483,3.4425738116367149e+17,9.063637662620749e-08,1.940979643677565e-08,2.3496191555545318e-08,3.3458628120701384e-14,24.122228851140388,4.7022090284973367e-08,1.345963683907416e-07,2.2826522883684364e-07,-70,-0.00010873987070696244,-0.00010873987067350381,-280.0070183414312,-280.00701825079483,-118.7635809648644,-118.7635809842742,0.0009476910218202798,0.0009477145180118354
-60,-6.039403753088552e-05,-153.00971724498433,-70.97437633731543,0.0011578141241880401,-60,11139572625.60087,0.013928001612556251,11139572625.586943,799796908090.4198,4.1239377430750605e+17,7.054268280626275e-09,1.220899292775357e-07,1.685091045216039e-08,1.6419964075486265e-14,29.462720566411104,3.3722341592412456e-08,1.6688151798824302e-07,2.5828835826385843e-07,-60,-6.039403751446556e-05,-6.039403753088552e-05,-153.00971723793006,-153.00971724498433,-70.9743762152255,-70.97437633731543,0.001157797273277588,0.0011578141241880401
-50,-3.346492072437293e-05,-83.13298454862313,-42.6314958277063,0.0014143464558963887,-50,9689780917.2788677,0.011869750358854854,9689780917.2669983,816342435546.69836,2.5542434335756822e+17,6.174322209062666e-08,1.240820779457863e-10,2.3634451395537076e-08,2.7335128789402613e-14,35.985451334036178,4.7243662330527292e-08,1.0788420115519477e-07,1.7075533042913704e-07,-50,-3.34649206970378e-05,-3.346492072437293e-05,-83.1329844868799,-83.13298454862313,-42.631495827830385,-42.6314958277063,0.0014143700903477842,0.0014143464558963887
-40,-1.842409429394995e-05,-44.586211326599624,-25.83786358621587,0.0017277203631514953,-40,8527237382.8819103,0.010287873864574618,8527237382.8716221,828862940499.75635,3.8487716122959328e+17,2.3611413269009063e-08,7.290963921491311e-08,1.377026176939411e-08,1.483323080792194e-14,43.952076202166651,2.7549131538397259e-08,1.1362495081025735e-07,1.9304211957074657e-07,-40,-1.8424094279116718e-05,-1.842409429394995e-05,-44.58621130298821,-44.586211326599624,-25.83786351330623,-25.83786358621587,0.0017277065928897259,0.0017277203631514953
-30,-9.975168669644456e-06,-23.196799740078852,-15.87759176624755,0.0021103871088155165,-30,7614957084.6653862,0.0091188858716549689,7614957084.6562672,835075380023.73999,9.354796999512855e+17,4.539140263659647e-08,1.1581134273797034e-08,5.0516737559562486e-09,1.1069551715146494e-14,53.682149858909042,1.0116466776815793e-08,5.5200347901418034e-08,9.0782804393688132e-08,-30,-9.975168658574904e-06,-9.975168669644456e-06,-23.19679969468745,-23.196799740078852,-15.877591777828684,-15.87759176624755,0.0021103820571417606,0.0021103871088155165
-20,-5.173001334572792e-06,-11.17463503113373,-9.946780170668061,0.0025777551294606264,-20,6925078613.2465239,0.0083158707873448087,6925078613.2382078,832754475187.99731,7.8087810161455022e+18,8.185332589505379e-08,7.364128506992529e-08,5.513726619374437e-10,1.4251812146333538e-14,65.565959172977429,1.1028492046366186e-09,1.1037208011248912e-07,1.6370664684267622e-07,-20,-5.17300132032098e-06,-5.173001334572792e-06,-11.174634949280405,-11.17463503113373,-9.946780244309346,-9.946780170668061,0.0025777545780879645,0.0025777551294606264
-10,-2.3777937450023022e-06,-4.231591734980418,-6.385771263839115,0.0031485747579588176,-10,6437833500.3943291,0.0078466007967335702,6437833500.3864822,820461454222.8667,6.0199955324082534e+17,8.557846165047067e-08,7.214129560395577e-08,6.691553375640091e-09,4.1120348601576383e-14,80.080219535990494,1.3326045136872612e-08,1.9900726612064845e-07,3.2882260942758423e-07,-10,-2.3777937038819536e-06,-2.3777937450023022e-06,-4.231591649401956,-4.231591734980418,-6.3857711916978195,-6.385771263839115,0.003148581449512193,0.0031485747579588176
0,-6.743954457676639e-07,-2.0514542953264936e-08,-4.2174009015345915,0.003845771632450526,0,6140832094.7710304,0.0076922424473793265,6140832094.7633381,798314943500.4032,1.2502910450140787e+19,4.102908590652987e-08,6.697054200088814e-08,3.21275222571471e-10,2.397733645000664e-14,97.807264283476442,6.1434441134901915e-10,1.3379820631118161e-07,2.1664180293538143e-07,0,-6.743954217903274e-07,-6.743954457676639e-07,2.0514542953264936e-08,-2.0514542953264936e-08,-4.2174008345640495,-4.2174009015345915,0.0038457719537257485,0.003845771632450526
10,4.506790019250109e-07,2.8366250559861603,-2.869417476042162,0.004697296033082096,10,6028638033.5095863,0.0078466007967335702,6028638033.5017395,768312061449.49084,3.5350416259662579e+17,5.107899703205021e-08,9.706601877823573e-08,1.076016631785387e-08,4.263291735834502e-15,119.45847487756421,2.1457985691122985e-08,1.1570474676026617e-07,1.9413203778372023e-07,10,4.5067900618830263e-07,4.506790019250109e-07,2.8366251070651574,2.8366250559861603,-2.869417573108181,-2.869417476042162,0.004697306793248414,0.004697296033082096
20,1.28897980162195e-06,5.021485536289827,-2.008379596397224,0.005737350616494016,20,6102614949.3931923,0.0083158707873448087,6102614949.3848763,733851583971.245,3.7072741021137728e+17,5.2981134146534714e-08,5.512390943707146e-08,1.0432536542114013e-08,2.246342112261011e-14,145.90285688156203,2.0885285778465319e-08,1.2447651609851674e-07,2.1621009064880237e-07,20,1.2889797791585289e-06,1.28897980162195e-06,5.021485483308693,5.021485536289827,-2.0083796515211336,-2.008379596397224,0.005737361049030558,0.005737350616494016
30,2.01032869026621e-06,6.987718386045877,-1.440583953796364,0.007007705291162961,30,6371039910.8736792,0.0091188858716549689,6371039910.8645601,698664288658.04102,1.3802919710168349e+17,7.23726589768603e-08,2.7346758413315797e-08,2.9542562584618237e-08,9.341812025819799e-15,178.20189066694198,5.9187648486221265e-08,8.4250481645761231e-08,1.4474531569858007e-07,30,2.010328699608022e-06,2.01032869026621e-06,6.987718458418536,6.987718386045877,-1.4405839811431225,-1.440583953796364,0.007007675748600377,0.007007705291162961
40,2.7187828223925153e-06,9.003748136050492,-1.053436110931034,0.008559252724998937,40,6849488735.2909555,0.010287873864574618,6849488735.2806673,665782728817.91089,2.2565053546646582e+17,4.724102886655146e-08,3.21524991075961e-08,1.9639666920534538e-08,1.3994306930588179e-14,217.65207329865621,3.940593394328466e-08,8.4980809035704074e-08,1.5878705120209169e-07,40,2.7187828363868223e-06,2.7187828223925153e-06,9.00374818329152,9.003748136050492,-1.0534360787785348,-1.053436110931034,0.008559233085332017,0.008559252724998937
