voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.0034566412988150213307040742067145641825940958344843008590433370994140192709342174,-0.0022442291570304686239101052286634027376332463773485015188737160127791616205139267,-21365.788310864260714277625143543100815486489252171706871311872213186176842269233,-0.54178932562402455122960710792239751021689548015424199696643654629144884255509932,-70.234077639575646730067880153035706094682427043338724761464421080744771417592428,-150,846053.75773780614321235366269252501732006556131862497449220931297784919826843482,305.69585410367503765188376854353637719713639934017236155462738500493511547949222,845748.06188370246817470177892398148094286842491928480213065468559284426315295533,2767.6324241246390846853204570922167501408130584836143920953718258013346581813128,1692107.5154756122864247073253850500346401311226372499489844186259556983965368696,2.4173506966591884218819350969266480225749434651990887074224015564143875831325478e-77,0.0,2.5143142094604797890071349112278995333388257896948890506935464814882924133962877e-78,0.0,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,13.604754664690171176888260809753570063583527482858551966119481044213282524578035,4.1161035898022944979011655599002117320841444811938171415244963472682901157410914e-77,2.8006028898538928423504565055243379424805398015243776033608994333285600618992338e-77,4.4399992054511830942170005932480135600675089889259782657483651318520197457937909e-77,-150,-0.0034566412988150213307040742067145641825940958344843008590433370994140192709342174,-0.0034566412988150213307040742067145641825940958344843008590433370994140192709342174,-0.0022442291570304686239101052286634027376332463773485015188737160127791616205381002,-0.0022442291570304686239101052286634027376332463773485015188737160127791616205139267,-21365.788310864260714277625143543100815486489252171706871311872213186176842269233,-21365.788310864260714277625143543100815486489252171706871311872213186176842269233,-0.54178932562402455122960710792239751021689548015424199696643654629144884255510183,-0.54178932562402455122960710792239751021689548015424199696643654629144884255509932,-70.234077639575646730067880153035706094682427043338724761464421080744771417592428,-70.234077639575646730067880153035706094682427043338724761464421080744771417592428
-140,-0.0029598199614419898862706208538573806522082535508030526925158493703337005708093121,-0.0018981991570616654021695291458397975880136027642987255211190050225117697984412631,-18310.456854895346538866096564139671541554526419258070336608714453232116952198557,-0.3926752583317017347816898032533927891387259837667307252906572271341083930681425,-54.975569139327627342094110572323175562684618612613433465081106059888773698556376,-140,841299.58611091741647585836624205208277572949980814059432014307205335045438054889,217.19994164881979752039864977803323591001409046394772793102541740868420900665749,841082.38616926859667833796759227404953981948571767664659221204663594177017154224,3873.387716978186390152252763148944440167609729147325611921065205177469252093784,1682599.1722218348329517167324841041655514589996162811886402861441067009087610978,3.3035906559697377140734775268929221749684598412318765144804299904792488559816366e-77,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,2.0820840937880283368088433751258287540227173730177802411403581974588584974665275e-79,0.0,0.0,10.351470886956952988704843285146443503736964946312113057188068086556429031554202,5.5829736614166567818402280637612485948724556527049474440344419788972429961025517e-77,3.4033009894894769383148082625381392075387904523343996088605037695237140356588346e-77,4.4878820854578072806734045006399893795841670862412660395988346738900948103630353e-77,-140,-0.0029598199614419898862706208538573806522082535508030526925158493703337005708093121,-0.0029598199614419898862706208538573806522082535508030526925158493703337005708093121,-0.001898199157061665402169529145839797588013602764298725521119005022511769798474299,-0.0018981991570616654021695291458397975880136027642987255211190050225117697984412631,-18310.456854895346538866096564139671541554526419258070336608714453232116952198557,-18310.456854895346538866096564139671541554526419258070336608714453232116952198557,-0.39267525833170173478168980325339278913872598376673072529065722713410839306814229,-0.3926752583317017347816898032533927891387259837667307252906572271341083930681425,-54.975569139327627342094110572323175562684618612613433465081106059888773698556376,-54.975569139327627342094110572323175562684618612613433465081106059888773698556376
-130,-0.0025271667661627402773835365584285681826050293088469411569574656790657151939957378,-0.0015966338957961591887934599795585765260156411730761409088265437936932832013301126,-15651.009554633767291649076159476026347679414058322692717469411850423225605899503,-0.28385603003076455857694562589680772580950248438133166362326800297050511100115852,-41.258947592383983184823234810725645918522252148434665699919868306021500948650305,-130,836572.59267535870433475504243925578153313176631506916101704119441066643247079595,160.53374579164421689302751610067946773602581806140583807231586052216546339393642,836412.05892956706011786201492315510206539574049700775517896887855014426700740202,5211.1946217285756271323517453720838352783531618110477151137959807912776501676652,1673145.1853507174086695100848785115630662635326301383220340823888213328649415919,1.7954707639363950100219039503620553175288664742920186841264891521457489184205486e-77,0.0,1.6082122962398163178743749715212413996261546088803158267643627494802474115874368e-78,6.7470066836675348635830873928128121649343752847158448320497683360692123462206461e-80,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-84,7.898987584862843347913968846338539539560892154043794681879874236911692611535985,2.9888772597845675667330008794242967657599801124286414834889324661394490636194659e-77,1.8436847426058217217511921014812475627835433147858198813634900585845167620060451e-77,2.4794405529470106521024100362962913575659110131827638810563738891518838513863089e-77,-130,-0.0025271667661627402773835365584285681826050293088469411569574656790657151939957378,-0.0025271667661627402773835365584285681826050293088469411569574656790657151939957378,-0.0015966338957961591887934599795585765260156411730761409088265437936932832013480674,-0.0015966338957961591887934599795585765260156411730761409088265437936932832013301126,-15651.009554633767291649076159476026347679414058322692717469411850423225605899503,-15651.009554633767291649076159476026347679414058322692717469411850423225605899503,-0.28385603003076455857694562589680772580950248438133166362326800297050511100115691,-0.28385603003076455857694562589680772580950248438133166362326800297050511100115852,-41.258947592383983184823234810725645918522252148434665699919868306021500948650305,-41.258947592383983184823234810725645918522252148434665699919868306021500948650305
-120,-0.0021739146017912841127657915072668641037519937522768026655802393102222299760273545,-0.0013478554259878706573011842113366356243566450517550238611192008886144023085341355,-13480.850864173760856877718451852259314945228222066597164811801486560283490507869,-0.20677275268670095031902329700288638510359529066516327856126890559906506017373917,-29.647807954200658699939864085809103464644652273067735287849371360364031412723209,-120,831872.65021472379175320611439327734788255101235988661820667043670471115523744118,124.87596577170143667401737842342473558298022052154020408550216731770086135432893,831747.77424895209031653209701485392314696803213936507800258493453739345437608685,6661.5913244311200810703688585833457936343687974771776383263884337223126944424112,1663745.3004294475835064122287865546957651020247197732364133408734094223104748824,1.1124151977973277552871422405870556721042600570897239093031626038851203953044472e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,9.4642582035352022246589323545276595641716178310213276530823117557908365372181017e-79,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,6.0514943261308921852828899721758222214783682563972381290773013597249233885599514,1.818062964825164793410611708206276403514982677268320250706903807960918797512236e-77,2.6679821847286813550156546209867815409971856137934565517579865392488166964566281e-77,4.7298605704529318072311867201174484070217422979397667363132855550335908775987343e-77,-120,-0.0021739146017912841127657915072668641037519937522768026655802393102222299760273546,-0.0021739146017912841127657915072668641037519937522768026655802393102222299760273545,-0.0013478554259878706573011842113366356243566450517550238611192008886144023085452597,-0.0013478554259878706573011842113366356243566450517550238611192008886144023085341355,-13480.850864173760856877718451852259314945228222066597164811801486560283490507869,-13480.850864173760856877718451852259314945228222066597164811801486560283490507869,-0.20677275268670095031902329700288638510359529066516327856126890559906506017373822,-0.20677275268670095031902329700288638510359529066516327856126890559906506017373917,-29.647807954200658699939864085809103464644652273067735287849371360364031412723209,-29.647807954200658699939864085809103464644652273067735287849371360364031412723209
-110,-0.0019020864265872194800192171695013755300078481910323315290047846948859339686374781,-0.0011510349562596678811573217051442710379094876921007319571714020170376335644771681,-11811.808533545413079844805705284684452659496927737279479826689348408211833166694,-0.15321866845777033658302739015351400239998585998312482848535993866809664303450532,-20.411537850514939268151056727059969975528940938368547715696834951853674118126525,-110,827199.64074360495204601881179630261473340133024125344948596916457987284222912908,103.13522000531138362969080524374249316419724721802383437708231210427512756607736,827096.50552359964066238912099105887224023713299403542565159208226776856710156301,8020.5349898997143148509613030736095797074663821704550276106769780167544823892762,1654399.2814872099040920376235926052294668026604825068989719383291597456844582582,3.3907991353343800089564905757092709574017117977508707487242304979976742223376953e-78,0.0,1.2956361272230313042724397509010853360475542538930895779045570757857909333601835e-78,3.3735033418337674317915436964064060824671876423579224160248841680346061731103231e-80,2.0590230357872115672555808693886755874433518324938491308745630908414344318300312e-84,4.661132650243093520127914953857364767582501590624902510407933938033784314653627,-5.4455117391164583391992378854239336187297047464041305161734263535382294238083932e-78,8.3046601655611048989355748588905648273262190093919824967597099118103076902889825e-78,1.4887673298802123680427390048453391031148645178325211912975848328167086982717482e-77,-110,-0.0019020864265872194800192171695013755300078481910323315290047846948859339686374781,-0.0019020864265872194800192171695013755300078481910323315290047846948859339686374781,-0.0011510349562596678811573217051442710379094876921007319571714020170376335644737773,-0.0011510349562596678811573217051442710379094876921007319571714020170376335644771681,-11811.808533545413079844805705284684452659496927737279479826689348408211833166694,-11811.808533545413079844805705284684452659496927737279479826689348408211833166694,-0.15321866845777033658302739015351400239998585998312482848535993866809664303450403,-0.15321866845777033658302739015351400239998585998312482848535993866809664303450532,-20.411537850514939268151056727059969975528940938368547715696834951853674118126525,-20.411537850514939268151056727059969975528940938368547715696834951853674118126525
-100,-0.0017015540674595291006243109438304427251929603898290992066513415369009734950423518,-0.00099729135496821275716862947683900348483295286340337754006678251705975536439866898,-10580.82675540682035679853857979596345293841579806993183730776724503370254655899,-0.11607358441479460987347920408600021399162938929435608740728027434134077958180911,-13.497100963344118167481016536136526755633981575158822384927719471549864754346737,-100,822553.45759418604251245363059668067869714561545358403848512092348917416928658553,90.668785925714853449139427268514149628592900696191424213266508080688418517982794,822462.78880826032765900449116941216454751702255288784706090765698109348086806754,9072.0687301151908844190343388327197398756893935112774888767671702001168219577262,1645106.9151883720850249072611933613573942912309071680769702418469783483385731711,1.1811346798121187839019838009867288421000644358288396252762749721293351011798882e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,1.2323829395636481649263483065934652220012944855988785326040904976351420676143649e-78,5.0602550127506511476873155446096091237007814635368836240373262520519092596654846e-80,6.1770691073616347017667426081660267623300554974815473926236892725243032954900935e-84,3.6162571884695697233035230957651639073118930533121533296829599827801471569502999,-1.8686627309235398190030196832757426417890532436391370886750629155063150855886169e-77,1.5572780630999876873673158098781558166443649669992399225196074903189784780114693e-77,2.7392206171708316871232941941231552227468817664235476060026921374094255909663028e-77,-100,-0.0017015540674595291006243109438304427251929603898290992066513415369009734950423518,-0.0017015540674595291006243109438304427251929603898290992066513415369009734950423518,-0.00099729135496821275716862947683900348483295286340337754006678251705975536438685764,-0.00099729135496821275716862947683900348483295286340337754006678251705975536439866898,-10580.82675540682035679853857979596345293841579806993183730776724503370254655899,-10580.82675540682035679853857979596345293841579806993183730776724503370254655899,-0.11607358441479460987347920408600021399162938929435608740728027434134077958180787,-0.11607358441479460987347920408600021399162938929435608740728027434134077958180911,-13.497100963344118167481016536136526755633981575158822384927719471549864754346737,-13.497100963344118167481016536136526755633981575158822384927719471549864754346737
-90,-0.0015548876196493459025304488030605724824990139859167080377312686916323268131315122,-0.00087329457090010793866372890151910474773430845062221533390465963396187896439015479,-9680.0111396526242239483760962834009834301716337406032812372467955106730191577711,-0.089806452039866465475776812082431604812114193002695650919995843475492809705210272,-8.6041786928803104591055788418737355581344567858013021036663925688319252932229486,-90,817934.00804122160155830931826528939618542757433474958569837357785797767397215259,84.441835360919930697749998647670125392160047667694191272446535832152160662749676,817849.56620586068162761156826664172606003541428708189150710113132214552181148984,9686.3599014069419172268263933176910274166196342597572172262552152854893486884528,1635868.0160824432031166186365305787923708551486694991713967471557159553479443052,1.2115240066996058181442656445961232439626996098597995939837657362433729161027108e-78,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,3.6511584801636013372128242654817302080827487502660529836250572517083919233737391e-78,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-80,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,2.8325707467248915199149970912751716014694154182692507268068140936629303244832632,1.8900760927767707942422428220498119082821734185549176866913478804813289544126725e-78,4.2421264097354596255024974614186756940955408282667633333893968856964324064027806e-78,7.156657377110715160117125364480888624810192859518276615500339323688028662409721e-78,-90,-0.0015548876196493459025304488030605724824990139859167080377312686916323268131315122,-0.0015548876196493459025304488030605724824990139859167080377312686916323268131315122,-0.00087329457090010793866372890151910474773430845062221533390465963396187896439136631,-0.00087329457090010793866372890151910474773430845062221533390465963396187896439015479,-9680.0111396526242239483760962834009834301716337406032812372467955106730191577712,-9680.0111396526242239483760962834009834301716337406032812372467955106730191577711,-0.089806452039866465475776812082431604812114193002695650919995843475492809705213923,-0.089806452039866465475776812082431604812114193002695650919995843475492809705210272,-8.6041786928803104591055788418737355581344567858013021036663925688319252932229485,-8.6041786928803104591055788418737355581344567858013021036663925688319252932229486
-80,-0.0014431982900623467559374405406893893921412649090774964251392080275280035248498228,-0.0007653971721126321027293870391433852232554066496809781701831176297194671918635693,-8992.72359166653075970143856178144945920555729109259940598636901055270186121461,-0.070557035815992056828631790377322239398397566413194308666991479268115646740435718,-5.3109076299977823886793008596898576076233411544342922557880738700726147696779693,-80,813341.21660657894917463298547455286605072025833024911825575082681507602005133908,82.475755264971326186737387890348177256587131894475794847486439660488422588248177,813258.74085131397784844624808666251787346367119835464246090334037541553162875083,9861.5794907672339975561138083661726339368824811643719040286521061926812312176005,1626682.4332131578983492659709491057321014405166604982365115016536301520401026782,6.8639643396578379486321225251462624099901262771810766973062707060367329255346715e-78,0.0,5.9761084590688028528025979153136920249955843586301477174503319148581792949434825e-79,5.0602550127506511476873155446096091237007814635368836240373262520519092596654846e-80,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-84,2.2464297498951826360917228061977788368540218914590082190793632306421961757092136,1.0533000659201346296124906131016138619199209926134092942663450028285379708873497e-77,7.2018795612905041740730234806157059403781867678048633714265378700799620338444034e-78,1.0149885068679647332088942608795077220474125102892500755411817524229445225079834e-77,-80,-0.0014431982900623467559374405406893893921412649090774964251392080275280035248498228,-0.0014431982900623467559374405406893893921412649090774964251392080275280035248498228,-0.00076539717211263210272938703914338522325540664968097817018311762971946719187043326,-0.0007653971721126321027293870391433852232554066496809781701831176297194671918635693,-8992.72359166653075970143856178144945920555729109259940598636901055270186121461,-8992.72359166653075970143856178144945920555729109259940598636901055270186121461,-0.070557035815992056828631790377322239398397566413194308666991479268115646740436316,-0.070557035815992056828631790377322239398397566413194308666991479268115646740435718,-5.3109076299977823886793008596898576076233411544342922557880738700726147696779692,-5.3109076299977823886793008596898576076233411544342922557880738700726147696779693
-70,-0.0013504722520005483007387440641328845439465419443072225667515301342339738186202694,-0.00066257078805784486692376998743316892665824948350868246936644571209067211602961288,-8420.2927619604830947860472431253943255697351418770486643043942195839122439291952,-0.05587187993518365927491462822390113334711432035560647587242165840260600111209882,-3.1880744311961443315748007144465595407128016689535354867278658248237969979922068,-70,808775.0292240442940619664039081612887048891102117248861627133983315469112611763,83.486190063886165160818891231371333799178358267583170182977134059686973085245523,808691.54303398040789680558501692991737108993185345730299253042119748722428809105,9687.5306994503534991401304227476484428587808807277733743519413352838046941164775,1617550.0584480885881239328078163225774097782204234497723254267966630938225223526,3.1101573840911367531569057865828985578465641080097078529597238605606229714309098e-78,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,7.4658528059215661659433557859337865860225982764760974406206958023437739350611466e-79,8.4337583545844185794788592410160152061679691058948060400622104200865154327758077e-81,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-84,1.8097887009151237356899826682112601244616802035204707824088054020236330567090739,4.6678125995675501177972866110206914814297187030151142090735601144419831638385001e-78,4.8013014279642647036251604269247084435348301901580286181017452939037378436272379e-78,8.9770284566991561347086972386468401653000920669544278733778874600044686322018478e-78,-70,-0.0013504722520005483007387440641328845439465419443072225667515301342339738186202694,-0.0013504722520005483007387440641328845439465419443072225667515301342339738186202694,-0.00066257078805784486692376998743316892665824948350868246936644571209067211603272304,-0.00066257078805784486692376998743316892665824948350868246936644571209067211602961288,-8420.2927619604830947860472431253943255697351418770486643043942195839122439291951,-8420.2927619604830947860472431253943255697351418770486643043942195839122439291952,-0.055871879935183659274914628223901133347114320355606475872421658402606001112099566,-0.05587187993518365927491462822390113334711432035560647587242165840260600111209882,-3.1880744311961443315748007144465595407128016689535354867278658248237969979922068,-3.1880744311961443315748007144465595407128016689535354867278658248237969979922068
-60,-0.0012655019673273045055011713182599232718646454071740037115814316755166087839019366,-0.00055750308022025227730393713118256437680331759787895570491217541034890680029573503,-7893.8610175258108216639721449642986731924625543140451511143876144100352189501823,-0.044296789840402512111610921443500537401108040584578198929658219471997798187187505,-1.8688251143369553211961519407131277478064137107688789337082547983390678919590229,-60,804235.41849791453729972962189713404945720479456173604002007068197263503551939702,86.645597862557873474967242102606654184557981226534038223104505324294291820416235,804148.7729000519794262546546550314428030202365805095059818475774673107412275766,9281.8958878169211355116293159310747866332257780881242679283676279592146182177806,1608470.836995829074599459243794268098914409589123472080040141363945270071038794,1.4663960551384542275738632113516616742032000297413857209508117793169981943779275e-77,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,9.5874701419967089648435063137518779113242280046777595850738456111467879736188107e-79,2.9518154241045465028176007343556053221587891870631821140217736470302804014715327e-80,6.1770691073616347017667426081660267623300554974815473926236892725243032954900935e-84,1.4863823926169663857912292640273355600967160807752476027443939402962432768192544,2.1375801214966657962821131974480886370703668405526403513819703761339833167900388e-77,1.9751334920470746187448972355378106803007657711130988470822909682073772715110258e-77,3.3892496937207786010325462047158983382898785779954556102781970583104440303090977e-77,-60,-0.0012655019673273045055011713182599232718646454071740037115814316755166087839019366,-0.0012655019673273045055011713182599232718646454071740037115814316755166087839019366,-0.00055750308022025227730393713118256437680331759787895570491217541034890680031039899,-0.00055750308022025227730393713118256437680331759787895570491217541034890680029573503,-7893.8610175258108216639721449642986731924625543140451511143876144100352189501824,-7893.8610175258108216639721449642986731924625543140451511143876144100352189501823,-0.044296789840402512111610921443500537401108040584578198929658219471997798187186546,-0.044296789840402512111610921443500537401108040584578198929658219471997798187187505,-1.8688251143369553211961519407131277478064137107688789337082547983390678919590229,-1.8688251143369553211961519407131277478064137107688789337082547983390678919590229
