voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-1.0294585150623307e-07,3.202425812566707e-05,-0.28284323265055467,0.00030785727186943834,0.10279075244855895,-150,468037959889.27454,0.0042953198053444965,468037959889.27026,108964636185392.62,32026520314166924.0,2.9811818771517846e-12,2.1720514276069025e-11,4.402402921377391e-16,4.810764286933278e-11,4.497281728777305e-18,-1.7925784120964572e-11,-0.0051362552253692772,5.7817468904150879e-11,9.6215920755877982e-11,-150,-1.0294585151073035e-07,-1.0294585150623307e-07,3.202426110684895e-05,3.202425812566707e-05,-0.28284323262883415,-0.28284323265055467,0.0003078572718689981,0.00030785727186943834,0.10279075240045131,0.10279075244855895
-140,-3.4048733982749986e-08,4.313592066603096e-05,-0.150996887333396,0.00037239122200627417,0.12001811055375791,-140,281491075963.07037,0.0036894109979776391,281491075963.06671,76297023052560.562,45721957823336304.0,3.49892847510626e-11,5.509806499937042e-11,3.28464469165346e-15,6.948275288465311e-12,2.3100547235315296e-17,-2.0863741550386505e-10,-0.0044196009403942816,7.0994741583887687e-11,1.240929052223616e-10,-140,-3.404873400585053e-08,-3.4048733982749986e-08,4.313595565531571e-05,4.313592066603096e-05,-0.15099688738849407,-0.150996887333396,0.0003723912220095588,0.00037239122200627417,0.12001811054680964,0.12001811055375791
-130,3.411031301824729e-09,5.134900640282734e-05,-0.08042125402494316,0.0004259111203091248,0.13103941608587127,-130,169337908424.08868,0.003178434423602773,169337908424.08551,53277143982144.273,38493608818926800.0,1.3482772203928829e-11,1.3327339232205304e-11,1.2932363513407097e-15,2.7725460816085956e-11,3.179686410556901e-19,-7.9482945399000915e-11,-0.0038169326380504327,3.3599682328500669e-11,5.5450972481253802e-11,-130,3.4110313015067603e-09,3.411031301824729e-09,5.134901988559954e-05,5.134900640282734e-05,-0.08042125401161582,-0.08042125402494316,0.00042591112031041805,0.0004259111203091248,0.1310394160581458,0.13103941608587127
-120,2.4101233191619837e-08,5.7724699810505705e-05,-0.04217233894802641,0.0004741160638536135,0.1382149138567489,-120,101911515721.60965,0.002747583521470514,101911515721.6069,37091325859701.742,3.4700845013653178e+17,1.913150355774577e-11,7.675471369594788e-12,1.938011383317839e-15,1.739841604120329e-11,4.950805006305429e-18,-1.1101064902388491e-10,-0.0033109406710422184,3.9501092428712302e-11,7.3063998861505608e-11,-120,2.410123319657064e-08,2.4101233191619837e-08,5.772471894200926e-05,5.7724699810505705e-05,-0.04217233895570188,-0.04217233894802641,0.0004741160638555515,0.0004741160638536135,0.1382149138741473,0.1382149138567489
-110,3.602125931618202e-08,6.295693964547755e-05,-0.020586679598539326,0.0005209545601568277,0.14301396663224625,-110,61375640665.381348,0.0023843615364916955,61375640665.37896,25740912074805.695,2.5847075049449613e+17,1.452522673808191e-11,3.86710108379873e-12,1.3815988283982783e-15,1.6819878823071122e-13,5.225266842272974e-19,-8.2604610651682009e-11,-0.0028860124026616925,1.8525743982961635e-11,2.9389564620927594e-11,-110,3.602125931670455e-08,3.602125931618202e-08,6.295695417070429e-05,6.295693964547755e-05,-0.020586679602406427,-0.020586679598539326,0.0005209545601582093,0.0005209545601568277,0.14301396663241445,0.14301396663224625
-100,4.363474477388253e-08,6.746246246661558e-05,-0.006984158114561545,0.0005690770585481675,0.14634630940222923,-100,37006829977.408394,0.0020782211950914858,37006829977.406319,17806973610323.184,8.8106499210959603e+17,1.886823623774639e-11,2.91225550619334e-11,1.6451683765295044e-15,3.2532920801742193e-11,5.497971746619456e-19,-1.0483038439049186e-10,-0.0025286753468754951,5.2525481239329964e-11,1.0280547360673811e-10,-100,4.3634744773332734e-08,4.363474477388253e-08,6.746248133485182e-05,6.746246246661558e-05,-0.0069841581436841,-0.006984158114561545,0.0005690770585498126,0.0005690770585481675,0.14634630943476215,0.14634630940222923
-90,4.968331551001864e-08,7.146904372337676e-05,0.003959198874665226,0.0006202880558848212,0.14878185094724503,-90,22357966221.461609,0.0018202605907842021,22357966221.459789,12282838146723.477,47091053537913688.0,1.1647647405496446e-11,2.2233256902204346e-11,1.3570958593001059e-15,1.0967060593003453e-12,8.467742051586938e-18,-6.3113223414817954e-11,-0.0022276094323502721,2.6855447199673597e-11,4.4466751407314792e-11,-90,4.96833155015509e-08,4.968331551001864e-08,7.146905537102416e-05,7.146904372337676e-05,0.003959198852431969,0.003959198874665226,0.0006202880558861783,0.0006202880558848212,0.14878185094834173,0.14878185094724503
-80,5.628566152171202e-08,7.50835121886118e-05,0.016407245024913975,0.0006758968258502307,0.15068674317286063,-80,13552936096.882568,0.001602966510884472,13552936096.880966,8454909073181.0967,71323916945394816.0,5.785517979408836e-12,6.155746051783595e-12,7.227291681788373e-16,4.1175396425785493e-13,3.753480921969623e-18,-3.0568605806358118e-11,-0.0019734330318486393,1.4299589162281828e-11,2.3883683225589536e-11,-80,5.62856615254655e-08,5.628566152171202e-08,7.508351797412977e-05,7.50835121886118e-05,0.01640724503106972,0.016407245024913975,0.0006758968258509534,0.0006758968258502307,0.15068674317244887,0.15068674317286063
-70,6.572823650185514e-08,7.83389524038981e-05,0.03495480672967344,0.0007369580780141466,0.15230445007272508,-70,8261356698.2994232,0.0014199978036489821,8261356698.2980032,5817865828433.0684,1.2554364203150088e+17,1.5910529187548872e-12,6.558018017521761e-12,1.5720931501039814e-16,3.469169396197458e-13,3.008025753936834e-18,-8.2075737265624449e-12,-0.0017584130342498648,8.5961630574114379e-12,1.3809801989016907e-11,-70,6.572823649884711e-08,6.572823650185514e-08,7.833895399495102e-05,7.83389524038981e-05,0.03495480672311542,0.03495480672967344,0.0007369580780143038,0.0007369580780141466,0.15230445007237817,0.15230445007272508
-60,8.120007426304935e-08,8.122589620610817e-05,0.06612497897449998,0.0008044259732919445,0.15380314587519062,-60,5082163917.5214977,0.0012660025396357291,5082163917.5202322,4014339433303.0366,2.0590783390228582e+17,4.6842888454853154e-12,6.665681895334785e-12,5.925164872633282e-16,6.07594530244171e-12,5.062742395518555e-19,2.3650912608572106e-11,-0.0015761786951125386,1.0957134711249694e-11,2.1521304161518928e-11,-60,8.120007426355563e-08,8.120007426304935e-08,8.122589152181932e-05,8.122589620610817e-05,0.06612497898116566,0.06612497897449998,0.000804425973291352,0.0008044259732919445,0.15380314586911467,0.15380314587519062
-50,1.0757010544821249e-07,8.371280803413968e-05,0.11996815846123154,0.0008792479741506903,0.1553031903072366,-50,3173015554.8970356,0.0011364636954622729,3173015554.8958993,2792007846415.5127,1.7030230660588054e+17,2.229651969239306e-12,9.369505171719084e-12,3.2569433261464553e-16,4.616584892147557e-13,5.008148475090055e-18,-1.1056714571688886e-11,-0.0014214710497537433,1.5441281307974852e-11,2.4121847965255516e-11,-50,1.0757010545322064e-07,1.0757010544821249e-07,8.371281026379165e-05,8.371280803413968e-05,0.11996815847060105,0.11996815846123154,0.000879247974151016,0.0008792479741506903,0.15530319030769826,0.1553031903072366
-40,1.520298038051643e-07,8.575983002111738e-05,0.21138862981994588,0.0009624188212887935,0.15689297782071937,-40,2027482316.0139492,0.0010275689105357783,2027482316.0129216,1973086471599.0798,1.3165593248923763e+18,4.341956820670158e-12,7.578965233179247e-12,4.66423774603264e-16,6.904060656509614e-12,2.126052697608294e-18,-2.1237776945057241e-11,-0.001289935042080591,1.2212066386484826e-11,2.3842898873782312e-11,-40,1.5202980380729037e-07,1.520298038051643e-07,8.57598343630742e-05,8.575983002111738e-05,0.21138862982752485,0.21138862981994588,0.00096241882128926,0.0009624188212887935,0.1568929778138153,0.15689297782071937
