voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.3261808883334336,-97798.08649987672,-460122.3180694026,-97798.08649987687,-460122.3180694024,-150,101661864.61744003,437091.23965534702,101224773.37778468,232.58728474540447,4.7690114725971053e+17,1.3096723705530167e-10,2.9103830456733704e-10,1.4551915228366852e-11,1.1641532182693481e-10,1.1102230246251565e-16,458737.51215940947,2.9103830456733704e-10,2.9822551779098565e-10,4.9476511776447296e-10,-150,-0.3261808883334335,-0.3261808883334336,-97798.08649987685,-97798.08649987672,-460122.3180694023,-460122.3180694026,-97798.08649987685,-97798.08649987687,-460122.3180694023,-460122.3180694024
-140,-0.2691285034578819,-87464.81938534904,-376255.8915836707,-87464.81938534898,-376255.89158367063,-140,85156683.532772973,399649.3087426264,84757034.224030346,213.0785207678509,9.9194538493916429e+17,1.1641532182693481e-10,1.7462298274040222e-10,4.3655745685100555e-11,1.1641532182693481e-10,5.551115123125783e-17,414120.95060221711,-5.8207660913467407e-11,3.0070046079013009e-10,5.6752469390630722e-10,-140,-0.26912850345788186,-0.2691285034578819,-87464.81938534892,-87464.81938534904,-376255.8915836705,-376255.8915836707,-87464.81938534894,-87464.81938534898,-376255.8915836705,-376255.89158367063
-130,-0.22203297068271732,-78006.92958117063,-307489.9351512331,-78006.9295811707,-307489.9351512333,-130,71538763.655249089,366207.20243857335,71172556.452810511,195.35050970836329,4.0159907791422611e+17,8.731149137020111e-11,5.820766091346741e-11,1.4551915228366852e-11,1.1641532182693481e-10,2.7755575615628914e-17,373908.19753955927,1.1641532182693481e-10,1.6269535826721329e-10,2.7648638933897018e-10,-130,-0.2220329706827173,-0.22203297068271732,-78006.92958117071,-78006.92958117063,-307489.93515123316,-307489.9351512331,-78006.92958117071,-78006.9295811707,-307489.93515123316,-307489.9351512333
-120,-0.1830954694700122,-69329.75934727522,-251064.62948680588,-69329.7593472752,-251064.629486806,-120,60305951.139913417,336430.22090301686,59969520.919010401,179.25247909669176,1.9235033904234373e+18,1.4551915228366852e-11,2.9103830456733704e-11,0.0,8.731149137020111e-11,2.7755575615628914e-17,337681.33104259055,0.0,9.7617214960327975e-11,1.8917489796876907e-10,-120,-0.18309546947001218,-0.1830954694700122,-69329.7593472752,-69329.75934727522,-251064.6294868059,-251064.62948680588,-69329.7593472752,-69329.7593472752,-251064.6294868059,-251064.629486806
-110,-0.1508370541450983,-61346.46464746411,-204715.42895139015,-61346.46464746413,-204715.42895139006,-110,51046950.879502527,310020.34609636012,50736930.533406168,164.65677663502828,2.6270102076569232e+17,2.9103830456733704e-11,2.9103830456733704e-11,1.4551915228366852e-11,5.820766091346741e-11,0.0,305064.67551718903,8.7311491370201111e-11,1.1082408463500773e-10,2.0372681319713593e-10,-110,-0.1508370541450983,-0.1508370541450983,-61346.46464746414,-61346.46464746411,-204715.42895139012,-204715.42895139015,-61346.46464746414,-61346.46464746413,-204715.42895139012,-204715.42895139006
-100,-0.12404013684156213,-53977.145985103634,-166582.17738441777,-53977.14598510372,-166582.17738441785,-100,43425215.288054474,286713.25911487255,43138502.028939605,151.45869229108803,5.3633475622266624e+17,6.548361852765083e-11,2.9103830456733704e-11,2.9103830456733704e-11,5.820766091346741e-11,1.3877787807814457e-17,275725.10904544365,1.7462298274040222e-10,9.7617214960327975e-11,1.8917489796876907e-10,-100,-0.12404013684156215,-0.12404013684156213,-53977.1459851037,-53977.145985103634,-166582.1773844178,-166582.17738441777,-53977.14598510369,-53977.14598510372,-166582.1773844178,-166582.17738441785
-90,-0.10170039262334614,-47148.04874210751,-135134.45350557883,-47148.04874210746,-135134.45350557883,-90,37165788.242805094,266275.69479826093,36899512.548006833,139.57634500198412,2.6976062200694611e+17,5.820766091346741e-11,0.0,7.275957614183426e-12,0.0,1.3877787807814457e-17,249375.19737706595,-1.1641532182693481e-10,5.9999083541590671e-11,7.2759576141834259e-11,-90,-0.10170039262334615,-0.10170039262334614,-47148.04874210745,-47148.04874210751,-135134.45350557883,-135134.45350557883,-47148.048742107465,-47148.04874210746,-135134.45350557883,-135134.45350557883
-80,-0.0829871642860397,-40790.82501792869,-109110.14973516752,-40790.825017928706,-109110.14973516752,-80,32044579.696270727,248503.10713354201,31796076.589137185,128.95041863219211,5.2500763697355238e+17,7.275957614183426e-12,1.4551915228366852e-11,1.4551915228366852e-11,1.4551915228366852e-11,0.0,225779.74516290976,5.8207660913467407e-11,3.1715163957710858e-11,6.5483618527650833e-11,-80,-0.0829871642860397,-0.0829871642860397,-40790.8250179287,-40790.82501792869,-109110.14973516754,-109110.14973516752,-40790.82501792869,-40790.825017928706,-109110.14973516754,-109110.14973516752
-70,-0.06721078486781965,-34841.849580799164,-87464.81938534896,-34841.84958079907,-87464.81938534896,-70,27879643.609289248,233217.62208979434,27646425.987199452,119.54346914040192,4.3787081351465485e+17,1.1641532182693481e-10,2.9103830456733704e-11,0.0,2.9103830456733704e-11,2.7755575615628914e-17,204765.77822888261,-1.7462298274040222e-10,1.8492959537454348e-10,3.2014213502407074e-10,-70,-0.06721078486781962,-0.06721078486781965,-34841.84958079905,-34841.849580799164,-87464.81938534894,-87464.81938534896,-34841.84958079907,-34841.84958079907,-87464.81938534894,-87464.81938534896
-60,-0.0537955130101757,-29241.583085024147,-69329.75934727522,-29241.5830850242,-69329.7593472752,-60,24524111.874644384,220266.25739507109,24303845.617249314,111.33848717762415,7.1209740521151014e+17,6.548361852765083e-11,0.0,0.0,1.4551915228366852e-11,2.0816681711721685e-17,186234.59320480417,1.1641532182693481e-10,1.1106267282210862e-10,1.8189894035458565e-10,-60,-0.05379551301017572,-0.0537955130101757,-29241.583085024213,-29241.583085024147,-69329.75934727522,-69329.75934727522,-29241.5830850242,-29241.5830850242,-69329.75934727522,-69329.7593472752
-50,-0.042257001115710825,-23933.976181199672,-53977.145985103685,-23933.976181199716,-53977.1459851037,-50,21860503.007356018,209519.39143840355,21650983.615917616,104.33641896951944,1.4583593131275213e+18,5.820766091346741e-11,2.1827872842550278e-11,0.0,7.275957614183426e-12,2.0816681711721685e-17,170172.2479783826,1.0186340659856796e-10,1.0593954196200529e-10,1.6007106751203537e-10,-50,-0.042257001115710846,-0.042257001115710825,-23933.97618119973,-23933.976181199672,-53977.14598510371,-53977.145985103685,-23933.976181199716,-23933.976181199716,-53977.14598510371,-53977.1459851037
