voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-1.0294584870351966e-07,3.202415161302548e-05,-0.2828432249649224,0.0003078572821210712,0.10279074971578607,-150,468037959889.27454,0.0042953198053444965,468037959889.27026,108964636185392.62,32026520314166924.0,1.193334169883307e-10,7.251121925122561e-11,1.854272762896389e-11,1.1683097544956667e-10,5.613487188290241e-17,0.0043799514648834676,-1.4070058920040429e-10,2.0330509487999456e-10,4.1576949554641279e-10,-150,-1.0294584875965453e-07,-1.0294584870351966e-07,3.202427094644247e-05,3.202415161302548e-05,-0.28284322503743364,-0.2828432249649224,0.0003078572635783436,0.0003078572821210712,0.1027907495989551,0.10279074971578607
-140,-3.4048731471041566e-08,4.313568034125504e-05,-0.1509968762826832,0.00037239121570148415,0.12001810194029316,-140,281491075963.07037,0.0036894109979776391,281491075963.06671,76297023052560.562,45721957823336304.0,3.0085914606115894e-10,2.521200470617657e-10,2.049659302959944e-11,5.210923359477704e-11,9.295062292227364e-17,0.0037635650101076725,-3.5417808399648698e-10,3.9722271887612146e-10,6.4945204140791357e-10,-140,-3.404873156399219e-08,-3.4048731471041566e-08,4.31359812004011e-05,4.313568034125504e-05,-0.15099687653480326,-0.1509968762826832,0.0003723911952048911,0.00037239121570148415,0.12001810188818393,0.12001810194029316
-130,3.4110315180516903e-09,5.134916689501578e-05,-0.08042125849200166,0.0004259110619332096,0.13103942341026656,-130,169337908424.08868,0.003178434423602773,169337908424.08551,53277143982144.273,38493608818926800.0,1.668213912278324e-10,3.4170596907578954e-11,8.246184746325824e-11,1.0802586603020359e-10,4.6746983216898224e-18,0.0032440801551015231,1.9648552663370511e-10,2.1812127905533139e-10,4.0198396260987534e-10,-130,3.4110315227263886e-09,3.4110315180516903e-09,5.134900007362455e-05,5.134916689501578e-05,-0.08042125852617225,-0.08042125849200166,0.00042591114439505706,0.0004259110619332096,0.13103942351829242,0.13103942341026656
-120,2.4101234353370258e-08,5.772481718981559e-05,-0.04217234105403922,0.0004741160741620065,0.1382149205778619,-120,101911515721.60965,0.002747583521470514,101911515721.6069,37091325859701.742,3.4700845013653178e+17,1.1510960420117082e-10,4.5621874333878765e-11,1.2804910614911541e-11,5.6401217030099815e-11,2.3607615568255202e-17,0.0028065180641652725,1.3667584512072617e-10,1.3666276714054695e-10,2.3021894124137382e-10,-120,2.4101234376977873e-08,2.4101234353370258e-08,5.772470208021139e-05,5.772481718981559e-05,-0.042172341008417345,-0.04217234105403922,0.00047411608696691713,0.0004741160741620065,0.1382149206342631,0.1382149205778619
-110,3.602126030617808e-08,6.295699687865024e-05,-0.02058668023177912,0.0005209545892286838,0.14301397062882873,-110,61375640665.381348,0.0023843615364916955,61375640665.37896,25740912074805.695,2.5847075049449613e+17,5.230545516024879e-11,5.403751751620334e-11,1.4549376352139543e-11,1.4723333663368976e-11,1.9977636020462197e-17,0.0024380295067664907,6.2263193732758904e-11,7.8025698106287292e-11,1.3752151164798249e-10,-110,3.602126032615571e-08,3.602126030617808e-08,6.295694457319508e-05,6.295699687865024e-05,-0.020586680177741602,-0.02058668023177912,0.0005209545746793074,0.0005209545892286838,0.14301397064355206,0.14301397062882873
-100,4.363474244523863e-08,6.746236871163155e-05,-0.006984157686226178,0.0005690770907696707,0.14634630152256564,-100,37006829977.408394,0.0020782211950914858,37006829977.406319,17806973610323.184,8.8106499210959603e+17,1.3099263088621992e-10,8.16935295452903e-11,6.309557086872641e-11,1.2967849016831678e-11,2.4229900234356395e-17,0.0021276968106614023,-1.5590468282686287e-10,1.6728055135400423e-10,2.8957821752474688e-10,-100,4.363474242100873e-08,4.363474244523863e-08,6.746249970426244e-05,6.746236871163155e-05,-0.006984157767919707,-0.006984157686226178,0.0005690770276740999,0.0005690770907696707,0.1463463015355335,0.14634630152256564
-90,4.9683315907836255e-08,7.146905968941948e-05,0.003959198384448026,0.00062028821161772,0.14878185283834935,-90,22357966221.461609,0.0018202605907842021,22357966221.459789,12282838146723.477,47091053537913688.0,7.80940831207784e-12,5.241152234436441e-10,1.4859276200977767e-10,3.6719338680768487e-10,1.091853857849416e-16,0.001866297929360667,8.8705765823038352e-12,6.5701490058368925e-10,1.0482302525440489e-09,-90,4.968331601702164e-08,4.9683315907836255e-08,7.146905188001117e-05,7.146905968941948e-05,0.0039591989085632495,0.003959198384448026,0.000620288063024958,0.00062028821161772,0.14878185247115597,0.14878185283834935
-80,5.628569034154829e-08,7.508416480091006e-05,0.016407253002359123,0.0006758971491915289,0.1506868206682675,-80,13552936096.882568,0.001602966510884472,13552936096.880966,8454909073181.0967,71323916945394816.0,8.213512229425729e-10,4.777887148421645e-10,2.4457036331033966e-11,3.189113417789713e-10,2.0414199448455023e-16,0.0016460676830341607,9.8664777866894204e-10,1.0025978828107061e-09,1.6427021662423005e-09,-80,5.628569054569028e-08,5.628569034154829e-08,7.508334344968712e-05,7.508416480091006e-05,0.01640725348014784,0.016407253002359123,0.0006758971736485652,0.0006758971491915289,0.15068682098717884,0.1506868206682675
-70,6.572827305037823e-08,7.833955699154655e-05,0.03495482613019241,0.0007369584362806464,0.15230453456206478,-70,8261356698.2994232,0.0014199978036489821,8261356698.2980032,5817865828433.0684,1.2554364203150088e+17,7.918016009701581e-10,1.0278972117916396e-11,5.099371315833712e-11,7.511677391214278e-10,1.170566445880941e-16,0.0014604780866165827,9.5502905020014572e-10,1.0926613208071675e-09,1.6043225731189256e-09,-70,6.572827316743487e-08,6.572827305037823e-08,7.833876518994558e-05,7.833955699154655e-05,0.034954826119913435,0.03495482613019241,0.0007369584872743595,0.0007369584362806464,0.15230453531323251,0.15230453456206478
-60,8.120014041538159e-08,8.122665610779412e-05,0.0661250327946199,0.0008044266070499628,0.1538032709161342,-60,5082163917.5214977,0.0012660025396357291,5082163917.5202322,4014339433303.0366,2.0590783390228582e+17,1.041030854822731e-09,4.558511901286977e-11,2.0524682105803327e-11,1.066114307946009e-09,1.5618973880481018e-16,0.0013040441550028503,1.2604295187863129e-09,1.4909205951995521e-09,2.1732782442694838e-09,-60,8.120014057157133e-08,8.120014041538159e-08,8.12256150769393e-05,8.122665610779412e-05,0.06612503274903478,0.0661250327946199,0.0008044266275746449,0.0008044266070499628,0.1538032719822485,0.1538032709161342
