voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.3261808883334335,-97798.08649987681,-460122.31806940224,-97798.08649987681,-460122.3180694023,-150,101661864.61744003,437091.23965534702,101224773.37778468,232.58728474540447,4.7690114725971053e+17,4.3655745685100555e-11,5.820766091346741e-11,4.3655745685100555e-11,0.0,0.0,437091.23965534708,2.4745341696339727e-10,2.1187908392401057e-10,4.3655745685100555e-10,-150,-0.3261808883334335,-0.3261808883334335,-97798.08649987685,-97798.08649987681,-460122.3180694023,-460122.31806940224,-97798.08649987685,-97798.08649987681,-460122.3180694023,-460122.3180694023
-140,-0.269128503457882,-87464.819385349,-376255.89158367063,-87464.81938534898,-376255.8915836708,-140,85156683.532772973,399649.3087426264,84757034.224030346,213.0785207678509,9.9194538493916429e+17,4.3655745685100555e-11,5.820766091346741e-11,2.9103830456733704e-11,2.3283064365386963e-10,5.551115123125783e-17,399649.30874262645,9.9264580946172259e-11,1.9360064027787408e-10,3.3469405025243759e-10,-140,-0.2691285034578819,-0.269128503457882,-87464.81938534895,-87464.819385349,-376255.8915836706,-376255.89158367063,-87464.81938534895,-87464.81938534898,-376255.8915836706,-376255.8915836708
-130,-0.22203297068271724,-78006.92958117064,-307489.93515123305,-78006.92958117064,-307489.93515123316,-130,71538763.655249089,366207.20243857335,71172556.452810511,195.35050970836329,4.0159907791422611e+17,1.0186340659856796e-10,1.7462298274040222e-10,1.0186340659856796e-10,5.820766091346741e-11,8.326672684688674e-17,366207.20243857347,2.0514854989178967e-10,5.8244029339954435e-10,1.0186340659856796e-09,-130,-0.22203297068271732,-0.22203297068271724,-78006.92958117074,-78006.92958117064,-307489.9351512332,-307489.93515123305,-78006.92958117074,-78006.92958117064,-307489.9351512332,-307489.93515123316
-120,-0.18309546947001223,-69329.75934727516,-251064.62948680602,-69329.75934727519,-251064.629486806,-120,60305951.139913417,336430.22090301686,59969520.919010401,179.25247909669176,1.9235033904234373e+18,7.275957614183426e-11,0.0,4.3655745685100555e-11,2.9103830456733704e-11,2.7755575615628914e-17,336430.22090301674,3.5960016647277031e-11,3.1914841673950008e-10,4.8021320253610611e-10,-120,-0.18309546947001226,-0.18309546947001223,-69329.75934727523,-69329.75934727516,-251064.62948680602,-251064.62948680602,-69329.75934727523,-69329.75934727519,-251064.62948680602,-251064.629486806
-110,-0.15083705414509824,-61346.4646474646,-204715.42895139003,-61346.464647463654,-204715.42895139006,-110,51046950.879502527,310020.34609636012,50736930.533406168,164.65677663502828,2.6270102076569232e+17,5.675246939063072e-10,1.1641532182693481e-10,4.802132025361061e-10,1.4551915228366852e-10,1.1102230246251565e-16,310020.34609636024,2.2197121013372853e-10,8.1982964306390336e-10,1.6007106751203537e-09,-110,-0.15083705414509813,-0.15083705414509824,-61346.46464746403,-61346.4646474646,-204715.4289513899,-204715.42895139003,-61346.464647464134,-61346.464647463654,-204715.4289513899,-204715.42895139006
-100,-0.12404013684156213,-53977.14598510394,-166582.17738441777,-53977.14598510346,-166582.1773844178,-100,43425215.288054474,286713.25911487255,43138502.028939605,151.45869229108803,5.3633475622266624e+17,3.2014213502407074e-10,5.820766091346741e-11,2.255546860396862e-10,8.731149137020111e-11,5.551115123125783e-17,286713.25911487266,9.2122940492152966e-11,5.394032048309058e-10,1.1059455573558807e-09,-100,-0.12404013684156208,-0.12404013684156213,-53977.14598510362,-53977.14598510394,-166582.1773844177,-166582.17738441777,-53977.145985103685,-53977.14598510346,-166582.1773844177,-166582.1773844178
-90,-0.10170039262334618,-47148.04874210745,-135134.45350557886,-47148.04874210744,-135134.45350557892,-90,37165788.242805094,266275.69479826093,36899512.548006833,139.57634500198412,2.6976062200694611e+17,2.9103830456733704e-11,2.9103830456733704e-11,4.3655745685100555e-11,2.9103830456733704e-11,0.0,266275.69479826081,1.5616342159752031e-10,2.0476359756823935e-10,3.2014213502407074e-10,-90,-0.10170039262334618,-0.10170039262334618,-47148.04874210748,-47148.04874210745,-135134.4535055789,-135134.45350557886,-47148.04874210749,-47148.04874210744,-135134.4535055789,-135134.45350557892
-80,-0.0829871642860397,-40790.82501792816,-109110.14973516754,-40790.82501792921,-109110.1497351675,-80,32044579.696270727,248503.10713354201,31796076.589137185,128.95041863219211,5.2500763697355238e+17,6.402842700481415e-10,0.0,6.184563972055912e-10,2.9103830456733704e-11,1.3877787807814457e-17,248503.10713354201,6.8942244148074247e-11,8.9331456689788605e-10,1.3533281162381172e-09,-80,-0.08298716428603971,-0.0829871642860397,-40790.8250179288,-40790.82501792816,-109110.14973516754,-109110.14973516754,-40790.82501792859,-40790.82501792921,-109110.14973516754,-109110.1497351675
-70,-0.06721078486781967,-34841.84958079882,-87464.81938534898,-34841.849580799295,-87464.81938534907,-70,27879643.609289248,233217.62208979434,27646425.987199452,119.54346914040192,4.3787081351465485e+17,3.41970007866621e-10,2.9103830456733704e-11,2.473825588822365e-10,7.275957614183426e-11,0.0,233217.62208979431,7.1697146572374296e-11,4.3595070540163555e-10,7.7125150710344315e-10,-70,-0.06721078486781967,-0.06721078486781967,-34841.849580799164,-34841.84958079882,-87464.81938534901,-87464.81938534898,-34841.84958079905,-34841.849580799295,-87464.819385349,-87464.81938534907
-60,-0.0537955130101757,-29241.58308502424,-69329.75934727516,-29241.583085024122,-69329.75934727525,-60,24524111.874644384,220266.25739507109,24303845.617249314,111.33848717762415,7.1209740521151014e+17,5.4569682106375694e-11,7.275957614183426e-11,9.822542779147625e-11,2.9103830456733704e-11,2.0816681711721685e-17,220266.25739507112,3.8682136812442814e-11,1.3843453482288493e-10,2.7648638933897018e-10,-60,-0.05379551301017572,-0.0537955130101757,-29241.583085024184,-29241.58308502424,-69329.75934727523,-69329.75934727516,-29241.58308502422,-29241.583085024122,-69329.75934727522,-69329.75934727525
