voltage,current,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-1.0311650906397213e-07,3.928322078234497e-05,-0.2833441330045565,0.00032134513361148365,0.1029990904982642,-150,468037959889.27454,0.0042953198053444965,468037959889.27026,108964636185392.62,32026520314166924.0,7.925806906060689e-06,4.6425668813687704e-05,1.2911539478846251e-05,2.4842807082758878e-05,3.3609954712033776e-11,0.0048910797200269517,2.066742262667127e-05,0.00010717050225430671,0.00018421164456234478,-150,-1.0315011901868416e-07,-1.0311650906397213e-07,3.135741387628428e-05,3.928322078234497e-05,-0.2833905586733702,-0.2833441330045565,0.0003084335941326374,0.00032134513361148365,0.10297424769118144,0.1029990904982642
-140,-3.401153689711002e-08,4.017743217127887e-05,-0.15084734761654384,0.0003769782490091744,0.11990908248213433,-140,281491075963.07037,0.0036894109979776391,281491075963.06671,76297023052560.562,45721957823336304.0,3.2722543852595123e-06,1.3629077008886492e-05,4.9310655550359114e-06,3.2936597706145765e-06,5.760587369362301e-12,0.0042055010447176492,8.7067246525291543e-06,1.9377422588591884e-05,3.7120285128013834e-05,-140,-3.4017297484479385e-08,-3.401153689711002e-08,4.3449686556538383e-05,4.017743217127887e-05,-0.15086097669355272,-0.15084734761654384,0.0003720471834541385,0.0003769782490091744,0.11991237614190495,0.11990908248213433
-130,3.389203787242374e-09,5.3429462261814784e-05,-0.0805278779808073,0.00042276194651083565,0.13113176055284953,-130,169337908424.08868,0.003178434423602773,169337908424.08551,53277143982144.273,38493608818926800.0,2.3380888892791875e-06,4.9302998946676446e-05,3.4605065867308947e-06,5.038256011946629e-06,2.5489089835133765e-11,0.0036237813340891274,6.2212916411465737e-06,7.4497184367919344e-05,0.00011560352309050032,-130,3.414692877077508e-09,3.389203787242374e-09,5.1091373372535596e-05,5.3429462261814784e-05,-0.08047857498186062,-0.0805278779808073,0.00042622245309756655,0.00042276194651083565,0.13113679880886148,0.13113176055284953
-120,2.411249652479472e-08,5.7872669287080067e-05,-0.04215654255692258,0.00047467278944710034,0.13822602089626249,-120,101911515721.60965,0.002747583521470514,101911515721.6069,37091325859701.742,3.4700845013653178e+17,1.6820066792180935e-07,1.9058226257077926e-05,5.219086505803055e-07,3.2465199680253853e-06,1.0310124049733027e-11,0.0031356548476349339,4.1533469228583124e-07,3.0046962267998732e-05,4.5989711087009177e-05,-120,2.4102186400744988e-08,2.411249652479472e-08,5.770446861915826e-05,5.7872669287080067e-05,-0.04217560078317966,-0.04215654255692258,0.00047415088079652004,0.00047467278944710034,0.13822277437629446,0.13822602089626249
-110,3.6011188974557104e-08,6.284147256828377e-05,-0.020599991007780316,0.0005194063274750749,0.14300333506657112,-110,61375640665.381348,0.0023843615364916955,61375640665.37896,25740912074805.695,2.5847075049449613e+17,1.3370477183700718e-07,1.4843707707455633e-05,1.515612877667021e-06,3.1901581612481245e-06,8.420233286529452e-12,0.0027241594373386665,3.3581464704900796e-07,2.4904928033594136e-05,3.9366367036105382e-05,-110,3.601960920784363e-08,3.6011188974557104e-08,6.297517734012078e-05,6.284147256828377e-05,-0.02058514730007286,-0.020599991007780316,0.0005209219403527419,0.0005194063274750749,0.14300652522473237,0.14300333506657112
-100,4.363705759011314e-08,6.748241585093919e-05,-0.006981025434457222,0.0005694592126889164,0.1463486278558714,-100,37006829977.408394,0.0020782211950914858,37006829977.406319,17806973610323.184,8.8106499210959603e+17,2.352043245855851e-08,3.2626306067859434e-06,3.7479138891753985e-07,8.067376125187042e-07,1.8903085544491636e-12,0.0023774844025205169,5.9400342137549891e-08,5.6032821447526818e-06,8.9353600813243581e-06,-100,4.363516728155869e-08,4.363705759011314e-08,6.745889541848063e-05,6.748241585093919e-05,-0.006984288065064008,-0.006981025434457222,0.0005690844212999989,0.0005694592126889164,0.1463478211182589,0.1463486278558714
-90,4.9677494201807486e-08,7.126494743755823e-05,0.003960571765357801,0.0006206197615772069,0.14876155892943932,-90,22357966221.461609,0.0018202605907842021,22357966221.459789,12282838146723.477,47091053537913688.0,2.509289878190773e-07,1.9363671234220656e-06,4.181815231479348e-07,2.658498212404492e-07,1.0425901784129185e-12,0.0020855771588411732,6.7144265664475151e-07,3.1100515306600261e-06,5.2407969355007696e-06,-90,4.9676451611629073e-08,4.9677494201807486e-08,7.151587642537731e-05,7.126494743755823e-05,0.003958635398234379,0.003960571765357801,0.000620201580054059,0.0006206197615772069,0.14876129307961808,0.14876155892943932
-80,5.628934156798801e-08,7.516267962292284e-05,0.016408376865906682,0.000676484378510811,0.15069619783870236,-80,13552936096.882568,0.001602966510884472,13552936096.880966,8454909073181.0967,71323916945394816.0,1.0029916118128998e-07,1.0463884373562715e-07,5.479609243842732e-07,3.1369175146345185e-08,1.6419137772346906e-13,0.0018394538012449912,2.687282909880582e-07,9.6815849358607903e-07,1.5685362086759538e-06,-80,5.6289177376610286e-08,5.628934156798801e-08,7.506238046174155e-05,7.516267962292284e-05,0.016408272227062946,0.016408376865906682,0.0006759364175864267,0.000676484378510811,0.15069616646952722,0.15069619783870236
-70,6.573014060053398e-08,7.83654354748745e-05,0.03495612462679465,0.0007370475206737448,0.15230835814394966,-70,8261356698.2994232,0.0014199978036489821,8261356698.2980032,5817865828433.0684,1.2554364203150088e+17,3.460823793323864e-08,4.3754783127236685e-07,7.10078198577508e-08,2.4240330004365873e-07,3.048711974912476e-13,0.0016321439317623656,9.3062022754761575e-08,9.3464598299799545e-07,1.5711343780127479e-06,-70,6.572983572933649e-08,6.573014060053398e-08,7.833082723694126e-05,7.83654354748745e-05,0.03495568707896338,0.03495612462679465,0.000736976512853887,0.0007370475206737448,0.15230811574064962,0.15230835814394966
-60,8.12013602267822e-08,8.123548272577605e-05,0.06612656789355231,0.0008044782935727746,0.15380474516285253,-60,5082163917.5214977,0.0012660025396357291,5082163917.5202322,4014339433303.0366,2.0590783390228582e+17,1.3062050426606566e-08,9.542777274357261e-07,4.4279900197029265e-08,1.6155943777240722e-08,4.729884206578332e-13,0.001457383126917294,3.4905552018111733e-08,1.4033392501482933e-06,2.0555512436225731e-06,-60,8.120088723836154e-08,8.12013602267822e-08,8.122242067534944e-05,8.123548272577605e-05,0.06612561361582488,0.06612656789355231,0.0008044340136725775,0.0008044782935727746,0.15380472900690875,0.15380474516285253
