voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.0052298221573420643261392777716566750346883706580564157873570154949269099606282606,-16291.293567093026756452801237896503370257448195478901397611968606766599363646965,-0.0000065520492111871053737412675667649969977403016650486326706039084608339474786264537,-62.377630203245904710966979641950706003486234070962878888233476674032948476153902,-0.0015817592924786556495084527861889091422887816742460086926365908867270879064756924,-0.20504908402746857657653071998745997303937762270313407667524597051566839211712884,-150,499683206.33551207543519788087714178026362478195972732740604678248907827848992943,0.077208647886581064200365638470298177850526518541865087499276089474992582704809877,499683206.25830342754861681667677614179332660410920080886418169498980218901493684,6471855420.5164041970954286369372788231074838570059899557738509549704967465165911,999366412.67102415087039576175428356052724956391945465481209356497815655697985885,5.1817011330566667752318111176802397426696002186617688310142220821011550818974562e-77,8.0430587335437951845921127710495140134505930956790981674787620735993532493360593e-87,0.0,2.6231953475929075366836100276011726984028302345971637927341933777319874661514597e-81,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,13.604755240304244880992880014520952856306229006697343323656520330214322235635839,-1.0299675246589668268291311555547385200490414001557349173596010985755042167812291e-77,5.286694587752766157185483571059830217736796971794623957776841145499118177452484e-77,7.4106558531189235076751980042798416564335508296603934842951531115467507277734763e-77,-150,-0.0052298221573420643261392777716566750346883706580564157873570154949269099606282606,-0.0052298221573420643261392777716566750346883706580564157873570154949269099606282606,-16291.293567093026756452801237896503370257448195478901397611968606766599363646965,-16291.293567093026756452801237896503370257448195478901397611968606766599363646965,-0.0000065520492111871053737412675667649969977403016650486326706039084608339474786264537,-0.0000065520492111871053737412675667649969977403016650486326706039084608339474786264537,-62.377630203245904710966979641950706003486234070962878888233476674032948476153902,-62.377630203245904710966979641950706003486234070962878888233476674032948476153902,-0.0015817592924786556495084527861889091422887816742460086926365908867270879064756898,-0.0015817592924786556495084527861889091422887816742460086926365908867270879064756924,-0.20504908402746857657653071998745997303937762270313407667524597051566839211712884,-0.20504908402746857657653071998745997303937762270313407667524597051566839211712884
-140,-0.0039501675587477883628049776089978016331776206103381021950154842899235129866115646,-12299.044021965929918910458341448992581854101518651642307534960316443318704638314,-0.0000061271016664391475188521290036833518981685077763361094650172787549545728072580303,-59.103403503011225172622336184730640239094421161123999943242973850115118347709402,-0.0012674967327548084826344056178688561265583103329204297466198492138560264530647547,-0.17745287686695151839352064203444574310672197171830709767552170278848048208380927,-140,494122646.64631861963474490090057967519875801299818387210607072195670083927346142,0.076406209114258288158945511890430426795172334942948748302501932008232498739011398,494122646.56991241052048661274163416330832758620301153716312197365419890726522892,6467048324.6643574296091426285713473147007760589397138827618586876729780173634534,988245293.29263723926948980180115935039751602599636774421214144391340167854692284,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,0.0,0.0,1.2129704703822463342702626901568687885628785645221265229982051168146890237910714e-80,0.0,8.2360921431488462690223234775547023497734073299753965234982523633657377273201247e-84,10.35147116106115825910398550389052439455749423430387425609261842606950232314022,1.4933514622792803533227727575510211350510306921924307576588305312515062623256123e-77,1.4356409818670475285245930474685900822456564518250229759014370900861888230237909e-77,1.4890823341913752912816944714443240787014317115587105273519234090952826358075509e-77,-140,-0.0039501675587477883628049776089978016331776206103381021950154842899235129866115646,-0.0039501675587477883628049776089978016331776206103381021950154842899235129866115646,-12299.044021965929918910458341448992581854101518651642307534960316443318704638314,-12299.044021965929918910458341448992581854101518651642307534960316443318704638314,-0.0000061271016664391475188521290036833518981685077763361094650172787549545728072580303,-0.0000061271016664391475188521290036833518981685077763361094650172787549545728072580303,-59.103403503011225172622336184730640239094421161123999943242973850115118347709402,-59.103403503011225172622336184730640239094421161123999943242973850115118347709402,-0.0012674967327548084826344056178688561265583103329204297466198492138560264530647426,-0.0012674967327548084826344056178688561265583103329204297466198492138560264530647547,-0.17745287686695151839352064203444574310672197171830709767552170278848048208380927,-0.17745287686695151839352064203444574310672197171830709767552170278848048208380927
-130,-0.0029838278940090842167694412778091393412930737915900817916170075924094395854231021,-9283.9274732952609802170193813559478685062468583093690604555955653652128078913443,-0.0000058487983011016994911188765987398902128493010500258539865992098407224365276652447,-57.332866560510013466681463267318074778066950434725301930159391559820031253194661,-0.0010398230117578357537067800705071109994425644541306356324738596934355086872641483,-0.15114000975361229432347793249443312024169119916407505462310029543069656921828577,-130,488623991.99646657385363486681791279085742173035868042018173597971085268242547301,0.075645695530065376118967609836883021655762696435621599183119175277552535635621228,488623991.92082087832356949069894518102053870870291772374611438052773350714792048,6459376023.6134388401499385099690240728311106075844801412715577846657790897856379,977247983.99293314770726973363582558171484346071736084036347195942170536485094602,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,8.0430587335437951845921127710495140134505930956790981674787620735993532493360593e-87,6.7470066836675348635830873928128121649343752847158448320497683360692123462206461e-80,1.4907326779099411746930405494374011253089867267255467707531836777691985286449426e-81,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-84,7.8989876611242585570765856223576779933505989787686735851637675601218950665823874,8.0152996053949529848035565809486104048525487211528198810829709159971426561445346e-78,1.9149006043543220998703923146847924981237677666686496212495640028706205666424764e-77,2.5886019280777147056483448325834161127997725340148610429023299566752428468581955e-77,-130,-0.0029838278940090842167694412778091393412930737915900817916170075924094395854231021,-0.0029838278940090842167694412778091393412930737915900817916170075924094395854231021,-9283.9274732952609802170193813559478685062468583093690604555955653652128078913443,-9283.9274732952609802170193813559478685062468583093690604555955653652128078913443,-0.0000058487983011016994911188765987398902128493010500258539865992098407224365276652448,-0.0000058487983011016994911188765987398902128493010500258539865992098407224365276652447,-57.332866560510013466681463267318074778066950434725301930159391559820031253194661,-57.332866560510013466681463267318074778066950434725301930159391559820031253194661,-0.0010398230117578357537067800705071109994425644541306356324738596934355086872641498,-0.0010398230117578357537067800705071109994425644541306356324738596934355086872641483,-0.15114000975361229432347793249443312024169119916407505462310029543069656921828577,-0.15114000975361229432347793249443312024169119916407505462310029543069656921828577
-120,-0.002254253552689045381435014379132325314007372515842868128204353576453387935576841,-7007.1861688761210561382127917988800393494907708348324584546732089626545514332257,-0.0000056738040280705913577344027419627894426595224872293801048686908599278274830323265,-56.74770784775273754281434621493964249752024749177826789879576521466573394747653,-0.00087041091683048620646734242145934480632360960603578214505256521428664713530115479,-0.12480259303086471329743349725545649743144188539435613610831306513299314957053258,-120,483186553.09448378305443730639158350847799330180150613528319427362952232899115821,0.074945574266292780465517862922369763415018194616794455293234364243932814702311073,483186553.01953820878814452592606564555562353838648794066639981833628796474722539,6447165931.0748629551620053747616539368270791755424025023463734768876968229941714,966373106.18896756610887461278316701695598660360301227056638854725904465798231641,4.3180842775472223126931759314001997855580001822181406925118517350842959015812135e-77,0.0,0.0,9.8833105717786155228267881730656428197280887959704758281979028360388852727841496e-82,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,6.0514942746890457553376490164975523436631080120354300381151920307720491676901667,1.2923468701681299302973152393158368594914730990211111152290605554791895869488883e-78,2.6769980386431080616906677663437318031061564304099716911448064828691372856300468e-77,3.7848028206296576142216877757624254663514928772466514672649672210813928309657633e-77,-120,-0.002254253552689045381435014379132325314007372515842868128204353576453387935576841,-0.002254253552689045381435014379132325314007372515842868128204353576453387935576841,-7007.1861688761210561382127917988800393494907708348324584546732089626545514332257,-7007.1861688761210561382127917988800393494907708348324584546732089626545514332257,-0.0000056738040280705913577344027419627894426595224872293801048686908599278274830323265,-0.0000056738040280705913577344027419627894426595224872293801048686908599278274830323265,-56.74770784775273754281434621493964249752024749177826789879576521466573394747653,-56.74770784775273754281434621493964249752024749177826789879576521466573394747653,-0.00087041091683048620646734242145934480632360960603578214505256521428664713530115381,-0.00087041091683048620646734242145934480632360960603578214505256521428664713530115479,-0.12480259303086471329743349725545649743144188539435613610831306513299314957053258,-0.12480259303086471329743349725545649743144188539435613610831306513299314957053258
-110,-0.0017035866167495663149294654339225326106786063950724609901841895126846092278050691,-5288.3587049817776734641125699487828074396502090666010369700636129659694229608386,-0.0000055651933786693864782522551071379333815273152703159851553909906753167701122143267,-57.109472030811193760159554186366795935913679191700737887310920504244558223109921,-0.00074080419065688253531876636019053968587652762493011269534767723781443621916675166,-0.098688710257135764220905157593545831915233374421315585106792004530316701528695145,-110,477809648.33442739280737608647486670696931909784865722679190499981816209895874413,0.074334974335629867255121258553048897480471014483469243089603521843228369098004795,477809648.26009241847174621921974544841627020036818621230843575672855857711551576,6427790587.2015088251892810637826001693201799757278642670263589108230275538959213,955619296.66885478561475217294973341393863819569731445358380999963632419791748826,8.6361685550944446253863518628003995711160003644362813850237034701685918031624271e-77,8.0430587335437951845921127710495140134505930956790981674787620735993532493360593e-87,6.7470066836675348635830873928128121649343752847158448320497683360692123462206461e-80,1.4650978411143903906807085676135121142453169964109983490737953672882226699686587e-80,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,2.6767299465233750374322551302052782636763573822420038701369320180938647613790405e-83,4.6611325123652024481777401656289188237563537522387927604182899253882571178018162,-1.1636540710470808187057794388011678373331467912358317443487212728381474100699929e-77,1.1109889958250926981937252549867855458067167510926368496944346675977270849948083e-77,1.1603018663482937536962651236493234752992185824436292638854247350225301489263835e-77,-110,-0.0017035866167495663149294654339225326106786063950724609901841895126846092278050691,-0.0017035866167495663149294654339225326106786063950724609901841895126846092278050691,-5288.3587049817776734641125699487828074396502090666010369700636129659694229608385,-5288.3587049817776734641125699487828074396502090666010369700636129659694229608386,-0.0000055651933786693864782522551071379333815273152703159851553909906753167701122143267,-0.0000055651933786693864782522551071379333815273152703159851553909906753167701122143267,-57.109472030811193760159554186366795935913679191700737887310920504244558223109921,-57.109472030811193760159554186366795935913679191700737887310920504244558223109921,-0.00074080419065688253531876636019053968587652762493011269534767723781443621916673701,-0.00074080419065688253531876636019053968587652762493011269534767723781443621916675166,-0.098688710257135764220905157593545831915233374421315585106792004530316701528695145,-0.098688710257135764220905157593545831915233374421315585106792004530316701528695145
-100,-0.0012880736751285678794990484136093716590911862542499275765315828148826691202996204,-3990.9730807915873410867204772215684552814951163714420672015326123185613650589271,-0.0000054894118987764619004142047294678318901811458444687504726525628673270264686367767,-58.240268503955739097843285617445597648119595270861307463562050199863734602006434,-0.00063890628575690068411370984394497580916521210738124974380030851532757412042485529,-0.07429237830857362507748148501527929687491277743056279181067150473427342485673892,-100,472492603.71289012991165362775771072375339436027450791562380121264972161999319761,0.073859805518138815219157191949243192253563224790642390515952078905239380245471237,472492603.63903032439351481253855353180415116802094469083315882213376954108795823,6397154723.0361082180502486823511275415634694226751585310331969608746726013497411,944985207.42578025982330725551542144750678872054901583124760242529944323998639521,5.6135095608113890065011287108202597212254002368835829002654072556095846720555776e-77,0.0,0.0,1.2940959779922624700201325764107826067081466267223841787546629025938415404051746e-81,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,1.6472184286297692538044646955109404699546814659950793046996504726731475454640249e-83,3.6162569839805189424784970559219726178845070678771434857676075939915205441170549,1.0565205778398452604884243396331087813318628681654560285271500362936174305089197e-77,4.0510096051639463129335340362807888782379844221848641334302258663693192964639852e-77,5.632976513478052598023004320673618873164145265130639945477928178493582915066816e-77,-100,-0.0012880736751285678794990484136093716590911862542499275765315828148826691202996204,-0.0012880736751285678794990484136093716590911862542499275765315828148826691202996204,-3990.973080791587341086720477221568455281495116371442067201532612318561365058927,-3990.9730807915873410867204772215684552814951163714420672015326123185613650589271,-0.0000054894118987764619004142047294678318901811458444687504726525628673270264686367767,-0.0000054894118987764619004142047294678318901811458444687504726525628673270264686367767,-58.240268503955739097843285617445597648119595270861307463562050199863734602006434,-58.240268503955739097843285617445597648119595270861307463562050199863734602006434,-0.000638906285756900684113709843944975809165212107381249743800308515327574120424854,-0.00063890628575690068411370984394497580916521210738124974380030851532757412042485529,-0.07429237830857362507748148501527929687491277743056279181067150473427342485673892,-0.07429237830857362507748148501527929687491277743056279181067150473427342485673892
-90,-0.00097461799536363330367989129077351129284484320935025934918216612713572457455879378,-3011.794853149735537885425287073419435708768860174462839315210799469872433630583,-0.0000054136519283374754180947871669825850573657070119601591255567047584206605404169949,-60.007485124401332813777643487662061116663586065714561450863707967294042619509982,-0.00055672036499856133708042424779326460559893710458646441008184034351301435241316743,-0.05333827797012582358820184448756142931373106367711009443206255138338952974158195,-90,467234752.74773034829085317864994969977799579732590477840640315031557791569231102,0.073592389303018228740063509330175599051146181633180675650331342204600861153885066,467234752.67413795898783494990988619044782019827475859677322247466524657348771016,6348954792.3750826020149715891137024080204670698620250517674088684305018254372438,934469505.49546069658170635729989939955599159465180955681280630063115583138462203,1.7272337110188889250772703725600799142232000728872562770047406940337183606324854e-77,2.4129176200631385553776338313148542040351779287037294502436286220798059748008178e-86,0.0,2.0362708312417628794374067007819307222021027947447920979783991686876365813583093e-80,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,6.1770691073616347017667426081660267623300554974815473926236892725243032954900935e-84,2.8325704831525988323326419778551461483210147658950665695283008110043775247631919,-3.8263133915566453854025358099666169377221401652151195904574088534664126786159321e-78,6.0711902451712644898082253172394543515400293348490224812715546107932895557444435e-78,7.7095021132909507982078100392170371550711630535420646075301867519455875790362902e-78,-90,-0.00097461799536363330367989129077351129284484320935025934918216612713572457455879377,-0.00097461799536363330367989129077351129284484320935025934918216612713572457455879378,-3011.7948531497355378854252870734194357087688601744628393152107994698724336305829,-3011.794853149735537885425287073419435708768860174462839315210799469872433630583,-0.0000054136519283374754180947871669825850573657070119601591255567047584206605404169949,-0.0000054136519283374754180947871669825850573657070119601591255567047584206605404169949,-60.007485124401332813777643487662061116663586065714561450863707967294042619509982,-60.007485124401332813777643487662061116663586065714561450863707967294042619509982,-0.00055672036499856133708042424779326460559893710458646441008184034351301435241318779,-0.00055672036499856133708042424779326460559893710458646441008184034351301435241316743,-0.05333827797012582358820184448756142931373106367711009443206255138338952974158195,-0.05333827797012582358820184448756142931373106367711009443206255138338952974158195
-80,-0.00073819710577220238699617752827886712293797670001183015482767904112705370844667832,-2272.7744497067294183162991795106695046455381708608649093738887889130759933962633,-0.0000053035701941281542554461848528082262694076101118234296767506562325533841244710232,-62.312146611612182730160860243947686231113999995503777863064029402116346394292883,-0.00048890197896453956013472094201380226561350678748548139665557021795292303071104493,-0.036800203131765882871806750672395255631895662557076903799009707449649118122314409,-80,462035436.39879051208148130964411279920112032138548800621252068684057688789681939,0.073646617693132135737968999963333978112572318113865361532455449246336117661710417,462035436.32514389438834917390614379923778634327291568809865532530812143865048327,6273681682.4905905529456100468840802102986336075937391070739466091760960987717803,924070872.79758102416296261928822559840224064277097601242504137368115377579363878,0.0,0.0,0.0,3.7041824413811936094927899840302273818105899466564345864433390004237405428622261e-81,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,0.0,2.2464294308228666474218591177583738817204725999430214542081121465097765824584171,-1.6478601158328141996203329308372139949208264752038523454568966419183171393368483e-77,1.4899008509945062410673096065299556345859449973314086345931138943728176887637106e-77,1.6408814647910090409939611675807296678277797995999541224515796028804149525949366e-77,-80,-0.00073819710577220238699617752827886712293797670001183015482767904112705370844667832,-0.00073819710577220238699617752827886712293797670001183015482767904112705370844667832,-2272.7744497067294183162991795106695046455381708608649093738887889130759933962633,-2272.7744497067294183162991795106695046455381708608649093738887889130759933962633,-0.0000053035701941281542554461848528082262694076101118234296767506562325533841244710232,-0.0000053035701941281542554461848528082262694076101118234296767506562325533841244710232,-62.312146611612182730160860243947686231113999995503777863064029402116346394292883,-62.312146611612182730160860243947686231113999995503777863064029402116346394292883,-0.00048890197896453956013472094201380226561350678748548139665557021795292303071104864,-0.00048890197896453956013472094201380226561350678748548139665557021795292303071104493,-0.036800203131765882871806750672395255631895662557076903799009707449649118122314409,-0.036800203131765882871806750672395255631895662557076903799009707449649118122314409
-70,-0.0005599141879745667807795518281947700060634741660839825096213476576130647347787382,-1714.9699515909806940599023491422278930047534210623273877339324570215033715457965,-0.0000051210172005625918086450343890801192667559375533078730063048273411837667845389645,-65.080539083482431254378461427034141168032010832298426638441367194573212864438971,-0.00043183439918100352914620076020744752285559037819317311268951864499412690079905765,-0.024640663749582513046908916794884133929444222696750074359883034900033055370196481,-70,456894002.99098511652591313090602123049992648818350539894445931028022806953788922,0.074201812690126104394998203894722625592816074774613084100094306690958894048909712,456894002.91678330383578702651102302660520386259068932416984622618013376284693033,6157450693.2737391449770332408767660538300641358037908587977828735918970168762324,913788005.98197023305182626181204246099985297636701079788891862056045613907577844,2.8067547804056945032505643554101298606127001184417914501327036278047923360277888e-77,8.0430587335437951845921127710495140134505930956790981674787620735993532493360593e-87,1.3494013367335069727166174785625624329868750569431689664099536672138424692441292e-79,5.5047980861771101250577954543106241830298011241723056513931444233645749534975883e-81,0.0,9.2656036610424520526501139122490401434950832462223210889355339087864549432351403e-84,1.8097883315713538516642524356873859104144717144999818774651335469916233233090352,-1.6821046448554420836684180088275400304043459048204484946908415691817741703987777e-77,1.4699839753489928499698623482821858947587240708291035380523026193664460327826639e-77,1.669126118101727404721034718817776565592794671997428709439495175217606049213017e-77,-70,-0.00055991418797456678077955182819477000606347416608398250962134765761306473477873819,-0.0005599141879745667807795518281947700060634741660839825096213476576130647347787382,-1714.9699515909806940599023491422278930047534210623273877339324570215033715457965,-1714.9699515909806940599023491422278930047534210623273877339324570215033715457965,-0.0000051210172005625918086450343890801192667559375533078730063048273411837667845389645,-0.0000051210172005625918086450343890801192667559375533078730063048273411837667845389645,-65.080539083482431254378461427034141168032010832298426638441367194573212864438971,-65.080539083482431254378461427034141168032010832298426638441367194573212864438971,-0.00043183439918100352914620076020744752285559037819317311268951864499412690079905214,-0.00043183439918100352914620076020744752285559037819317311268951864499412690079905765,-0.024640663749582513046908916794884133929444222696750074359883034900033055370196481,-0.024640663749582513046908916794884133929444222696750074359883034900033055370196481
-60,-0.00042551211118493904992894699958093529455707676759795880901256926752313525097068313,-1293.911728572125147130145495293644709073096749220331800256538331577548485967533,-0.000004820728182637957359072869505739006753889200522565409105886715251063773271825959,-68.258202738502887320723014779850489928369200672947675964944879306105685278853926,-0.0003830342661060365191645782458292689164994045868131336079732644098264123834736278,-0.016159727572350894809505090020206426188336477549118666081304935188688552807539295,-60,451809808.14031305039854188841747167167596842937499555998151983546719531041318378,0.075540280374754456599745034814176871851298634282116886749556559524757347581214361,451809808.06477277002378743181772663686179155752369692569940294871763875088842644,5981044892.8557032311466486494459457670043003375169510641474711537191284534422322,903619616.28062610079708377683494334335193685874999111996303967093439062082636757,2.3749463526509722719812467622701098820569001002199773808815184542963627458696674e-77,0.0,0.0,2.573778794734014459069476086735844484304189790617311413593203863551793039787539e-81,1.9766621143557231045653576346131285639456177591940951656395805672077770545568299e-82,7.7213363842020433772084282602075334529125693718519342407796115906553791193626169e-84,1.4863819811846248341115500442960616748415888850753939596132810300606021017105272,2.2023796300105909281709798806853508163345484604762189771962692462519617454941187e-77,7.1644254797102742504026934922704111897804206613334386037672948327375699123005761e-77,9.8971578914905216407713047822421829960758870974882065629002106443313304583606601e-77,-60,-0.00042551211118493904992894699958093529455707676759795880901256926752313525097068314,-0.00042551211118493904992894699958093529455707676759795880901256926752313525097068313,-1293.911728572125147130145495293644709073096749220331800256538331577548485967533,-1293.911728572125147130145495293644709073096749220331800256538331577548485967533,-0.000004820728182637957359072869505739006753889200522565409105886715251063773271825959,-0.000004820728182637957359072869505739006753889200522565409105886715251063773271825959,-68.258202738502887320723014779850489928369200672947675964944879306105685278853926,-68.258202738502887320723014779850489928369200672947675964944879306105685278853926,-0.00038303426610603651916457824582926891649940458681313360797326440982641238347362523,-0.0003830342661060365191645782458292689164994045868131336079732644098264123834736278,-0.016159727572350894809505090020206426188336477549118666081304935188688552807539295,-0.016159727572350894809505090020206426188336477549118666081304935188688552807539295
