voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-6.954177350713875e-07,-0.004301898100793056,-9.869615512891322e-11,-1.4968822723461337e-05,-1.0234251849911089e-07,-1.4455341776267234,-150,438839375335.71747,0.15466686003107816,438839375335.56281,2837320000209.0869,2.2898016419555442e+23,1.3325833492228156e-12,4.517771367237212e-15,4.661527240601426e-16,9.25862717000122e-14,1.2445600106048005e-12,4.307162536788117e-19,3.8323085179677937e-12,-1.6479730673192272,1.8260539606367484e-12,2.6848616879534158e-12,-150,-6.954177350709568e-07,-6.954177350713875e-07,-0.00430189810212564,-0.004301898100793056,-9.869163735754598e-11,-9.869615512891322e-11,-1.4968822722995184e-05,-1.4968822723461337e-05,-1.0234242591283919e-07,-1.0234251849911089e-07,-1.4455341776254789,-1.4455341776267234
-140,-5.312374164257426e-07,-0.004247192452388623,-8.772850821010176e-11,-1.3398623644731222e-05,-7.749749201236804e-08,-1.1039381731220375,-140,294141959656.26685,0.15975024427614687,294141959656.10712,1841261407699.6858,6.471069632265522e+23,1.3902351492234288e-12,2.966240973383278e-15,2.987434382989082e-16,1.0509653857876999e-13,1.2883027977750316e-12,4.460687258477959e-19,1.6230019663217562e-12,-1.6257451720209743,1.8981566857464851e-12,2.7871909018256406e-12,-140,-5.312374164252965e-07,-5.312374164257426e-07,-0.004247192453778859,-0.004247192452388623,-8.773147445107515e-11,-8.772850821010176e-11,-1.3398623644432479e-05,-1.3398623644731222e-05,-7.749738691582946e-08,-7.749749201236804e-08,-1.1039381731207492,-1.1039381731220375
-130,-4.050187042139278e-07,-0.004193180946117487,-7.728093068920458e-11,-1.1993383960047334e-05,-5.8513281611698286e-08,-0.8413297665416044,-130,198770906336.08261,0.16500989760441298,198770906335.9176,1204599901107.791,1.7559451609522564e+23,2.1698701863082093e-13,7.20625516875093e-15,1.4500526430635818e-16,9.24057728832448e-15,2.0983215165415459e-13,6.813321269476778e-20,-1.3111073367261696e-13,-1.6085811149695806,3.0222065146360206e-13,4.4863512604014934e-13,-130,-4.050187042138597e-07,-4.050187042139278e-07,-0.004193180946334474,-0.004193180946117487,-7.728813694437333e-11,-7.728093068920458e-11,-1.1993383960192339e-05,-1.1993383960047334e-05,-5.8513272371121e-08,-5.8513281611698286e-08,-0.8413297665413946,-0.8413297665416044
-120,-3.0811827167932313e-07,-0.004139855089437462,-6.667711681806202e-11,-1.07356866852462e-05,-4.403972960401194e-08,-0.6397245234979689,-120,135683986239.31897,0.17045181065222068,135683986239.14851,796025490841.86719,7.012204700022379e+23,1.3827203271254973e-12,9.121594854722101e-17,2.4980695680423826e-16,4.8972104960809275e-14,1.3318235403403378e-12,4.422041380259482e-19,4.6503939465689132e-13,-1.5967387428868398,1.9205168678041315e-12,2.7655015148851264e-12,-120,-3.0811827167888093e-07,-3.0811827167932313e-07,-0.0041398550908201825,-0.004139855089437462,-6.667702560211347e-11,-6.667711681806202e-11,-1.0735686684996393e-05,-1.07356866852462e-05,-4.403968063190698e-08,-4.403972960401194e-08,-0.6397245234966371,-0.6397245234979689
-110,-2.3384444610976095e-07,-0.00408720642880786,-5.465945844616352e-11,-9.609966827847503e-06,-3.3032637062519206e-08,-0.4851988778890887,-110,93757957143.498245,0.17608217917607424,93757957143.322159,532467042276.57538,3.5460180496872071e+23,5.588862705963038e-13,6.029574893262886e-16,8.278391806695179e-17,4.162727583073868e-14,6.039058142448539e-13,1.8049742710397106e-19,4.8752554826295302e-13,-1.5905132568009857,8.2395070870985929e-13,1.207908415232204e-12,-110,-2.3384444610958046e-07,-2.3384444610976095e-07,-0.0040872064293667465,-0.00408720642880786,-5.466006140365285e-11,-5.465945844616352e-11,-9.60996682776472e-06,-9.609966827847503e-06,-3.303267868979504e-08,-3.3032637062519206e-08,-0.4851988778884848,-0.4851988778890887
-100,-1.7701767535589266e-07,-0.004035226563251695,-3.888327783573063e-11,-8.602312538206192e-06,-2.468547766651679e-08,-0.3669755805310523,-100,65728674884.42675,0.18190741105649125,65728674884.244843,361330385071.63818,2.4518660179237369e+23,2.1257301474619794e-14,9.792470190105405e-16,1.5656556997048487e-17,1.933467467793104e-14,4.6629367034256575e-15,7.808584982500581e-21,-2.1329017017615562e-13,-1.5902415177670854,2.9190496727411776e-14,4.7918618704385384e-14,-100,-1.7701767535590047e-07,-1.7701767535589266e-07,-0.004035226563230437,-0.004035226563251695,-3.888229858871162e-11,-3.888327783573063e-11,-8.602312538190535e-06,-8.602312538206192e-06,-2.4685497001191466e-08,-2.468547766651679e-08,-0.36697558053105694,-0.3669755805310523
-90,-1.3362997292743076e-07,-0.003983907154826765,-1.4753408138214413e-11,-7.700287737599361e-06,-1.8375221172456648e-08,-0.27671509569949665,-90,46848628112.502724,0.18793413354125077,46848628112.314789,249282167266.43561,9.8783785641096467e+22,1.8368119525380422e-14,3.2287283756871722e-15,1.6861037848044103e-17,2.0724434238642196e-14,6.661338147750939e-16,6.326277324805556e-21,-5.8827284765334382e-14,-1.5963057871143493,2.7891730872282084e-14,4.314912811162261e-14,-90,-1.336299729274371e-07,-1.3362997292743076e-07,-0.003983907154808397,-0.003983907154826765,-1.4750179409838726e-11,-1.4753408138214413e-11,-7.7002877375825e-06,-7.700287737599361e-06,-1.8375241896890886e-08,-1.8375221172456648e-08,-0.2767150956994973,-0.27671509569949665
-80,-1.0058105447428022e-07,-0.003933239936617537,2.679735401419991e-11,-6.8927737768542065e-06,-1.3621315721540787e-08,-0.20796657189741471,-80,34011956668.083652,0.19416920073621574,34011956667.889484,175166589444.27466,1.3724974458528112e+23,9.185360805297194e-15,6.310615067351477e-15,4.874420501564322e-17,2.371827185322283e-15,9.992007221626409e-15,2.4352197233561135e-21,-4.9040610054774376e-15,-1.6091382647464554,1.5504633533518705e-14,3.1129935112144903e-14,-80,-1.0058105447428266e-07,-1.0058105447428022e-07,-0.0039332399366083515,-0.003933239936617537,2.6803664629267262e-11,2.679735401419991e-11,-6.892773776805462e-06,-6.8927737768542065e-06,-1.3621318093367972e-08,-1.3621315721540787e-08,-0.2079665718974247,-0.20796657189741471
-70,-7.547389892531146e-08,-0.0038832167187385293,1.0377422035290764e-10,-6.16982783815665e-06,-1.0053403027150128e-08,-0.15574245941679976,-70,25184098908.682472,0.20061970135218857,25184098908.481853,125531534235.87099,1.5538541978254936e+23,1.2468758664452295e-14,1.5951396851853328e-15,1.0480338656377458e-17,4.418416459748315e-16,1.4072076837123859e-14,5.0689627937249536e-21,4.2168424697939257e-14,-1.6292260174686333,1.9089349271131851e-14,3.1357348737976502e-14,-70,-7.54738989253064e-08,-7.547389892531146e-08,-0.003883216718750998,-0.0038832167187385293,1.0377581549259282e-10,1.0377422035290764e-10,-6.169827838146169e-06,-6.16982783815665e-06,-1.0053403468991774e-08,-1.0053403027150128e-08,-0.1557424594167857,-0.15574245941679976
-60,-5.645635429201059e-08,-0.0038338293927191853,2.519724046425403e-10,-5.522555859877058e-06,-7.3865398857149275e-09,-0.1161889345134423,-60,19029954648.981434,0.20729296671654818,19029954648.774139,91802220550.02446,1.573205964746353e+23,7.811026131454568e-15,2.1309223067724662e-15,1.1418004128987969e-18,1.8469068356168818e-16,1.3739009929736312e-14,4.579271871093561e-21,-1.1524114995609125e-13,-1.6571164593708525,1.6304235896951143e-14,2.7352283765881328e-14,-60,-5.645635429201517e-08,-5.645635429201059e-08,-0.0038338293927113742,-0.0038338293927191853,2.5197453556484705e-10,2.519724046425403e-10,-5.522555859875916e-06,-5.522555859877058e-06,-7.386539701024244e-09,-7.3865398857149275e-09,-0.11618893451345604,-0.1161889345134423
-50,-4.209841762663286e-08,-0.0037850699345503827,5.427266963212408e-10,-4.942997626088351e-06,-5.401879435505277e-09,-0.0863305519442881,-50,14671420943.890459,0.21419657905871514,14671420943.676262,68495122603.562958,1.8552075236866953e+23,2.489328188026718e-16,3.0841641037897155e-15,1.5788694136820158e-17,3.5265601832865423e-16,0.0,8.735027268559972e-22,-4.5035338433844651e-13,-1.6934234244449544,4.3419632421820668e-15,6.7555224873957786e-15,-50,-4.2098417626631985e-08,-4.209841762663286e-08,-0.0037850699345501337,-0.0037850699345503827,5.427297804853446e-10,5.427266963212408e-10,-4.942997626072562e-06,-4.942997626088351e-06,-5.401879788161295e-09,-5.401879435505277e-09,-0.0863305519442881,-0.0863305519442881
-40,-3.129714960347579e-08,-0.0037369304065869783,1.1182118142959394e-09,-4.4240211630765744e-06,-3.931734661572003e-09,-0.06387239776247045,-40,11529246772.647717,0.22133838007880116,11529246772.426378,52088782652.800926,1.8974513993662369e+23,6.792743451056182e-15,6.1080830818501974e-15,1.5275307467489327e-16,2.8353608768920705e-15,5.079270337660091e-15,2.514629062161204e-22,1.4818106245734619e-12,-1.7388338962483292,1.1205978003842613e-14,2.3889919086355917e-14,-40,-3.1297149603475535e-08,-3.129714960347579e-08,-0.0037369304065801856,-0.0037369304065869783,1.1182057062128575e-09,1.1182118142959394e-09,-4.424021162923821e-06,-4.4240211630765744e-06,-3.9317374969328796e-09,-3.931734661572003e-09,-0.06387239776246537,-0.06387239776247045
-30,-2.3202990577134097e-08,-0.0036894029584227475,2.2618430638405922e-09,-3.95922238191308e-06,-2.8479820417190235e-09,-0.04704677287619216,-30,9219848328.2621422,0.22872647980911925,9219848328.0334148,40309492525.554749,1.4547471156661568e+24,1.7744920116635754e-14,2.919311458146388e-14,2.6142655477467275e-16,4.1182514131322416e-15,1.1476930517062556e-14,1.3916486625592138e-20,2.9184420127450165e-13,-1.7941154627431157,4.5057021272295775e-14,8.9528032602944564e-14,-30,-2.3202990577148014e-08,-2.3202990577134097e-08,-0.0036894029584050025,-0.0036894029584227475,2.2618138707260108e-09,2.2618430638405922e-09,-3.959222381651654e-06,-3.95922238191308e-06,-2.8479861599704366e-09,-2.8479820417190235e-09,-0.04704677287620364,-0.04704677287619216
-20,-1.716264584663146e-08,-0.0036424798267724726,4.538615394830556e-09,-3.5428233371498834e-06,-2.0530508107459194e-09,-0.03449435273670711,-20,7487953621.3555698,0.23636926577855991,7487953621.1192007,31679049290.488476,1.1935094632688569e+23,1.4558666772135354e-15,5.888669775676825e-15,2.6059858006873167e-16,2.0776983138640254e-15,1.3322676295501878e-15,3.8414267646962605e-21,-1.7914427334277714e-13,-1.8601245731851366,1.2846403627377324e-14,2.2076998313682994e-14,-20,-1.7162645846627618e-08,-1.716264584663146e-08,-0.0036424798267710168,-0.0036424798267724726,4.538621283500332e-09,4.538615394830556e-09,-3.542823336889285e-06,-3.5428233371498834e-06,-2.0530487330476055e-09,-2.0530508107459194e-09,-0.03449435273670578,-0.03449435273670711
-10,-1.2674795233774274e-08,-0.0035961533343039217,9.075355769624417e-09,-3.1695571923593527e-06,-1.4729037629144377e-09,-0.025172031093135237,-10,6162608973.0260668,0.24427541249018317,6162608972.7817917,25228118172.858379,8.7998219704470998e+23,1.8694247538864062e-14,1.7062122549897432e-14,5.001111219485148e-16,1.473169038252253e-15,1.9578089149874245e-14,7.77549775799846e-23,1.7520933202107522e-12,-1.9378156816338246,3.6792086765466607e-14,7.5400039234877931e-14,-10,-1.2674795233774197e-08,-1.2674795233774274e-08,-0.003596153334322616,-0.0035961533343039217,9.075338707501867e-09,9.075355769624417e-09,-3.169557192859464e-06,-3.1695571923593527e-06,-1.472905236083476e-09,-1.4729037629144377e-09,-0.02517203109311566,-0.025172031093135237
0,-9.35572683453234e-09,-0.003550415887248574,1.811864862227082e-08,-2.8345173504009763e-06,-1.0515961515639181e-09,-0.01828141350364952,0,5128422247.6983175,0.25245389122272771,5128422247.4458637,20314292732.266747,2.4699243638478593e+23,1.2815703359647657e-14,1.0023989084675975e-14,4.856209293198355e-17,8.221406441561725e-15,5.724587470723463e-16,1.0223952371155422e-21,5.3062651865298676e-12,-2.0282513707233032,2.2989651138320586e-14,4.5681773959550655e-14,0,-9.355726834531318e-09,-9.35572683453234e-09,-0.0035504158872357583,-0.003550415887248574,1.8118658646259906e-08,1.811864862227082e-08,-2.8345173504495384e-06,-2.8345173504009763e-06,-1.0516043729703597e-09,-1.0515961515639181e-09,-0.018281413503650094,-0.01828141350364952
10,-6.912651260137849e-09,-0.003505259971470728,3.6148683977562475e-08,-2.5329269014898705e-06,-7.469865968950584e-10,-0.013213292313702848,10,4306747319.7952785,0.2609139801671046,4306747319.5343647,16506387726.088825,6.878244298455781e+23,2.620906963679559e-14,9.595608971026748e-16,4.996511830581557e-16,3.894439265409852e-15,1.7312540290248535e-14,2.717288312236696e-21,1.979204439746501e-12,-2.1326135592701916,3.3569134890346586e-14,6.0087645142409172e-14,10,-6.912651260140566e-09,-6.912651260137849e-09,-0.0035052599714445187,-0.003505259971470728,3.614868301800158e-08,3.6148683977562475e-08,-2.5329269019895217e-06,-2.5329269014898705e-06,-7.46982702455793e-10,-7.469865968950584e-10,-0.01321329231372016,-0.013213292313702848
20,-5.122962258343455e-09,-0.00346067814646788,7.209933981534031e-08,-2.2597421422173338e-06,-5.2730537896468e-10,-0.00950449530816156,20,3643358383.6994619,0.26966527490932279,3643358383.4297967,13510669421.283745,6.5445572226760117e+23,1.766078602805088e-14,1.1073185618839113e-15,6.534677075983267e-16,6.4438975396424986e-15,5.537237335317968e-15,2.783462761240938e-21,-2.9077343485370021e-12,-2.2522159082883388,2.0544136327220062e-14,3.7445186518499772e-14,20,-5.1229622583406716e-09,-5.122962258343455e-09,-0.0034606781464855407,-0.00346067814646788,7.209933870802175e-08,7.209933981534031e-08,-2.259742141563866e-06,-2.2597421422173338e-06,-5.272989350671403e-10,-5.2730537896468e-10,-0.009504495308156023,-0.00950449530816156
30,-3.818103509118448e-09,-0.0034166630364822316,1.437864280079762e-07,-2.008919397653613e-06,-3.683447858433244e-10,-0.006804320276828998,30,3100364784.2610679,0.27871769927168144,3100364783.9823503,11123673854.80953,4.9879085598493719e+23,9.70170124792169e-14,2.379770299650887e-15,2.1528274090710023e-16,2.55201907610301e-14,3.2111466263806676e-14,1.1462241748147304e-20,3.6641800704728666e-12,-2.3885175521404416,1.1328046566548008e-13,1.9883978824844444e-13,30,-3.818103509129911e-09,-3.818103509118448e-09,-0.0034166630363852146,-0.0034166630364822316,1.437864303877465e-07,1.437864280079762e-07,-2.0089193978688956e-06,-2.008919397653613e-06,-3.683703060340854e-10,-3.683447858433244e-10,-0.0068043202768611095,-0.006804320276828998
40,-2.871002525372684e-09,-0.0033732073174818156,2.8673839590345274e-07,-1.7720065177145684e-06,-2.5084200968235716e-10,-0.004848395157409903,40,2650900922.0581598,0.28808151652447367,2650900921.7700782,9201912549.0578117,6.9098743571329261e+23,1.9895977226846995e-13,1.654497279773208e-14,2.636358284593488e-16,6.877421856547706e-14,1.3708652268906718e-13,7.244944113106948e-20,-2.4148238964016855e-11,-2.5431382950100754,2.5286481942217906e-13,4.4532626433532187e-13,40,-2.8710025254451333e-09,-2.871002525372684e-09,-0.003373207317282856,-0.0033732073174818156,2.8673837935847994e-07,2.8673839590345274e-07,-1.7720065179782042e-06,-1.7720065177145684e-06,-2.5091078390092264e-10,-2.5084200968235716e-10,-0.0048483951575469895,-0.004848395157409903
50,-2.1862562063867338e-09,-0.0033303036981553137,5.718072744250336e-07,-1.535386620955144e-06,-1.5745028541739204e-10,-0.003438270385869782,50,2407837106.7112932,0.29776734098085839,2407837106.4135261,8086303550.8856497,4.1523725174336523e+23,7.794554932050168e-13,3.9009629106137524e-14,2.3624477347257075e-15,2.747916193226059e-14,7.821022475484884e-13,2.5247454810527277e-19,-2.496314266409172e-11,-2.7178754277649912,1.1052656758892366e-12,1.6369928706992331e-12,50,-2.1862562066392083e-09,-2.1862562063867338e-09,-0.003330303697375858,-0.0033303036981553137,5.718073134346627e-07,5.718072744250336e-07,-1.5353866233175916e-06,-1.535386620955144e-06,-1.574777645793243e-10,-1.5745028541739204e-10,-0.0034382703866518843,-0.003438270385869782
60,-1.6924049277223585e-09,-0.0032879448921662225,1.1402910430784782e-06,-1.274838967867618e-06,-6.805528850646957e-11,-0.002425370399781223,60,2347135028.7064724,0.30778614998799481,2347135028.3986864,7625863050.6864014,3.1977850995931362e+24,2.380816897795679e-13,5.6112669984684574e-14,7.486559996613441e-16,5.943501066671487e-15,1.8649621777444558e-13,7.20846544809336e-20,6.9966255011877365e-12,-2.9147223367056667,3.0780930806523673e-13,4.9715898305320799e-13,60,-1.6924049276502738e-09,-1.6924049277223585e-09,-0.003287944892404304,-0.0032879448921662225,1.1402910991911481e-06,1.1402910430784782e-06,-1.274838968616274e-06,-1.274838967867618e-06,-6.80493450054029e-11,-6.805528850646957e-11,-0.0024253703995947267,-0.002425370399781223
70,-1.3357049813007892e-09,-0.003246123577591621,2.2739782221171435e-06,-9.44765944339124e-07,4.893639573323534e-11,-0.0016980896531486546,70,2287978061.9631066,0.31814929632797917,2287978061.6449575,7191523251.4122448,2.9923156617043973e+24,1.5553097004739058e-14,1.9912153862073657e-14,5.543588176598244e-16,6.1019446573459e-15,4.79889565585534e-15,3.4398305773017656e-21,-6.5613235765032103e-12,-3.135889093912664,2.6685172115645822e-14,5.0575599288209727e-14,70,-1.3357049812973494e-09,-1.3357049813007892e-09,-0.003246123577607174,-0.003246123577591621,2.2739782420292974e-06,2.2739782221171435e-06,-9.447659437847652e-07,-9.44765944339124e-07,4.8930293788577994e-11,4.893639573323534e-11,-0.0016980896531438557,-0.0016980896531486546
