voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.054692265818683555,-126597.21399443416,-149.95376406759084,-107101.01729445442,-110.11306413044555,-26.84307922879225,-150,4055487373.8896866,149.37612952975678,4055487224.513557,27149500.972187158,4.5224557960024699e+18,1.076841726899147e-09,9.33965793592506e-10,1.0186340659856796e-10,1.8616219676914625e-12,8.775202786637237e-13,1.6653345369377348e-16,5606880.1635799306,4.6566128730773926e-10,1.4184423356892134e-09,2.1295534224918811e-09,-150,-0.05469226581868339,-0.054692265818683555,-126597.21399443524,-126597.21399443416,-149.95376406665687,-149.95376406759084,-107101.01729445432,-107101.01729445442,-110.11306413044369,-110.11306413044555,-26.84307922879137,-26.84307922879225
-140,-0.033974153118050514,-80961.37561167926,-91.9560752445194,-65373.39013587478,-67.02104835143422,-15.751716864491755,-140,3830561028.5894418,98.61327400381353,3830560929.9761677,38844273.930518806,1.4343845987629072e+19,2.9103830456733704e-11,1.1198153515579179e-10,1.4551915228366852e-10,9.379164112033322e-13,9.592326932761353e-14,6.938893903907228e-18,3781665.0960171446,-6.9849193096160889e-10,1.8647354519854925e-10,3.0253488603193546e-10,-140,-0.03397415311805051,-0.033974153118050514,-80961.3756116793,-80961.37561167926,-91.95607524463138,-91.9560752445194,-65373.39013587464,-65373.39013587478,-67.02104835143516,-67.02104835143422,-15.75171686449185,-15.751716864491755
-130,-0.020768772015614043,-51003.11789029034,-55.58026416627029,-39210.63601192413,-39.946343026417054,-9.109501507498408,-130,3630531296.3090453,65.303805861859473,3630531231.0052395,55594482.563373052,4.5697022703717617e+18,1.4551915228366852e-10,7.86997134127887e-11,2.1100277081131935e-10,1.5489831639570184e-12,7.425171588693047e-13,2.0816681711721685e-17,2529717.2201249814,5.8207660913467407e-10,2.6465125225763578e-10,4.4450843006416108e-10,-130,-0.020768772015614022,-0.020768772015614043,-51003.11789029049,-51003.11789029034,-55.58026416634899,-55.58026416627029,-39210.63601192392,-39210.63601192413,-39.946343026415505,-39.946343026417054,-9.10950150749915,-9.109501507498408
-120,-0.012481795255057878,-31649.351158118905,-33.115635923508776,-23068.16322690508,-23.172586102921045,-5.191334352006834,-120,3456912323.1898336,43.466203226139214,3456912279.7236304,79531039.442408785,2.0335313179798606e+19,7.166818249970675e-10,3.0674129902763525e-11,6.803020369261503e-10,7.673861546209082e-13,9.725553695716371e-13,1.1449174941446927e-16,1682423.3892463003,-6.4028427004814148e-10,9.8863481944263381e-10,1.4329586406347516e-09,-120,-0.012481795255057992,-0.012481795255057878,-31649.35115811819,-31649.351158118905,-33.11563592353945,-33.115635923508776,-23068.16322690576,-23068.16322690508,-23.172586102921812,-23.172586102921045,-5.191334352007806,-5.191334352006834
-110,-0.0073759288433793745,-19377.895742323417,-19.486447635169966,-13295.253062537773,-12.936520463540903,-2.9183213550445544,-110,3312299549.8648314,29.170720969237305,3312299520.6941104,113548772.18694381,1.6983997696563685e+19,1.8917489796876907e-10,3.383604507689597e-11,1.4915713109076023e-10,1.3287149158713873e-12,2.0161650127192843e-13,2.862293735361732e-17,1114441.1561502174,4.0745362639427185e-10,2.4439267829853649e-10,3.7577052580672898e-10,-110,-0.007375928843379346,-0.0073759288433793745,-19377.895742323606,-19377.895742323417,-19.48644763513613,-19.486447635169966,-13295.253062537624,-13295.253062537773,-12.936520463539575,-12.936520463540903,-2.918321355044756,-2.9183213550445544
-100,-0.004293780371787818,-11754.486454766431,-11.374046974626,-7503.4861975029135,-6.7772979044768356,-1.6208346962907854,-100,3200708001.9707742,19.835764705355352,3200707982.1350093,161360454.18539533,5.8216872812217188e+19,1.3460521586239338e-10,2.6219026949547697e-12,1.3642420526593924e-10,4.1033842990145786e-13,9.07940389538453e-13,2.168404344971009e-17,736207.66696965531,-2.3283064365386963e-10,1.9102437126734669e-10,2.7383606493458501e-10,-100,-0.004293780371787796,-0.004293780371787818,-11754.486454766566,-11754.486454766431,-11.374046974628621,-11.374046974626,-7503.486197502777,-7503.4861975029135,-6.777297904476425,-6.7772979044768356,-1.6208346962916933,-1.6208346962907854
-90,-0.0024725564338305035,-7115.070991367578,-6.635090721226964,-4148.485160206917,-3.105263410129206,-0.8876533904183361,-90,3128033519.8854866,13.765579092969167,3128033506.1199074,227235882.97735646,3.4512116479354706e+21,9.367795428261161e-11,1.0452971821450774e-11,8.458300726488233e-11,2.1938006966593093e-13,7.710498906021712e-13,1.5612511283791264e-17,485465.62887279526,-1.3824319466948509e-10,1.2666069702870579e-10,1.9143708840374529e-10,-90,-0.002472556433830519,-0.0024725564338305035,-7115.070991367485,-7115.070991367578,-6.635090721237417,-6.635090721226964,-4148.485160207001,-4148.485160206917,-3.1052634101294254,-3.105263410129206,-0.8876533904191072,-0.8876533904183361
-80,-0.0014182593346156024,-4343.110322066213,-3.9108798708377015,-2249.446034606271,-0.9124492315647537,-0.4684912366546996,-80,3102680035.8229275,9.8464912727160385,3102680025.9764361,315105142.52119881,2.7321813650635099e+20,9.731593308970332e-11,4.1744385725905886e-14,9.777068044058979e-11,3.268496584496461e-13,2.0650148258027912e-13,1.5829351718288365e-17,319744.95913309843,-7.2759576141834259e-12,1.3827424521200243e-10,1.9727242062117512e-10,-80,-0.0014182593346155866,-0.0014182593346156024,-4343.11032206631,-4343.110322066213,-3.9108798708376598,-3.9108798708377015,-2249.4460346061733,-2249.446034606271,-0.9124492315650805,-0.9124492315647537,-0.4684912366544931,-0.4684912366546996
-70,-0.0008185130750671301,-2708.4948811481045,-2.360900004383521,-1198.1631541871866,0.42473887363880447,-0.2088524330808923,-70,3136411250.3151612,7.3473328186464251,3136411242.9678283,426877525.1823929,7.8406494142941744e+20,2.773958840407431e-11,1.84297022087776e-12,2.864908310584724e-11,2.3092638912203256e-13,8.139044993527023e-13,4.553649124439119e-18,210438.57474522814,4.1836756281554699e-11,4.024882593704469e-11,5.9827698351000436e-11,-70,-0.0008185130750671347,-0.0008185130750671301,-2708.4948811480767,-2708.4948811481045,-2.360900004381678,-2.360900004383521,-1198.1631541872152,-1198.1631541871866,0.42473887363857354,0.42473887363880447,-0.2088524330817062,-0.2088524330808923
-60,-0.00048131558522732196,-1748.2425284427293,-1.4796686837966384,-627.9100146402212,1.2807708694986903,-0.0021569296063717047,-60,3245505684.1345162,5.788312250998727,3245505678.3462038,560699828.1017977,8.814426877566592e+20,3.660716174636036e-11,3.8324898810060404e-13,3.61524143954739e-11,1.6187051699034782e-13,5.568878691519785e-13,6.071532165918825e-18,138439.54851403987,7.2759576141834259e-12,5.1779506026363326e-11,7.4896311375027835e-11,-60,-0.00048131558522732803,-0.00048131558522732196,-1748.2425284426927,-1748.2425284427293,-1.4796686837970217,-1.4796686837966384,-627.9100146402574,-627.9100146402212,1.2807708694988522,1.2807708694986903,-0.0021569296069285926,-0.0021569296063717047
