voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.37973558781601776343403214523522507191240532694222567811175549278587555222348291,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-78414.472145943789553770880750898663015115385149220372388441309977026962518738605,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-78414.472145943789553770880750898663015115385149220372388441309977026962518738605,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-150,142865221.68668187450788084645988574359365837051807729177642508212339062636525319,437091.23965534698955174527213075313153411766885706490480639900045433784001549928,142428130.44702652751832910118775499046212425284922022687161868312293628852523769,326.8544613233000244557608627319148856090125898575981830952430314033341364971584,285730443.37336374901576169291977148718731674103615458355285016424678125273050638,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,0.0,0.0,0.0,0.0,0.0,451500.55190180189173566788868536571428439029443663392486093497708540687569018884,-1.4361233259639930528647083020083699925777694767619487662775763265633675823161623e-75,6.5050723183005724270589836673111018234670008298895465623578562792749018828115727e-76,1.019928991764536795700041477224708900448671560922643296575131755668511314417704e-75,-150,-0.37973558781601776343403214523522507191240532694222567811175549278587555222348291,-0.37973558781601776343403214523522507191240532694222567811175549278587555222348291,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-78414.472145943789553770880750898663015115385149220372388441309977026962518738605,-78414.472145943789553770880750898663015115385149220372388441309977026962518738605,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-78414.472145943789553770880750898663015115385149220372388441309977026962518738605,-78414.472145943789553770880750898663015115385149220372388441309977026962518738605,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027,-368925.91650068392889362258817641458316921693537355730847578535881133476705515027
-140,-0.31244600458185278013619290663172755682043269987072998579124099457662174050290406,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-140,118932163.47022182385326349022135481222226169942517946498439049320704122614538827,399649.30874262632899964555543741409807738455375072510347316641938179619386243714,118532514.16147919752426384466591739812418431487142873988091732678765942995152583,297.59131535696961043541029597565833093872009772938464700130350888172375652608345,237864326.94044364770652698044270962444452339885035892996878098641408245229077653,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,0.0,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,0.0,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,0.0,408179.92828051427642161240093770942788037800509413372706975498204395779227866556,2.8722466513810581118484385314644763167241720006092572020489739777381793436275686e-75,1.2539333450509047076529955475816512900500154431276916125362846569792667620222778e-75,2.0956607465971559036255672260531409955565300032914600294950159491956149211879253e-75,-140,-0.31244600458185278013619290663172755682043269987072998579124099457662174050290406,-0.31244600458185278013619290663172755682043269987072998579124099457662174050290406,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637,-301681.84456627529726090125204018867334884614070332820616416525783785204832527637
-130,-0.2570190815044073661763945751596562832516998005015261156697809781856738866352025,-246545.32433111346433598507878899410066762336596699114351430802214294605104074771,-62545.929330028455824573827080499492821682708001642398228816642068436287198163902,-246545.32433111346433598507878899410066762336596699114351430802214294605104074771,-62545.929330028455824573827080499492821682708001642398228816642068436287198163902,-246545.32433111346433598507878899410066762336596699114351430802214294605104074771,-130,99241895.064548525647549945627765370017152595607360087481303082340267715560662657,366207.20243857326905541539895282444929174216444115083502963387947076774807787621,98875687.86210995237849453022881254556786085344291893664627344846079694781258478,270.99929876773826331044622517874545832608831053240609592624448998624886818797722,198483790.12909705129509989125553074003430519121472017496260616468053543112132531,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,1.054219794323052322434857405127001900770996138236850755007776302510814429096976e-81,369110.38106969438524282945524270451368074348243768124560989831121291629685903639,1.4361233260283375227330586634851068947461655888695535110430091119031976789049571e-75,1.2352748791327741419433676052838621639362663855059323891474790440515263137720617e-75,2.1925481119462576300521189844935345443186342485724342200255235309875904780033786e-75,-130,-0.2570190815044073661763945751596562832516998005015261156697809781856738866352025,-0.2570190815044073661763945751596562832516998005015261156697809781856738866352025,-246545.32433111346433598507878899410066762336596699114351430802214294605104074772,-246545.32433111346433598507878899410066762336596699114351430802214294605104074771,-62545.929330028455824573827080499492821682708001642398228816642068436287198163902,-62545.929330028455824573827080499492821682708001642398228816642068436287198163902,-246545.32433111346433598507878899410066762336596699114351430802214294605104074772,-246545.32433111346433598507878899410066762336596699114351430802214294605104074771,-62545.929330028455824573827080499492821682708001642398228816642068436287198163902,-62545.929330028455824573827080499492821682708001642398228816642068436287198163902,-246545.32433111346433598507878899410066762336596699114351430802214294605104074772,-246545.32433111346433598507878899410066762336596699114351430802214294605104074771
-120,-0.21130353667626245402745761058688449688933924281819995297766383146759023739634442,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-120,83048557.956810550497272981684379391206035917707387853369420798204818389242249186,336430.22090301683600728743082366357137988099047680579410208987312327354615572773,82712127.735907533661265694253555727634656036716911047575318708331695115696093458,246.85225285023090424869255188786108298818736644479653286044354052821086222204267,166097115.91362110099454596336875878241207183541477570673884159640963677848449837,1.1054295750520889120494530384384511451028480466478440172830340441815797508047907e-75,0.0,0.0,0.0,0.0,5.2710989716152616121742870256350095038549806911842537750388815125540721454848798e-82,333884.45996275167740256946314559444150544220097960819908436027777322503974827613,-2.1541849886242672299553106456288704780246736546048994255892005631459008905302693e-75,1.4148248806898108641437588144685578948491180781849167212331131283968930123986818e-75,2.3155300310133497696527700152176952212106962496790820438247556398128120593288689e-75,-120,-0.21130353667626245402745761058688449688933924281819995297766383146759023739634442,-0.21130353667626245402745761058688449688933924281819995297766383146759023739634442,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704,-201303.53364070814519921889403830614896636689344282096462260747706766607508002704
-110,-0.17353179786612823869275295504876214264997464595780907677421869135441089493251732,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-49187.574271780459573688490519926035100533827550991124971478968861788779205590535,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-49187.574271780459573688490519926035100533827550991124971478968861788779205590535,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-110,69741773.770268170341699988565253238714586604653558385710054073937177827229317105,310020.34609636011422818980436512286386615936375976221344402332267279195522637565,69431753.42417181022747179876088811585072044528979862349661005061450503527409073,224.95869915773568098087211609341451148981682507071666550645038446085983792756811,139483547.54053634068339997713050647742917320930711677142010814787435565445863421,5.5271478752604445602472651921922557255142402332392200864151702209078987540239533e-76,0.0,0.0,0.0,0.0,0.0,302134.99865107353798241270038369019598949188823626958493461280603955311989234094,1.4361233257387874083254820368397908349883830843853321595985615778739622442553804e-75,6.3357098789122553768656412543293504515406224815320730180704607875758983897298371e-76,8.0933799604324692016732669466033062531346309025802510280602996705764974695441596e-76,-110,-0.17353179786612823869275295504876214264997464595780907677421869135441089493251732,-0.17353179786612823869275295504876214264997464595780907677421869135441089493251732,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-49187.574271780459573688490519926035100533827550991124971478968861788779205590535,-49187.574271780459573688490519926035100533827550991124971478968861788779205590535,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-49187.574271780459573688490519926035100533827550991124971478968861788779205590535,-49187.574271780459573688490519926035100533827550991124971478968861788779205590535,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697,-164140.76057995192282096073613831647255507062135436515607245590580384009184083697
-100,-0.14224973572963933730175376954339886316260334022965192074107875690627812154374711,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-43278.857100867565599366862258554681268932048645339982517497238871761506312776259,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-43278.857100867565599366862258554681268932048645339982517497238871761506312776259,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-100,58822543.1372704201663373165754027593029821812301742466673973329060904491144788,286713.2591148724982327918860351315427858199867007267426544826098023888661861693,58535829.878155547668104524689367627760196361243473519924742850296288060248292631,205.16157264182539174305303093368802138073293429668537361718642246332791443313239,117645086.2745408403326746331508055186059643624603484933347946658121808982289576,2.7635739376302222801236325960961278627571201166196100432075851104539493770119767e-76,0.0,0.0,0.0,0.0,0.0,273535.58169205301212287195319256427000694423949158807472868008491186572242069268,7.1806166298199652643235415100418499628888473838097438313878816328168379115808116e-76,4.1238992784403968630510078503850911606605193910229497081301557760103448484344227e-76,5.7143793181703446576171631940244084913084279694157337015303152189117040752919718e-76,-100,-0.14224973572963933730175376954339886316260334022965192074107875690627812154374711,-0.14224973572963933730175376954339886316260334022965192074107875690627812154374711,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-43278.857100867565599366862258554681268932048645339982517497238871761506312776259,-43278.857100867565599366862258554681268932048645339982517497238871761506312776259,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-43278.857100867565599366862258554681268932048645339982517497238871761506312776259,-43278.857100867565599366862258554681268932048645339982517497238871761506312776259,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456,-133565.53257856988813244843627571637109062269717393034604824663777250246908072456
-90,-0.1162589228395993789033380950792190774492000767799560374791669342659193849617243,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-37803.289278346378715070034835302253983819140234368244362813486394498832415006901,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-37803.289278346378715070034835302253983819140234368244362813486394498832415006901,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-90,49883569.880745351167386608130702067460598052969731891435188153897151097757002613,266275.6947982608785463607657285339986322645940419046998047789686974649608163056,49617294.185947090288840247364973533461965788375689986735383374928453632796186308,187.33805170816947875707979138308444857449214228344469224982224226996265708236251,99767139.761490702334773216261404134921196105939463782870376307794302195514005226,0.0,0.0,0.0,0.0,0.0,0.0,247804.06997124497860828796247471521879131781443045218527172161490630819249195483,9.6516704802525542215105353252594168161407117148149178009745144883192238992032711e-86,1.508864560499227322276972602997519081981398000666080634967567515871090766037562e-76,2.7408515156068794776069244728620723217281613346723848321395115669370819582693388e-76,-90,-0.1162589228395993789033380950792190774492000767799560374791669342659193849617243,-0.1162589228395993789033380950792190774492000767799560374791669342659193849617243,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-37803.289278346378715070034835302253983819140234368244362813486394498832415006901,-37803.289278346378715070034835302253983819140234368244362813486394498832415006901,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-37803.289278346378715070034835302253983819140234368244362813486394498832415006901,-37803.289278346378715070034835302253983819140234368244362813486394498832415006901,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185,-108350.75837995963903315300438206573940830883758233034495963813777487515396736185
-80,-0.094569107376435668844479252225786571313901776151480125625468694746171740917244988,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-32706.06948104719893580738005507535417545488101541246052586205031677509223681578,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-32706.06948104719893580738005507535417545488101541246052586205031677509223681578,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-80,42593224.355225932941009440627047398220442668680270545758607124118859422617618329,248503.10713354198894913833981435742386635027169084244072333411229612013728617793,42344721.248092390952060302287233040796576318408579703317883790006563302480332151,171.39916215348143684504376123448867872542734989888882000343352787628489145378149,85186448.710451865882018881254094796440885337360541091517214248237718845235236658,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.0363402266113333550463622235360479485339200437323537662028444164202310163794912e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,1.0363402266113333550463622235360479485339200437323537662028444164202310163794912e-76,1.3817869688151111400618162980480639313785600583098050216037925552269746885059883e-76,0.0,224709.92215477273766124442499989444553290372525489867822124229303327254848073183,-3.5903083161968720295287779845556630248123459340569668110025965232050208875663023e-76,4.7702192091699894401149960373391113862495141764684507837539202289521915419349893e-76,9.2112893001032798609218784100087574849909782847661031980440045244391527901589143e-76,-80,-0.094569107376435668844479252225786571313901776151480125625468694746171740917244988,-0.094569107376435668844479252225786571313901776151480125625468694746171740917244988,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-32706.06948104719893580738005507535417545488101541246052586205031677509223681578,-32706.06948104719893580738005507535417545488101541246052586205031677509223681578,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-32706.06948104719893580738005507535417545488101541246052586205031677509223681578,-32706.06948104719893580738005507535417545488101541246052586205031677509223681578,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928,-87484.480560453756850704224594703785409621209544823957610997236162680831532451928
-70,-0.076358999793856191997442192558200805260167727711421306055891713784493032227449107,-70129.262124684707240314125300649456492051657495116760477820007541752538282152621,-27936.183020003917781453444046056963944302163651648016597274140868588021379541147,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-27936.183020003917781453444046056963944302163651648016597274140868588021379541147,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-70,36682505.438226850786793481706486538176676113197223983115198621859699324497667242,233217.62208979431881750512470528239010890905198236971858815710083260303016546545,36449287.816137056467975976581781255786567204145241613396610464758866721467501776,157.28873791579615586672723709884432341198647610425604070815688430403724404950678,73365010.876453701573586963412973076353352226394447966230397243719398648995334483,4.145360906445333420185448894144191794135680174929415064811377665680924065517965e-76,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,0.0,6.9089348440755557003090814902403196568928002915490251080189627761348734425299416e-77,0.0,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,204085.42896602387602651204824920762715370507690970906386062507757936142278312049,7.1806166278896311682730306657397428978369640205816014884248980726219350139169668e-76,3.2390824489599343898020202235119144652282391450798056046262196221818508788044455e-76,5.2970079153615533372618388901110070999139179967227857766345210952380762032017302e-76,-70,-0.076358999793856191997442192558200805260167727711421306055891713784493032227449107,-0.076358999793856191997442192558200805260167727711421306055891713784493032227449107,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-70129.262124684707240314125300649456492051657495116760477820007541752538282152621,-27936.183020003917781453444046056963944302163651648016597274140868588021379541147,-27936.183020003917781453444046056963944302163651648016597274140868588021379541147,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-27936.183020003917781453444046056963944302163651648016597274140868588021379541147,-27936.183020003917781453444046056963944302163651648016597274140868588021379541147,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622,-70129.262124684707240314125300649456492051657495116760477820007541752538282152622
-60,-0.06094380398480476912762391533486325841489915801219226849800531101473067547545623,-55588.57721851996111450526607600811036095467258118838861642614176005618238907896,-23445.891268300204695426590332518516390054611071379200533899280859253988999485664,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-23445.891268300204695426590332518516390054611071379200533899280859253988999485664,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-60,31934480.627703954225093992551704145919613250441176022898844984835292655687685853,220266.25739507108354886393758276206489842566600044049692698253276427457631327329,31714214.370308883141545128614121383854714824775175582401918002302528381111372579,144.98126497162953460668903122912362510225454979939783810538335731179290821866646,63868961.255407908450187985103408291839226500882352045797689969670585311375371705,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-76,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,0.0,3.4544674220377778501545407451201598284464001457745125540094813880674367212649708e-77,0.0,6.5888737145190770152178587820437618798187258639803172187986018906925901818560997e-83,185839.41660459824608540643252686088784809638684030981029771487257609747419948594,-7.1806166293373817403109137989663231966258765430027082456471357427681121871648504e-76,4.497062384818205116635395360360118698940986381394771451627654168917586777230934e-76,8.5224278029148792177405418590998457440791953752192752046504814007570243377206853e-76,-60,-0.06094380398480476912762391533486325841489915801219226849800531101473067547545623,-0.06094380398480476912762391533486325841489915801219226849800531101473067547545623,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-55588.57721851996111450526607600811036095467258118838861642614176005618238907896,-23445.891268300204695426590332518516390054611071379200533899280859253988999485664,-23445.891268300204695426590332518516390054611071379200533899280859253988999485664,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-23445.891268300204695426590332518516390054611071379200533899280859253988999485664,-23445.891268300204695426590332518516390054611071379200533899280859253988999485664,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959,-55588.577218519961114505266076008110360954672581188388616426141760056182389078959
