voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.000068498990680807237360520243207503746270573757990970087929095199842351745763315134,-427.24034275560442692304859256826681860653594059207643266861826930123395925560215,0.000017136631860156815646543063919519900613571723859678477562394795682880978118032014,-0.15135338726524427553425379042387476423875929393701116973033821521150063763114956,0.00016473875106905508378732666258863799115615744588548221618368362646174633127368624,0.055004775667663900584656693678208166369986507898256530785266188506322909414454016,-150,31738021444189.737993167394323713647222920607442253103592835156077810418705022509,0.0042953198053444963782660193032747697508373509472222609630792385747440788470961832,31738021444189.733697847588979217268956901304167483352755484208855549455625783934,7388977510987511.2085031654260640236190932928086647493917919233970374534884515837,63476042888379.475986334788647427294445841214884506207185670312155620837410045017,1.0231700695648143269926480369452773391879681431765884370906832686282239138796685e-74,3.2172234934175180738368451084198056053802372382716392669915048294397412997344237e-86,4.9284775384602696073829583689687338861044069462572772796613542142380574560283626e-80,3.1245674568070935533103439692973152039452864058094160561021494903518767503020723e-82,0.0,1.6391110254263571082583958458377225598291232681546347737468318805029593973886942e-81,0.0043360984561349592471967578524940703870438965257177399093238626397605299237265499,1.7227158594360778067660466652471577575314958891779379510075708006155877940182523e-76,5.9243731819600428884960569461358327858591686170090098382692207020225008080548807e-75,8.3776303507788414479813966177617586646512526242651459185485199380221256830072377e-75,-150,-0.000068498990680807237360520243207503746270573757990970087929095199842351745763313494,-0.000068498990680807237360520243207503746270573757990970087929095199842351745763315134,-427.24034275560442692304859256826681860653594059207643266861826930123395925559192,-427.24034275560442692304859256826681860653594059207643266861826930123395925560215,0.000017136631860156815646543063919519900613571723859678477562394795682880978118032014,0.000017136631860156815646543063919519900613571723859678477562394795682880978118032014,-0.15135338726524427553425379042387476423875929393701116973033821521150063763114961,-0.15135338726524427553425379042387476423875929393701116973033821521150063763114956,0.00016473875106905508378732666258863799115615744588548221618368362646174633127368593,0.00016473875106905508378732666258863799115615744588548221618368362646174633127368624,0.055004775667663900584656693678208166369986507898256530785266188506322909414454016,0.055004775667663900584656693678208166369986507898256530785266188506322909414454016
-140,-0.000046780786961050919094719657929533694831078179417416356095936552721685195722698899,-291.88234011736581774313234289139805911664931707158310935282143199275416257906365,0.00002690373970749987576891794541781120929965113978529462722765420525435157909595113,-0.094176221397168294597565097959891954251571135857261246602736781867394318846137468,0.00023225908014986698667706393041156921326472076998381850543076614169711878085414619,0.07485486851067564971913738470975841876263492238406053425232652507798349632460629,-140,27779974196400.52278507704747250076552761935912071681728524161066373167941849016,0.0036894109979776387299767212992375308190333194001628825688261153851805485379395984,27779974196400.519095666049494862035550898059883185998251922210500849110592374775,7529650183085645.8367401049053951481078768864695531539610812674182217031348385768,55559948392801.04557015409494500153105523871824143363457048322132746335883698032,3.6714511569845257713673728356730198676706896549309741238082019377554225903194268e-75,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-85,2.5433052538043637278740934898688920856100281834964024464562603298073398101964545e-80,7.000678321676519328668974955921496997307396230479087044973514508860877068222106e-83,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,5.8817279906659065425885202272130886077561497190082109079138691291817350441744734e-82,0.0037381859657812485966286605631435784536921459187159944226663857152635355961804517,-4.1065634797148703667629666495959818878647123907950324792823971445243783397400645e-75,2.6907354367138650896341437648275298010002117548088779877635727574559829454139479e-75,2.7136281241531383143047529374109838223663536678319258153480245237338007847290331e-75,-140,-0.000046780786961050919094719657929533694831078179417416356095936552721685195722698311,-0.000046780786961050919094719657929533694831078179417416356095936552721685195722698899,-291.88234011736581774313234289139805911664931707158310935282143199275416257905998,-291.88234011736581774313234289139805911664931707158310935282143199275416257906365,0.00002690373970749987576891794541781120929965113978529462722765420525435157909595113,0.00002690373970749987576891794541781120929965113978529462722765420525435157909595113,-0.094176221397168294597565097959891954251571135857261246602736781867394318846137442,-0.094176221397168294597565097959891954251571135857261246602736781867394318846137468,0.00023225908014986698667706393041156921326472076998381850543076614169711878085414612,0.00023225908014986698667706393041156921326472076998381850543076614169711878085414619,0.07485486851067564971913738470975841876263492238406053425232652507798349632460629,0.07485486851067564971913738470975841876263492238406053425232652507798349632460629
-130,-0.000031057591546271799505667927834913095146624104161457507846464063989334859335221902,-193.88259905252114141198582490303742930758184412703248223874645037211813324305481,0.000036141518044982937625629245709474163740510353413810511704567994119078379292552843,-0.056603734708010193766397842154621956224407349607799059496253754521839017922588764,0.00029977349096986523211446850863898817676497690844777909827289541262186919213284957,0.092230846623942886550915131946017309979294933904414080386034285857739216308754665,-130,24315535275805.36800463767323887545223527896587744649935845385907597740855055198,0.0031784344236027724116834575903583967086234418167849242532775260990267314741192677,24315535275805.364826203249636103040551821375519049790735012042291053155273025881,7650161065221405.0632899522975556174404111257949264087478122092826759477100384068,48631070551610.73600927534647775090447055793175489299871690771815195481710110396,2.3870909646815738347356963195771729439537819757324659015792080373012873280928646e-75,1.9303340960505108443021070650518833632281423429629835601949028976638447798406542e-85,5.0075440230344985315655726743532590286622316566250410862869374369263685382106358e-81,2.6509921585760348928415603693379198188333154843358307560009999794583468309811651e-82,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,3.823991844276061982562474095867780942554949981409670432746102640272076508864336e-82,0.0032307757478520330327902952551219247334052293018575169229806631477110957966452722,-1.3274063379309332344951945124024364150608763222844557556135135576446680204338446e-75,6.0162493397411999818345932470097827646297891263036808728436130616160798673285882e-75,8.4622146843660193265992067510650214135931208897102729433320678290841419983830372e-75,-130,-0.00003105759154627179950566792783491309514662410416145750784646406398933485933522152,-0.000031057591546271799505667927834913095146624104161457507846464063989334859335221902,-193.88259905252114141198582490303742930758184412703248223874645037211813324305242,-193.88259905252114141198582490303742930758184412703248223874645037211813324305481,0.000036141518044982937625629245709474163740510353413810511704567994119078379292552843,0.000036141518044982937625629245709474163740510353413810511704567994119078379292552843,-0.056603734708010193766397842154621956224407349607799059496253754521839017922588759,-0.056603734708010193766397842154621956224407349607799059496253754521839017922588764,0.0002997734909698652321144685086389881767649769084477790982728954126218691921328493,0.00029977349096986523211446850863898817676497690844777909827289541262186919213284957,0.092230846623942886550915131946017309979294933904414080386034285857739216308754664,0.092230846623942886550915131946017309979294933904414080386034285857739216308754665
-120,-0.000020161855969912188965836735903311678151453892059567236733601959251914628835039519,-125.97042705143631540053269980673533828268216369165093761071573926111947925478745,0.000044564179517472213001442392078946564655594818060557837608062577280589792456805825,-0.032557556097534283125494946184685065645997854130099994031683806496644560637060517,0.00036602333965730841871099710519359188880390609117093372230702360831359792979023014,0.10670358635396666616270715525383717314020310230943239387902989862868971806519307,-120,21283146857273.429255341366889408116929777490340253003982507898883822353918286387,0.0027475835214705141735533919915965660861887348313082796818212932649227608902285546,21283146857273.426507757845418893943376385498743686917793773067575542672096993122,7746132807596193.1710611784820101421800706478594888914588481598048414047989058277,42566293714546.858510682733778816233859554980680506007965015797767644707836572775,1.7883615915729167909413331443389639924375055129667818311831115951585054244892445e-75,3.8606681921010216886042141301037667264562846859259671203898057953276895596813084e-85,6.8524286630998400958265731333255123550114748985395299075505459663202937891303437e-81,1.3074796277248793452072938520618089980265284136335941981053475626843108642120698e-82,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,2.8649375208882998447517105690478368915911012606808947672559350506160896274135043e-82,0.0027999242445901028739917644198208873653060773319841972527759481451209590202431208,-1.1222505913927989271510703258674149633191485528030603335139437458476897199463456e-75,5.4994435318003539806549432751803130186357434180946454149319394200931383652879123e-76,7.7587400995349798145831892265106043746293932883556625884146970900165340429828012e-76,-120,-0.000020161855969912188965836735903311678151453892059567236733601959251914628835039805,-0.000020161855969912188965836735903311678151453892059567236733601959251914628835039519,-125.97042705143631540053269980673533828268216369165093761071573926111947925478924,-125.97042705143631540053269980673533828268216369165093761071573926111947925478745,0.000044564179517472213001442392078946564655594818060557837608062577280589792456805826,0.000044564179517472213001442392078946564655594818060557837608062577280589792456805825,-0.032557556097534283125494946184685065645997854130099994031683806496644560637060524,-0.032557556097534283125494946184685065645997854130099994031683806496644560637060517,0.00036602333965730841871099710519359188880390609117093372230702360831359792979023001,0.00036602333965730841871099710519359188880390609117093372230702360831359792979023014,0.10670358635396666616270715525383717314020310230943239387902989862868971806519307,0.10670358635396666616270715525383717314020310230943239387902989862868971806519307
-110,-0.000012869867581268984718017629616014715582024413183746739014580780948073706967041388,-80.522278828634155723851764886430665567942551922095500077446951652593779729165418,0.000052086207374441428982376917045858956823930363864449460551351755520456858651009323,-0.017031988270235199706355694780502528452831844930182165887283637261156215466901834,0.00043100160537349817990395156201641491235171144230459141333334601582771895667826697,0.11831981889288138581312761530699160043886929072637825033151160396800920318625467,-110,18628928019622.2682261095322412706680274507143155593299550760659965305190664437,0.0023843615364916953234600372803161859529324169426472806804372689962974681175958529,18628928019622.265841747995749575344567413433999373377022659123349249838629174704,7812962813949986.042772311683517779113786842304792446516567574551397435644167668,37257856039244.536452219064482541336054901428631118659910152131993061038132887401,2.1037166839675373704652066490790348330265382137744004186331177671863804095515975e-75,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-85,4.1180460715744231345111617387773511748867036649876982617491261816828688636600623e-81,6.2285446832563149909481321299007436520161392932938936208955533497953391562858443e-83,1.3177747429038154030435717564087523759637451727960634437597203781385180363712199e-82,3.3698807481801793064404034088143253813555294952276285502102517335966570244068221e-82,0.0024348286496053023627169710329274063860725264383343683128667289112519383141732561,-1.1171807069502203908388160890664635328711129735716038794479822507757439903041828e-75,1.6604385460889419215134914761607148189943448337070553846279329861963701879546444e-75,2.2068672763120929208555306761394454904783171364878343582887198508016875925574209e-75,-110,-0.000012869867581268984718017629616014715582024413183746739014580780948073706967041725,-0.000012869867581268984718017629616014715582024413183746739014580780948073706967041388,-80.522278828634155723851764886430665567942551922095500077446951652593779729167522,-80.522278828634155723851764886430665567942551922095500077446951652593779729165418,0.000052086207374441428982376917045858956823930363864449460551351755520456858651009324,0.000052086207374441428982376917045858956823930363864449460551351755520456858651009323,-0.01703198827023519970635569478050252845283184493018216588728363726115621546690183,-0.017031988270235199706355694780502528452831844930182165887283637261156215466901834,0.00043100160537349817990395156201641491235171144230459141333334601582771895667826691,0.00043100160537349817990395156201641491235171144230459141333334601582771895667826697,0.11831981889288138581312761530699160043886929072637825033151160396800920318625467,0.11831981889288138581312761530699160043886929072637825033151160396800920318625467
-100,-0.0000081134769100548970498878649637678281495622480460286760524359101745897139342919069,-50.883087274298766925307411980241714014899852984720717910072533387682544931699984,0.00005874096922798461247888427492127324349818127210681075668855698137962024222673786,-0.006081250392637593893652292238231946831854903607525916532692887894970154877055429,0.00049550711977765392927249199599289260403223020101896332976110523847402896776952378,0.12742674682461899497296195922460764079298626929450684870951887740546193362593466,-100,16305717364416.780640372684022190371039657849822946362188581431210417178261993467,0.0020782211950914859121364661709275668264458995981227880567394156554433825493318649,16305717364416.778562151488930704458903191678895379535742681833087629121522577811,7845997049269330.7574992070032218739822146547324323796395445140405850238410181922,32611434728833.561280745368044380742079315699645892724377162862420834356523986933,7.9209858466256859298465445991622414816329565842564018328264280265452552944630386e-77,6.4344469868350361476736902168396112107604744765432785339830096588794825994688474e-86,1.2354138214723269403533485216332053524660110994963094785247378545048606590980187e-81,2.3678764911552933023439179997969769255598546073679265005057475544676495966045358e-83,0.0,1.2691946681532108801286353952716133113225035904981616908281486552139779427452302e-83,0.0021261438841034613951589118131598304336001770675575257479795029494019298879880847,-4.9247840592779039502890503315899651224586101577989032720858376097654081382734099e-76,8.0077273150192494312307240190388680750390946127316191054811778527403575948118853e-76,1.0718335766325836758670669528650850383685401490808372885551208686272891328304798e-75,-100,-0.0000081134769100548970498878649637678281495622480460286760524359101745897139342919195,-0.0000081134769100548970498878649637678281495622480460286760524359101745897139342919069,-50.883087274298766925307411980241714014899852984720717910072533387682544931700063,-50.883087274298766925307411980241714014899852984720717910072533387682544931699984,0.00005874096922798461247888427492127324349818127210681075668855698137962024222673786,0.00005874096922798461247888427492127324349818127210681075668855698137962024222673786,-0.0060812503926375938936522922382319468318549036075259165326928878949701548770554302,-0.006081250392637593893652292238231946831854903607525916532692887894970154877055429,0.0004955071197776539292724919959928926040322302010189633297611052384740289677695238,0.00049550711977765392927249199599289260403223020101896332976110523847402896776952378,0.12742674682461899497296195922460764079298626929450684870951887740546193362593466,0.12742674682461899497296195922460764079298626929450684870951887740546193362593466
-90,-0.0000050659382254490643895595219622652256283917537364481368244004772248834070499118828,-31.90293419270050555388241763624086410686292284170141053853120274689811130761899,0.000064605312136282928947238608454997631072498240374512320308390485895722612438620602,0.0035789655503309858662897078814914899812981267293291518123433700539021143341708727,0.00056071686871367831672461710346772865768527028418231066240677472827888099119761273,0.13449314845410458317780720381279980357752010921766025429561907972830676117285448,-90,14272235032529.687446952232225893980829396487915642431802977620503456210386900612,0.0018202605907842021145403710109322052235805758329632631835075778272882258485343668,14272235032529.685626691641441691866289025476983437208222401787540193026879322784,7840764726099433.4712984713699566693339542202244280776100420357766029019638472873,28544470065059.374893904464451787961658792975831284863605955241006912420773801223,5.1827131840592169054613485807891616644943403749544762077390295473515654637493893e-76,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,3.7886023858484692837502687996751630808957673717886824008091960871482393545672574e-82,1.5133819313036005019328519390006765567708635968829791111928038717684543073950729e-82,0.0,8.302849530637259769054438013554413316085047252669533038288326088576612359289614e-83,0.0018655388081124404789500836256875544255234170008407764814327010772763047939221716,-4.2376910508311477355078803751355922424725547027246498739444606866181075821504033e-76,1.4345275186777819464978100735628515532642846706493122252066730730317563603265041e-75,2.0028764923324715330887967375127023715452949428723098665745297634958518156847617e-75,-90,-0.0000050659382254490643895595219622652256283917537364481368244004772248834070499117998,-0.0000050659382254490643895595219622652256283917537364481368244004772248834070499118828,-31.902934192700505553882417636240864106862922841701410538531202746898111307618472,-31.90293419270050555388241763624086410686292284170141053853120274689811130761899,0.000064605312136282928947238608454997631072498240374512320308390485895722612438620602,0.000064605312136282928947238608454997631072498240374512320308390485895722612438620602,0.0035789655503309858662897078814914899812981267293291518123433700539021143341708723,0.0035789655503309858662897078814914899812981267293291518123433700539021143341708727,0.00056071686871367831672461710346772865768527028418231066240677472827888099119761258,0.00056071686871367831672461710346772865768527028418231066240677472827888099119761273,0.13449314845410458317780720381279980357752010921766025429561907972830676117285448,0.13449314845410458317780720381279980357752010921766025429561907972830676117285448
-80,-0.0000031356084155970569154218510412241178339212889445951125005175543866667823002275563,-19.899495345011543134738689580447526369777172888516051543412680803980434221182292,0.000069754399837170559099966776182745226684247215559706405494685447829393881750463318,0.01524272681568435910453101448999354993144662821369079157804948995661792072031532,0.00062792447193919005216897177830257772032394937166341012765016381347005967854620461,0.13999162300535474386080591708734469984877069561485395280059199491870150493120965,-80,12492349228864.544036357212274129908092279861801033853179034871070792967176076973,0.0016029665108844721545326408431161023564420498506874361585152297211749265468877379,12492349228864.542433390701389657753559639018684931496736985020383356808660847252,7793269007205655.5983203736249441156956924492938298976145842855606263043348277191,24984698457729.088072714424548259816184559723602067706358069742141585934352153946,2.4893081159391369879189800935782870482525377612959109507847620275927358951381074e-76,5.1475575894680289181389521734716889686083795812346228271864077271035860795750779e-85,2.1249117729324023374077594572091132062415390911336523030625491097483603336485922e-81,3.9121437679957019777856036518384836161423684817383133486616698725987254204770592e-83,0.0,3.9877485200910136525207695118863490478688040568376968714359702360905593410208182e-83,0.0016456934508275698484363967371196582626483160369737813815189266603647330829168885,-9.5667100087789317578728258174505948343680032075234098752774204556810872862223743e-76,1.5380753025397558031176347735568333685234570841666534727405794041125460997218839e-75,2.0443277517126052535276639991855361220661984838782715050129561503002461102677385e-75,-80,-0.0000031356084155970569154218510412241178339212889445951125005175543866667823002275961,-0.0000031356084155970569154218510412241178339212889445951125005175543866667823002275563,-19.899495345011543134738689580447526369777172888516051543412680803980434221182541,-19.899495345011543134738689580447526369777172888516051543412680803980434221182292,0.000069754399837170559099966776182745226684247215559706405494685447829393881750463318,0.000069754399837170559099966776182745226684247215559706405494685447829393881750463318,0.015242726815684359104531014489993549931446628213690791578049489956617920720315322,0.01524272681568435910453101448999354993144662821369079157804948995661792072031532,0.00062792447193919005216897177830257772032394937166341012765016381347005967854620458,0.00062792447193919005216897177830257772032394937166341012765016381347005967854620461,0.13999162300535474386080591708734469984877069561485395280059199491870150493120965,0.13999162300535474386080591708734469984877069561485395280059199491870150493120965
-70,-0.0000019196758057052225310178699617847040125017755975641443754192521102041927250409974,-12.371832615838945050286964413676309166607562837742567284972658009909494454567011,0.000074243172612633501443384372627596039574122892536416438899595938093887021747169083,0.033127271073848727040980040976731564357161701288101432439232624260190143293389998,0.00069842783608198413385230832145170217045319523699342334854546502262730404659246,0.14434154487669098683275373886383884329071751135686061313841573631779398203890636,-70,10934434222797.863234663905240100444101759230004988306497796648560835663911226267,0.0014199978036489821686301042170964664948121338091314823740227258541389557425091256,10934434222797.861814666101591118275471655012908521811685662839429353289888500413,7700317700984847.4772168225198400676051695494735577111860935890639198382821709766,21868868445595.726469327810480200888203518460009976612995593297121671327822452534,1.8625280625431321679292702325044588301605466332840207554994186735927462412050749e-75,1.2868893973670072295347380433679222421520948953086557067966019317758965198937695e-85,2.8991044343883938866958578640992552271202393801513395762713848319047396800166839e-81,1.2662991670091351138621822346740354862776613769837172154878563008674821755754692e-82,0.0,2.9837737136764094186040590352400934611398337736695534426804337602535200716724446e-82,0.0014602922196759431124997462776245790228983365335159890440627391920618974137069252,-6.2220049568073639515907909016419780849973832434306156469054199537380206350045481e-76,8.7050545255238741735642575624140663363041603268089835161153560339193973353131188e-76,1.1293737753851530477417755363945421563543826604586084895188427800509744032707347e-75,-70,-0.000001919675805705222531017869961784704012501775597564144375419252110204192725040699,-0.0000019196758057052225310178699617847040125017755975641443754192521102041927250409974,-12.371832615838945050286964413676309166607562837742567284972658009909494454565148,-12.371832615838945050286964413676309166607562837742567284972658009909494454567011,0.000074243172612633501443384372627596039574122892536416438899595938093887021747169083,0.000074243172612633501443384372627596039574122892536416438899595938093887021747169083,0.033127271073848727040980040976731564357161701288101432439232624260190143293390001,0.033127271073848727040980040976731564357161701288101432439232624260190143293389998,0.00069842783608198413385230832145170217045319523699342334854546502262730404659246012,0.00069842783608198413385230832145170217045319523699342334854546502262730404659246,0.14434154487669098683275373886383884329071751135686061313841573631779398203890636,0.14434154487669098683275373886383884329071751135686061313841573631779398203890636
-60,-0.0000011518027484885554864202176069500635074051418092479218511775506228284249015865519,-7.6771629295037570037138273758363242820175142870157166413273636793571980559793287,0.000078103579150471601435309551145584804655820859128079901765142252222512538651927843,0.06358314244948444993145742701011302816365818822445448419112493072193631063782773,0.00077350393207237270192994389199208757904188378018754678616836498664539978749042837,0.14789097076599937386397796997419161991063101767902175214529613638093621243986959,-60,9570808417492.718427853167592883681268226058492993787130224581995704693846734139,0.0012660025396357290820621075020810775712655784645945183302762183725600754458899513,9570808417492.7171618506279571545992061185564119162158646461174011863635705157664,7559865101255292.4481289520855252022219958572136073240535068961592296733759905788,19141616834985.436855706335185767362536452116985987574260449163991409387693468278,5.0259296162474925640688365874986739418116778292758917634542730556421571418540871e-76,0.0,1.4495522171941969433479289320496276135601196900756697881356924159523698400083419e-81,4.8387041340999471830506150430633876304918768063605454575552232634773709148005733e-83,2.6355494858076308060871435128175047519274903455921268875194407562770360727424399e-82,8.0519060981506933592951640950976684788653887480843451754629887118803125379103289e-83,0.0013039515331807170795948487038116317380599497118191912121913054109350618220476283,6.072840802036906120745411304615597277692786844826729306072426057774138550671992e-76,6.0528074649159393957682337741971308636464890706714075811825963817118183066601985e-76,7.0677476924017450194360350424923010651395208513555469758490954222439444943125386e-76,-60,-0.0000011518027484885554864202176069500635074051418092479218511775506228284249015864714,-0.0000011518027484885554864202176069500635074051418092479218511775506228284249015865519,-7.6771629295037570037138273758363242820175142870157166413273636793571980559788261,-7.6771629295037570037138273758363242820175142870157166413273636793571980559793287,0.000078103579150471601435309551145584804655820859128079901765142252222512538651927843,0.000078103579150471601435309551145584804655820859128079901765142252222512538651927843,0.063583142449484449931457427010113028163658188224454484191124930721936310637827731,0.06358314244948444993145742701011302816365818822445448419112493072193631063782773,0.00077350393207237270192994389199208757904188378018754678616836498664539978749042842,0.00077350393207237270192994389199208757904188378018754678616836498664539978749042837,0.14789097076599937386397796997419161991063101767902175214529613638093621243986959,0.14789097076599937386397796997419161991063101767902175214529613638093621243986959
