voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.00020013207256944462,0.0009332687656899083,-601.2328731158542,-4.178694640809426,-1.027211959155477e-07,-34.26297672879068,-150,275087467276.8158,1.2353200711950019,275087467275.58051,222685175843.29913,1.1983697517122326e+21,1.1026646978308519e-10,3.498143996694125e-10,7.077227692775523e-10,1.1210461184771275e-10,2.035918100773415e-10,5.204441478473543e-16,1.3479704779243558,2.810853272708086e-10,1.6987607493623695e-09,2.9655444781833068e-09,-150,-0.00020013207256892418,-0.00020013207256944462,0.0009332688759563781,0.0009332687656899083,-601.2328731155044,-601.2328731158542,-4.178694640101703,-4.178694640809426,-1.0260909130369999e-07,-1.027211959155477e-07,-34.26297672858709,-34.26297672879068
-140,-0.00016520751596727534,0.0016367045875278798,-492.38627142812646,-3.3399026849392217,-1.0920295002672924e-07,-36.46728810176302,-140,208466398987.96207,1.1331284944476774,208466398986.82895,183974191814.47305,4.4489889806719825e+20,2.2202699249442015e-10,6.915001904417295e-10,4.949183285418712e-10,2.2253264853565754e-10,4.831122168980073e-10,1.3229977009754368e-16,1.2378004673717358,5.7471163678076964e-10,1.5236097046265343e-09,3.2394254917140607e-09,-140,-0.00016520751596740764,-0.00016520751596727534,0.0016367043655008873,0.0016367045875278798,-492.38627142881796,-492.38627142812646,-3.3399026844443034,-3.3399026849392217,-1.094254826752649e-07,-1.0920295002672924e-07,-36.46728810224613,-36.46728810176302
-130,-0.000135480265863887,0.002857931767803003,-399.5509424157892,-2.6435008211782276,-1.1564148101194029e-07,-38.66501399096966,-130,159372084314.4888,1.0400090736300764,159372084313.44879,153241051790.26187,4.2542302767866144e+20,1.740737619153332e-10,3.617515176301822e-10,5.426983307188493e-10,1.7325871012651616e-10,3.7410075037769275e-11,8.326672684688674e-17,1.137693507533011,4.615170066171573e-10,7.2700027467679774e-10,1.4917014609351848e-09,-130,-0.00013548026586380373,-0.000135480265863887,0.002857931593729241,0.002857931767803003,-399.550942416151,-399.5509424157892,-2.6435008206355293,-2.6435008211782276,-1.158147397220668e-07,-1.1564148101194029e-07,-38.66501399100707,-38.66501399096966
-120,-0.00010980301506114228,0.004935224308800681,-319.34940942049207,-2.0510028929205726,-1.2115548631949214e-07,-40.565186616755064,-120,122884060709.80492,0.95516568241498145,122884060708.84975,128652089341.30936,5.1393775755905925e+20,1.0776235633003228e-10,1.8280843505635858e-10,8.185385702574877e-10,1.0641928600766165e-10,2.3425883455274743e-10,2.629732369363591e-16,1.0479672998441849,2.9658579526693365e-10,9.0343748769799577e-10,1.6368799608671488e-09,-120,-0.00010980301506140525,-0.00010980301506114228,0.004935224416563038,0.004935224308800681,-319.34940942030926,-319.34940942049207,-2.051002893739111,-2.0510028929205726,-1.2104906703348448e-07,-1.2115548631949214e-07,-40.565186616520805,-40.565186616755064
-110,-8.722514815371258e-05,0.008344070714089574,-249.0968061389072,-1.5321463381862337,-1.2431958322266224e-07,-41.694872889430904,-110,95526813124.958084,0.87787218777709985,95526813124.080215,108816311138.46524,1.7329179359979724e+21,2.3682710306727195e-11,1.4637180356658064e-10,1.2958834005871722e-09,2.4821097607061885e-11,3.114237756562943e-10,7.118329363453579e-16,0.97098511888444805,6.89767559480329e-11,2.1697827729638688e-09,3.5082661300502287e-09,-110,-8.722514815442442e-05,-8.722514815371258e-05,0.008344070737772285,0.008344070714089574,-249.09680613905357,-249.0968061389072,-1.532146339482117,-1.5321463381862337,-1.2429476212505518e-07,-1.2431958322266224e-07,-41.69487288974233,-41.694872889430904
-100,-6.709231717248607e-05,0.013620266984269963,-187.11255932737268,-1.06213117678059,-1.2319077654936835e-07,-41.40558593926862,-100,74833174624.478394,0.80746629819458526,74833174623.670929,92676530019.640411,1.3965432444641765e+21,2.1536990940651535e-11,3.043112428713357e-10,2.6232838123974034e-10,2.326953431708771e-11,5.981775075269979e-10,7.444403166828595e-17,0.91484802531723375,6.7724694483304075e-11,9.9568014824658769e-10,1.8960041406085749e-09,-100,-6.709231717256051e-05,-6.709231717248607e-05,0.013620266962732972,0.013620266984269963,-187.112559327677,-187.11255932737268,-1.0621311765182617,-1.06213117678059,-1.2321404608368544e-07,-1.2319077654936835e-07,-41.405585939866796,-41.40558593926862
-90,-4.920454610474947e-05,0.021098880715598622,-133.12836919445266,-0.6188501656573121,-1.1585255687447986e-07,-39.052292430480655,-90,59041953572.555817,0.74334395256552366,59041953571.812469,79427502394.796753,8.4193743988743576e+20,2.6101676375844818e-11,2.5863755581667647e-11,4.806114395350392e-10,2.73097827224605e-11,2.702549295463541e-10,1.8795999912751826e-16,0.90254935212070442,8.9586733455842529e-11,6.0248740397010841e-10,1.0680227984828389e-09,-90,-4.920454610493743e-05,-4.920454610474947e-05,0.021098880689496946,0.021098880715598622,-133.1283691944268,-133.12836919445266,-0.6188501661379235,-0.6188501656573121,-1.1587986665720232e-07,-1.1585255687447986e-07,-39.0522924302104,-39.052292430480655
-80,-3.387704439213872e-05,0.030502540084754004,-88.27684331817137,-0.17974434959652097,-1.0165294390195693e-07,-34.40477621234272,-80,46888092285.475929,0.68495420231337145,46888092284.790977,68454346476.181328,2.0901873546906996e+20,8.00942610845734e-11,5.5720761338307057e-11,6.557995813061268e-10,8.068639143613144e-11,2.1832846641700598e-10,3.065378354795423e-16,0.98810563612455493,2.897140270417216e-10,9.6386729781316056e-10,1.7511488264771065e-09,-80,-3.387704439244526e-05,-3.387704439213872e-05,0.030502540164848265,0.030502540084754004,-88.27684331811565,-88.27684331817137,-0.17974435025232055,-0.17974434959652097,-1.015722575105208e-07,-1.0165294390195693e-07,-34.404776212561046,-34.40477621234272
-70,-2.166354490525022e-05,0.04074505425006919,-54.03824826353322,0.2803000828213098,-8.234842089784023e-08,-28.033269200479044,-70,37456699077.672485,0.63179454333263296,37456699077.040688,59286202251.911407,6.2330024221761025e+20,2.222955153285966e-11,2.297895207448164e-11,1.9065060641310083e-10,2.166968671960275e-11,3.681677185340959e-11,1.0012268249724732e-16,1.265497766858745,7.844054222211603e-11,2.9778826230296126e-10,5.1717432403676836e-10,-70,-2.1663544905150098e-05,-2.166354490525022e-05,0.04074505427229874,0.04074505425006919,-54.03824826351024,-54.03824826353322,0.2803000830119604,0.2803000828213098,-8.232675121112062e-08,-8.234842089784023e-08,-28.03326920051586,-28.033269200479044
-60,-1.280725527344007e-05,0.05036838665745669,-30.59855109556939,0.7874084374661292,-6.163617433792446e-08,-21.16090513816648,-60,30081238064.768414,0.58340665823617976,30081238064.185005,51561355428.670242,1.132967370610923e+21,1.0792783333712919e-11,1.5134560271690134e-11,8.978373600143641e-12,1.0836507405557831e-11,3.178612928422808e-11,1.0909784360635388e-18,1.8543766172239031,3.5006590445010006e-11,3.8923185601641175e-11,8.0256699235611156e-11,-60,-1.2807255273438978e-05,-1.280725527344007e-05,0.050368386646663904,0.05036838665745669,-30.598551095584526,-30.59855109556939,0.7874084374751076,0.7874084374661292,-6.164701084533002e-08,-6.163617433792446e-08,-21.160905138134694,-21.16090513816648
-50,-6.9345132340863e-06,0.05832520623376308,-16.2285387846166,1.3640738303942819,-4.3088738260051945e-08,-14.98006854880441,-50,24272299874.796417,0.53937253284087161,24272299874.257046,45000993556.26133,7.4088775267731833e+20,1.4728850084022582e-11,3.558753292054462e-11,9.606870854383942e-11,1.5114194618882877e-11,6.821387898980902e-11,7.328105543170579e-17,2.8737722833933623,4.3595676088657297e-11,2.6224881807397386e-10,4.6095600252126553e-10,-50,-6.934513234159581e-06,-6.9345132340863e-06,0.05832520621903423,0.05832520623376308,-16.228538784652187,-16.2285387846166,1.3640738302982132,1.3640738303942819,-4.310385245467083e-08,-4.3088738260051945e-08,-14.980068548872623,-14.98006854880441
-40,-3.2642322694689603e-06,0.06434027765034095,-8.201523326955618,2.025942982510312,-2.855275506659358e-08,-10.115104249764478,-40,19667593996.454472,0.49931091399790595,19667593995.955162,39389473462.494667,8.9632177152540633e+20,1.0650993975680478e-11,5.46229728115577e-12,6.06426020510753e-11,1.0630630665819293e-11,2.0897061858704546e-11,2.7333329691422645e-17,3.7256278834812826,2.9442414094281007e-11,8.5489564038950566e-11,1.6244369278807947e-10,-40,-3.264232269441627e-06,-3.2642322694689603e-06,0.06434027763968996,0.06434027765034095,-8.20152332696108,-8.201523326955618,2.0259429825709545,2.025942982510312,-2.85633856972594e-08,-2.855275506659358e-08,-10.115104249743581,-10.115104249764478
