voltage,current,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-0.008632517781545217,0.0011053913725496134,-0.004731155175258246,-24348.857492247247,-5188.16155382214,0.0001362570913655825,-150,50375190211.937141,0.018095305095997372,50375190211.919044,2783881782854.271,1.3990014388622206e+17,5.178771693274166e-08,1.723949231450736e-07,2.397995558567345e-06,1.1525753507157788e-06,1.6584893218761802e-07,8.556124558856126e-13,0.020788766707909492,5.5300405260222859e-07,4.1385642461468829e-06,7.1011385100626032e-06,-150,-0.00863251778240083,-0.008632517781545217,0.0011054431602665461,0.0011053913725496134,-0.004730982780335101,-0.004731155175258246,-24348.857494645243,-24348.857492247247,-5188.161554974716,-5188.16155382214,0.00013642294029777012,0.0001362570913655825
-140,-0.0052915344731878965,0.001493918853764098,-0.003146737254504327,-14789.974578225334,-3450.8530085473003,0.00018445844356924923,-140,42074765477.098877,0.016545232475500174,42074765477.082329,2543014462891.4878,6.0074570278928986e+17,4.734004763282812e-07,3.539941520469547e-08,2.4329456209670752e-06,4.6929653763072565e-07,3.612309916285945e-08,7.202632587577362e-13,0.01842372506001904,1.0652662388078191e-07,3.55217870012248e-06,5.9475346359176388e-06,-140,-0.00529153447390816,-0.0052915344731878965,0.0014943922542404262,0.001493918853764098,-0.0031467726539195317,-0.003146737254504327,-14789.97458065828,-14789.974578225334,-3450.853009016597,-3450.8530085473003,0.00018442232047008637,0.00018445844356924923
-130,-0.003156887032851676,0.001966898700906161,-0.0020329686492243106,-8738.390039516056,-2229.133872108662,0.0002422231888184606,-130,35212962502.677643,0.015160750102662447,35212962502.662483,2322639860444.2227,66305355635126808.0,1.8708434644135012e-06,2.81109292167743e-07,3.5311113606439903e-06,1.6470062291773502e-06,2.83343238669648e-07,9.316171965811915e-13,0.016661240435876877,7.9964487996943429e-07,5.8164435196101601e-06,1.1485141514962389e-05,-130,-0.0031568870319200588,-0.003156887032851676,0.0019650278574417476,0.001966898700906161,-0.002032687539932143,-0.0020329686492243106,-8738.390035984945,-8738.390039516056,-2229.133870461656,-2229.133872108662,0.00024250653205713026,0.0002422231888184606
-120,-0.0018445289550990554,0.00252714569147211,-0.0012828747560950692,-5053.433775608639,-1407.0504222376946,0.00031232049661444883,-120,29538182384.857849,0.013928001612556251,29538182384.843922,2120776778071.9414,78404057244210672.0,2.0404000496488175e-06,2.0630731167457957e-07,6.035370461177081e-07,4.7017579163366463e-07,1.9780190856029172e-07,8.260133028958894e-13,0.015232063297964005,5.613794479211871e-07,3.4891780883984088e-06,6.2282268451330051e-06,-120,-0.001844528954273042,-0.0018445289550990554,0.002529186091521759,0.00252714569147211,-0.0012830810634067438,-0.0012828747560950692,-5053.433775005102,-5053.433775608639,-1407.0504217675189,-1407.0504222376946,0.00031212269470588854,0.00031232049661444883
-110,-0.0010611707848971251,0.003203791321245819,-0.0007956082436064573,-2875.778035189287,-872.4876911863026,0.00039534104100137635,-110,24844201759.678707,0.012834649243951529,24844201759.665871,1935713340307.0452,5.1060195741852559e+18,3.425236904564151e-07,2.7241698340478224e-09,4.1337352740811184e-07,5.028728082834277e-07,3.580622134295025e-09,3.234604424584564e-13,0.014017403841176642,7.173338874614203e-09,1.4586842036595635e-06,2.5247008442264626e-06,-110,-0.0010611707852205856,-0.0010611707848971251,0.0032034487975553627,0.003203791321245819,-0.0007956055194366233,-0.0007956082436064573,-2875.7780356026606,-2875.778035189287,-872.4876916891754,-872.4876911863026,0.00039533746037924205,0.00039534104100137635
-100,-0.0006038412404074947,0.0040098567932422835,-0.0004870079809134462,-1617.6768955161344,-533.9508638591477,0.0004949022229200316,-100,20962111769.654846,0.011869750358854854,20962111769.642975,1766011174280.2642,97088418416545392.0,1.3328872332631428e-06,1.2240952370430516e-07,1.3365797713049687e-06,3.5203913739678683e-07,1.1705803042931073e-07,9.688093426454825e-13,0.012963671891638133,3.1490409056167428e-07,3.7880868939512375e-06,6.5219476459044568e-06,-100,-0.0006038412394386854,-0.0006038412404074947,0.004011189680475547,0.0040098567932422835,-0.0004868855713897419,-0.0004870079809134462,-1617.6768941795547,-1617.6768955161344,-533.9508635071086,-533.9508638591477,0.0004950192809504609,0.0004949022229200316
-90,-0.0003410134964319644,0.0049818287659732785,-0.0002952265563159562,-902.4827019985689,-323.71900489120617,0.000614823052397892,-90,17753734091.276016,0.011023647924910474,17753734091.264992,1610513526212.803,2.629218899275944e+17,5.084424408857702e-07,3.849469262746713e-08,8.028664524317719e-07,4.2307118519602227e-07,4.575528632095715e-08,5.087462027174305e-13,0.01204496514596032,9.7444274840987339e-08,2.0959696321277058e-06,3.6372602438928072e-06,-90,-0.0003410134959232182,-0.0003410134964319644,0.004982337208414164,0.0049818287659732785,-0.0002951880616233287,-0.0002952265563159562,-902.4827011957025,-902.4827019985689,-323.719004468135,-323.71900489120617,0.000614868807684213,0.000614823052397892
-80,-0.00019158539878241028,0.0061538950346233245,-0.00017783799555299692,-500.44325395858596,-195.04099116853072,0.000759528080734026,-80,15106251736.407106,0.010287873864574618,15106251736.396818,1468355068817.8774,4.3809634059343475e+17,4.6074046153136983e-07,1.9671331672301354e-08,1.516188262939977e-06,9.510281984148605e-08,2.3382547498598284e-08,3.64044054233445e-13,0.011246893512219922,4.9252151796394679e-08,1.9863983425173896e-06,3.3086898135307758e-06,-80,-0.00019158539914645434,-0.00019158539878241028,0.006154355775084856,0.0061538950346233245,-0.00017785766688466922,-0.00017783799555299692,-500.4432554747742,-500.44325395858596,-195.04099126363354,-195.04099116853072,0.0007595046981865274,0.000759528080734026
-70,-0.00010724002295139196,0.007574390266343017,-0.000106700920236942,-276.1510902608445,-117.12810778768505,0.0009347522341975195,-70,12927840908.093269,0.0096550643037492407,12927840908.083614,1338969943791.3789,55642867581089312.0,9.6410775532723e-07,1.322503686793119e-07,7.245981237247179e-07,2.745649965163466e-07,1.1708690887300092e-07,1.7942534936109256e-13,0.010560042003215817,3.2870087962267826e-07,1.4642162484206202e-06,2.9760199680450871e-06,-70,-0.00010724002313081731,-0.00010724002295139196,0.00757342615858769,0.007574390266343017,-0.00010683317060562132,-0.000106700920236942,-276.1510895362464,-276.1510902608445,-117.12810806225005,-117.12810778768505,0.0009346351472886465,0.0009347522341975195
-60,-5.9836533331593225e-05,0.00929618561989333,-6.424978942069384e-05,-151.60478702412942,-70.32269209887666,0.0011470041246217592,-60,11144130199.11327,0.0091188858716549689,11144130199.104151,1222093395614.6492,39238168397998592.0,6.41972684642042e-07,1.610809451531146e-07,6.705427040287759e-07,3.994178143784666e-08,1.7853451255724594e-07,3.4392098408530733e-13,0.0099774199893422118,3.9841779311948229e-07,1.3953571858869788e-06,2.7049142670548516e-06,-60,-5.983653367551421e-05,-5.9836533331593225e-05,0.009295543647208688,0.00929618561989333,-6.408870847554073e-05,-6.424978942069384e-05,-151.60478769467213,-151.60478702412942,-70.32269213881844,-70.32269209887666,0.0011471826591343164,0.0011470041246217592
