voltage,current,solute_6,solute_5,solute_4,solute_3,solute_2,solute_1,voltage,largest element,smallest element,element difference,element ratio difference,condition number,transport error solute_6,transport error solute_5,transport error solute_4,transport error solute_3,transport error solute_2,transport error solute_1,current errors,smallest eigenvalue,second smallest eigenvalue,sum absolute errors,sum squared errors,voltage,"current, barrier 0","current, barrier 1",solute_6 transport over barrier 0,solute_6 transport over barrier 1,solute_5 transport over barrier 0,solute_5 transport over barrier 1,solute_4 transport over barrier 0,solute_4 transport over barrier 1,solute_3 transport over barrier 0,solute_3 transport over barrier 1,solute_2 transport over barrier 0,solute_2 transport over barrier 1,solute_1 transport over barrier 0,solute_1 transport over barrier 1
-150,-4.254259282180324e-06,-8.28826548803813e-06,-0.3946013887762716,-1.290595519358347e-05,-0.36000062088589474,3.959146288074333e-10,-12.146027997683063,-150,1381825067760.9031,0.36106855569148272,1381825067760.542,3827043496253.9692,3.0427715383935008e+24,3.720168704340887e-18,2.9976021664879227e-14,9.408194844929066e-15,2.631228568361621e-13,1.0615368369203044e-16,3.2152058793144533e-13,1.4399560103323106e-20,5.6348571511124885e-13,-3.099699936105579,4.2284940317277127e-13,7.0208282479280841e-13,-150,-4.25425928218031e-06,-4.254259282180324e-06,-8.28826548804185e-06,-8.28826548803813e-06,-0.3946013887763016,-0.3946013887762716,-1.2905955184175275e-05,-1.290595519358347e-05,-0.3600006208856316,-0.36000062088589474,3.9591452265374963e-10,3.959146288074333e-10,-12.146027997683385,-12.146027997683063
-140,-4.249370081809873e-06,-7.899104141686384e-06,-0.37455754487938964,-1.1786163734371071e-05,-0.3430964649259133,6.663300179489393e-10,-12.18619258447082,-140,1264170419716.6089,0.34456105341163362,1264170419716.2644,3668930098743.2085,2.3102900693363434e+24,1.2007539060276962e-17,5.312417172831374e-14,6.758287844827772e-15,5.4067861299245124e-14,5.783276131639496e-17,3.907985046680551e-14,3.5575383784680614e-20,-2.7935914307696191e-12,-3.033591946411434,1.0368191280024643e-13,2.1223070543880643e-13,-140,-4.249370081809838e-06,-4.249370081809873e-06,-7.899104141698391e-06,-7.899104141686384e-06,-0.3745575448793365,-0.37455754487938964,-1.178616374112936e-05,-1.1786163734371071e-05,-0.3430964649258592,-0.3430964649259133,6.663300757817006e-10,6.663300179489393e-10,-12.18619258447086,-12.18619258447082
-130,-4.24143991644136e-06,-7.523887317974033e-06,-0.3535041214938657,-1.0000533618701991e-05,-0.32679692826826884,1.0943229273988243e-09,-12.217474437778675,-130,1161866488583.2524,0.32880971197374043,1161866488582.9236,3533552830933.54,1.821356608055064e+25,5.071694474979849e-17,1.1601830607332886e-14,1.281796663168272e-14,7.532863222081687e-14,6.00701745481367e-18,5.861977570020827e-14,1.7787691892340307e-20,1.9916256365559782e-13,-3.0600530320345558,9.7448972685964438e-14,1.7391876106593804e-13,-130,-4.241439916441342e-06,-4.24143991644136e-06,-7.52388731802475e-06,-7.523887317974033e-06,-0.3535041214938773,-0.3535041214938657,-1.0000533605884025e-05,-1.0000533618701991e-05,-0.3267969282681935,-0.32679692826826884,1.0943229213918068e-09,1.0943229273988243e-09,-12.217474437778733,-12.217474437778675
-120,-4.22798111010905e-06,-7.160564020899037e-06,-0.32953870395784235,-6.728026551979608e-06,-0.3110116907122239,1.7695546332096627e-09,-12.235099612538919,-120,1073855143753.5454,0.31378162638447232,1073855143753.2317,3422300904380.4414,6.855471967748627e+24,7.210876183270584e-17,9.658940314238862e-15,1.7916924556135843e-14,3.9190872769268026e-14,9.65153304751107e-17,1.9539925233402755e-14,8.470329472543003e-22,-8.5177854318974003e-13,-3.280882921157747,4.9296882308245551e-14,9.6214081996427291e-14,-120,-4.227981110109049e-06,-4.22798111010905e-06,-7.160564020971146e-06,-7.160564020899037e-06,-0.3295387039578327,-0.32953870395784235,-6.7280265340626835e-06,-6.728026551979608e-06,-0.3110116907122631,-0.3110116907122239,1.7695545366943322e-09,1.7695546332096627e-09,-12.2350996125389,-12.235099612538919
-110,-4.204904770555243e-06,-6.806699448268337e-06,-0.2992185791489951,-7.146042054254179e-07,-0.2956323471500631,2.8315369592887872e-09,-12.23163483486577,-110,999273068329.99878,0.29944737120819914,999273068329.69934,3337057407778.0977,9.3073110574566649e+24,6.01342570573718e-17,2.0761170560490427e-14,6.596018354990477e-15,3.7136960173711486e-14,3.97089703281403e-17,8.704148513061227e-14,3.3881317890172014e-21,-4.5783615707966584e-14,-3.9187722599523136,1.0105944877229143e-13,1.7510769632125269e-13,-110,-4.20490477055524e-06,-4.204904770555243e-06,-6.8066994482082025e-06,-6.806699448268337e-06,-0.2992185791489743,-0.2992185791489951,-7.146041988293995e-07,-7.146042054254179e-07,-0.29563234715002595,-0.2956323471500631,2.831536919579817e-09,2.8315369592887872e-09,-12.231634834865858,-12.23163483486577
-100,-4.1659934314917086e-06,-6.459371114242717e-06,-0.25754225375040335,9.019010123260389e-06,-0.28052632347147144,4.496020875633103e-09,-12.195377353812875,-100,937443845350.72461,0.28578318015501963,937443845350.43884,3280262487254.2168,3.9045544063564201e+24,2.2302377501205728e-17,3.7136960173711486e-14,2.690413809704889e-16,3.6270986214503864e-13,2.4391750694347705e-16,3.979039320256561e-13,6.437450399132683e-20,-5.9251367963381551e-12,-5.4604156582857533,5.3965560226251278e-13,8.0000967771231852e-13,-100,-4.165993431491773e-06,-4.1659934314917086e-06,-6.4593711142204145e-06,-6.459371114242717e-06,-0.2575422537504405,-0.25754225375040335,9.019010122991348e-06,9.019010123260389e-06,-0.28052632347183415,-0.28052632347147144,4.49602111955061e-09,4.496020875633103e-09,-12.195377353812477,-12.195377353812875
-90,-4.103528169707684e-06,-6.1150822866763325e-06,-0.20102893751118958,2.2278430681262323e-05,-0.26552989825002593,7.093843937388609e-09,-12.107702130095241,-90,887873010427.32996,0.27277579522499779,887873010427.05713,3254955263515.8564,6.0701939708921691e+24,6.969048276829481e-17,2.1344037648418634e-14,2.7709124328801488e-15,3.1424862712015056e-13,1.9623187308185877e-16,3.1796787425264483e-13,5.759824041329242e-20,1.3880656998849455e-12,-8.9690479976173325,4.4778693745275428e-13,6.7051389329611348e-13,-90,-4.1035281697077415e-06,-4.103528169707684e-06,-6.115082286606642e-06,-6.1150822866763325e-06,-0.20102893751121093,-0.20102893751118958,2.2278430684033236e-05,2.2278430681262323e-05,-0.2655298982503402,-0.26552989825002593,7.093844133620482e-09,7.093843937388609e-09,-12.107702130094923,-12.107702130095241
-80,-4.010549156482488e-06,-5.769745676659351e-06,-0.1353337139201837,3.842661689594119e-05,-0.25044112563694093,1.1126624652856365e-08,-11.938706196211385,-80,850246061210.46289,0.26043314235106224,850246061210.20251,3264738326062.7271,2.1037580912798425e+24,9.550381183586962e-17,3.635980405647388e-15,2.702251942175715e-15,1.509903313490213e-13,1.8784580188087164e-17,1.8829382497642655e-13,1.6093625997831706e-20,9.0312436395221925e-13,-16.766936753179237,2.4674936483964772e-13,3.846013761507833e-13,-80,-4.010549156482504e-06,-4.010549156482488e-06,-5.769745676563847e-06,-5.769745676659351e-06,-0.13533371392018734,-0.1353337139201837,3.842661689323894e-05,3.842661689594119e-05,-0.2504411256370919,-0.25044112563694093,1.1126624634071785e-08,1.1126624652856365e-08,-11.938706196211196,-11.938706196211385
-70,-3.8793311828103e-06,-5.418808667992852e-06,-0.076783621321672,5.776801688105675e-05,-0.23501336962794972,1.7344379366515363e-08,-11.640158273308202,-70,824429468471.58667,0.24880772877755866,824429468471.33789,3313520333641.4463,1.5476910697215517e+25,4.252783021574391e-17,2.4438784329561258e-14,2.0877735846559775e-15,5.035138972431241e-13,1.3752598654315986e-16,5.631051180898794e-13,7.199780051661553e-20,-1.0724371773944183e-12,-33.925621041750453,7.5806092363868642e-13,1.133029878009088e-12,-70,-3.879331182810372e-06,-3.8793311828103e-06,-5.41880866803538e-06,-5.418808667992852e-06,-0.07678362132169644,-0.076783621321672,5.776801688314453e-05,5.776801688105675e-05,-0.23501336962845323,-0.23501336962794972,1.734437950404135e-08,1.7344379366515363e-08,-11.64015827330764,-11.640158273308202
-60,-3.690783719800958e-06,-5.057565586876372e-06,-0.03762652097327645,8.163138073076274e-05,-0.2189488886562152,2.6852542762530944e-08,-11.134551759083521,-60,810474789821.5769,0.23804782218066256,810474789821.33887,3404672146954.0693,3.8240423740029366e+24,2.5044307854762624e-16,1.1917550279960665e-13,9.802691969783284e-15,1.8973711490843925e-13,6.40915112762659e-16,1.5631940186722204e-13,1.1434944787933055e-20,-2.297816079635156e-12,-71.519283231896864,2.8090336146296236e-13,5.4497799807271766e-13,-60,-3.6907837198009465e-06,-3.690783719800958e-06,-5.0575655866259285e-06,-5.057565586876372e-06,-0.037626520973157274,-0.03762652097327645,8.163138072096005e-05,8.163138073076274e-05,-0.21894888865640494,-0.2189488886562152,2.685254212161583e-08,2.6852542762530944e-08,-11.134551759083365,-11.134551759083521
